"freq
References : ['dB(S(1,1))']
Dependency : [freq]
Num. Points : [571]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [freq]
Num. Points : [571]
Matrix Size : scalar
Type : Real"
0.0000 Hz,-1.340E-13
8.886  Hz,-1.418E-13
88.86  Hz,-1.707E-13
888.6  Hz,-2.908E-12
8.886 kHz,-2.771E-10
11.19 kHz,-4.390E-10
14.08 kHz,-6.957E-10
17.73 kHz,-1.103E-9
22.32 kHz,-1.747E-9
28.10 kHz,-2.769E-9
35.38 kHz,-4.389E-9
44.54 kHz,-6.956E-9
56.07 kHz,-1.102E-8
70.59 kHz,-1.747E-8
88.86 kHz,-2.769E-8
111.9 kHz,-4.389E-8
140.8 kHz,-6.956E-8
177.3 kHz,-1.102E-7
223.2 kHz,-1.747E-7
281.0 kHz,-2.769E-7
353.8 kHz,-4.389E-7
445.4 kHz,-6.956E-7
560.7 kHz,-1.102E-6
705.9 kHz,-1.747E-6
888.6 kHz,-2.769E-6
1.119 MHz,-4.388E-6
1.408 MHz,-6.955E-6
1.773 MHz,-1.102E-5
2.232 MHz,-1.746E-5
2.810 MHz,-2.767E-5
3.538 MHz,-4.384E-5
4.454 MHz,-6.943E-5
5.607 MHz,-1.099E-4
7.059 MHz,-1.739E-4
8.886 MHz,-2.748E-4
11.19 MHz,-4.336E-4
14.08 MHz,-0.001
17.73 MHz,-0.001
22.32 MHz,-0.002
25.24 MHz,-0.002
28.17 MHz,-0.003
35.46 MHz,-0.004
44.64 MHz,-0.006
54.70 MHz,-0.008
66.96 MHz,-0.011
77.61 MHz,-0.013
89.29 MHz,-0.016
111.6 MHz,-0.020
133.9 MHz,-0.024
156.3 MHz,-0.028
178.6 MHz,-0.031
197.2 MHz,-0.033
215.8 MHz,-0.035
234.4 MHz,-0.038
253.0 MHz,-0.040
271.6 MHz,-0.043
290.2 MHz,-0.046
308.8 MHz,-0.048
327.4 MHz,-0.052
346.0 MHz,-0.055
364.6 MHz,-0.059
383.2 MHz,-0.063
401.8 MHz,-0.067
420.4 MHz,-0.072
439.0 MHz,-0.077
457.6 MHz,-0.083
476.2 MHz,-0.090
494.8 MHz,-0.097
513.4 MHz,-0.105
532.0 MHz,-0.114
550.6 MHz,-0.125
569.2 MHz,-0.136
587.8 MHz,-0.150
606.4 MHz,-0.165
625.0 MHz,-0.182
643.6 MHz,-0.201
662.2 MHz,-0.223
680.8 MHz,-0.248
699.4 MHz,-0.277
718.0 MHz,-0.311
736.6 MHz,-0.350
755.2 MHz,-0.395
773.8 MHz,-0.447
792.4 MHz,-0.508
811.0 MHz,-0.579
829.6 MHz,-0.663
848.2 MHz,-0.762
866.8 MHz,-0.879
885.4 MHz,-1.019
904.0 MHz,-1.186
922.6 MHz,-1.386
931.9 MHz,-1.501
941.2 MHz,-1.627
950.5 MHz,-1.766
959.8 MHz,-1.919
969.1 MHz,-2.088
978.4 MHz,-2.273
987.7 MHz,-2.479
997.0 MHz,-2.705
1.006 GHz,-2.956
1.016 GHz,-3.233
1.025 GHz,-3.540
1.034 GHz,-3.881
1.044 GHz,-4.258
1.053 GHz,-4.677
1.062 GHz,-5.143
1.071 GHz,-5.660
1.077 GHz,-5.998
1.083 GHz,-6.358
1.088 GHz,-6.742
1.094 GHz,-7.152
1.099 GHz,-7.589
1.105 GHz,-8.056
1.110 GHz,-8.554
1.116 GHz,-9.085
1.122 GHz,-9.652
1.127 GHz,-10.256
1.133 GHz,-10.897
1.138 GHz,-11.577
1.144 GHz,-12.293
1.150 GHz,-13.039
1.155 GHz,-13.806
1.161 GHz,-14.572
1.172 GHz,-15.967
1.183 GHz,-16.813
1.194 GHz,-16.737
1.205 GHz,-15.842
1.217 GHz,-14.570
1.228 GHz,-13.254
1.239 GHz,-12.037
1.250 GHz,-10.955
1.264 GHz,-9.790
1.278 GHz,-8.806
1.292 GHz,-7.971
1.306 GHz,-7.259
1.320 GHz,-6.646
1.334 GHz,-6.117
1.348 GHz,-5.656
1.362 GHz,-5.252
1.376 GHz,-4.897
1.390 GHz,-4.583
1.403 GHz,-4.304
1.417 GHz,-4.056
1.431 GHz,-3.833
1.445 GHz,-3.632
1.459 GHz,-3.452
1.473 GHz,-3.288
1.501 GHz,-3.004
1.529 GHz,-2.768
1.557 GHz,-2.568
1.585 GHz,-2.399
1.613 GHz,-2.254
1.641 GHz,-2.128
1.669 GHz,-2.019
1.696 GHz,-1.924
1.752 GHz,-1.765
1.808 GHz,-1.637
1.864 GHz,-1.533
1.920 GHz,-1.443
1.975 GHz,-1.363
2.031 GHz,-1.288
2.087 GHz,-1.214
2.143 GHz,-1.139
2.232 GHz,-1.011
2.321 GHz,-0.875
2.411 GHz,-0.737
2.500 GHz,-0.607
2.556 GHz,-0.534
2.612 GHz,-0.470
2.667 GHz,-0.415
2.723 GHz,-0.370
2.779 GHz,-0.333
2.835 GHz,-0.304
2.891 GHz,-0.283
2.946 GHz,-0.269
2.974 GHz,-0.265
3.002 GHz,-0.262
3.030 GHz,-0.261
3.058 GHz,-0.262
3.086 GHz,-0.264
3.114 GHz,-0.268
3.142 GHz,-0.275
3.170 GHz,-0.284
3.198 GHz,-0.295
3.225 GHz,-0.309
3.253 GHz,-0.327
3.281 GHz,-0.349
3.309 GHz,-0.375
3.337 GHz,-0.407
3.365 GHz,-0.444
3.393 GHz,-0.489
3.411 GHz,-0.523
3.430 GHz,-0.561
3.449 GHz,-0.604
3.467 GHz,-0.651
3.486 GHz,-0.705
3.504 GHz,-0.764
3.523 GHz,-0.830
3.542 GHz,-0.903
3.560 GHz,-0.985
3.579 GHz,-1.075
3.597 GHz,-1.175
3.616 GHz,-1.286
3.635 GHz,-1.409
3.653 GHz,-1.545
3.672 GHz,-1.694
3.690 GHz,-1.859
3.709 GHz,-2.039
3.728 GHz,-2.238
3.746 GHz,-2.454
3.765 GHz,-2.691
3.783 GHz,-2.949
3.802 GHz,-3.228
3.821 GHz,-3.532
3.839 GHz,-3.860
3.858 GHz,-4.214
3.876 GHz,-4.595
3.895 GHz,-5.005
3.914 GHz,-5.443
3.932 GHz,-5.913
3.951 GHz,-6.414
3.969 GHz,-6.949
3.988 GHz,-7.518
4.007 GHz,-8.126
4.025 GHz,-8.773
4.044 GHz,-9.463
4.063 GHz,-10.200
4.081 GHz,-10.989
4.100 GHz,-11.836
4.118 GHz,-12.750
4.137 GHz,-13.741
4.156 GHz,-14.825
4.174 GHz,-16.023
4.193 GHz,-17.363
4.211 GHz,-18.888
4.230 GHz,-20.667
4.249 GHz,-22.810
4.267 GHz,-25.520
4.286 GHz,-29.204
4.308 GHz,-35.862
4.330 GHz,-35.550
4.353 GHz,-29.369
4.375 GHz,-25.522
4.397 GHz,-22.883
4.420 GHz,-20.900
4.442 GHz,-19.320
4.464 GHz,-18.010
4.487 GHz,-16.893
4.509 GHz,-15.920
4.531 GHz,-15.057
4.554 GHz,-14.282
4.576 GHz,-13.577
4.598 GHz,-12.930
4.621 GHz,-12.332
4.643 GHz,-11.774
4.661 GHz,-11.337
4.680 GHz,-10.922
4.699 GHz,-10.526
4.717 GHz,-10.149
4.736 GHz,-9.787
4.754 GHz,-9.441
4.773 GHz,-9.108
4.792 GHz,-8.788
4.829 GHz,-8.185
4.866 GHz,-7.625
4.903 GHz,-7.105
4.940 GHz,-6.623
4.978 GHz,-6.174
5.015 GHz,-5.758
5.052 GHz,-5.373
5.089 GHz,-5.017
5.126 GHz,-4.688
5.164 GHz,-4.385
5.201 GHz,-4.107
5.238 GHz,-3.852
5.263 GHz,-3.693
5.288 GHz,-3.544
5.312 GHz,-3.403
5.337 GHz,-3.271
5.362 GHz,-3.147
5.387 GHz,-3.030
5.412 GHz,-2.920
5.437 GHz,-2.818
5.461 GHz,-2.721
5.486 GHz,-2.631
5.511 GHz,-2.546
5.536 GHz,-2.467
5.561 GHz,-2.394
5.585 GHz,-2.325
5.610 GHz,-2.261
5.635 GHz,-2.201
5.685 GHz,-2.094
5.734 GHz,-2.003
5.784 GHz,-1.926
5.833 GHz,-1.862
5.871 GHz,-1.814
5.908 GHz,-1.776
5.945 GHz,-1.747
5.982 GHz,-1.726
6.019 GHz,-1.712
6.057 GHz,-1.705
6.094 GHz,-1.705
6.131 GHz,-1.711
6.168 GHz,-1.722
6.205 GHz,-1.738
6.243 GHz,-1.760
6.280 GHz,-1.786
6.317 GHz,-1.816
6.354 GHz,-1.851
6.391 GHz,-1.890
6.429 GHz,-1.934
6.473 GHz,-1.993
6.518 GHz,-2.058
6.563 GHz,-2.130
6.607 GHz,-2.210
6.652 GHz,-2.297
6.696 GHz,-2.392
6.741 GHz,-2.494
6.786 GHz,-2.603
6.879 GHz,-2.849
6.972 GHz,-3.106
7.065 GHz,-3.357
7.158 GHz,-3.587
7.251 GHz,-3.794
7.344 GHz,-3.986
7.437 GHz,-4.178
7.530 GHz,-4.387
7.561 GHz,-4.464
7.592 GHz,-4.545
7.623 GHz,-4.631
7.654 GHz,-4.723
7.731 GHz,-4.984
7.809 GHz,-5.298
7.886 GHz,-5.679
7.964 GHz,-6.141
8.003 GHz,-6.408
8.041 GHz,-6.702
8.080 GHz,-7.025
8.119 GHz,-7.380
8.158 GHz,-7.768
8.196 GHz,-8.191
8.235 GHz,-8.653
8.274 GHz,-9.153
8.311 GHz,-9.670
8.348 GHz,-10.225
8.385 GHz,-10.816
8.423 GHz,-11.442
8.460 GHz,-12.100
8.497 GHz,-12.786
8.534 GHz,-13.494
8.571 GHz,-14.216
8.609 GHz,-14.939
8.646 GHz,-15.649
8.683 GHz,-16.328
8.720 GHz,-16.951
8.757 GHz,-17.495
8.795 GHz,-17.931
8.832 GHz,-18.234
8.869 GHz,-18.386
8.906 GHz,-18.377
8.943 GHz,-18.206
8.981 GHz,-17.885
9.018 GHz,-17.435
9.055 GHz,-16.880
9.092 GHz,-16.249
9.129 GHz,-15.568
9.167 GHz,-14.860
9.196 GHz,-14.290
9.226 GHz,-13.725
9.256 GHz,-13.174
9.286 GHz,-12.643
