freq	dB(S11_discrete)
0.00000000000000000E0	-3.47157887959183897E-14
4.76190476300000043E8	-3.04440893934355827E-2
1.42857142900000023E9	-3.32419762690967024E0
1.66666666700000010E9	-2.93982039925075123E1
1.90476190500000020E9	-6.46741154207071389E0
2.14285714300000008E9	-3.42621831590939108E0
2.50000000000000000E9	-2.11055940858658708E0
3.39285714299999963E9	-5.15714510781109325E-1
4.28571428600000015E9	-3.87497136955927202E-1
4.64285714299999874E9	-1.63058079429633551E0
5.23809523799999965E9	-1.47458822857372085E1
5.83333333400000065E9	-4.24339981596835081E0
6.42857142899999978E9	-2.99838462642315928E0
6.90476190499999909E9	-2.51074494854502950E0
7.38095238100000017E9	-2.38402684127303255E0
7.85714285700000126E9	-3.23983720936314157E0
8.57142857100000022E9	-7.11253824101686138E0
9.10714285499999932E9	-5.96339177044652224E0
9.64285714000000027E9	-4.96992999665237445E0
1.01785714300000008E10	-4.71345231747088622E0
1.07142857099999977E10	-3.78344354740901245E0
1.10714285699999992E10	-4.08427047034955937E0
1.14285714300000008E10	-4.98378352096574240E0
1.17857142799999970E10	-5.12906778233508920E0
1.23214285699999992E10	-5.33765501192368230E0
1.24107142799999970E10	-5.42791043677121010E0
1.28571428599999993E10	-6.59264798975535715E0
1.30952380999999995E10	-8.09767377578337921E0
1.33333333299999990E10	-1.06701655322318478E1
1.35714285699999992E10	-1.30892550200342050E1
1.38095238099999973E10	-4.25496755027369566E0
1.40476190499999976E10	5.14530763124832458E0
1.42857142900000023E10	5.24613227993342335E0
1.44642857200000008E10	7.25158956346357009E0
1.45535714300000008E10	9.64397819966649728E0
1.45982142799999992E10	1.13120549365003509E1
1.46428571400000007E10	1.30040413040415892E1
1.46651785699999992E10	1.35236335885168835E1
1.46875000000000000E10	1.35271069173030178E1
1.47098214300000008E10	1.29086462018740233E1
1.47321428599999993E10	1.17948954819276497E1
1.47767857200000008E10	8.97900330954435155E0
1.48214285699999992E10	6.23137796117667264E0
1.50000000000000000E10	-1.53196271666285222E0


freq	dB(S11_fitted)
0.00000000000000000E0	-3.47157887959183897E-14
9.43388805253354334E0	-4.24304085283447385E-14
9.43388805253354334E1	-4.62877183945578974E-14
9.43388805253354334E2	-2.80619292767010986E-13
9.43388805253354334E3	-2.44032708686317612E-11
1.18765614013558674E4	-3.86502448595417469E-11
1.49517049529006463E4	-6.12367227812826798E-11
1.88230813148553411E4	-9.70267723752674804E-11
2.36968553955393535E4	-1.53762014543282577E-10
2.98325734370562135E4	-2.43672050216901814E-10
3.75569847991257344E4	-3.86169755627181033E-10
4.72814425539866523E4	-6.12010426669604790E-10
5.95238095374998988E4	-9.69944674100116622E-10
7.49360364335546514E4	-1.53723248591369188E-9
9.43388805253355045E4	-2.43632898552510468E-9
1.18765614013558762E5	-3.86129832547307883E-9
1.49517049529006596E5	-6.11971564466726470E-9
1.88230813148553500E5	-9.69908030143754019E-9
2.36968553955393713E5	-1.53719844637833281E-8
2.98325734370562357E5	-2.43629224772370323E-8
3.75569847991257566E5	-3.86125918150216663E-8
4.72814425539866701E5	-6.11967757313469995E-8
5.95238095374999254E5	-9.69902374415167934E-8
7.49360364335546869E5	-1.53718909500062795E-7
9.43388805253355578E5	-2.43627451556211039E-7
1.18765614013558807E6	-3.86121999132844840E-7
1.49517049529006663E6	-6.11958427560416496E-7
1.88230813148553611E6	-9.69879478905687620E-7
2.36968553955393801E6	-1.53713215526148339E-6
2.98325734370562490E6	-2.43613197334108467E-6
3.75569847991257699E6	-3.86086254774736748E-6
4.72814425539866878E6	-6.11868700968324486E-6
5.95238095374999610E6	-9.69654185884582809E-6
7.49360364335547313E6	-1.53656640917223974E-5
9.43388805253356111E6	-2.43471139023022332E-5
1.18765614013558896E7	-3.85729605203649317E-5
1.49517049529006796E7	-6.10973559042949965E-5
1.88230813148553722E7	-9.67408535444895534E-5
2.36968553955393935E7	-1.53093687081693797E-4
2.98325734370562623E7	-2.42061532148654646E-4
3.75569847991257921E7	-3.82206497455357619E-4
4.72814425539867322E7	-6.02193447805798598E-4
5.95238095375000054E7	-9.45625859599948093E-4
6.73005916538336457E7	-1.20055180177706866E-3
7.51139695982515843E7	-1.48402553975797735E-3
9.45628851079734645E7	-2.30007567215144970E-3
1.19047619075000011E8	-3.52370708999925331E-3
1.45858200264534865E8	-5.06464685466005271E-3
1.78571428612500038E8	-7.15048092674025337E-3
2.06966939758305601E8	-9.08221216613247329E-3
2.38095238150000021E8	-1.12783884715813887E-2
2.97619047687500027E8	-1.56093051907332780E-2
3.57142857225000077E8	-2.01107504967345374E-2
4.16666666762500082E8	-2.49511525941165635E-2
4.76190476300000043E8	-3.04440893937500912E-2
5.35714285843750027E8	-3.70288410439757465E-2
5.95238095387500010E8	-4.52859641691316028E-2
6.54761904931249994E8	-5.59835463399905731E-2
7.14285714474999889E8	-7.01556687095610343E-2
7.73809524018749784E8	-8.92227677713664136E-2
8.33333333562499945E8	-1.15173814435905908E-1
8.92857143106250106E8	-1.50845045402265288E-1
9.52380952649999912E8	-2.00353922558837905E-1
9.82142857421874993E8	-2.32096321000195438E-1
1.01190476219375003E9	-2.69787693874434398E-1
1.04166666696562471E9	-3.14678348045895939E-1
1.07142857173749984E9	-3.68316577359845887E-1
1.10119047650937496E9	-4.32629047770614683E-1
1.13095238128124986E9	-5.10024895417438628E-1
1.16071428605312521E9	-6.03530838792375324E-1
1.19047619082499989E9	-7.16966772926228568E-1
1.20535714321093756E9	-7.82623938010328590E-1
1.22023809559687524E9	-8.55174003352700396E-1
1.23511904798281269E9	-9.35430278316077413E-1
1.25000000036875036E9	-1.02431154786656409E0
1.26488095275468759E9	-1.12285646112494986E0
1.27976190514062482E9	-1.23223986758490356E0
1.29464285752656250E9	-1.35379135241303650E0
1.30952380991249973E9	-1.48901626187317992E0
1.32440476229843740E9	-1.63961956598517977E0
1.33928571468437485E9	-1.80753298927677641E0
1.35416666707031252E9	-1.99494597019805031E0
1.36904761945625020E9	-2.20434121460261068E0
1.38392857184218743E9	-2.43853593445131311E0
1.39880952422812532E9	-2.70073038067712901E0
1.41369047661406255E9	-2.99456609877449553E0
1.42857142900000023E9	-3.32419762691030929E0
1.44345238137499954E9	-3.69438338394413801E0
1.45833333374999996E9	-4.11060468294873260E0
1.47321428612500016E9	-4.57922683958012300E0
1.48809523850000014E9	-5.10772442059596266E0
1.50297619087500012E9	-5.70500588993725799E0
1.51785714325000010E9	-6.38189523783553092E0
1.53273809562500007E9	-7.15186746315756139E0
1.54761904800000005E9	-8.03220744172426571E0
1.56250000037500003E9	-9.04590431297647513E0
1.57738095275000001E9	-1.02248936309288352E1
1.59226190512499999E9	-1.16159465635197989E1
1.60714285749999997E9	-1.32922523064644471E1
1.62202380987500017E9	-1.53788363085772284E1
1.63690476224999992E9	-1.81179741436467800E1
1.65178571462500012E9	-2.20864721820720744E1
1.66666666700000010E9	-2.93982039925500382E1
1.68154761937500052E9	-4.00329705711381667E1
1.69642857175000006E9	-2.56200795694861583E1
1.71130952412500004E9	-2.05940871260872171E1
1.72619047650000046E9	-1.75328943256400049E1
1.74107142887499999E9	-1.53586973659521320E1
1.75595238124999975E9	-1.36939519578847002E1
1.77083333362499995E9	-1.23610812416767524E1
1.78571428599999993E9	-1.12619341025017050E1
1.80059523837499968E9	-1.03363181598071652E1
1.81547619074999989E9	-9.54452463561042386E0
1.83035714312499986E9	-8.85890167043540266E0
1.84523809550000029E9	-8.25937610028875646E0
1.86011904787499982E9	-7.73089071719848953E0
1.87500000025000024E9	-7.26184916525347468E0
1.88988095262499955E9	-6.84312609890096102E0
1.90476190500000020E9	-6.46741154206851476E0
1.93452380975000016E9	-5.82228221591804029E0
1.96428571450000011E9	-5.29018913466580365E0
1.99404761925000029E9	-4.84561670347049844E0
2.02380952399999980E9	-4.47003709267127824E0
2.05357142875000065E9	-4.14965753215277378E0
2.08333333350000016E9	-3.87400036940547432E0
2.11309523824999967E9	-3.63496990199660441E0
2.14285714300000008E9	-3.42621831590883330E0
2.18750000012500001E9	-3.15911035408403817E0
2.23214285724999995E9	-2.93592633274615222E0
2.27678571437499988E9	-2.74701132891816124E0
2.32142857149999937E9	-2.58507734311486193E0
2.36607142862499975E9	-2.44449902469726688E0
2.41071428574999924E9	-2.32083695862981809E0
2.45535714287499962E9	-2.21050874983350409E0
2.50000000000000000E9	-2.11055940858567581E0
2.61160714287499962E9	-1.89062900760840424E0
2.72321428574999924E9	-1.69067271130141417E0
2.83482142862500064E9	-1.49051267136969923E0
2.94642857149999937E9	-1.28070484832948606E0
3.05803571437499944E9	-1.06438040991152660E0
3.16964285724999950E9	-8.55023223976425584E-1
3.28125000012500001E9	-6.68651897032394693E-1
3.39285714299999963E9	-5.15714510780716395E-1
3.44866071443750011E9	-4.52763604911758666E-1
3.50446428587500014E9	-3.98497660314715851E-1
3.56026785731250062E9	-3.52368395393744605E-1
3.61607142874999976E9	-3.13739852342263470E-1
3.67187500018750024E9	-2.81990417155255457E-1
3.72767857162500027E9	-2.56588371211365107E-1
3.78348214306250075E9	-2.37145577564409971E-1
3.83928571450000078E9	-2.23456509018802096E-1
3.89508928593750037E9	-2.15530261418297719E-1
3.95089285737500040E9	-2.13622718252877686E-1
4.00669642881250088E9	-2.18275483826544692E-1
4.06250000024999913E9	-2.30368061924672318E-1
4.11830357168750005E9	-2.51190279290655649E-1
4.17410714312500097E9	-2.82543288334212939E-1
4.22991071456250012E9	-3.26879752667781442E-1
4.28571428600000015E9	-3.87497136955577348E-1
4.33035714312500097E9	-4.50628932380615943E-1
4.37500000025000002E9	-5.29885883839701055E-1
4.41964285737499996E9	-6.28933178836483897E-1
4.46428571449999989E9	-7.52381746753864267E-1
4.50892857162499983E9	-9.06029257052995085E-1
4.55357142874999976E9	-1.09715602621219199E0
4.59821428587499970E9	-1.33488121275517790E0
4.64285714299999874E9	-1.63058079429551528E0
4.66145833346875094E9	-1.77414684334932282E0
4.68005952393750047E9	-1.93136759351137322E0
4.69866071440624999E9	-2.10352717563126168E0
4.71726190487500041E9	-2.29202176786170186E0
4.73586309534374994E9	-2.49836689848621152E0
4.75446428581249947E9	-2.72420497161549635E0
4.77306547628125077E9	-2.97131309338971583E0
4.79166666675000119E9	-3.24161132232310756E0
4.81026785721874894E9	-3.53717150923388335E0
4.82886904768750025E9	-3.86022690810234792E0
4.84747023815624978E9	-4.21318268736816570E0
4.86607142862500019E9	-4.59862727475016175E0
4.88467261909375061E9	-5.01934398925873460E0
4.90327380956250014E9	-5.47832140370156395E0
4.92187500003124878E9	-5.97875889336298005E0
