"freq
References : ['dB(S(1,1))']
Dependency : [freq]
Num. Points : [491]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [freq]
Num. Points : [491]
Matrix Size : scalar
Type : Real"
0.0000 Hz,-3.472E-14
9.434  Hz,-4.243E-14
94.34  Hz,-4.629E-14
943.4  Hz,-2.806E-13
9.434 kHz,-2.440E-11
11.88 kHz,-3.865E-11
14.95 kHz,-6.124E-11
18.82 kHz,-9.703E-11
23.70 kHz,-1.538E-10
29.83 kHz,-2.437E-10
37.56 kHz,-3.862E-10
47.28 kHz,-6.120E-10
59.52 kHz,-9.699E-10
74.94 kHz,-1.537E-9
94.34 kHz,-2.436E-9
118.8 kHz,-3.861E-9
149.5 kHz,-6.120E-9
188.2 kHz,-9.699E-9
237.0 kHz,-1.537E-8
298.3 kHz,-2.436E-8
375.6 kHz,-3.861E-8
472.8 kHz,-6.120E-8
595.2 kHz,-9.699E-8
749.4 kHz,-1.537E-7
943.4 kHz,-2.436E-7
1.188 MHz,-3.861E-7
1.495 MHz,-6.120E-7
1.882 MHz,-9.699E-7
2.370 MHz,-1.537E-6
2.983 MHz,-2.436E-6
3.756 MHz,-3.861E-6
4.728 MHz,-6.119E-6
5.952 MHz,-9.697E-6
7.494 MHz,-1.537E-5
9.434 MHz,-2.435E-5
11.88 MHz,-3.857E-5
14.95 MHz,-6.110E-5
18.82 MHz,-9.674E-5
23.70 MHz,-1.531E-4
29.83 MHz,-2.421E-4
37.56 MHz,-3.822E-4
47.28 MHz,-0.001
59.52 MHz,-0.001
67.30 MHz,-0.001
75.11 MHz,-0.001
94.56 MHz,-0.002
119.0 MHz,-0.004
145.9 MHz,-0.005
178.6 MHz,-0.007
207.0 MHz,-0.009
238.1 MHz,-0.011
297.6 MHz,-0.016
357.1 MHz,-0.020
416.7 MHz,-0.025
476.2 MHz,-0.030
535.7 MHz,-0.037
595.2 MHz,-0.045
654.8 MHz,-0.056
714.3 MHz,-0.070
773.8 MHz,-0.089
833.3 MHz,-0.115
892.9 MHz,-0.151
952.4 MHz,-0.200
982.1 MHz,-0.232
1.012 GHz,-0.270
1.042 GHz,-0.315
1.071 GHz,-0.368
1.101 GHz,-0.433
1.131 GHz,-0.510
1.161 GHz,-0.604
1.190 GHz,-0.717
1.205 GHz,-0.783
1.220 GHz,-0.855
1.235 GHz,-0.935
1.250 GHz,-1.024
