freq	dB(S11_discrete)
0.00000000000000000E0	-1.34041517850907987E-13
1.78571428700000001E8	-3.06635146058584995E-2
7.73809524200000176E8	-4.46729760496916661E-1
1.07142857200000030E9	-5.66008224519928405E0
1.25000000000000000E9	-1.09551975878813868E1
1.69642857199999986E9	-1.92361049332109735E0
2.14285714300000008E9	-1.13891176635209312E0
2.50000000000000000E9	-6.06629518854368044E-1
2.94642857199999986E9	-2.69467018884509102E-1
3.39285714299999963E9	-4.88547966985996318E-1
3.69047619100000057E9	-1.85880341639075430E0
4.28571428600000015E9	-2.92038026436271680E1
4.64285714299999874E9	-1.17742315598067937E1
5.23809523799999965E9	-3.85150272205983679E0
5.63492063499999940E9	-2.20103394143618925E0
5.83333333400000065E9	-1.86162792888214690E0
6.42857142899999978E9	-1.93424190931331275E0
6.78571428599999926E9	-2.60308686227190300E0
7.52976190499999909E9	-4.38717413241173482E0
7.65376984199999999E9	-4.72331937598994145E0
8.27380952400000069E9	-9.15284849885352436E0
8.57142857100000022E9	-1.42157379722555066E1
9.16666666499999927E9	-1.48603682097417522E1
9.28571428399999910E9	-1.26429880096628811E1
9.99999999699999975E9	-8.53855284500096090E0
1.04761904699999997E10	-6.52133147390479007E0
1.07142857099999977E10	-4.83156637798437405E0
1.12500000000000000E10	-4.31239979057284373E0
1.16071428599999993E10	-5.66193350689748520E0
1.17857142900000023E10	-3.69561057479868227E0
1.18154761999999969E10	-3.49270112912237174E0
1.19642857200000030E10	-3.88696437643210313E0
1.22619047600000020E10	-6.79174027117632217E0
1.25595238099999973E10	-1.05267111516977141E1
1.28571428599999993E10	-1.63646157060264552E1
1.32142857200000030E10	-2.07325827756575976E1
1.32341269899999991E10	-2.27681878633266255E1
1.33333333400000020E10	-2.11603642282528170E1
1.35714285800000023E10	-1.59087975266777004E1
1.36904761999999969E10	-1.46466266901001041E1
1.39880952400000025E10	-1.22744094821068783E1
1.42857142900000023E10	-9.92093419269344423E0
1.43452380999999995E10	-9.10280756674647051E0
1.44047619100000013E10	-8.21722175142803479E0
1.45238095300000025E10	-5.84120440037815580E0
1.46428571500000038E10	-5.01417103574492629E0
1.47619047699999983E10	-4.54566200457792657E0
1.48809523800000010E10	-4.27732788799332386E0
1.49404761900000027E10	-4.07779218796567111E0
1.50000000000000000E10	-3.93949259677274233E0


freq	dB(S11_fitted)
0.00000000000000000E0	-1.34041517850907987E-13
8.88632077768155249E0	-1.41756137583334318E-13
8.88632077768155249E1	-1.70685961579933476E-13
8.88632077768155249E2	-2.90841163912520084E-12
8.88632077768155249E3	-2.77063817402243462E-10
1.11872150443778118E4	-4.39031294363743640E-10
1.40838693065732423E4	-6.95734301649530451E-10
1.77305409664329505E4	-1.10257248790087892E-9
2.23214285874999607E4	-1.74738837073938580E-9
2.81010136763524843E4	-2.76933633233987475E-9
3.53770802143355789E4	-4.38902171015766207E-9
4.45371052769077025E4	-6.95604406990457136E-9
5.60688936008512151E4	-1.10245069397151330E-8
7.05865549652949831E4	-1.74725799524753866E-8
8.88632077768155959E4	-2.76920923795266205E-8
1.11872150443778229E5	-4.38888989657239215E-8
1.40838693065732579E5	-6.95590889626086284E-8
1.77305409664329683E5	-1.10243517459585605E-7
2.23214285874999785E5	-1.74723806877169796E-7
2.81010136763525109E5	-2.76917716557619631E-7
3.53770802143356056E5	-4.38882945588570728E-7
4.45371052769077469E5	-6.95577568400090218E-7
5.60688936008512684E5	-1.10240363461785895E-6
7.05865549652950186E5	-1.74716072874136175E-6
8.88632077768156492E5	-2.76898466933870768E-6
1.11872150443778318E6	-4.38834796485036271E-6
1.40838693065732623E6	-6.95456819880515997E-6
1.77305409664329749E6	-1.10210057071258194E-5
2.23214285874999874E6	-1.74639980503036751E-5
2.81010136763525153E6	-2.76707412804285058E-5
3.53770802143356189E6	-4.38355158242888976E-5
4.45371052769077558E6	-6.94253031498839768E-5
5.60688936008512773E6	-1.09908074550459811E-4
7.05865549652950541E6	-1.73882997787340043E-4
8.88632077768157025E6	-2.74812145445159040E-4
1.11872150443778340E7	-4.33618898649092799E-4
1.40838693065732667E7	-6.82452189791196684E-4
1.77305409664329860E7	-1.06981373125396684E-3
2.23214285875000007E7	-1.66676490497391749E-3
2.52377218825540961E7	-2.10385280429998556E-3
2.81677386131465335E7	-2.58397713969359444E-3
3.54610819328659721E7	-3.93238032270791837E-3
4.46428571750000014E7	-5.86481425975932957E-3
5.46968251260019933E7	-8.15637006973446965E-3
6.69642857624999799E7	-1.10284396302563592E-2
7.76126024473947762E7	-1.34747323165800270E-2
8.92857143500000028E7	-1.60301757301061665E-2
1.11607142937500003E8	-2.04430245825813772E-2
1.33928571524999951E8	-2.42563580104632814E-2
1.56250000112500009E8	-2.76094807942043818E-2
1.78571428700000001E8	-3.06635146057694730E-2
1.97172619184375009E8	-3.30825937427619987E-2
2.15773809668749994E8	-3.54596518098910307E-2
2.34375000153124979E8	-3.78508816343275889E-2
2.52976190637500009E8	-4.03041255016429645E-2
2.71577381121875083E8	-4.28615121452439052E-2
2.90178571606249980E8	-4.55617160657719289E-2
3.08779762090625054E8	-4.84418347571517760E-2
3.27380952575000084E8	-5.15389600661998148E-2
3.45982143059375025E8	-5.48915341860201167E-2
3.64583333543750010E8	-5.85405732543598667E-2
3.83184524028124951E8	-6.25308295246728996E-2
4.01785714512500025E8	-6.69119527146808046E-2
4.20386904996875099E8	-7.17397041642091526E-2
4.38988095481250085E8	-7.70772740516528998E-2
4.57589285965624981E8	-8.29967519105279194E-2
4.76190476450000055E8	-8.95808038450388011E-2
4.94791666934375041E8	-9.69246161170315723E-2
5.13392857418750026E8	-1.05138174327832901E-1
5.31994047903125011E8	-1.14348960644558639E-1
5.50595238387500086E8	-1.24705169078303646E-1
5.69196428871874982E8	-1.36379561670466787E-1
5.87797619356250145E8	-1.49574117903227499E-1
6.06398809840625042E8	-1.64525667494060235E-1
6.25000000325000116E8	-1.81512745308557211E-1
6.43601190809374923E8	-2.00863969514434926E-1
6.62202381293750175E8	-2.22968324336235524E-1
6.80803571778124983E8	-2.48287832112011442E-1
6.99404762262500146E8	-2.77373232618711230E-1
7.18005952746874954E8	-3.10883459614553459E-1
7.36607143231250028E8	-3.49609926481979372E-1
7.55208333715625013E8	-3.94506918928788020E-1
7.73809524200000176E8	-4.46729760496957251E-1
7.92410714687499951E8	-5.07682887363321367E-1
8.11011905175000081E8	-5.79080567099965027E-1
8.29613095662500299E8	-6.63023748749817621E-1
8.48214286149999985E8	-7.62097464390771862E-1
8.66815476637500026E8	-8.79494336506897234E-1
8.85416667125000245E8	-1.01917108790738031E0
9.04017857612499931E8	-1.18604648826303860E0
9.22619048099999972E8	-1.38625086802226627E0
9.31919643343750081E8	-1.50117395527366471E0
9.41220238587500191E8	-1.62743915690623631E0
9.50520833831250123E8	-1.76630558168140306E0
9.59821429074999877E8	-1.91918144179613037E0
9.69122024318750164E8	-2.08764170867342891E0
9.78422619562499918E8	-2.27344775851898451E0
9.87723214806250027E8	-2.47856926750472528E0
9.97023810049999781E8	-2.70520869551172360E0
1.00632440529374967E9	-2.95582881379214246E0
1.01562500053750027E9	-3.23318389765945469E0
1.02492559578124975E9	-3.54035543038175815E0
1.03422619102499991E9	-3.88079344923755087E0
1.04352678626875006E9	-4.25836498313070688E0
1.05282738151249999E9	-4.67741129448635462E0
1.06212797675625015E9	-5.14281561755987848E0
1.07142857200000030E9	-5.66008224519927872E0
1.07700892912500001E9	-5.99788881070707269E0
1.08258928624999995E9	-6.35806471123566386E0
1.08816964337499966E9	-6.74219687601576911E0
1.09375000049999960E9	-7.15198530220507145E0
1.09933035762499975E9	-7.58924155614442419E0
1.10491071474999969E9	-8.05587814359142662E0
1.11049107187500007E9	-8.55388175494741176E0
1.11607142900000023E9	-9.08525874403397715E0
1.12165178612500016E9	-9.65193354134746606E0
1.12723214325000032E9	-1.02555681691840817E1
1.13281250037500003E9	-1.08972508381773547E1
1.13839285749999997E9	-1.15769701864142704E1
1.14397321462499990E9	-1.22927462718857616E1
1.14955357174999984E9	-1.30392341511058718E1
1.15513392887499999E9	-1.38055806130545755E1
1.16071428599999993E9	-1.45723995331891687E1
1.17187500025000002E9	-1.59666545229138968E1
1.18303571450000011E9	-1.68131509089310427E1
1.19419642874999998E9	-1.67365286236810329E1
1.20535714300000008E9	-1.58416403915350701E1
1.21651785724999995E9	-1.45696394562261622E1
1.22767857150000004E9	-1.32539696695206932E1
1.23883928574999969E9	-1.20365353568405253E1
1.25000000000000000E9	-1.09551975878813312E1
1.26395089287499962E9	-9.79037793592856431E0
1.27790178574999969E9	-8.80614110727090704E0
1.29185267862499975E9	-7.97125568959074648E0
1.30580357149999982E9	-7.25863500649030513E0
1.31975446437500010E9	-6.64627792199645917E0
1.33370535724999995E9	-6.11662536109179999E0
1.34765625012499979E9	-5.65567915238219587E0
1.36160714300000008E9	-5.25222418876149089E0
1.37555803587500014E9	-4.89721090425929617E0
1.38950892874999998E9	-4.58328107458148715E0
1.40345982162499983E9	-4.30440658394158948E0
1.41741071449999989E9	-4.05561364267767122E0
1.43136160737500018E9	-3.83277088414080103E0
1.44531250025000024E9	-3.63242523284148788E0
1.45926339312500009E9	-3.45167370192538447E0
1.47321428599999993E9	-3.28806242842418728E0
1.50111607175000006E9	-3.00422606607051490E0
1.52901785749999997E9	-2.76759645435899770E0
1.55691964325000010E9	-2.56830110597565264E0
1.58482142900000023E9	-2.39890072860504144E0
1.61272321474999947E9	-2.25370314326143628E0
1.64062500050000004E9	-2.12828985154141170E0
1.66852678625000017E9	-2.01918349766682503E0
1.69642857199999986E9	-1.92361049332117084E0
1.75223214337500011E9	-1.76450291429518336E0
1.80803571474999991E9	-1.63735952640531202E0
1.86383928612500038E9	-1.53257145467399258E0
1.91964285749999997E9	-1.44296695931037466E0
1.97544642887499999E9	-1.36291952522190640E0
2.03125000025000002E9	-1.28787015901066626E0
2.08705357162499983E9	-1.21413405247862105E0
2.14285714300000008E9	-1.13891176635212288E0
