"wgnd
References : ['dB(S(1,1))']
Dependency : [wgnd]
Num. Points : [7]
Matrix Size : scalar
Type : Real","freq
References : ['dB(S(1,1))']
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real"
15.200,100.0 MHz,-0.033
15.200,110.0 MHz,-0.038
15.200,120.0 MHz,-0.042
15.200,130.0 MHz,-0.047
15.200,140.0 MHz,-0.051
15.200,150.0 MHz,-0.055
15.200,160.0 MHz,-0.059
15.200,170.0 MHz,-0.063
15.200,180.0 MHz,-0.067
15.200,190.0 MHz,-0.071
15.200,200.0 MHz,-0.074
15.200,210.0 MHz,-0.078
15.200,220.0 MHz,-0.081
15.200,230.0 MHz,-0.085
15.200,240.0 MHz,-0.088
15.200,250.0 MHz,-0.091
15.200,260.0 MHz,-0.095
15.200,270.0 MHz,-0.098
15.200,280.0 MHz,-0.101
15.200,290.0 MHz,-0.104
15.200,300.0 MHz,-0.107
15.200,310.0 MHz,-0.111
15.200,320.0 MHz,-0.114
15.200,330.0 MHz,-0.117
15.200,340.0 MHz,-0.120
15.200,350.0 MHz,-0.123
15.200,360.0 MHz,-0.126
15.200,370.0 MHz,-0.129
15.200,380.0 MHz,-0.132
15.200,390.0 MHz,-0.135
15.200,400.0 MHz,-0.138
15.200,410.0 MHz,-0.141
15.200,420.0 MHz,-0.144
15.200,430.0 MHz,-0.146
15.200,440.0 MHz,-0.149
15.200,450.0 MHz,-0.152
15.200,460.0 MHz,-0.155
15.200,470.0 MHz,-0.157
15.200,480.0 MHz,-0.160
15.200,490.0 MHz,-0.163
15.200,500.0 MHz,-0.165
15.200,510.0 MHz,-0.168
15.200,520.0 MHz,-0.170
15.200,530.0 MHz,-0.173
15.200,540.0 MHz,-0.175
15.200,550.0 MHz,-0.177
15.200,560.0 MHz,-0.180
15.200,570.0 MHz,-0.182
15.200,580.0 MHz,-0.184
15.200,590.0 MHz,-0.186
15.200,600.0 MHz,-0.188
15.200,610.0 MHz,-0.190
15.200,620.0 MHz,-0.192
15.200,630.0 MHz,-0.194
15.200,640.0 MHz,-0.196
15.200,650.0 MHz,-0.198
15.200,660.0 MHz,-0.200
15.200,670.0 MHz,-0.202
15.200,680.0 MHz,-0.204
15.200,690.0 MHz,-0.205
15.200,700.0 MHz,-0.207
15.200,710.0 MHz,-0.209
15.200,720.0 MHz,-0.211
15.200,730.0 MHz,-0.212
15.200,740.0 MHz,-0.214
15.200,750.0 MHz,-0.215
15.200,760.0 MHz,-0.217
15.200,770.0 MHz,-0.218
15.200,780.0 MHz,-0.220
15.200,790.0 MHz,-0.221
15.200,800.0 MHz,-0.223
15.200,810.0 MHz,-0.224
15.200,820.0 MHz,-0.225
15.200,830.0 MHz,-0.227
15.200,840.0 MHz,-0.228
15.200,850.0 MHz,-0.229
15.200,860.0 MHz,-0.231
15.200,870.0 MHz,-0.232
15.200,880.0 MHz,-0.233
15.200,890.0 MHz,-0.234
15.200,900.0 MHz,-0.235
15.200,910.0 MHz,-0.236
15.200,920.0 MHz,-0.238
15.200,930.0 MHz,-0.239
15.200,940.0 MHz,-0.240
15.200,950.0 MHz,-0.241
15.200,960.0 MHz,-0.242
15.200,970.0 MHz,-0.243
15.200,980.0 MHz,-0.244
15.200,990.0 MHz,-0.245
15.200,1.000 GHz,-0.246
15.200,1.010 GHz,-0.247
15.200,1.020 GHz,-0.248
15.200,1.030 GHz,-0.249
15.200,1.040 GHz,-0.250
15.200,1.050 GHz,-0.250
15.200,1.060 GHz,-0.251
15.200,1.070 GHz,-0.252
15.200,1.080 GHz,-0.253
15.200,1.090 GHz,-0.254
15.200,1.100 GHz,-0.255
15.200,1.110 GHz,-0.255
15.200,1.120 GHz,-0.256
15.200,1.130 GHz,-0.257
15.200,1.140 GHz,-0.258
15.200,1.150 GHz,-0.259
15.200,1.160 GHz,-0.259
15.200,1.170 GHz,-0.260
15.200,1.180 GHz,-0.261
15.200,1.190 GHz,-0.262
15.200,1.200 GHz,-0.262
15.200,1.210 GHz,-0.263
15.200,1.220 GHz,-0.264
15.200,1.230 GHz,-0.265
15.200,1.240 GHz,-0.265
15.200,1.250 GHz,-0.266
15.200,1.260 GHz,-0.267
15.200,1.270 GHz,-0.268
15.200,1.280 GHz,-0.268
15.200,1.290 GHz,-0.269
15.200,1.300 GHz,-0.270
15.200,1.310 GHz,-0.271
15.200,1.320 GHz,-0.272
15.200,1.330 GHz,-0.272
15.200,1.340 GHz,-0.273
15.200,1.350 GHz,-0.274
15.200,1.360 GHz,-0.275
15.200,1.370 GHz,-0.276
15.200,1.380 GHz,-0.277
15.200,1.390 GHz,-0.278
15.200,1.400 GHz,-0.279
15.200,1.410 GHz,-0.280
15.200,1.420 GHz,-0.281
15.200,1.430 GHz,-0.282
15.200,1.440 GHz,-0.283
15.200,1.450 GHz,-0.284
15.200,1.460 GHz,-0.285
15.200,1.470 GHz,-0.286
15.200,1.480 GHz,-0.288
15.200,1.490 GHz,-0.289
15.200,1.500 GHz,-0.291
15.200,1.510 GHz,-0.292
15.200,1.520 GHz,-0.294
15.200,1.530 GHz,-0.295
15.200,1.540 GHz,-0.297
15.200,1.550 GHz,-0.299
15.200,1.560 GHz,-0.301
15.200,1.570 GHz,-0.303
15.200,1.580 GHz,-0.305
15.200,1.590 GHz,-0.307
15.200,1.600 GHz,-0.309
15.200,1.610 GHz,-0.312
15.200,1.620 GHz,-0.314
15.200,1.630 GHz,-0.317
15.200,1.640 GHz,-0.319
15.200,1.650 GHz,-0.322
15.200,1.660 GHz,-0.325
15.200,1.670 GHz,-0.329
15.200,1.680 GHz,-0.332
15.200,1.690 GHz,-0.335
15.200,1.700 GHz,-0.339
15.200,1.710 GHz,-0.343
15.200,1.720 GHz,-0.347
15.200,1.730 GHz,-0.351
15.200,1.740 GHz,-0.356
15.200,1.750 GHz,-0.361
15.200,1.760 GHz,-0.366
