        Frequency / GHz                S1,1 (1)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.16983272
              0.12639999                     -0.16439071
              0.15279999                     -0.15776064
              0.17919999                     -0.14999506
              0.20559999                     -0.14115418
              0.23199999                      -0.1313098
              0.25839999                      -0.1205418
              0.28479999                     -0.10894233
              0.31119999                    -0.096611942
              0.33759999                    -0.083661195
              0.36399999                    -0.070210775
              0.39039999                    -0.056389711
              0.41679999                    -0.042335386
              0.44319999                    -0.028195201
              0.46959999                    -0.014121898
              0.49599999                  -0.00027669314
              0.52240002                     0.013175256
              0.54879999                     0.026060112
              0.57520002                     0.038203222
              0.60159999                     0.049424399
              0.62800002                     0.059544498
              0.65439999                     0.068379072
              0.68080002                     0.075747047
              0.70719999                     0.081466169
              0.73360002                     0.085358175
              0.75999999                     0.087248096
              0.78640002                     0.086964414
              0.81279999                     0.084340214
              0.83920002                     0.079214312
              0.86559999                     0.071434549
              0.89200002                      0.06085345
              0.91839999                     0.047334362
              0.94480002                     0.030747996
              0.97119999                     0.010971862
              0.99760002                    -0.012102429
                   1.024                    -0.038579369
                  1.0504                    -0.068548745
                  1.0768                     -0.10209345
                  1.1032                     -0.13928571
                  1.1296                     -0.18019027
                   1.156                     -0.22486022
                  1.1824                     -0.27334161
                  1.2088                     -0.32567152
                  1.2352                     -0.38188064
                  1.2616                     -0.44199085
                   1.288                     -0.50601985
                  1.3144                     -0.57397936
                  1.3408                     -0.64587611
                  1.3672                       -0.721717
                  1.3936                     -0.80150232
                    1.42                     -0.88523422
                  1.4464                     -0.97291631
                  1.4728                      -1.0645513
                  1.4992                      -1.1601475
                  1.5256                      -1.2597181
                   1.552                      -1.3632797
                  1.5784                      -1.4708599
                  1.6048                      -1.5824931
                  1.6312                      -1.6982228
                  1.6576                      -1.8181089
                   1.684                      -1.9422204
                  1.7104                      -2.0706423
                  1.7368                       -2.203473
                  1.7632                      -2.3408296
                  1.7896                      -2.4828457
                   1.816                      -2.6296726
                  1.8424                       -2.781482
                  1.8688                      -2.9384636
                  1.8952                      -3.1008261
                  1.9216                      -3.2688016
                   1.948                      -3.4426391
                  1.9744                      -3.6226099
               2.0007999                      -3.8090061
                  2.0272                      -4.0021382
               2.0536001                        -4.20234
               2.0799999                      -4.4099626
                  2.1064                      -4.6253783
               2.1328001                      -4.8489771
                  2.1592                      -5.0811716
                  2.1856                      -5.3223897
               2.2119999                      -5.5730775
                  2.2384                      -5.8337011
               2.2648001                      -6.1047408
               2.2911999                      -6.3866945
                  2.3176                      -6.6800733
               2.3440001                      -6.9854018
                  2.3704                       -7.303216
                  2.3968                      -7.6340572
               2.4231999                      -7.9784734
                  2.4496                      -8.3370112
               2.4760001                      -8.7102049
               2.5023999                      -9.0985738
                  2.5288                      -9.5026047
               2.5552001                      -9.9227353
                  2.5816                      -10.359331
                   2.608                      -10.812654
               2.6343999                      -11.282826
                  2.6608                      -11.769773
               2.6872001                      -12.273155
               2.7135999                       -12.79229
                    2.74                      -13.326035
               2.7664001                      -13.872661
               2.7927999                      -14.429699
                  2.8192                      -14.993762
               2.8455999                       -15.56038
                   2.872                       -16.12384
               2.8984001                      -16.677118
               2.9247999                      -17.211942
                  2.9512                      -17.719072
               2.9776001                      -18.188874
               3.0039999                      -18.612189
                  3.0304                      -18.981426
               3.0567999                      -19.291668
                  3.0832                      -19.541527
               3.1096001                      -19.733472
               3.1359999                      -19.873543
                  3.1624                      -19.970525
               3.1888001                      -20.034858
               3.2151999                      -20.077538
                  3.2416                      -20.109232
               3.2679999                      -20.139685
                  3.2944                      -20.177418
               3.3208001                      -20.229634
               3.3471999                      -20.302259
                  3.3736                      -20.400036
               3.4000001                      -20.526624
               3.4263999                      -20.684642
                  3.4528                      -20.875636
               3.4791999                      -21.099932
                  3.5056                      -21.356307
               3.5320001                       -21.64148
               3.5583999                      -21.949323
                  3.5848                      -22.269823
               3.6112001                      -22.587857
               3.6375999                      -22.882104
                   3.664                      -23.124811
               3.6903999                      -23.283477
                  3.7168                      -23.325488
               3.7432001                      -23.225452
               3.7695999                      -22.972642
                   3.796                      -22.574543
               3.8224001                      -22.054209
               3.8487999                      -21.443167
                  3.8752                      -20.773848
               3.9015999                      -20.074489
                   3.928                      -19.367055
               3.9544001                      -18.667289
               3.9807999                      -17.985747
               4.0071998                      -17.329077
               4.0335999                      -16.701143
               4.0599999                      -16.103922
                  4.0864                      -15.538138
               4.1128001                      -15.003719
               4.1392002                      -14.500102
               4.1655998                      -14.026436
               4.1919999                      -13.581715
                  4.2184                      -13.164862
               4.2448001                      -12.774791
               4.2712002                      -12.410436
               4.2975998                      -12.070771
               4.3239999                      -11.754822
                  4.3504                      -11.461675
               4.3768001                       -11.19047
               4.4032001                      -10.940409
               4.4295998                      -10.710746
               4.4559999                      -10.500791
               4.4823999                      -10.309897
                  4.5088                      -10.137465
               4.5352001                      -9.9829313
               4.5616002                      -9.8457743
               4.5879998                      -9.7254961
               4.6143999                      -9.6216318
                  4.6408                      -9.5337388
               4.6672001                      -9.4613907
               4.6936002                      -9.4041805
               4.7199998                       -9.361713
               4.7463999                      -9.3335974
                  4.7728                      -9.3194489
               4.7992001                      -9.3188834
               4.8256001                      -9.3315101
               4.8520002                      -9.3569306
               4.8783998                      -9.3947337
               4.9047999                      -9.4444892
                  4.9312                      -9.5057427
               4.9576001                      -9.5780131
               4.9840002                      -9.6607871
               5.0103998                      -9.7535095
               5.0367999                      -9.8555814
                  5.0632                      -9.9663559
               5.0896001                      -10.085127
               5.1160002                      -10.211133
               5.1423998                      -10.343542
               5.1687999                      -10.481463
                  5.1952                      -10.623927
               5.2216001                      -10.769901
               5.2480001                      -10.918286
               5.2744002                      -11.067918
               5.3007998                      -11.217582
               5.3271999                      -11.366022
                  5.3536                       -11.51196
               5.3800001                       -11.65411
               5.4064002                      -11.791207
               5.4327998                      -11.922031
               5.4591999                      -12.045441
                  5.4856                      -12.160397
               5.5120001                      -12.265994
               5.5384002                      -12.361486
               5.5647998                      -12.446308
               5.5911999                      -12.520092
                  5.6176                      -12.582669
               5.6440001                      -12.634079
               5.6704001                      -12.674554
               5.6968002                      -12.704503
               5.7231998                      -12.724496
               5.7495999                      -12.735235
                   5.776                      -12.737524
               5.8024001                      -12.732244
               5.8288002                      -12.720318
               5.8551998                      -12.702693
               5.8815999                      -12.680315
                   5.908                      -12.654104
               5.9344001                      -12.624947
               5.9608002                      -12.593682
               5.9871998                      -12.561093
               6.0135999                      -12.527903
                    6.04                      -12.494775
               6.0664001                      -12.462308
               6.0928001                      -12.431045
               6.1192002                      -12.401469
               6.1455998                      -12.374013
               6.1719999                      -12.349062
                  6.1984                      -12.326953
               6.2248001                      -12.307984
               6.2512002                      -12.292417
               6.2775998                      -12.280477
               6.3039999                       -12.27236
                  6.3304                      -12.268232
               6.3568001                       -12.26823
               6.3832002                      -12.272462
               6.4095998                      -12.281008
               6.4359999                      -12.293923
                  6.4624                      -12.311228
                  6.4888                      -12.332912
               6.5152001                      -12.358934
               6.5416002                      -12.389212
               6.5679998                      -12.423626
               6.5943999                      -12.462016
                  6.6208                      -12.504173
               6.6472001                      -12.549842
               6.6736002                      -12.598716
               6.6999998                      -12.650439
               6.7263999                      -12.704595
                  6.7528                      -12.760719
               6.7792001                      -12.818294
               6.8056002                      -12.876751
               6.8319998                      -12.935478
               6.8583999                      -12.993824
                  6.8848                      -13.051112
                  6.9112                      -13.106646
               6.9376001                       -13.15973
               6.9640002                      -13.209681
               6.9903998                      -13.255847
               7.0167999                      -13.297631
                  7.0432                      -13.334502
               7.0696001                      -13.366023
               7.0960002                      -13.391866
               7.1223998                      -13.411823
               7.1487999                      -13.425825
                  7.1752                      -13.433944
               7.2016001                      -13.436396
               7.2280002                      -13.433546
               7.2543998                      -13.425892
               7.2807999                      -13.414059
                  7.3072                      -13.398786
                  7.3336                      -13.380905
               7.3600001                      -13.361324
               7.3864002                       -13.34101
               7.4127998                      -13.320971
               7.4391999                      -13.302234
                  7.4656                       -13.28583
               7.4920001                       -13.27279
               7.5184002                      -13.264118
               7.5447998                      -13.260796
               7.5711999                       -13.26377
                  7.5976                      -13.273951
               7.6240001                      -13.292206
               7.6504002                      -13.319362
               7.6767998                      -13.356207
               7.7031999                      -13.403488
                  7.7296                      -13.461915
                   7.756                      -13.532167
               7.7824001                       -13.61489
               7.8088002                      -13.710702
               7.8351998                      -13.820201
               7.8615999                       -13.94396
                   7.888                      -14.082533
               7.9144001                      -14.236458
               7.9408002                      -14.406255
               7.9671998                      -14.592423
               7.9935999                      -14.795439
               8.0200005                       -15.01575
               8.0464001                      -15.253758
               8.0727997                      -15.509807
               8.0992002                      -15.784159
               8.1255999                      -16.076948
               8.1520004                      -16.388141
                  8.1784                      -16.717459
               8.2047997                      -17.064286
               8.2312002                      -17.427539
               8.2575998                      -17.805497
               8.2840004                      -18.195577
                  8.3104                      -18.594069
               8.3367996                      -18.995805
               8.3632002                      -19.393817
               8.3895998                      -19.779019
               8.4160004                      -20.140045
                  8.4424                      -20.463381
               8.4687996                      -20.734018
               8.4952002                      -20.936751
               8.5215998                      -21.058113
               8.5480003                       -21.08857
               8.5743999                      -21.024342
               8.6007996                      -20.868166
               8.6272001                      -20.628692
               8.6535997                      -20.318762
               8.6800003                      -19.953208
               8.7063999                      -19.546886
               8.7327995                      -19.113278
               8.7592001                      -18.663782
               8.7855997                      -18.207523
               8.8120003                      -17.751495
               8.8383999                      -17.300866
