        Frequency - GHz                S1,1 (Lgnd=15.25)-abs,dB
----------------------------------------------------------------------
                     0.1                      -1.0337386
                  0.1179                      -1.0048239
                  0.1358                      -0.9717491
              0.15369999                      -0.9347651
                  0.1716                     -0.89414357
                  0.1895                     -0.85018047
              0.20739999                      -0.8031831
                  0.2253                     -0.75347374
                  0.2432                     -0.70138066
              0.26109999                     -0.64723743
              0.27900001                     -0.59137952
                  0.2969                     -0.53414036
              0.31479999                     -0.47584849
              0.33270001                     -0.41682719
                  0.3506                     -0.35739112
              0.36849999                     -0.29784404
              0.38640001                     -0.23847937
                  0.4043                     -0.17957846
              0.42219999                     -0.12140936
              0.44010001                    -0.064225414
                   0.458                   -0.0082683957
              0.47589999                     0.046234109
              0.49380001                       0.0990686
              0.51169997                      0.15003646
              0.52960002                      0.19894767
              0.54750001                      0.24562959
                  0.5654                      0.28992028
              0.58329999                      0.33166832
              0.60119998                      0.37073481
              0.61909997                      0.40698978
              0.63700002                      0.44031672
              0.65490001                      0.47060121
                  0.6728                      0.49774597
              0.69069999                      0.52165908
              0.70859998                      0.54225159
              0.72649997                      0.55944936
              0.74440002                      0.57317969
              0.76230001                      0.58337683
                  0.7802                      0.58998341
              0.79809999                      0.59294373
              0.81599998                      0.59220853
              0.83389997                       0.5877344
              0.85180002                      0.57947933
              0.86970001                        0.567409
                  0.8876                      0.55148856
              0.90549999                       0.5316898
              0.92339998                      0.50798545
              0.94129997                      0.48035318
              0.95920002                      0.44877093
              0.97710001                      0.41322202
                   0.995                      0.37368862
                  1.0129                      0.33016019
                  1.0308                      0.28262406
                  1.0487                      0.23107066
                  1.0666                      0.17549385
                  1.0845                      0.11588844
               1.1023999                     0.052251481
               1.1203001                     -0.01541768
                  1.1382                    -0.087117863
                  1.1561                     -0.16284637
                   1.174                     -0.24259759
                  1.1919                     -0.32636378
                  1.2098                     -0.41413693
                  1.2277                     -0.50590307
                  1.2456                     -0.60164904
                  1.2635                     -0.70135707
                  1.2814                     -0.80500706
                  1.2993                      -0.9125774
               1.3171999                      -1.0240403
               1.3351001                      -1.1393685
                   1.353                      -1.2585277
                  1.3709                      -1.3814822
                  1.3888                      -1.5081897
                  1.4067                      -1.6386048
                  1.4246                       -1.772678
                  1.4425                      -1.9103533
                  1.4604                        -2.05157
                  1.4783                      -2.1962607
                  1.4962                      -2.3443516
                  1.5141                      -2.4957643
               1.5319999                      -2.6504097
               1.5499001                       -2.808194
                  1.5678                      -2.9690128
                  1.5857                      -3.1327544
                  1.6036                      -3.2992969
                  1.6215                       -3.468511
                  1.6394                       -3.640255
                  1.6573                      -3.8143759
                  1.6752                      -3.9907126
                  1.6931                      -4.1690909
                   1.711                      -4.3493254
                  1.7289                      -4.5312168
               1.7467999                      -4.7145591
               1.7647001                       -4.899126
                  1.7826                      -5.0846871
                  1.8005                      -5.2709946
                  1.8184                      -5.4577927
                  1.8363                      -5.6448137
                  1.8542                       -5.831779
                  1.8721                      -6.0184009
                    1.89                      -6.2043871
                  1.9079                      -6.3894351
                  1.9258                      -6.5732394
                  1.9437                      -6.7554922
               1.9615999                      -6.9358845
               1.9795001                      -7.1141104
                  1.9974                      -7.2898685
                  2.0153                      -7.4628658
                  2.0332                      -7.6328164
                  2.0511                      -7.7994513
                   2.069                      -7.9625176
                  2.0869                      -8.1217794
