        Frequency - GHz                S1,1 (7)-abs,dB
----------------------------------------------------------------------
                     0.1                      0.38301419
                  0.1179                      0.37653923
                  0.1358                      0.36905303
              0.15369999                      0.36057706
                  0.1716                      0.35113788
                  0.1895                      0.34076216
              0.20739999                      0.32948149
                  0.2253                      0.31732793
                  0.2432                      0.30433561
              0.26109999                      0.29054223
              0.27900001                      0.27598547
                  0.2969                      0.26070523
              0.31479999                       0.2447429
              0.33270001                      0.22814179
                  0.3506                      0.21094697
              0.36849999                      0.19320135
              0.38640001                      0.17495361
                  0.4043                      0.15625013
              0.42219999                      0.13713847
              0.44010001                      0.11766733
                   0.458                     0.097886132
              0.47589999                     0.077845193
              0.49380001                     0.057594086
              0.51169997                     0.037184106
              0.52960002                     0.016663536
              0.54750001                   -0.0039163825
                  0.5654                    -0.024506161
              0.58329999                    -0.045055796
              0.60119998                    -0.065516769
              0.61909997                    -0.085841264
              0.63700002                     -0.10598221
              0.65490001                     -0.12589221
                  0.6728                     -0.14552874
              0.69069999                     -0.16484615
              0.70859998                     -0.18380446
              0.72649997                     -0.20236233
              0.74440002                     -0.22048358
              0.76230001                     -0.23813112
                  0.7802                     -0.25527198
              0.79809999                     -0.27187573
              0.81599998                     -0.28791375
              0.83389997                     -0.30336078
              0.85180002                     -0.31819614
              0.86970001                     -0.33239977
                  0.8876                     -0.34595565
              0.90549999                     -0.35885312
              0.92339998                     -0.37108311
              0.94129997                     -0.38264062
              0.95920002                     -0.39352636
              0.97710001                     -0.40374223
                   0.995                     -0.41329504
                  1.0129                     -0.42219839
                  1.0308                      -0.4304653
                  1.0487                     -0.43811788
                  1.0666                     -0.44517864
                  1.0845                     -0.45167627
               1.1023999                     -0.45764337
               1.1203001                     -0.46311562
                  1.1382                     -0.46813529
                  1.1561                      -0.4727456
                   1.174                     -0.47699639
                  1.1919                     -0.48093871
                  1.2098                     -0.48462949
                  1.2277                     -0.48812872
                  1.2456                     -0.49149786
                  1.2635                     -0.49480452
                  1.2814                     -0.49811899
                  1.2993                     -0.50151052
               1.3171999                     -0.50505576
               1.3351001                     -0.50883128
                   1.353                     -0.51291529
                  1.3709                     -0.51738875
                  1.3888                     -0.52233476
                  1.4067                     -0.52783657
                  1.4246                     -0.53398011
                  1.4425                     -0.54084929
                  1.4604                     -0.54853083
                  1.4783                     -0.55711165
                  1.4962                     -0.56667681
                  1.5141                     -0.57731372
               1.5319999                     -0.58910649
               1.5499001                     -0.60213982
                  1.5678                     -0.61649707
                  1.5857                     -0.63225966
                  1.6036                     -0.64950709
                  1.6215                      -0.6683175
                  1.6394                     -0.68876628
                  1.6573                     -0.71092698
                  1.6752                      -0.7348687
                  1.6931                     -0.76065797
                   1.711                     -0.78835808
                  1.7289                     -0.81802795
               1.7467999                     -0.84972313
               1.7647001                     -0.88349375
                  1.7826                     -0.91938636
                  1.8005                     -0.95744105
                  1.8184                     -0.99769296
                  1.8363                      -1.0401705
                  1.8542                      -1.0848969
                  1.8721                      -1.1318904
                    1.89                      -1.1811581
                  1.9079                      -1.2327015
                  1.9258                      -1.2865171
                  1.9437                      -1.3425866
               1.9615999                      -1.4008904
               1.9795001                      -1.4613947
                  1.9974                      -1.5240568
                  2.0153                      -1.5888244
                  2.0332                      -1.6556351
                  2.0511                       -1.724415
                   2.069                      -1.7950781
                  2.0869                      -1.8675257
                  2.1048                      -1.9416509
                  2.1227                      -2.0173287
                  2.1406                       -2.094424
                  2.1585                      -2.1727905
               2.1763999                      -2.2522648
               2.1942999                      -2.3326738
               2.2121999                      -2.4138306
               2.2300999                      -2.4955334
               2.2479999                      -2.5775733
               2.2658999                      -2.6597249
               2.2837999                      -2.7417566
               2.3017001                       -2.823425
               2.3196001                      -2.9044817
               2.3375001                      -2.9846696
               2.3554001                      -3.0637297
               2.3733001                      -3.1413987
               2.3912001                      -3.2174162
               2.4091001                      -3.2915264
                   2.427                      -3.3634781
                  2.4449                      -3.4330278
                  2.4628                      -3.4999462
                  2.4807                      -3.5640208
                  2.4986                      -3.6250576
                  2.5165                       -3.682883
                  2.5344                      -3.7373485
                  2.5523                      -3.7883346
                  2.5702                      -3.8357484
                  2.5881                        -3.87953
               2.6059999                      -3.9196525
               2.6238999                      -3.9561222
               2.6417999                       -3.988978
               2.6596999                      -4.0182915
               2.6775999                      -4.0441688
               2.6954999                      -4.0667458
               2.7133999                      -4.0861869
               2.7313001                       -4.102684
               2.7492001                      -4.1164545
               2.7671001                      -4.1277344
               2.7850001                      -4.1367798
               2.8029001                       -4.143863
               2.8208001                      -4.1492652
               2.8387001                      -4.1532772
                  2.8566                      -4.1561962
                  2.8745                       -4.158321
                  2.8924                      -4.1599512
                  2.9103                       -4.161383
                  2.9282                      -4.1629077
                  2.9461                      -4.1648074
                   2.964                      -4.1673597
                  2.9819                      -4.1708268
                  2.9998                      -4.1754612
