        Frequency - GHz                S1,1 (Y=5)-abs,dB
----------------------------------------------------------------------
                     0.1                    -0.043668611
                  0.1179                    -0.037925717
                  0.1358                    -0.032180468
              0.15369999                    -0.026759296
                  0.1716                    -0.021971354
                  0.1895                    -0.018096158
              0.20739999                    -0.015366566
                  0.2253                    -0.013958241
                  0.2432                    -0.013979832
              0.26109999                    -0.015472168
              0.27900001                    -0.018402313
                  0.2969                      -0.0226671
              0.31479999                     -0.02809861
              0.33270001                    -0.034474045
                  0.3506                    -0.041525759
              0.36849999                    -0.048955694
              0.38640001                    -0.056448966
                  0.4043                    -0.063691028
              0.42219999                    -0.070383185
              0.44010001                    -0.076258648
                   0.458                    -0.081092048
              0.47589999                    -0.084714299
              0.49380001                    -0.087017556
              0.51169997                    -0.087959114
              0.52960002                    -0.087560908
              0.54750001                    -0.085908727
                  0.5654                    -0.083143331
              0.58329999                    -0.079449134
              0.60119998                    -0.075047717
              0.61909997                    -0.070179104
              0.63700002                    -0.065090213
              0.65490001                    -0.060024904
                  0.6728                    -0.055207798
              0.69069999                    -0.050836283
              0.70859998                    -0.047071798
              0.72649997                    -0.044033396
              0.74440002                    -0.041796068
              0.76230001                    -0.040389374
                  0.7802                    -0.039799678
              0.79809999                    -0.039972647
              0.81599998                    -0.040822701
              0.83389997                    -0.042235653
              0.85180002                    -0.044081405
              0.86970001                    -0.046220138
                  0.8876                    -0.048511517
              0.90549999                    -0.050823209
              0.92339998                    -0.053038115
              0.94129997                    -0.055059806
              0.95920002                    -0.056816333
              0.97710001                       -0.058262
                   0.995                    -0.059377332
                  1.0129                    -0.060170933
                  1.0308                    -0.060671682
                  1.0487                    -0.060928146
                  1.0666                    -0.061000899
                  1.0845                    -0.060959385
               1.1023999                    -0.060871867
               1.1203001                    -0.060806426
                  1.1382                    -0.060820413
                  1.1561                     -0.06095802
                   1.174                    -0.061252357
                  1.1919                    -0.061715941
                  1.2098                    -0.062347003
                  1.2277                    -0.063127559
                  1.2456                    -0.064026822
                  1.2635                    -0.065003815
                  1.2814                    -0.066010711
                  1.2993                     -0.06699741
               1.3171999                    -0.067914001
               1.3351001                    -0.068715463
                   1.353                    -0.069366349
                  1.3709                    -0.069838179
                  1.3888                    -0.070118032
                  1.4067                    -0.070202392
                  1.4246                    -0.070100038
                  1.4425                    -0.069831923
                  1.4604                    -0.069427043
                  1.4783                    -0.068920481
                  1.4962                     -0.06834997
                  1.5141                    -0.067755692
               1.5319999                    -0.067173847
               1.5499001                    -0.066636535
                  1.5678                    -0.066169185
                  1.5857                    -0.065788557
                  1.6036                    -0.065505115
                  1.6215                    -0.065317836
                  1.6394                    -0.065220752
                  1.6573                    -0.065199349
                  1.6752                    -0.065237606
                  1.6931                    -0.065316899
                   1.711                    -0.065415983
                  1.7289                    -0.065521451
               1.7467999                    -0.065620335
               1.7647001                    -0.065706963
                  1.7826                    -0.065781824
                  1.8005                    -0.065854581
                  1.8184                    -0.065939349
                  1.8363                    -0.066056829
                  1.8542                    -0.066232497
                  1.8721                     -0.06649299
                    1.89                     -0.06686437
