        Frequency / GHz                S1,1 (Lgnd=16.25)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.66533542
              0.12639999                     -0.63548932
              0.15279999                     -0.59957422
              0.17919999                     -0.55811229
              0.20559999                     -0.51169005
              0.23199999                      -0.4609483
              0.25839999                     -0.40656445
              0.28479999                      -0.3492434
              0.31119999                     -0.28970151
              0.33759999                      -0.2286562
              0.36399999                     -0.16681649
              0.39039999                     -0.10487396
              0.41679999                    -0.043495392
              0.44319999                     0.016682741
              0.46959999                     0.075055601
              0.49599999                      0.13105802
              0.52240002                      0.18415842
              0.54879999                      0.23386817
              0.57520002                      0.27973496
              0.60159999                      0.32134538
              0.62800002                      0.35832346
              0.65439999                      0.39032912
              0.68080002                      0.41705102
              0.70719999                      0.43821798
              0.73360002                      0.45358213
              0.75999999                      0.46292414
              0.78640002                      0.46605187
              0.81279999                      0.46279881
              0.83920002                      0.45302021
              0.86559999                      0.43658909
              0.89200002                      0.41340147
              0.91839999                      0.38336982
              0.94480002                      0.34642202
              0.97119999                      0.30250567
              0.99760002                      0.25157754
                   1.024                      0.19361328
                  1.0504                      0.12859713
                  1.0768                     0.056530923
                  1.1032                    -0.022576631
                  1.1296                     -0.10870171
                   1.156                     -0.20181156
                  1.1824                     -0.30186172
                  1.2088                     -0.40879705
                  1.2352                     -0.52255208
                  1.2616                      -0.6430518
                   1.288                     -0.77021077
                  1.3144                     -0.90393484
                  1.3408                      -1.0441193
                  1.3672                        -1.19065
                  1.3936                      -1.3434066
                    1.42                       -1.502257
                  1.4464                      -1.6670647
                  1.4728                      -1.8376835
                  1.4992                      -2.0139602
                  1.5256                      -2.1957409
                   1.552                      -2.3828619
                  1.5784                      -2.5751591
                  1.6048                      -2.7724675
                  1.6312                      -2.9746197
                  1.6576                      -3.1814531
                   1.684                      -3.3928071
                  1.7104                      -3.6085273
                  1.7368                      -3.8284697
                  1.7632                      -4.0524962
                  1.7896                      -4.2804882
                   1.816                      -4.5123388
                  1.8424                      -4.7479597
                  1.8688                      -4.9872827
                  1.8952                      -5.2302629
                  1.9216                      -5.4768786
                   1.948                      -5.7271341
                  1.9744                      -5.9810596
               2.0007999                      -6.2387128
                  2.0272                      -6.5001778
               2.0536001                      -6.7655643
               2.0799999                      -7.0350065
                  2.1064                       -7.308661
               2.1328001                      -7.5867006
                  2.1592                      -7.8693146
                  2.1856                      -8.1566986
               2.2119999                       -8.449052
                  2.2384                      -8.7465673
               2.2648001                       -9.049421
               2.2911999                       -9.357766
                  2.3176                       -9.671714
               2.3440001                      -9.9913281
                  2.3704                        -10.3166
                  2.3968                      -10.647434
               2.4231999                       -10.98363
                  2.4496                      -11.324854
               2.4760001                       -11.67062
               2.5023999                      -12.020257
                  2.5288                      -12.372888
               2.5552001                      -12.727393
                  2.5816                      -13.082392
                   2.608                      -13.436218
               2.6343999                       -13.78691
                  2.6608                      -14.132206
               2.6872001                      -14.469567
               2.7135999                      -14.796214
                    2.74                      -15.109201
               2.7664001                      -15.405509
               2.7927999                      -15.682176
                  2.8192                      -15.936446
               2.8455999                      -16.165929
                   2.872                      -16.368745
               2.8984001                      -16.543659
               2.9247999                      -16.690151
                  2.9512                      -16.808434
               2.9776001                      -16.899415
               3.0039999                       -16.96459
                  3.0304                      -17.005898
               3.0567999                       -17.02555
                  3.0832                      -17.025861
               3.1096001                      -17.009078
               3.1359999                      -16.977257
                  3.1624                      -16.932144
               3.1888001                       -16.87512
               3.2151999                      -16.807151
                  3.2416                      -16.728791
               3.2679999                      -16.640193
                  3.2944                      -16.541154
               3.3208001                      -16.431179
               3.3471999                      -16.309553
                  3.3736                      -16.175427
               3.4000001                      -16.027923
               3.4263999                      -15.866218
                  3.4528                      -15.689648
               3.4791999                      -15.497779
                  3.5056                      -15.290478
               3.5320001                      -15.067946
               3.5583999                      -14.830742
                  3.5848                      -14.579768
               3.6112001                      -14.316235
               3.6375999                      -14.041619
                   3.664                      -13.757592
               3.6903999                      -13.465962
                  3.7168                        -13.1686
               3.7432001                      -12.867386
               3.7695999                      -12.564149
                   3.796                      -12.260637
               3.8224001                      -11.958478
               3.8487999                      -11.659166
                  3.8752                      -11.364044
               3.9015999                      -11.074308
                   3.928                      -10.791003
               3.9544001                      -10.515029
               3.9807999                      -10.247157
               4.0071998                        -9.98803
               4.0335999                        -9.73818
               4.0599999                      -9.4980368
                  4.0864                      -9.2679423
               4.1128001                      -9.0481552
               4.1392002                      -8.8388651
               4.1655998                      -8.6401998
               4.1919999                        -8.45223
                  4.2184                      -8.2749802
               4.2448001                      -8.1084322
               4.2712002                      -7.9525294
               4.2975998                      -7.8071828
               4.3239999                      -7.6722737
                  4.3504                      -7.5476557
               4.3768001                      -7.4331586
               4.4032001                      -7.3285891
               4.4295998                      -7.2337325
               4.4559999                      -7.1483552
               4.4823999                      -7.0722049
                  4.5088                      -7.0050107
               4.5352001                      -6.9464821
               4.5616002                      -6.8963167
               4.5879998                      -6.8541897
               4.6143999                       -6.819763
                  4.6408                      -6.7926816
               4.6672001                      -6.7725747
               4.6936002                      -6.7590564
               4.7199998                      -6.7517271
               4.7463999                       -6.750172
                  4.7728                      -6.7539641
               4.7992001                      -6.7626657
               4.8256001                      -6.7758283
               4.8520002                      -6.7929971
               4.8783998                       -6.813708
               4.9047999                      -6.8374966
                  4.9312                      -6.8638966
               4.9576001                      -6.8924439
               4.9840002                      -6.9226807
               5.0103998                      -6.9541568
               5.0367999                      -6.9864362
                  5.0632                      -7.0190963
               5.0896001                      -7.0517361
               5.1160002                      -7.0839767
               5.1423998                      -7.1154656
               5.1687999                      -7.1458767
                  5.1952                      -7.1749173
               5.2216001                      -7.2023261
               5.2480001                      -7.2278753
               5.2744002                      -7.2513729
               5.3007998                       -7.272659
               5.3271999                      -7.2916094
                  5.3536                      -7.3081333
               5.3800001                      -7.3221683
               5.4064002                      -7.3336828
               5.4327998                      -7.3426708
               5.4591999                      -7.3491528
                  5.4856                      -7.3531663
               5.5120001                      -7.3547713
               5.5384002                      -7.3540412
               5.5647998                      -7.3510638
               5.5911999                      -7.3459385
                  5.6176                      -7.3387741
               5.6440001                      -7.3296874
               5.6704001                      -7.3188025
               5.6968002                      -7.3062469
               5.7231998                      -7.2921581
               5.7495999                      -7.2766743
                   5.776                      -7.2599419
               5.8024001                      -7.2421135
               5.8288002                      -7.2233461
               5.8551998                      -7.2038044
               5.8815999                      -7.1836605
                   5.908                       -7.163095
               5.9344001                      -7.1422961
               5.9608002                      -7.1214617
               5.9871998                      -7.1007968
               6.0135999                      -7.0805188
                    6.04                      -7.0608521
               6.0664001                      -7.0420281
               6.0928001                      -7.0242898
               6.1192002                       -7.007883
               6.1455998                      -6.9930642
               6.1719999                      -6.9800906
                  6.1984                      -6.9692266
               6.2248001                       -6.960736
               6.2512002                      -6.9548854
               6.2775998                      -6.9519418
               6.3039999                      -6.9521673
                  6.3304                      -6.9558229
               6.3568001                      -6.9631624
               6.3832002                      -6.9744352
               6.4095998                      -6.9898812
