        Frequency / GHz                S1,1 (Lgnd=18.25)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.17451414
              0.12639999                     -0.16832272
              0.15279999                     -0.16079657
              0.17919999                     -0.15200361
              0.20559999                     -0.14202574
              0.23199999                     -0.13095545
              0.25839999                      -0.1188982
              0.28479999                     -0.10597318
              0.31119999                    -0.092306266
              0.33759999                    -0.078040216
              0.36399999                       -0.063323
              0.39039999                    -0.048315841
              0.41679999                    -0.033186807
              0.44319999                    -0.018111485
              0.46959999                   -0.0032732434
              0.49599999                      0.01113942
              0.52240002                     0.024933538
              0.54879999                       0.0379134
              0.57520002                     0.049880705
              0.60159999                      0.06063691
              0.62800002                     0.069985253
              0.65439999                     0.077730318
              0.68080002                     0.083679209
              0.70719999                     0.087646224
              0.73360002                     0.089449036
              0.75999999                     0.088913469
              0.78640002                     0.085872837
              0.81279999                     0.080168696
              0.83920002                     0.071654581
              0.86559999                     0.060192069
              0.89200002                     0.045653217
              0.91839999                      0.02792335
              0.94480002                    0.0068953045
              0.97119999                    -0.017522882
              0.99760002                    -0.045413204
                   1.024                    -0.076846303
                  1.0504                     -0.11188387
                  1.0768                     -0.15057458
                  1.1032                     -0.19295821
                  1.1296                     -0.23906805
                   1.156                     -0.28892632
                  1.1824                     -0.34254892
                  1.2088                     -0.39994754
                  1.2352                     -0.46112959
                  1.2616                     -0.52609705
                   1.288                     -0.59485163
                  1.3144                     -0.66739628
                  1.3408                     -0.74373439
                  1.3672                     -0.82387292
                  1.3936                     -0.90782459
                    1.42                     -0.99560877
                  1.4464                      -1.0872528
                  1.4728                      -1.1827962
                  1.4992                      -1.2822889
                  1.5256                      -1.3857941
                   1.552                      -1.4933918
                  1.5784                       -1.605177
                  1.6048                       -1.721264
                  1.6312                      -1.8417823
                  1.6576                      -1.9668857
                   1.684                      -2.0967433
                  1.7104                      -2.2315485
                  1.7368                      -2.3715149
                  1.7632                      -2.5168758
                  1.7896                      -2.6678884
                   1.816                      -2.8248295
