        Frequency / GHz                S1,1 (Scl=0.8)/abs,dB
----------------------------------------------------------------------
                     0.1                   2.3560277e-07
              0.12639999                   -0.0064989215
              0.15279999                    -0.014295491
              0.17919999                     -0.02326015
              0.20559999                    -0.033242096
              0.23199999                    -0.044076619
              0.25839999                     -0.05558224
              0.28479999                    -0.067571127
              0.31119999                    -0.079846598
              0.33759999                    -0.092213479
              0.36399999                     -0.10447439
              0.39039999                     -0.11644074
              0.41679999                     -0.12793211
              0.44319999                     -0.13878475
              0.46959999                     -0.14885218
              0.49599999                     -0.15800665
              0.52240002                      -0.1661498
              0.54879999                     -0.17320596
              0.57520002                     -0.17912958
              0.60159999                     -0.18390595
              0.62800002                     -0.18754956
              0.65439999                     -0.19010624
              0.68080002                     -0.19165227
              0.70719999                      -0.1922899
              0.73360002                     -0.19214895
              0.75999999                     -0.19138433
              0.78640002                     -0.19016908
              0.81279999                     -0.18869635
              0.83920002                     -0.18717262
              0.86559999                      -0.1858157
              0.89200002                     -0.18484959
              0.91839999                     -0.18450463
              0.94480002                      -0.1850107
              0.97119999                     -0.18659413
              0.99760002                     -0.18947948
                   1.024                     -0.19388229
                  1.0504                     -0.20000891
                  1.0768                     -0.20805575
                  1.1032                     -0.21820563
                  1.1296                     -0.23062974
                   1.156                     -0.24548491
                  1.1824                     -0.26291279
                  1.2088                     -0.28304387
                  1.2352                     -0.30599169
                  1.2616                     -0.33185833
                   1.288                     -0.36073389
                  1.3144                     -0.39269586
                  1.3408                     -0.42781056
                  1.3672                     -0.46613682
                  1.3936                     -0.50772548
                    1.42                     -0.55262035
                  1.4464                     -0.60085981
                  1.4728                     -0.65248011
                  1.4992                     -0.70751416
                  1.5256                     -0.76599602
                   1.552                     -0.82795911
                  1.5784                     -0.89344063
                  1.6048                     -0.96247914
                  1.6312                      -1.0351219
                  1.6576                      -1.1114182
                   1.684                      -1.1914263
                  1.7104                      -1.2752131
                  1.7368                      -1.3628509
                  1.7632                      -1.4544229
                  1.7896                      -1.5500224
                   1.816                      -1.6497514
                  1.8424                      -1.7537205
                  1.8688                      -1.8620513
                  1.8952                      -1.9748735
                  1.9216                      -2.0923264
                   1.948                       -2.214558
                  1.9744                      -2.3417235
               2.0007999                      -2.4739868
                  2.0272                      -2.6115129
               2.0536001                      -2.7544785
               2.0799999                      -2.9030606
                  2.1064                      -3.0574387
               2.1328001                       -3.217797
                  2.1592                      -3.3843159
                  2.1856                      -3.5571788
               2.2119999                      -3.7365628
                  2.2384                      -3.9226408
               2.2648001                      -4.1155814
               2.2911999                      -4.3155417
                  2.3176                      -4.5226679
               2.3440001                      -4.7370941
                  2.3704                      -4.9589374
                  2.3968                      -5.1882943
               2.4231999                      -5.4252381
                  2.4496                      -5.6698159
               2.4760001                      -5.9220448
               2.5023999                      -6.1819039
                  2.5288                      -6.4493314
               2.5552001                      -6.7242234
                  2.5816                      -7.0064202
                   2.608                      -7.2957085
               2.6343999                      -7.5918098
                  2.6608                      -7.8943837
               2.6872001                      -8.2030089
               2.7135999                      -8.5171997
                    2.74                      -8.8363862
               2.7664001                      -9.1599266
               2.7927999                      -9.4871074
                  2.8192                      -9.8171504
               2.8455999                      -10.149233
                   2.872                        -10.4825
               2.8984001                      -10.816095
               2.9247999                      -11.149186
                  2.9512                      -11.481015
               2.9776001                      -11.810936
               3.0039999                       -12.13847
                  3.0304                      -12.463354
               3.0567999                      -12.785598
                  3.0832                       -13.10553
               3.1096001                      -13.423851
               3.1359999                      -13.741668
                  3.1624                      -14.060525
               3.1888001                      -14.382428
               3.2151999                      -14.709865
                  3.2416                      -15.045823
               3.2679999                      -15.393806
                  3.2944                      -15.757875
               3.3208001                      -16.142691
               3.3471999                      -16.553607
                  3.3736                      -16.996795
               3.4000001                      -17.479442
               3.4263999                      -18.010042
                  3.4528                      -18.598829
               3.4791999                      -19.258418
                  3.5056                      -20.004786
               3.5320001                       -20.85879
               3.5583999                       -21.84861
                  3.5848                      -23.013832
               3.6112001                       -24.41251
               3.6375999                      -26.133739
                   3.664                      -28.318681
               3.6903999                      -31.174206
                  3.7168                      -34.703554
               3.7432001                      -36.373072
               3.7695999                      -33.288009
                   3.796                       -29.65679
               3.8224001                      -26.787045
               3.8487999                      -24.521083
                  3.8752                      -22.670892
               3.9015999                      -21.115231
                   3.928                      -19.777497
               3.9544001                      -18.607466
               3.9807999                      -17.570802
               4.0071998                       -16.64314
               4.0335999                      -15.806624
               4.0599999                      -15.047803
                  4.0864                      -14.356316
               4.1128001                      -13.724012
               4.1392002                      -13.144374
               4.1655998                      -12.612113
               4.1919999                      -12.122875
                  4.2184                      -11.673039
               4.2448001                      -11.259557
               4.2712002                      -10.879845
               4.2975998                      -10.531687
               4.3239999                       -10.21317
                  4.3504                      -9.9226341
               4.3768001                      -9.6586223
               4.4032001                      -9.4198482
               4.4295998                      -9.2051738
               4.4559999                      -9.0135756
               4.4823999                      -8.8441347
                  4.5088                      -8.6960162
               4.5352001                      -8.5684529
               4.5616002                      -8.4607366
               4.5879998                      -8.3722048
               4.6143999                      -8.3022327
                  4.6408                      -8.2502196
               4.6672001                      -8.2155874
               4.6936002                      -8.1977631
               4.7199998                      -8.1961784
               4.7463999                      -8.2102577
                  4.7728                      -8.2394114
               4.7992001                      -8.2830277
               4.8256001                      -8.3404628
               4.8520002                      -8.4110388
               4.8783998                       -8.494026
               4.9047999                      -8.5886459
                  4.9312                      -8.6940529
               4.9576001                      -8.8093398
               4.9840002                      -8.9335213
               5.0103998                      -9.0655379
               5.0367999                      -9.2042513
                  5.0632                      -9.3484436
               5.0896001                      -9.4968293
               5.1160002                      -9.6480542
               5.1423998                      -9.8007177
               5.1687999                      -9.9533916
                  5.1952                      -10.104636
               5.2216001                      -10.253043
               5.2480001                       -10.39726
               5.2744002                      -10.536029
               5.3007998                      -10.668228
               5.3271999                      -10.792907
                  5.3536                      -10.909314
               5.3800001                      -11.016932
               5.4064002                      -11.115483
               5.4327998                      -11.204946
               5.4591999                      -11.285541
                  5.4856                      -11.357724
               5.5120001                      -11.422152
               5.5384002                      -11.479655
               5.5647998                      -11.531194
               5.5911999                       -11.57783
                  5.6176                      -11.620671
               5.6440001                      -11.660842
               5.6704001                      -11.699452
               5.6968002                      -11.737556
               5.7231998                      -11.776139
               5.7495999                        -11.8161
                   5.776                      -11.858226
               5.8024001                      -11.903189
               5.8288002                      -11.951543
               5.8551998                      -12.003718
               5.8815999                      -12.060015
