        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                      -0.2548969
              0.12639999                     -0.23245794
              0.15279999                     -0.21126628
              0.17919999                     -0.19405297
              0.20559999                     -0.18310197
              0.23199999                     -0.18000589
              0.25839999                     -0.18550129
              0.28479999                     -0.19939509
              0.31119999                     -0.22058236
              0.33759999                     -0.24714305
              0.36399999                     -0.27653453
              0.39039999                     -0.30585293
              0.41679999                     -0.33215349
              0.44319999                     -0.35279301
              0.46959999                     -0.36575945
              0.49599999                     -0.36991406
              0.52240002                     -0.36514149
              0.54879999                     -0.35233988
              0.57520002                     -0.33328447
              0.60159999                     -0.31037672
              0.62800002                     -0.28632543
              0.65439999                     -0.26381635
              0.68080002                      -0.2452125
              0.70719999                     -0.23230078
              0.73360002                     -0.22614018
              0.75999999                     -0.22697167
              0.78640002                     -0.23422611
              0.81279999                      -0.2466072
              0.83920002                     -0.26224801
              0.86559999                     -0.27892786
              0.89200002                      -0.2943329
              0.91839999                     -0.30633058
              0.94480002                     -0.31323229
              0.97119999                     -0.31400028
              0.99760002                     -0.30837256
                   1.024                     -0.29688445
                  1.0504                     -0.28078929
                  1.0768                     -0.26189112
                  1.1032                     -0.24231784
                  1.1296                     -0.22427945
                   1.156                     -0.20983449
                  1.1824                     -0.20069451
                  1.2088                     -0.19808654
                  1.2352                     -0.20267231
                  1.2616                     -0.21453481
                   1.288                     -0.23321681
                  1.3144                     -0.25781317
                  1.3408                     -0.28710537
                  1.3672                     -0.31972038
                  1.3936                     -0.35431207
                    1.42                     -0.38972333
                  1.4464                     -0.42513801
                  1.4728                     -0.46018337
                  1.4992                       -0.494983
                  1.5256                     -0.53014449
                   1.552                     -0.56669863
                  1.5784                     -0.60598855
                  1.6048                     -0.64953479
                  1.6312                     -0.69888819
                  1.6576                     -0.75549042
                   1.684                     -0.82055308
                  1.7104                      -0.8949746
                  1.7368                     -0.97927661
                  1.7632                      -1.0735866
                  1.7896                      -1.1776518
                   1.816                      -1.2908838
                  1.8424                      -1.4124276
                  1.8688                       -1.541258
                  1.8952                      -1.6762864
                  1.9216                      -1.8164731
                   1.948                      -1.9609359
                  1.9744                       -2.109047
               2.0007999                      -2.2605004
                  2.0272                      -2.4153517
               2.0536001                       -2.574019
               2.0799999                      -2.7372565
                  2.1064                      -2.9060896
               2.1328001                      -3.0817318
                  2.1592                      -3.2654878
                  2.1856                      -3.4586549
               2.2119999                      -3.6624197
                  2.2384                       -3.877773
               2.2648001                      -4.1054319
               2.2911999                      -4.3457781
                  2.3176                       -4.598821
               2.3440001                      -4.8641602
                  2.3704                      -5.1409939
                  2.3968                      -5.4281249
               2.4231999                      -5.7240031
                  2.4496                      -6.0267934
               2.4760001                      -6.3344662
               2.5023999                      -6.6449139
                  2.5288                      -6.9560863
               2.5552001                      -7.2661253
                  2.5816                      -7.5734959
                   2.608                      -7.8770729
               2.6343999                      -8.1761847
                  2.6608                      -8.4705773
               2.6872001                      -8.7603062
               2.7135999                      -9.0455485
                    2.74                      -9.3263556
               2.7664001                      -9.6023703
               2.7927999                      -9.8725379
                  2.8192                      -10.134859
               2.8455999                      -10.386237
                   2.872                      -10.622466
               2.8984001                      -10.838415
               2.9247999                      -11.028458
                  2.9512                      -11.187105
               2.9776001                      -11.309798
               3.0039999                      -11.393681
                  3.0304                       -11.43819
               3.0567999                      -11.445272
                  3.0832                      -11.419178
               3.1096001                      -11.365864
               3.1359999                      -11.292193
                  3.1624                      -11.205082
               3.1888001                      -11.110793
               3.2151999                      -11.014418
                  3.2416                      -10.919617
               3.2679999                      -10.828544
                  3.2944                      -10.741963
               3.3208001                      -10.659499
               3.3471999                      -10.579968
                  3.3736                      -10.501774
               3.4000001                       -10.42332
               3.4263999                      -10.343398
                  3.4528                      -10.261477
               3.4791999                      -10.177908
                  3.5056                      -10.093976
               3.5320001                      -10.011813
               3.5583999                      -9.9342193
                  3.5848                      -9.8643967
               3.6112001                      -9.8056828
               3.6375999                      -9.7612855
                   3.664                      -9.7340859
               3.6903999                      -9.7264945
                  3.7168                       -9.740377
               3.7432001                      -9.7770585
               3.7695999                      -9.8373752
                   3.796                       -9.921783
               3.8224001                      -10.030505
               3.8487999                      -10.163721
                  3.8752                      -10.321752
               3.9015999                       -10.50528
                   3.928                      -10.715536
               3.9544001                       -10.95447
               3.9807999                      -11.224883
               4.0071998                      -11.530529
               4.0335999                      -11.876159
               4.0599999                      -12.267559
                  4.0864                       -12.71156
               4.1128001                      -13.216056
               4.1392002                      -13.790046
               4.1655998                      -14.443689
               4.1919999                      -15.188336
                  4.2184                      -16.036446
               4.2448001                      -17.001064
               4.2712002                      -18.094101
               4.2975998                      -19.321569
               4.3239999                       -20.67129
                  4.3504                       -22.08417
               4.3768001                       -23.40057
               4.4032001                      -24.317757
               4.4295998                      -24.513783
               4.4559999                       -23.96232
               4.4823999                      -22.962315
                  4.5088                      -21.827045
               4.5352001                      -20.728879
               4.5616002                      -19.732283
               4.5879998                      -18.850027
               4.6143999                      -18.074867
                  4.6408                      -17.393468
               4.6672001                      -16.791969
               4.6936002                      -16.258087
               4.7199998                      -15.781779
               4.7463999                      -15.355312
                  4.7728                      -14.973037
               4.7992001                      -14.631025
               4.8256001                      -14.326611
               4.8520002                      -14.057942
               4.8783998                      -13.823502
               4.9047999                      -13.621712
                  4.9312                      -13.450588
