        Frequency / GHz                S1,1 (S=0.9)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.17764064
              0.12639999                     -0.20362617
              0.15279999                     -0.23214209
              0.17919999                     -0.26129964
              0.20559999                     -0.28915727
              0.23199999                     -0.31385303
              0.25839999                     -0.33375382
              0.28479999                     -0.34758416
              0.31119999                      -0.3545252
              0.33759999                     -0.35428735
              0.36399999                     -0.34712608
              0.39039999                     -0.33380581
              0.41679999                     -0.31553052
              0.44319999                     -0.29382515
              0.46959999                      -0.2704065
              0.49599999                     -0.24704374
              0.52240002                      -0.2254239
              0.54879999                     -0.20704064
              0.57520002                     -0.19309817
              0.60159999                     -0.18444435
              0.62800002                     -0.18153343
              0.65439999                     -0.18441219
              0.68080002                     -0.19272882
              0.70719999                     -0.20576778
              0.73360002                     -0.22250783
              0.75999999                     -0.24169286
              0.78640002                     -0.26192732
              0.81279999                     -0.28177447
              0.83920002                     -0.29986809
              0.86559999                     -0.31501232
              0.89200002                     -0.32627375
              0.91839999                     -0.33305635
              0.94480002                     -0.33513672
              0.97119999                     -0.33267856
              0.99760002                     -0.32620392
                   1.024                     -0.31654147
                  1.0504                     -0.30475293
                  1.0768                      -0.2920322
                  1.1032                     -0.27962423
                  1.1296                     -0.26871962
                   1.156                     -0.26038665
                  1.1824                      -0.2554996
                  1.2088                     -0.25469492
                  1.2352                     -0.25834349
                  1.2616                     -0.26654448
                   1.288                     -0.27913198
                  1.3144                     -0.29570328
                  1.3408                     -0.31566217
                  1.3672                     -0.33826459
                  1.3936                     -0.36268539
                    1.42                     -0.38808356
                  1.4464                     -0.41367016
                  1.4728                     -0.43876834
                  1.4992                     -0.46287619
                  1.5256                     -0.48570427
                   1.552                     -0.50720223
                  1.5784                     -0.52757357
                  1.6048                     -0.54726137
                  1.6312                     -0.56692834
                  1.6576                     -0.58741672
                   1.684                     -0.60970889
                  1.7104                     -0.63487072
                  1.7368                      -0.6640084
                  1.7632                     -0.69821912
                  1.7896                     -0.73855687
                   1.816                     -0.78599524
                  1.8424                      -0.8414125
                  1.8688                     -0.90557117
                  1.8952                     -0.97911659
                  1.9216                      -1.0625769
                   1.948                      -1.1563667
                  1.9744                      -1.2608011
               2.0007999                      -1.3761089
                  2.0272                      -1.5024448
               2.0536001                      -1.6399094
               2.0799999                      -1.7885613
                  2.1064                      -1.9484333
               2.1328001                      -2.1195457
                  2.1592                      -2.3019128
                  2.1856                      -2.4955509
               2.2119999                      -2.7004851
