        Frequency / GHz                S1,1 (Lf=13.28)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.23883946
              0.12639999                     -0.22186951
              0.15279999                     -0.20736144
              0.17919999                     -0.19771397
              0.20559999                     -0.19463728
              0.23199999                     -0.19891928
              0.25839999                     -0.21031017
              0.28479999                     -0.22754866
              0.31119999                     -0.24851514
              0.33759999                     -0.27050883
              0.36399999                     -0.29061968
              0.39039999                     -0.30615096
              0.41679999                     -0.31502312
              0.44319999                     -0.31610195
              0.46959999                      -0.3093764
              0.49599999                     -0.29595038
              0.52240002                     -0.27785942
              0.54879999                     -0.25774125
              0.57520002                     -0.23843494
              0.60159999                     -0.22257213
              0.62800002                     -0.21222152
              0.65439999                     -0.20863363
              0.68080002                     -0.21210217
              0.70719999                       -0.221951
              0.73360002                     -0.23664498
              0.75999999                     -0.25401328
              0.78640002                     -0.27155914
              0.81279999                     -0.28681628
              0.83920002                     -0.29771809
              0.86559999                     -0.30289848
              0.89200002                     -0.30189407
              0.91839999                     -0.29519154
              0.94480002                     -0.28412637
              0.97119999                     -0.27065322
              0.99760002                     -0.25702745
                   1.024                     -0.24546498
                  1.0504                     -0.23782681
                  1.0768                     -0.23537873
                  1.1032                     -0.23864297
                  1.1296                     -0.24735503
                   1.156                     -0.26052934
                  1.1824                     -0.27662165
                  1.2088                      -0.2937587
                  1.2352                     -0.31002531
                  1.2616                     -0.32374715
                   1.288                     -0.33374422
                  1.3144                     -0.33951023
                  1.3408                     -0.34126967
                  1.3672                      -0.3399393
                  1.3936                     -0.33696884
                    1.42                     -0.33411571
                  1.4464                     -0.33318812
                  1.4728                      -0.3357948
                  1.4992                     -0.34314482
                  1.5256                     -0.35590915
                   1.552                     -0.37416946
                  1.5784                     -0.39744823
                  1.6048                     -0.42480961
                  1.6312                     -0.45503026
                  1.6576                     -0.48680305
                   1.684                     -0.51895546
                  1.7104                     -0.55064977
                  1.7368                     -0.58153476
                  1.7632                     -0.61182381
                  1.7896                     -0.64229747
                   1.816                     -0.67421893
                  1.8424                     -0.70920108
                  1.8688                     -0.74902651
                  1.8952                     -0.79547012
                  1.9216                     -0.85014126
                   1.948                     -0.91436118
                  1.9744                     -0.98909707
               2.0007999                      -1.0749527
                  2.0272                      -1.1722059
               2.0536001                      -1.2809001
               2.0799999                      -1.4009608
                  2.1064                      -1.5323301
               2.1328001                      -1.6751031
                  2.1592                      -1.8296338
                  2.1856                      -1.9966149
               2.2119999                      -2.1770977
                  2.2384                      -2.3724556
               2.2648001                      -2.5843018
               2.2911999                      -2.8143404
                  2.3176                      -3.0641954
               2.3440001                      -3.3351988
                  2.3704                      -3.6281666
                  2.3968                      -3.9431749
               2.4231999                      -4.2793307
                  2.4496                      -4.6345817
               2.4760001                      -5.0055616
               2.5023999                      -5.3875213
                  2.5288                      -5.7743932
               2.5552001                       -6.159038
                  2.5816                      -6.5337053
                   2.608                      -6.8907297
               2.6343999                      -7.2233673
                  2.6608                      -7.5266373
               2.6872001                       -7.797964
               2.7135999                      -8.0374262
                    2.74                      -8.2475361
               2.7664001                       -8.432597
               2.7927999                      -8.5978131
                  2.8192                      -8.7483739
               2.8455999                      -8.8886845
                   2.872                      -9.0218684
               2.8984001                       -9.149567
               2.9247999                      -9.2720233
                  2.9512                      -9.3883945
               2.9776001                      -9.4972251
               3.0039999                      -9.5969997
                  3.0304                      -9.6866616
               3.0567999                      -9.7660197
                  3.0832                      -9.8359491
               3.1096001                      -9.8983669
               3.1359999                      -9.9559778
                  3.1624                      -10.011877
