        Frequency / GHz                S1,1 (W=37.2)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.17558879
              0.12639999                     -0.21472545
              0.15279999                     -0.25645086
              0.17919999                     -0.29736529
              0.20559999                     -0.33408811
              0.23199999                     -0.36356833
              0.25839999                     -0.38338924
              0.28479999                     -0.39202355
              0.31119999                      -0.3889929
              0.33759999                     -0.37490831
              0.36399999                        -0.35139
              0.39039999                     -0.32085948
              0.41679999                       -0.286271
              0.44319999                     -0.25080414
              0.46959999                     -0.21755815
              0.49599999                     -0.18929337
              0.52240002                       -0.168227
              0.54879999                     -0.15588436
              0.57520002                     -0.15302317
              0.60159999                     -0.15960329
              0.62800002                     -0.17481781
              0.65439999                     -0.19716685
              0.68080002                     -0.22458748
              0.70719999                     -0.25461468
              0.73360002                     -0.28459568
              0.75999999                     -0.31192241
              0.78640002                      -0.3342726
              0.81279999                     -0.34983389
              0.83920002                     -0.35748008
              0.86559999                     -0.35687362
              0.89200002                     -0.34848326
              0.91839999                     -0.33351329
              0.94480002                     -0.31374755
              0.97119999                     -0.29135393
              0.99760002                     -0.26865657
                   1.024                     -0.24791743
                  1.0504                     -0.23114338
                  1.0768                     -0.21993171
                  1.1032                     -0.21536844
                  1.1296                     -0.21796535
                   1.156                     -0.22765462
                  1.1824                     -0.24381255
                  1.2088                     -0.26533915
                  1.2352                     -0.29075309
                  1.2616                     -0.31833415
                   1.288                     -0.34627549
                  1.3144                     -0.37284762
                  1.3408                     -0.39656067
                  1.3672                     -0.41630393
                  1.3936                     -0.43145074
                    1.42                      -0.4419109
                  1.4464                     -0.44812993
                  1.4728                     -0.45103897
                  1.4992                     -0.45195429
                  1.5256                     -0.45244917
                   1.552                     -0.45421803
                  1.5784                     -0.45893393
                  1.6048                     -0.46813047
                  1.6312                      -0.4831018
                  1.6576                     -0.50483408
                   1.684                     -0.53396984
                  1.7104                     -0.57079607
                  1.7368                     -0.61526695
                  1.7632                     -0.66703933
                  1.7896                     -0.72554296
                   1.816                     -0.79005017
                  1.8424                     -0.85976656
                  1.8688                     -0.93392468
                  1.8952                      -1.0118713
                  1.9216                      -1.0931463
                   1.948                       -1.177548
                  1.9744                      -1.2651754
               2.0007999                      -1.3564433
                  2.0272                      -1.4520775
               2.0536001                      -1.5530814
               2.0799999                      -1.6606837
                  2.1064                      -1.7762789
               2.1328001                      -1.9013504
                  2.1592                      -2.0373958
                  2.1856                      -2.1858602
               2.2119999                      -2.3480675
                  2.2384                      -2.5251611
               2.2648001                      -2.7180544
               2.2911999                      -2.9273847
                  2.3176                      -3.1534718
               2.3440001                      -3.3962847
                  2.3704                      -3.6554076
                  2.3968                      -3.9300093
               2.4231999                      -4.2188211
                  2.4496                       -4.520114
               2.4760001                      -4.8316992
               2.5023999                       -5.150936
                  2.5288                      -5.4747801
               2.5552001                      -5.7998553
                  2.5816                       -6.122577
                   2.608                      -6.4393198
               2.6343999                      -6.7466172
                  2.6608                      -7.0413995
               2.6872001                      -7.3212165
               2.7135999                      -7.5844356
                    2.74                      -7.8303632
               2.7664001                      -8.0592787
               2.7927999                       -8.272355
                  2.8192                      -8.4714859
               2.8455999                      -8.6590339
                   2.872                      -8.8375384
               2.8984001                      -9.0094195
               2.9247999                      -9.1767035
                  2.9512                      -9.3407982
               2.9776001                      -9.5023333
               3.0039999                      -9.6610737
                  3.0304                      -9.8159104
               3.0567999                      -9.9649476
                  3.0832                      -10.105675
               3.1096001                      -10.235228
               3.1359999                      -10.350716
                  3.1624                        -10.4496
               3.1888001                       -10.53004
               3.2151999                      -10.591192
                  3.2416                      -10.633375
               3.2679999                      -10.658077
                  3.2944                      -10.667809
