        Frequency / GHz                S1,1 (wf=2.88)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.17571778
              0.12639999                     -0.21860624
              0.15279999                     -0.26331639
              0.17919999                     -0.30572862
              0.20559999                     -0.34188454
              0.23199999                     -0.36841358
              0.25839999                     -0.38291856
              0.28479999                      -0.3842668
              0.31119999                     -0.37271649
              0.33759999                     -0.34986603
              0.36399999                     -0.31842361
              0.39039999                     -0.28185981
              0.41679999                     -0.24399156
              0.44319999                     -0.20857507
              0.46959999                     -0.17894419
              0.49599999                     -0.15772915
              0.52240002                     -0.14667202
              0.54879999                     -0.14652231
              0.57520002                     -0.15701163
              0.60159999                     -0.17690994
              0.62800002                     -0.20414423
              0.65439999                     -0.23599035
              0.68080002                      -0.2693182
              0.70719999                     -0.30089762
              0.73360002                     -0.32772312
              0.75999999                     -0.34733192
              0.78640002                      -0.3580749
              0.81279999                     -0.35929036
              0.83920002                     -0.35135797
              0.86559999                     -0.33562583
              0.89200002                     -0.31421524
              0.91839999                     -0.28975101
              0.94480002                     -0.26506035
              0.97119999                     -0.24287332
              0.99760002                     -0.22556587
                   1.024                     -0.21496324
                  1.0504                     -0.21221076
                  1.0768                     -0.21771258
                  1.1032                      -0.2311316
                  1.1296                     -0.25145423
                   1.156                     -0.27710052
                  1.1824                     -0.30608561
                  1.2088                     -0.33621325
                  1.2352                     -0.36529612
                  1.2616                     -0.39137589
                   1.288                     -0.41292118
                  1.3144                     -0.42898659
                  1.3408                     -0.43930091
                  1.3672                     -0.44428069
                  1.3936                     -0.44496903
                    1.42                       -0.442905
                  1.4464                      -0.4399556
                  1.4728                     -0.43812546
                  1.4992                     -0.43937351
                  1.5256                     -0.44545359
                   1.552                     -0.45778515
                  1.5784                     -0.47737459
                  1.6048                     -0.50476874
                  1.6312                     -0.54005433
                  1.6576                     -0.58288634
                   1.684                     -0.63255365
                  1.7104                     -0.68806512
                  1.7368                     -0.74825295
                  1.7632                     -0.81189529
                  1.7896                      -0.8778294
                   1.816                     -0.94507075
                  1.8424                      -1.0129022
                  1.8688                      -1.0809548
                  1.8952                      -1.1492368
                  1.9216                      -1.2181447
                   1.948                      -1.2884334
                  1.9744                      -1.3611554
               2.0007999                      -1.4375871
                  2.0272                      -1.5191371
               2.0536001                      -1.6072503
               2.0799999                      -1.7033255
                  2.1064                      -1.8086288
               2.1328001                      -1.9242308
                  2.1592                      -2.0509522
                  2.1856                      -2.1893227
               2.2119999                      -2.3395551
                  2.2384                      -2.5015275
               2.2648001                       -2.674785
               2.2911999                      -2.8585441
                  2.3176                      -3.0517171
               2.3440001                      -3.2529456
                  2.3704                       -3.460655
                  2.3968                      -3.6731174
               2.4231999                      -3.8885384
                  2.4496                      -4.1051501
               2.4760001                      -4.3213077
               2.5023999                      -4.5355886
                  2.5288                      -4.7468678
               2.5552001                      -4.9543816
                  2.5816                      -5.1577362
                   2.608                      -5.3568987
               2.6343999                      -5.5521163
                  2.6608                      -5.7438304
               2.6872001                      -5.9325312
               2.7135999                      -6.1186259
                    2.74                      -6.3022973
               2.7664001                      -6.4833827
               2.7927999                      -6.6613004
                  2.8192                      -6.8350167
               2.8455999                      -7.0030835
                   2.872                      -7.1637412
               2.8984001                      -7.3150904
               2.9247999                      -7.4553042
                  2.9512                      -7.5828806
               2.9776001                      -7.6968675
               3.0039999                      -7.7970468
                  3.0304                      -7.8840242
               3.0567999                       -7.959212
                  3.0832                      -8.0246967
               3.1096001                      -8.0830199
               3.1359999                      -8.1368929
                  3.1624                      -8.1889036
               3.1888001                      -8.2412326
               3.2151999                      -8.2954211
                  3.2416                      -8.3522138
               3.2679999                      -8.4114751
                  3.2944                      -8.4721977
               3.3208001                      -8.5326164
               3.3471999                      -8.5903983
                  3.3736                       -8.642928
               3.4000001                      -8.6876464
               3.4263999                      -8.7224157
                  3.4528                      -8.7458408
               3.4791999                      -8.7575264
                  3.5056                      -8.7581839
               3.5320001                      -8.7495958
               3.5583999                      -8.7344468
                  3.5848                      -8.7160395
               3.6112001                      -8.6979678
               3.6375999                      -8.6837855
                   3.664                      -8.6767293
               3.6903999                      -8.6795047
                  3.7168                      -8.6941683
               3.7432001                      -8.7220823
               3.7695999                      -8.7639627
                   3.796                      -8.8199889
               3.8224001                      -8.8899797
               3.8487999                      -8.9736088
                  3.8752                      -9.0706572
               3.9015999                      -9.1812714
                   3.928                      -9.3062038
               3.9544001                      -9.4470159
               3.9807999                      -9.6062243
               4.0071998                       -9.787389
               4.0335999                      -9.9951238
               4.0599999                      -10.235074
                  4.0864                      -10.513883
               4.1128001                      -10.839161
               4.1392002                      -11.219524
               4.1655998                      -11.664707
               4.1919999                       -12.18584
                  4.2184                      -12.795914
               4.2448001                      -13.510551
               4.2712002                       -14.34925
               4.2975998                      -15.337451
               4.3239999                      -16.510041
                  4.3504                      -17.917745
               4.3768001                      -19.639742
               4.4032001                      -21.811549
               4.4295998                      -24.697438
               4.4559999                      -28.931887
               4.4823999                      -36.748872
                  4.5088                      -40.181574
               4.5352001                      -30.971388
               4.5616002                      -26.653875
               4.5879998                      -23.976833
               4.6143999                      -22.114542
                  4.6408                      -20.745967
               4.6672001                      -19.712058
               4.6936002                      -18.921176
               4.7199998                      -18.314443
               4.7463999                      -17.850626
                  4.7728                      -17.498725
