        Frequency / GHz                S1,1 (wf=3.96)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.19030273
              0.12639999                      -0.2161545
              0.15279999                     -0.24425331
              0.17919999                     -0.27261175
              0.20559999                     -0.29921351
              0.23199999                     -0.32217311
              0.25839999                     -0.33989309
              0.28479999                     -0.35119566
              0.31119999                     -0.35542976
              0.33759999                     -0.35251697
              0.36399999                     -0.34295762
              0.39039999                     -0.32776488
              0.41679999                     -0.30836121
              0.44319999                     -0.28644669
              0.46959999                     -0.26383683
              0.49599999                      -0.2423187
              0.52240002                     -0.22350663
              0.54879999                     -0.20873516
              0.57520002                     -0.19897014
              0.60159999                     -0.19475727
              0.62800002                     -0.19620116
              0.65439999                     -0.20297507
              0.68080002                     -0.21435601
              0.70719999                     -0.22929015
              0.73360002                     -0.24647862
              0.75999999                     -0.26448157
              0.78640002                     -0.28183618
              0.81279999                     -0.29717754
              0.83920002                     -0.30935113
              0.86559999                     -0.31751117
              0.89200002                      -0.3211884
              0.91839999                     -0.32031817
              0.94480002                     -0.31523999
              0.97119999                     -0.30665049
              0.99760002                     -0.29552811
                   1.024                     -0.28303679
                  1.0504                     -0.27041985
                  1.0768                     -0.25889324
                  1.1032                     -0.24954963
                  1.1296                     -0.24328235
                   1.156                     -0.24072639
                  1.1824                     -0.24222566
                  1.2088                     -0.24782765
                  1.2352                     -0.25729349
                  1.2616                     -0.27013272
                   1.288                     -0.28566072
                  1.3144                     -0.30305906
                  1.3408                     -0.32145645
                  1.3672                     -0.34000467
                  1.3936                     -0.35795467
                    1.42                     -0.37472354
                  1.4464                     -0.38994544
                  1.4728                     -0.40350191
                  1.4992                     -0.41553072
                  1.5256                     -0.42641117
                   1.552                     -0.43673102
                  1.5784                     -0.44723912
                  1.6048                      -0.4587864
                  1.6312                     -0.47227183
                  1.6576                     -0.48857742
                   1.684                     -0.50853288
                  1.7104                     -0.53287213
                  1.7368                     -0.56221616
                  1.7632                     -0.59706568
                  1.7896                     -0.63780908
                   1.816                     -0.68474335
                  1.8424                     -0.73810274
                  1.8688                     -0.79809503
                  1.8952                     -0.86493993
                  1.9216                     -0.93890959
                   1.948                      -1.0203644
                  1.9744                      -1.1097802
               2.0007999                      -1.2077675
                  2.0272                      -1.3150831
               2.0536001                      -1.4326273
               2.0799999                      -1.5614294
                  2.1064                      -1.7026281
               2.1328001                      -1.8574445
                  2.1592                      -2.0271423
                  2.1856                      -2.2129928
               2.2119999                      -2.4162369
                  2.2384                      -2.6380439
               2.2648001                      -2.8794722
               2.2911999                      -3.1414354
                  2.3176                      -3.4246576
               2.3440001                      -3.7296466
                  2.3704                      -4.0566499
                  2.3968                      -4.4056162
               2.4231999                       -4.776156
                  2.4496                      -5.1674935
               2.4760001                      -5.5784208
               2.5023999                      -6.0072429
                  2.5288                      -6.4517242
               2.5552001                      -6.9090445
                  2.5816                      -7.3757549
                   2.608                      -7.8477659
               2.6343999                      -8.3203597
                  2.6608                      -8.7882628
               2.6872001                      -9.2457885
               2.7135999                       -9.687046
                    2.74                      -10.106252
               2.7664001                      -10.498097
               2.7927999                      -10.858149
                  2.8192                       -11.18322
               2.8455999                      -11.471651
                   2.872                      -11.723434
               2.8984001                      -11.940152
               2.9247999                      -12.124753
                  2.9512                      -12.281183
               2.9776001                      -12.413948
               3.0039999                      -12.527662
                  3.0304                      -12.626654
               3.0567999                      -12.714624
                  3.0832                      -12.794399
               3.1096001                      -12.867768
               3.1359999                      -12.935393
                  3.1624                      -12.996807
               3.1888001                      -13.050492
               3.2151999                      -13.094045
                  3.2416                      -13.124443
               3.2679999                      -13.138391
                  3.2944                      -13.132744
               3.3208001                       -13.10495
               3.3471999                      -13.053445
                  3.3736                      -12.977949
               3.4000001                       -12.87958
               3.4263999                      -12.760784
                  3.4528                      -12.625092
               3.4791999                       -12.47675
                  3.5056                      -12.320318
               3.5320001                       -12.16026
               3.5583999                      -12.000629
                  3.5848                      -11.844826
               3.6112001                      -11.695466
               3.6375999                      -11.554327
                   3.664                       -11.42238
               3.6903999                      -11.299883
                  3.7168                      -11.186512
               3.7432001                      -11.081545
               3.7695999                      -10.984061
                   3.796                      -10.893154
               3.8224001                       -10.80814
               3.8487999                      -10.728752
                  3.8752                      -10.655278
               3.9015999                      -10.588671
                   3.928                      -10.530578
               3.9544001                      -10.483318
               3.9807999                      -10.449817
               4.0071998                      -10.433498
               4.0335999                      -10.438159
               4.0599999                      -10.467857
                  4.0864                      -10.526803
               4.1128001                       -10.61928
               4.1392002                      -10.749598
               4.1655998                      -10.922079
               4.1919999                      -11.141064
                  4.2184                      -11.410963
               4.2448001                      -11.736321
               4.2712002                      -12.121921
               4.2975998                      -12.572915
               4.3239999                      -13.094997
                  4.3504                      -13.694625
               4.3768001                      -14.379331
               4.4032001                      -15.158128
               4.4295998                      -16.042105
               4.4559999                      -17.045305
               4.4823999                      -18.186059
                  4.5088                       -19.48916
               4.5352001                      -20.989551
               4.5616002                      -22.739039
               4.5879998                      -24.819609
               4.6143999                      -27.372872
                  4.6408                      -30.675972
               4.6672001                      -35.383546
               4.6936002                      -43.325443
               4.7199998                      -43.674981
               4.7463999                      -36.959446
                  4.7728                      -33.417112
               4.7992001                      -31.242641
               4.8256001                      -29.787446
               4.8520002                      -28.768221
               4.8783998                      -28.031155
               4.9047999                      -27.477497
                  4.9312                      -27.035108
               4.9576001                      -26.646962
               4.9840002                      -26.267385
               5.0103998                      -25.862122
               5.0367999                      -25.409512
                  5.0632                       -24.90068
               5.0896001                       -24.33766
               5.1160002                      -23.729831
               5.1423998                      -23.089974
               5.1687999                      -22.431129
                  5.1952                      -21.764787
               5.2216001                      -21.100253
               5.2480001                      -20.444773
               5.2744002                       -19.80399
               5.3007998                      -19.182459
               5.3271999                      -18.584058
                  5.3536                      -18.012273
               5.3800001                      -17.470343
               5.4064002                      -16.961317
               5.4327998                      -16.488037
               5.4591999                       -16.05311
                  5.4856                      -15.658848
               5.5120001                      -15.307245
               5.5384002                      -14.999931
               5.5647998                      -14.738144
               5.5911999                      -14.522718
                  5.6176                       -14.35405
               5.6440001                      -14.232069
               5.6704001                      -14.156195
               5.6968002                      -14.125281
               5.7231998                      -14.137532
               5.7495999                       -14.19042
                   5.776                      -14.280581
               5.8024001                      -14.403715
               5.8288002                      -14.554506
               5.8551998                      -14.726593
               5.8815999                      -14.912634
                   5.908                       -15.10449
               5.9344001                      -15.293582
               5.9608002                      -15.471402
               5.9871998                      -15.630152
               6.0135999                      -15.763392
                    6.04                      -15.866553
               6.0664001                      -15.937179
               6.0928001                      -15.974817
               6.1192002                      -15.980551
               6.1455998                      -15.956338
               6.1719999                      -15.904282
                  6.1984                      -15.826037
               6.2248001                      -15.722455
               6.2512002                      -15.593525
               6.2775998                      -15.438618
               6.3039999                      -15.256941
                  6.3304                      -15.048112
               6.3568001                      -14.812693
               6.3832002                      -14.552584
               6.4095998                      -14.271157
               6.4359999                      -13.973138
                  6.4624                      -13.664261
                  6.4888                      -13.350794
               6.5152001                      -13.039064
               6.5416002                      -12.735016
               6.5679998                      -12.443895
               6.5943999                      -12.170039
                  6.6208                      -11.916773
               6.6472001                      -11.686389
               6.6736002                      -11.480174
               6.6999998                      -11.298475
               6.7263999                      -11.140797
                  6.7528                      -11.005897
               6.7792001                      -10.891917
               6.8056002                      -10.796522
               6.8319998                      -10.717057
               6.8583999                      -10.650733
                  6.8848                      -10.594821
                  6.9112                      -10.546851
               6.9376001                      -10.504809
               6.9640002                      -10.467289
               6.9903998                      -10.433607
               7.0167999                       -10.40384
                  7.0432                      -10.378804
               7.0696001                      -10.359956
               7.0960002                      -10.349247
               7.1223998                      -10.348945
               7.1487999                      -10.361442
                  7.1752                      -10.389075
               7.2016001                      -10.433969
               7.2280002                      -10.497907
               7.2543998                      -10.582245
               7.2807999                      -10.687863
                  7.3072                      -10.815155
                  7.3336                      -10.964059
               7.3600001                      -11.134135
               7.3864002                      -11.324675
               7.4127998                      -11.534867
               7.4391999                      -11.763996
                  7.4656                      -12.011665
               7.4920001                      -12.278043
               7.5184002                        -12.5641
               7.5447998                      -12.871799
               7.5711999                      -13.204232
                  7.5976                      -13.565667
               7.6240001                      -13.961469
               7.6504002                      -14.397885
               7.6767998                      -14.881624
               7.7031999                      -15.419102
                  7.7296                      -16.015139
                   7.756                      -16.670635
               7.7824001                      -17.378478
               7.8088002                      -18.116677
               7.8351998                      -18.838379
               7.8615999                      -19.462075
                   7.888                      -19.874646
               7.9144001                        -19.9667
               7.9408002                      -19.694778
               7.9671998                      -19.113649
               7.9935999                      -18.339455
               8.0200005                      -17.488099
               8.0464001                      -16.642809
               8.0727997                      -15.852747
               8.0992002                      -15.143031
               8.1255999                      -14.524399
               8.1520004                      -13.999595
                  8.1784                      -13.566983
               8.2047997                      -13.222308
               8.2312002                      -12.959359
               8.2575998                      -12.769927
               8.2840004                       -12.64329
                  8.3104                      -12.565388
               8.3367996                      -12.517893
               8.3632002                      -12.477568
               8.3895998                      -12.416548
               8.4160004                      -12.304405
                  8.4424                       -12.11247
               8.4687996                      -11.819819
               8.4952002                      -11.418622
               8.5215998                      -10.916071
               8.5480003                      -10.331706
               8.5743999                      -9.6917202
               8.6007996                      -9.0230871
               8.6272001                      -8.3495505
               8.6535997                      -7.6898639
               8.6800003                      -7.0576844
               8.7063999                      -6.4622835
               8.7327995                      -5.9095148
               8.7592001                      -5.4027211
               8.7855997                      -4.9434659
               8.8120003                      -4.5320791
               8.8383999                      -4.1680497
               8.8648005                      -3.8502885
               8.8912001                      -3.5773052
               8.9175997                      -3.3473128
               8.9440002                      -3.1582965
               8.9703999                      -3.0080468
               8.9968004                      -2.8941704
                  9.0232                      -2.8140873
               9.0495996                      -2.7650317
               9.0760002                      -2.7440334
               9.1023998                      -2.7479235
               9.1288004                      -2.7733344
                  9.1552                      -2.8167251
               9.1815996                      -2.8744215
               9.2080002                      -2.9426842
               9.2343998                      -3.0177961
               9.2608004                      -3.0961829
                  9.2872                      -3.1745372
               9.3135996                        -3.24996
               9.3400002                       -3.320086
               9.3663998                      -3.3831841
               9.3928003                      -3.4382161
               9.4191999                      -3.4848428
               9.4455996                      -3.5233778
               9.4720001                      -3.5546931
               9.4983997                       -3.580084
               9.5248003                      -3.6011156
               9.5511999                      -3.6194652
               9.5775995                      -3.6367803
               9.6040001                      -3.6545461
               9.6303997                      -3.6739987
               9.6568003                      -3.6960487
               9.6831999                        -3.72125
               9.7096004                      -3.7497854
               9.7360001                      -3.7814855
               9.7623997                      -3.8158573
               9.7888002                       -3.852146
               9.8151999                      -3.8893991
               9.8416004                      -3.9265467
                   9.868                       -3.962489
               9.8943996                      -3.9961848
               9.9208002                      -4.0267325
               9.9471998                      -4.0534389
               9.9736004                      -4.0758775
                      10                      -4.0939107
                 10.0264                      -4.1077011
                 10.0528                      -4.1176902
                 10.0792                      -4.1245533
                 10.1056                      -4.1291434
                  10.132                       -4.132422
                 10.1584                      -4.1353847
                 10.1848                      -4.1389923
                 10.2112                      -4.1441093
                 10.2376                      -4.1514502
                  10.264                      -4.1615518
                 10.2904                      -4.1747454
                 10.3168                      -4.1911579
                 10.3432                      -4.2107226
                 10.3696                      -4.2332031
                  10.396                      -4.2582331
                 10.4224                      -4.2853609
                 10.4488                      -4.3141025
                 10.4752                      -4.3439987
                 10.5016                      -4.3746659
                  10.528                      -4.4058442
                 10.5544                      -4.4374341
                 10.5808                      -4.4695246
                 10.6072                      -4.5023942
                 10.6336                      -4.5365123
                   10.66                      -4.5725139
                 10.6864                      -4.6111663
                 10.7128                      -4.6533245
                 10.7392                      -4.6998857
                 10.7656                      -4.7517373
                  10.792                      -4.8097089
                 10.8184                      -4.8745301
                 10.8448                      -4.9467954
                 10.8712                      -5.0269345
                 10.8976                      -5.1152011
                  10.924                      -5.2116584
                 10.9504                      -5.3161903
                 10.9768                      -5.4285115
                 11.0032                      -5.5481865
                 11.0296                      -5.6746693
                  11.056                      -5.8073367
                 11.0824                      -5.9455348
                 11.1088                      -6.0886217
                 11.1352                      -6.2360194
                 11.1616                      -6.3872539
                  11.188                      -6.5419951
                 11.2144                      -6.7000814
                 11.2408                      -6.8615418
                 11.2672                       -7.026595
                 11.2936                      -7.1956461
                   11.32                      -7.3692675
                 11.3464                      -7.5481664
                 11.3728                      -7.7331579
                 11.3992                      -7.9251209
                 11.4256                      -8.1249665
                  11.452                      -8.3336012
                 11.4784                      -8.5518956
                 11.5048                      -8.7806647
                 11.5312                      -9.0206461
                 11.5576                      -9.2724882
                  11.584                      -9.5367436
                 11.6104                      -9.8138639
                 11.6368                      -10.104195
                 11.6632                      -10.407967
                 11.6896                      -10.725283
                  11.716                      -11.056094
                 11.7424                      -11.400152
                 11.7688                      -11.756964
                 11.7952                      -12.125688
                 11.8216                      -12.505025
                  11.848                      -12.893063
                 11.8744                       -13.28708
                 11.9008                      -13.683322
                 11.9272                      -14.076755
                 11.9536                      -14.460835
                   11.98                      -14.827351
                 12.0064                      -15.166429
                 12.0328                      -15.466816
                 12.0592                      -15.716547
                 12.0856                      -15.904037
                  12.112                      -16.019497
                 12.1384                      -16.056392
                 12.1648                      -16.012543
                 12.1912                      -15.890489
                 12.2176                      -15.697005
                  12.244                      -15.441939
                 12.2704                      -15.136764
                 12.2968                      -14.793225
                 12.3232                      -14.422341
                 12.3496                      -14.033824
                  12.376                      -13.635851
