        Frequency / GHz                S1,1 (Lf=9.75)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.21183356
              0.12639999                     -0.20295903
              0.15279999                     -0.19237831
              0.17919999                     -0.18030464
              0.20559999                     -0.16698022
              0.23199999                     -0.15266884
              0.25839999                     -0.13765079
              0.28479999                     -0.12221565
              0.31119999                      -0.1066593
              0.33759999                    -0.091271751
              0.36399999                    -0.076339663
              0.39039999                    -0.062135587
              0.41679999                    -0.048913673
              0.44319999                    -0.036907106
              0.46959999                    -0.026325997
              0.49599999                    -0.017349448
              0.52240002                    -0.010128359
              0.54879999                    -0.004779075
              0.57520002                   -0.0013861272
              0.60159999                   1.7282451e-07
              0.62800002                   -0.0006369125
              0.65439999                   -0.0032773143
              0.68080002                   -0.0078703688
              0.70719999                    -0.014332248
              0.73360002                    -0.022549367
              0.75999999                    -0.032380548
              0.78640002                    -0.043658891
              0.81279999                    -0.056197554
              0.83920002                    -0.069787098
              0.86559999                    -0.084207262
              0.89200002                       -0.099225
              0.91839999                     -0.11460081
              0.94480002                     -0.13009587
              0.97119999                     -0.14547309
              0.99760002                     -0.16050232
                   1.024                     -0.17496779
                  1.0504                     -0.18866919
                  1.0768                     -0.20142784
                  1.1032                     -0.21309096
                  1.1296                     -0.22353222
                   1.156                     -0.23265517
                  1.1824                     -0.24039651
                  1.2088                     -0.24672662
                  1.2352                     -0.25164823
                  1.2616                     -0.25519783
                   1.288                     -0.25744197
                  1.3144                     -0.25847774
                  1.3408                     -0.25842986
                  1.3672                     -0.25744495
                  1.3936                     -0.25569016
                    1.42                     -0.25335007
                  1.4464                       -0.250619
                  1.4728                     -0.24770261
                  1.4992                     -0.24480655
                  1.5256                     -0.24213843
                   1.552                     -0.23990129
                  1.5784                     -0.23829194
                  1.6048                     -0.23749606
                  1.6312                     -0.23768455
                  1.6576                     -0.23901621
                   1.684                     -0.24162853
                  1.7104                     -0.24564307
                  1.7368                     -0.25116078
                  1.7632                      -0.2582602
                  1.7896                     -0.26700179
                   1.816                     -0.27742206
                  1.8424                     -0.28953945
                  1.8688                     -0.30335196
                  1.8952                     -0.31883776
                  1.9216                     -0.33595864
                   1.948                     -0.35466161
                  1.9744                     -0.37487996
               2.0007999                      -0.3965315
                  2.0272                     -0.41952976
               2.0536001                     -0.44377541
               2.0799999                     -0.46916968
                  2.1064                     -0.49560762
               2.1328001                     -0.52298585
                  2.1592                     -0.55120398
                  2.1856                     -0.58016694
               2.2119999                      -0.6097873
                  2.2384                     -0.63998763
               2.2648001                     -0.67070243
               2.2911999                     -0.70187903
                  2.3176                     -0.73348319
               2.3440001                     -0.76549434
                  2.3704                     -0.79790919
                  2.3968                     -0.83074651
               2.4231999                     -0.86403701
                  2.4496                     -0.89783569
               2.4760001                     -0.93220928
               2.5023999                     -0.96724501
                  2.5288                      -1.0030417
               2.5552001                      -1.0397144
                  2.5816                      -1.0773877
                   2.608                      -1.1161969
               2.6343999                       -1.156283
                  2.6608                      -1.1977918
               2.6872001                      -1.2408705
               2.7135999                      -1.2856668
                    2.74                      -1.3323227
