        Frequency / GHz                S1,1 (T=0.9)/abs,dB
----------------------------------------------------------------------
                     0.1                      -0.1934564
              0.12639999                     -0.18577641
              0.15279999                     -0.17660247
              0.17919999                     -0.16611024
              0.20559999                      -0.1544977
              0.23199999                     -0.14198143
              0.25839999                     -0.12879768
              0.28479999                      -0.1151853
              0.31119999                     -0.10139343
              0.33759999                    -0.087667572
              0.36399999                    -0.074253154
              0.39039999                    -0.061381752
              0.41679999                    -0.049276349
              0.44319999                    -0.038141281
              0.46959999                    -0.028163469
              0.49599999                    -0.019506851
              0.52240002                    -0.012310309
              0.54879999                   -0.0066899994
              0.57520002                    -0.002728921
              0.60159999                  -0.00049016501
              0.62800002                  -9.8163627e-08
              0.65439999                   -0.0012634884
              0.68080002                   -0.0042522243
              0.70719999                   -0.0089118495
              0.73360002                    -0.015165876
              0.75999999                    -0.022907558
              0.78640002                    -0.032011754
              0.81279999                    -0.042330206
              0.83920002                    -0.053699354
              0.86559999                    -0.065939292
              0.89200002                    -0.078858839
              0.91839999                    -0.092258855
              0.94480002                     -0.10593666
              0.97119999                     -0.11968644
              0.99760002                     -0.13330586
                   1.024                     -0.14660021
                  1.0504                     -0.15938529
                  1.0768                     -0.17148913
                  1.1032                     -0.18275796
                  1.1296                     -0.19305877
                   1.156                     -0.20227889
                  1.1824                     -0.21033334
                  1.2088                     -0.21716113
                  1.2352                     -0.22272939
                  1.2616                     -0.22703072
                   1.288                     -0.23008668
                  1.3144                     -0.23194359
                  1.3408                      -0.2326729
                  1.3672                     -0.23236885
                  1.3936                     -0.23114454
                    1.42                     -0.22913286
                  1.4464                     -0.22647819
                  1.4728                     -0.22334005
                  1.4992                     -0.21988072
                  1.5256                     -0.21627149
                   1.552                     -0.21268342
                  1.5784                     -0.20928502
                  1.6048                     -0.20624117
                  1.6312                     -0.20370961
                  1.6576                     -0.20183817
                   1.684                     -0.20076188
                  1.7104                     -0.20060226
                  1.7368                     -0.20146797
                  1.7632                     -0.20344983
                  1.7896                     -0.20662085
                   1.816                     -0.21103775
                  1.8424                     -0.21673936
                  1.8688                     -0.22374683
                  1.8952                     -0.23206521
                  1.9216                     -0.24168173
                   1.948                     -0.25256884
                  1.9744                      -0.2646832
               2.0007999                        -0.27797
                  2.0272                     -0.29236181
               2.0536001                      -0.3077818
               2.0799999                     -0.32414336
                  2.1064                     -0.34135555
               2.1328001                     -0.35932125
                  2.1592                      -0.3779421
                  2.1856                     -0.39711921
               2.2119999                     -0.41675459
                  2.2384                     -0.43675451
               2.2648001                     -0.45703194
               2.2911999                     -0.47750535
                  2.3176                     -0.49810272
               2.3440001                     -0.51876284
                  2.3704                     -0.53943678
                  2.3968                     -0.56008735
               2.4231999                     -0.58069223
                  2.4496                     -0.60124036
               2.4760001                     -0.62173838
               2.5023999                      -0.6422054
                  2.5288                     -0.66267366
               2.5552001                     -0.68319012
                  2.5816                     -0.70381212
                   2.608                     -0.72461137
               2.6343999                     -0.74566686
                  2.6608                     -0.76706705
               2.6872001                     -0.78890779
               2.7135999                     -0.81128827
                    2.74                     -0.83431471
               2.7664001                     -0.85808991
               2.7927999                     -0.88271831
                  2.8192                     -0.90830428
               2.8455999                     -0.93494306
                   2.872                     -0.96272704
               2.8984001                       -0.991742
               2.9247999                      -1.0220593
                  2.9512                      -1.0537433
               2.9776001                      -1.0868442
               3.0039999                      -1.1213982
                  3.0304                      -1.1574262
