        Frequency / GHz                S1,1 (W=0.9)/abs,dB
----------------------------------------------------------------------
                     0.1                   6.3574978e-08
              0.12639999                   -0.0019692789
              0.15279999                   -0.0043276605
              0.17919999                   -0.0070322947
              0.20559999                    -0.010037692
              0.23199999                    -0.013289832
              0.25839999                    -0.016734452
              0.28479999                    -0.020313932
              0.31119999                    -0.023968731
              0.33759999                    -0.027642652
              0.36399999                    -0.031278754
              0.39039999                    -0.034825581
              0.41679999                    -0.038233676
              0.44319999                    -0.041460922
              0.46959999                    -0.044469135
              0.49599999                    -0.047229876
              0.52240002                    -0.049722681
              0.54879999                    -0.051932843
              0.57520002                    -0.053855014
              0.60159999                     -0.05549322
              0.62800002                    -0.056858844
              0.65439999                    -0.057971927
              0.68080002                    -0.058857959
              0.70719999                    -0.059550337
              0.73360002                    -0.060087274
              0.75999999                    -0.060512535
              0.78640002                    -0.060872449
              0.81279999                    -0.061214794
              0.83920002                     -0.06158833
              0.86559999                    -0.062044712
              0.89200002                    -0.062631701
              0.91839999                    -0.063395544
              0.94480002                    -0.064376295
              0.97119999                    -0.065616461
              0.99760002                    -0.067145297
                   1.024                    -0.068994204
                  1.0504                    -0.071184401
                  1.0768                    -0.073730995
                  1.1032                    -0.076644433
                  1.1296                    -0.079928299
                   1.156                    -0.083579239
                  1.1824                    -0.087589316
                  1.2088                    -0.091945802
                  1.2352                    -0.096629941
                  1.2616                     -0.10162142
                   1.288                     -0.10689473
                  1.3144                     -0.11242369
                  1.3408                     -0.11818155
                  1.3672                      -0.1241414
                  1.3936                     -0.13027467
                    1.42                     -0.13655817
                  1.4464                     -0.14296971
                  1.4728                     -0.14949159
                  1.4992                     -0.15610884
                  1.5256                     -0.16281271
                   1.552                     -0.16959999
                  1.5784                     -0.17647315
                  1.6048                     -0.18343927
                  1.6312                     -0.19051588
                  1.6576                     -0.19772154
                   1.684                     -0.20508302
                  1.7104                     -0.21263384
                  1.7368                     -0.22041188
                  1.7632                     -0.22845954
                  1.7896                     -0.23682503
                   1.816                     -0.24555731
                  1.8424                     -0.25471087
                  1.8688                     -0.26434214
                  1.8952                     -0.27450657
                  1.9216                      -0.2852638
                   1.948                     -0.29666937
                  1.9744                     -0.30878272
               2.0007999                     -0.32165697
                  2.0272                     -0.33534788
               2.0536001                     -0.34990618
               2.0799999                     -0.36537971
                  2.1064                      -0.3818141
               2.1328001                     -0.39925282
                  2.1592                     -0.41773395
                  2.1856                     -0.43729229
               2.2119999                     -0.45795974
                  2.2384                     -0.47976609
               2.2648001                     -0.50273675
               2.2911999                     -0.52689367
                  2.3176                     -0.55225884
               2.3440001                     -0.57885053
                  2.3704                     -0.60668515
                  2.3968                      -0.6357794
               2.4231999                     -0.66614781
                  2.4496                     -0.69780689
               2.4760001                     -0.73077089
               2.5023999                     -0.76505628
                  2.5288                     -0.80067926
               2.5552001                      -0.8376593
                  2.5816                     -0.87601402
                   2.608                     -0.91576748
               2.6343999                     -0.95694007
                  2.6608                     -0.99955823
               2.6872001                      -1.0436458
               2.7135999                      -1.0892308
                    2.74                      -1.1363399
               2.7664001                      -1.1849996
               2.7927999                      -1.2352395
                  2.8192                      -1.2870819
               2.8455999                      -1.3405503
                   2.872                       -1.395664
               2.8984001                      -1.4524387
               2.9247999                      -1.5108827
                  2.9512                      -1.5709999
               2.9776001                       -1.632781
               3.0039999                      -1.6962108
                  3.0304                      -1.7612607
               3.0567999                      -1.8278917
                  3.0832                      -1.8960471
               3.1096001                      -1.9656572
               3.1359999                      -2.0366321
                  3.1624                       -2.108869
               3.1888001                        -2.18224
               3.2151999                      -2.2566007
                  3.2416                      -2.3317841
               3.2679999                      -2.4076024
                  3.2944                      -2.4838477
               3.3208001                      -2.5602882
               3.3471999                      -2.6366784
                  3.3736                      -2.7127465
               3.4000001                      -2.7882106
               3.4263999                       -2.862769
                  3.4528                      -2.9361154
               3.4791999                      -3.0079298
                  3.5056                      -3.0778899
               3.5320001                      -3.1456757
               3.5583999                       -3.210973
                  3.5848                      -3.2734786
               3.6112001                       -3.332905
               3.6375999                      -3.3889885
                   3.664                      -3.4414925
               3.6903999                      -3.4902112
                  3.7168                      -3.5349783
               3.7432001                      -3.5756679
               3.7695999                      -3.6121967
                   3.796                      -3.6445268
               3.8224001                      -3.6726682
               3.8487999                      -3.6966776
                  3.8752                      -3.7166529
               3.9015999                      -3.7327385
                   3.928                      -3.7451151
               3.9544001                      -3.7540016
               3.9807999                      -3.7596425
               4.0071998                      -3.7623096
               4.0335999                      -3.7622938
               4.0599999                      -3.7598975
                  4.0864                      -3.7554308
               4.1128001                      -3.7492097
               4.1392002                      -3.7415418
               4.1655998                      -3.7327319
               4.1919999                        -3.72307
                  4.2184                      -3.7128338
               4.2448001                      -3.7022823
               4.2712002                      -3.6916556
               4.2975998                      -3.6811709
               4.3239999                      -3.6710246
                  4.3504                      -3.6613907
               4.3768001                      -3.6524214
