        Frequency / GHz                S1,1 (Lf=8.1)/abs,dB
----------------------------------------------------------------------
                     0.1                      -0.1862664
              0.12639999                       -0.179984
              0.15279999                     -0.17244198
              0.17919999                     -0.16376178
              0.20559999                      -0.1540856
              0.23199999                     -0.14356734
              0.25839999                     -0.13237311
              0.28479999                     -0.12067999
              0.31119999                     -0.10867008
              0.33759999                    -0.096528285
              0.36399999                    -0.084440264
              0.39039999                    -0.072587385
              0.41679999                    -0.061147309
              0.44319999                    -0.050288136
              0.46959999                    -0.040169014
              0.49599999                    -0.030934386
              0.52240002                    -0.022716813
              0.54879999                    -0.015631332
              0.57520002                   -0.0097769905
              0.60159999                   -0.0052337174
              0.62800002                   -0.0020652769
              0.65439999                  -0.00031208782
              0.68080002                  -1.9077377e-07
              0.70719999                   -0.0011299796
              0.73360002                   -0.0036891811
              0.75999999                   -0.0076420538
              0.78640002                    -0.012939026
              0.81279999                    -0.019510303
              0.83920002                    -0.027271633
              0.86559999                    -0.036125211
              0.89200002                    -0.045958712
              0.91839999                     -0.05665096
              0.94480002                    -0.068070529
              0.97119999                    -0.080077568
              0.99760002                    -0.092530654
                   1.024                     -0.10528347
                  1.0504                     -0.11818946
                  1.0768                     -0.13110507
                  1.1032                     -0.14389092
                  1.1296                     -0.15641465
                   1.156                     -0.16855267
                  1.1824                     -0.18019184
                  1.2088                     -0.19123371
                  1.2352                     -0.20159164
                  1.2616                     -0.21119828
                   1.288                     -0.22000143
                  1.3144                     -0.22796744
                  1.3408                     -0.23508211
                  1.3672                     -0.24134713
                  1.3936                     -0.24678706
                    1.42                     -0.25143795
                  1.4464                      -0.2553593
                  1.4728                     -0.25862287
                  1.4992                     -0.26131681
                  1.5256                      -0.2635403
                   1.552                     -0.26540531
                  1.5784                     -0.26703232
                  1.6048                     -0.26855014
                  1.6312                       -0.270092
                  1.6576                     -0.27179507
                   1.684                     -0.27379819
                  1.7104                      -0.2762394
                  1.7368                     -0.27925511
                  1.7632                     -0.28297836
                  1.7896                     -0.28753752
                   1.816                     -0.29305174
                  1.8424                     -0.29963558
                  1.8688                     -0.30739461
                  1.8952                      -0.3164239
                  1.9216                     -0.32680885
                   1.948                     -0.33862547
