        Frequency / GHz                S1,1 (Fg=-1.37)/abs,dB
----------------------------------------------------------------------
                     0.1                      0.16922006
              0.12639999                      0.15838616
              0.15279999                      0.14533219
              0.17919999                      0.13025015
              0.20559999                      0.11335847
              0.23199999                     0.094901683
              0.25839999                     0.075153368
              0.28479999                     0.054401849
              0.31119999                     0.032958729
              0.33759999                     0.011139387
              0.36399999                    -0.010729681
              0.39039999                    -0.032321389
              0.41679999                     -0.05331487
              0.44319999                    -0.073399634
              0.46959999                    -0.092281543
              0.49599999                     -0.10969125
              0.52240002                     -0.12538481
              0.54879999                     -0.13915416
              0.57520002                     -0.15082525
              0.60159999                     -0.16026862
              0.62800002                     -0.16739714
              0.65439999                     -0.17216889
              0.68080002                     -0.17458744
              0.70719999                     -0.17470139
              0.73360002                     -0.17260557
              0.75999999                     -0.16843317
              0.78640002                     -0.16235217
              0.81279999                     -0.15456887
              0.83920002                     -0.14531246
              0.86559999                     -0.13483673
              0.89200002                     -0.12341069
              0.91839999                     -0.11131586
              0.94480002                    -0.098837787
              0.97119999                     -0.08626141
              0.99760002                     -0.07386755
                   1.024                    -0.061923451
                  1.0504                    -0.050685067
                  1.0768                    -0.040388584
                  1.1032                    -0.031249062
                  1.1296                    -0.023456527
                   1.156                    -0.017176579
                  1.1824                    -0.012544506
                  1.2088                   -0.0096679253
                  1.2352                   -0.0086249891
                  1.2616                   -0.0094632809
                   1.288                    -0.012202238
                  1.3144                    -0.016831938
                  1.3408                    -0.023313949
                  1.3672                    -0.031585243
                  1.3936                    -0.041557415
                    1.42                    -0.053119637
                  1.4464                    -0.066141666
                  1.4728                    -0.080474198
                  1.4992                     -0.09595624
                  1.5256                     -0.11241269
                   1.552                     -0.12966355
                  1.5784                     -0.14752036
                  1.6048                      -0.1657967
                  1.6312                     -0.18430777
                  1.6576                     -0.20287511
                   1.684                     -0.22132957
                  1.7104                      -0.2395163
                  1.7368                     -0.25729455
                  1.7632                     -0.27454412
                  1.7896                     -0.29116604
                   1.816                     -0.30708277
                  1.8424                     -0.32224542
                  1.8688                     -0.33662803
                  1.8952                     -0.35023136
                  1.9216                     -0.36308365
                   1.948                     -0.37523724
                  1.9744                     -0.38677131
               2.0007999                     -0.39778588
                  2.0272                      -0.4084025
               2.0536001                     -0.41876217
               2.0799999                     -0.42902159
                  2.1064                     -0.43935023
               2.1328001                     -0.44992817
                  2.1592                     -0.46094306
                  2.1856                     -0.47258586
               2.2119999                     -0.48504956
                  2.2384                     -0.49852521
               2.2648001                     -0.51319984
               2.2911999                     -0.52925356
                  2.3176                     -0.54685775
               2.3440001                     -0.56617056
                  2.3704                     -0.58734089
                  2.3968                     -0.61049947
