freq	dB(S11_discrete)
0.00000000000000000E0	-2.05401750375852599E-13
7.81250000000000000E7	-2.20286421892785800E-2
1.56250000000000000E8	-4.40816212216830294E-2
4.16666666700000032E8	-1.12355442852435727E-1
5.90277777799999903E8	-1.51295540552773056E-1
9.37500000000000000E8	-2.07045363732802201E-1
1.40625000000000000E9	-2.43918424321580352E-1
1.87500000000000000E9	-4.41491996523963603E-1
2.50000000000000000E9	-4.81614338616819371E0
2.81250000000000000E9	-1.08231696339715056E1
2.96875000000000000E9	-1.19637405335912406E1
3.28125000000000000E9	-1.10526499173229475E1
3.75000000000000000E9	-1.04814631373241651E1
4.06250000000000000E9	-1.09050093402002490E1
4.68750000000000000E9	-1.06575745037092173E1
5.00000000000000000E9	-7.73342863301006123E0
5.31250000000000000E9	-6.35134532953573405E0
5.62500000000000000E9	-6.77874398603071882E0
5.93750000000000000E9	-8.77701907088146172E0
6.19791666700000032E9	-1.24083104293200908E1
6.71875000000000000E9	-2.24174477984953979E1
7.23958333299999879E9	-1.97611915019534434E1
7.50000000000000000E9	-1.74145169784255094E1
7.91666666599999935E9	-1.47266975362655272E1
8.33333333299999879E9	-1.60737120857312843E1
8.75000000000000000E9	-2.86533578968187586E1
8.95833333300000056E9	-2.53518219130964129E1
9.47916666599999935E9	-1.80874493355493327E1
1.00000000000000000E10	-1.77561514740260828E1
1.02083333400000020E10	-1.02218603574155020E1
1.03125000000000000E10	-3.66720652484498411E0
1.04166666699999988E10	-5.86936138665839291E0
1.12500000000000000E10	-1.26816413350623369E1
1.16666666699999988E10	-1.61651716422764768E1
1.25000000000000000E10	-1.09089224854988931E1
1.29166666700000010E10	-1.01223222075247477E1
1.30709876599999997E10	-1.02555638756506307E1
1.38425925999999988E10	-1.18518174817087663E1
1.43055555599999984E10	-1.20093880848117207E1
1.45370370400000004E10	-1.86525688614848884E1
1.46527777800000036E10	-1.86494796790336004E1
1.47685185200000046E10	-1.31780563266639561E1
1.50000000000000000E10	-8.86649074696421025E0


freq	dB(S11_fitted)
0.00000000000000000E0	-2.05401750375852599E-13
9.78881315678264308E0	-1.99615785576532789E-13
9.78881315678264308E1	-2.63261398369051403E-13
9.78881315678264308E2	-6.23437707126923790E-12
9.78881315678264308E3	-6.03717210456666109E-10
1.23233856343787496E4	-9.56718922894871149E-10
1.55142233344585967E4	-1.51617350269539974E-9
1.95312499999999689E4	-2.40287839435598638E-9
2.45883869491047857E4	-3.80818606157427642E-9
3.09549451652560759E4	-6.03545271058087884E-9
3.89699670892358707E4	-9.56541872846023011E-9
4.90602818654214090E4	-1.51600426441568126E-8
6.17632355501635733E4	-2.40269131781826983E-8
7.77553067487298222E4	-3.80799773593259872E-8
9.78881315678264841E4	-6.03525513875360797E-8
1.23233856343787584E5	-9.56521530276558529E-8
1.55142233344586034E5	-1.51598154712380717E-7
1.95312499999999756E5	-2.40266313150428612E-7
2.45883869491047946E5	-3.80795219836765764E-7
3.09549451652560847E5	-6.03516863441598606E-7
3.89699670892358796E5	-9.56502616104520875E-7
4.90602818654214357E5	-1.51593676998765092E-6
6.17632355501636088E5	-2.40255349529174778E-6
7.77553067487298666E5	-3.80767949322392818E-6
9.78881315678265373E5	-6.03448624672965561E-6
1.23233856343787673E6	-9.56331536436857910E-6
1.55142233344586145E6	-1.51550736494697968E-5
