freq	dB(S11_discrete)
0.00000000000000000E0	-3.47157887959183897E-14
2.08333333299999968E8	-1.15428539608354574E-2
5.55555555500000064E8	-3.70305881160016792E-2
1.25000000000000000E9	-3.40818029335737194E-1
1.45833333299999990E9	-6.82649421564657644E-1
1.97916666700000010E9	-3.20754344172439509E0
2.50000000000000000E9	-9.20034656899334458E0
2.60416666700000032E9	-1.05541630410242249E1
3.12500000000000000E9	-1.39795660617567052E1
3.75000000000000000E9	-1.34162361368100336E1
4.37500000000000000E9	-1.38863753515925925E1
5.00000000000000000E9	-1.53101962561960625E1
5.83333333299999968E9	-1.61832432487246658E1
6.66666666600000024E9	-1.86800949493496171E1
7.08333333299999879E9	-2.08567391508211752E1
7.50000000000000000E9	-2.09453563361942319E1
7.91666666599999935E9	-1.97480885900024639E1
8.33333333299999879E9	-2.02240125984694874E1
8.75000000000000000E9	-2.10217428888408531E1
9.58333333300000056E9	-1.20235113632625423E1
1.00000000000000000E10	-9.20192186505470033E0
1.08333333400000020E10	-6.84878600218263767E0
1.16666666699999988E10	-7.55227881535933143E0
1.20833333400000020E10	-9.26831883466958573E0
1.25000000000000000E10	-1.28607621130915217E1
1.31250000000000000E10	-1.56827881719881179E1
1.37500000000000000E10	-1.22489555282132834E1
1.43750000000000000E10	-9.42259635410157870E0
1.50000000000000000E10	-6.90019431049903798E0


freq	dB(S11_fitted)
0.00000000000000000E0	-3.47157887959183897E-14
8.23509807203752509E0	-3.27871338628118236E-14
8.23509807203752509E1	-5.97883029263040200E-14
8.23509807203752509E2	-2.82547947700159074E-12
8.23509807203752509E3	-2.78856502162623476E-10
1.03673742315051931E4	-4.41943563312882226E-10
1.30517508736219123E4	-7.00412254190156780E-10
1.64311808432093498E4	-1.11005181173241896E-9
2.06856311093017586E4	-1.75930167226358991E-9
2.60416666624999582E4	-2.78827765244397430E-9
3.27845159268941932E4	-4.41908172596030457E-9
4.12732602137377125E4	-7.00376960059011378E-9
5.19599561106675800E4	-1.11001709658196690E-8
6.54137091434290330E4	-1.75925577187962534E-8
8.23509807203752686E4	-2.78822240050778491E-8
1.03673742315051953E5	-4.41901375099081051E-8
1.30517508736219212E5	-7.00361658723328517E-8
1.64311808432093609E5	-1.10998666879021446E-7
2.06856311093017720E5	-1.75918058965678847E-7
2.60416666624999715E5	-2.78803918963005559E-7
3.27845159268942243E5	-4.41855886315173674E-7
4.12732602137377391E5	-7.00247845268964220E-7
5.19599561106676155E5	-1.10970117593564255E-6
6.54137091434290863E5	-1.75846443486492165E-6
8.23509807203753397E5	-2.78624163984954665E-6
1.03673742315052064E6	-4.41404635885030494E-6
1.30517508736219279E6	-6.99115281995504301E-6
1.64311808432093676E6	-1.10685986068317432E-5
2.06856311093017853E6	-1.75134127414690965E-5
2.60416666624999893E6	-2.76840410282849714E-5
3.27845159268942377E6	-4.36945780772875825E-5
4.12732602137377569E6	-6.88000653163172693E-5
5.19599561106676333E6	-1.07927548545535057E-4
6.54137091434291040E6	-1.68334623401877459E-4
8.23509807203753752E6	-2.60253707958448199E-4
1.03673742315052131E7	-3.97115417713170249E-4
1.30517508736219368E7	-5.94536965547315432E-4
1.64311808432093764E7	-8.67005806657804357E-4
2.06856311093017986E7	-1.22198335377384382E-3
2.60416666624999982E7	-1.65401426989919509E-3
2.94440088370690578E7	-1.90991432651475623E-3
3.28623616864187529E7	-2.15024425249145601E-3
4.13712622186035972E7	-2.68080262606665265E-3
5.20833333249999963E7	-3.24797583885635399E-3
6.38129625908469489E7	-3.80138404744638336E-3
7.81249999875000078E7	-4.44781874451463732E-3
9.05480361089449914E7	-5.01631815072811271E-3
1.04166666649999984E8	-5.66433418228415597E-3
1.30208333312499991E8	-6.99355856627050088E-3
1.56249999975000020E8	-8.43388501132239554E-3
1.82291666637500005E8	-9.95948878358451495E-3
2.08333333299999968E8	-1.15428539609146386E-2
2.30034722187499963E8	-1.28905792448490830E-2
2.51736111075000002E8	-1.42549068642646937E-2
2.73437499962499997E8	-1.56313734502485668E-2
2.95138888850000081E8	-1.70189961133939027E-2
3.16840277737500076E8	-1.84197702702396038E-2
3.38541666624999982E8	-1.98381560456020578E-2
3.60243055512499888E8	-2.12806138862012428E-2
3.81944444399999972E8	-2.27552158760177470E-2
4.03645833287500011E8	-2.42713391431081771E-2
4.25347222175000006E8	-2.58394368519469619E-2
4.47048611062500090E8	-2.74708772180531247E-2
4.68749999949999996E8	-2.91778394119093720E-2
4.90451388837499991E8	-3.09732555658106934E-2
5.12152777725000075E8	-3.28707893628571712E-2
5.33854166612500070E8	-3.48848432761270866E-2
5.55555555500000064E8	-3.70305881160549433E-2
5.77256944390625026E8	-3.93240099724692094E-2
5.98958333281249899E8	-4.17819708457993766E-2
6.20659722171875039E8	-4.44222802497580371E-2
6.42361111062500090E8	-4.72637758390344498E-2
6.64062499953124963E8	-5.03264117211427831E-2
6.85763888843750102E8	-5.36313535666869701E-2
7.07465277734375064E8	-5.72010799746216048E-2
7.29166666624999937E8	-6.10594898009777953E-2
7.50868055515624899E8	-6.52320153414835069E-2
7.72569444406249950E8	-6.97457413868401854E-2
7.94270833296875090E8	-7.46295302562888363E-2
8.15972222187500051E8	-7.99141529693655883E-2
8.37673611078125013E8	-8.56324267445762111E-2
8.59374999968749975E8	-9.18193590212361244E-2
8.81076388859375115E8	-9.85122981906690320E-2
9.02777777749999899E8	-1.05751091196835745E-1
9.24479166640625039E8	-1.13578248125332593E-1
9.46180555531250000E8	-1.22039113844125202E-1
9.67881944421874962E8	-1.31182046688756015E-1
9.89583333312499924E8	-1.41058604098427076E-1
1.01128472220312515E9	-1.51723735006601546E-1
1.03298611109374994E9	-1.63235978668609394E-1
1.05468749998437517E9	-1.75657669468695721E-1
1.07638888887499995E9	-1.89055147087608333E-1
1.09809027776562496E9	-2.03498971228446734E-1
1.11979166665624996E9	-2.19064139891449061E-1
1.14149305554687497E9	-2.35830309956540374E-1
1.16319444443749975E9	-2.53882018575617918E-1
1.18489583332812498E9	-2.73308903593589347E-1
1.20659722221874999E9	-2.94205920909745400E-1
1.22829861110937522E9	-3.16673556358676667E-1
1.25000000000000000E9	-3.40818029335733197E-1
1.26302083331249970E9	-3.56155995558309835E-1
1.27604166662500007E9	-3.72163150597292702E-1
1.28906249993750022E9	-3.88865570615923062E-1
1.30208333324999992E9	-4.06290147354320030E-1
1.31510416656249984E9	-4.24464598684824423E-1
1.32812499987499999E9	-4.43417477906807900E-1
1.34114583318749991E9	-4.63178181638592168E-1
1.35416666649999984E9	-4.83776956156084381E-1
1.36718749981249976E9	-5.05244902019144870E-1
1.38020833312499991E9	-5.27613976818118502E-1
1.39322916643750050E9	-5.50916995862728065E-1
1.40624999974999976E9	-5.75187630625365731E-1
1.41927083306250035E9	-6.00460404738574915E-1
1.43229166637499983E9	-6.26770687333666476E-1
1.44531249968749997E9	-6.54154683492077726E-1
1.45833333299999990E9	-6.82649421564649383E-1
1.47460937468749997E9	-7.19887540466031517E-1
1.49088541637499983E9	-7.58995990688285005E-1
1.50716145806250035E9	-8.00052240954816263E-1
1.52343749974999976E9	-8.43135516443414623E-1
1.53971354143750050E9	-8.88326689390219215E-1
1.55598958312499991E9	-9.35708149471981088E-1
1.57226562481249976E9	-9.85363652195808193E-1
1.58854166649999984E9	-1.03737814362208014E0
1.60481770818749991E9	-1.09183755999007714E0
1.62109374987500021E9	-1.14882860124737451E0
1.63736979156249984E9	-1.20843847812348670E0
1.65364583324999970E9	-1.27075463322990023E0
1.66992187493749999E9	-1.33586443766376695E0
1.68619791662499985E9	-1.40385486564566198E0
