freq	dB(S11_discrete)
0.00000000000000000E0	-4.71188231850833006E-8
1.00000000000000000E3	-4.71188231850833006E-8
6.25000958333333401E8	-1.28608921428004530E-1
1.25000091666666657E9	-5.20660778729855611E-1
1.87500087500000001E9	-2.55138997554838109E0
2.50000083333333345E9	-1.72748771797855261E1
2.65625082291666681E9	-1.89792564399576280E1
2.81250081250000017E9	-1.38953193182458468E1
3.12500079166666733E9	-9.52630061463354139E0
3.75000075000000033E9	-8.18287029001719546E0
4.37500070833333510E9	-1.15436973675366450E1
5.00000066666666676E9	-2.58300462856117985E1
5.62500062500000020E9	-1.91363963917008384E1
6.25000058333333364E9	-2.19462728897466164E1
6.56250056250000036E9	-2.04069293454640244E1
6.87500054166666530E9	-1.53732091040095931E1
7.50000050000000051E9	-1.09553692123436286E1
8.75000041666666917E9	-9.67571034423927401E0
9.37500037499999905E9	-9.45990844285863908E0
1.00000003333333343E10	-1.05643380670011400E1
1.06250002916666686E10	-8.44766026526613523E0
1.12500002499999985E10	-9.82475991007934368E0
1.18750002083333372E10	-8.59084964195707634E0
1.25000001666666694E10	-8.14451765387250326E0
1.31250001250000037E10	-8.33183160172069748E0
1.37500000833333336E10	-8.44778138728823969E0
1.40625000625000007E10	-9.87035375214469113E0
1.43750000416666657E10	-1.16115552863889571E1
1.50000000000000000E10	-8.32110564829430288E0


freq	dB(S11_fitted)
0.00000000000000000E0	-4.71188231850833006E-8
1.00000000000000000E3	-4.71188386143228577E-8
1.24566349440529311E3	-4.71240151241913985E-8
1.55150166284117619E3	-4.71320499006863081E-8
1.95322486979166321E3	-4.71452881882189878E-8
2.45896442352907840E3	-4.71662497744732612E-8
3.09565279947855165E3	-4.71994689272215506E-8
3.89719597535530315E3	-4.72521318147838176E-8
4.90627904811674576E3	-4.73355982147783383E-8
6.17663937102746985E3	-4.74678721211049126E-8
7.77592826367482370E3	-4.76775236637741173E-8
9.78931369142873109E3	-4.80097836585326920E-8
1.23240157701641939E4	-4.85363951763244295E-8
1.55150166284117685E4	-4.93710148173653973E-8
1.95322486979166388E4	-5.06937934184581440E-8
2.45896442352907885E4	-5.27902577368006032E-8
3.09565279947855299E4	-5.61129338687842516E-8
3.89719597535530360E4	-6.13790114442797208E-8
4.90627904811674753E4	-6.97251770121596870E-8
6.17663937102747163E4	-8.29529601701672092E-8
7.77592826367482637E4	-1.03917556202177996E-7
9.78931369142873464E4	-1.37144174089997684E-7
1.23240157701641984E5	-1.89804697826098656E-7
1.55150166284117774E5	-2.73265736001560056E-7
1.95322486979166499E5	-4.05541910051571186E-7
2.45896442352908018E5	-6.15183860153360129E-7
3.09565279947855476E5	-9.47439764326182932E-7
3.89719597535530671E5	-1.47401937067090527E-6
4.90627904811675020E5	-2.30856540320847881E-6
6.17663937102747518E5	-3.63116538679297784E-6
7.77592826367482992E5	-5.72717849627597619E-6
9.78931369142873997E5	-9.04871697074769088E-6
1.23240157701642050E6	-1.43119498810887502E-5
1.55150166284117819E6	-2.26509734299558163E-5
1.95322486979166632E6	-3.58608115693156204E-5
2.45896442352908196E6	-5.67803727426692628E-5
3.09565279947855654E6	-8.98939557400876765E-5
3.89719597535530937E6	-1.42270988652254893E-4
4.90627904811675375E6	-2.25021607962809522E-4
6.17663937102747873E6	-3.55519914788096303E-4
7.77592826367483347E6	-5.60722243814137933E-4
9.78931369142874530E6	-8.81929199076028070E-4
1.23240157701642117E7	-1.38115594903680661E-3
1.55150166284117907E7	-2.14853807443314127E-3
1.95322486979166676E7	-3.30826319119132117E-3
2.20838852154573484E7	-4.14011138623003561E-3
2.46474005829839449E7	-5.03740768776057113E-3
3.10292389285888648E7	-7.46878891216026197E-3
3.90634973958333376E7	-1.07361210213069502E-2
4.78607453869679045E7	-1.43022825183455904E-2
5.85947460937499986E7	-1.83383197134710230E-2
6.79120491919959601E7	-2.14267677788287214E-2
7.81259947916666686E7	-2.43373931098382501E-2
9.76572434895833474E7	-2.86800733142064335E-2
1.17188492187499982E8	-3.18400278210129084E-2
1.36719740885416696E8	-3.42850036505132083E-2
1.56250989583333344E8	-3.63565560773920327E-2
1.75782238281249970E8	-3.82799386804120623E-2
1.95313486979166706E8	-4.01972926740491321E-2
2.14844735677083332E8	-4.21962515041487851E-2
2.34375984375000002E8	-4.43299670704970783E-2
2.53907233072916672E8	-4.66301460463218476E-2
2.73438481770833386E8	-4.91152824091308471E-2
2.92969730468750011E8	-5.17957902878745546E-2
3.12500979166666681E8	-5.46771903889006339E-2
3.32032227864583396E8	-5.77620885760031921E-2
3.51563476562499977E8	-6.10514082074777953E-2
3.71094725260416691E8	-6.45451617058762750E-2
3.90625973958333361E8	-6.82429373045872811E-2
4.10157222656250031E8	-7.21442094523121380E-2
4.29688471354166701E8	-7.62485399294772392E-2
4.49219720052083282E8	-8.05557112705259470E-2
4.68750968749999952E8	-8.50658183933859746E-2
4.88282217447916711E8	-8.97793346264821324E-2
5.07813466145833381E8	-9.46971622870629126E-2
5.27344714843750140E8	-9.98206741969257294E-2
5.46875963541666721E8	-1.05151750160966007E-1
5.66407212239583391E8	-1.10692810952084808E-1
5.85938460937499972E8	-1.16446851415166375E-1
6.05469709635416731E8	-1.22417473719679171E-1
6.25000958333333401E8	-1.28608921427992806E-1
6.44532207031249982E8	-1.35026114824084509E-1
6.64063455729166652E8	-1.41674687815362188E-1
6.83594704427083322E8	-1.48561026644938377E-1
7.03125953125000080E8	-1.55692310614225282E-1
7.22657201822916750E8	-1.63076555001623502E-1
7.42188450520833420E8	-1.70722656364597558E-1
7.61719699218750002E8	-1.78640440423851055E-1
7.81250947916666671E8	-1.86840712746583648E-1
8.00782196614583341E8	-1.95335312468353450E-1
8.20313445312499923E8	-2.04137169318709866E-1
8.39844694010416859E8	-2.13260364243841716E-1
8.59375942708333262E8	-2.22720193949431611E-1
8.78907191406250021E8	-2.32533239718169016E-1
8.98438440104166958E8	-2.42717440889666047E-1
9.17969688802083184E8	-2.53292173425307920E-1
9.37500937499999942E8	-2.64278334016492211E-1
9.57032186197916701E8	-2.75698430233539904E-1
9.76563434895833460E8	-2.87576677252295632E-1
9.96094683593749863E8	-2.99939101738023561E-1
1.01562593229166653E9	-3.12813653510780387E-1
1.03515718098958365E9	-3.26230325663588250E-1
1.05468842968750010E9	-3.40221283854681200E-1
1.07421967838541677E9	-3.54821005547142088E-1
1.09375092708333366E9	-3.70066430025062498E-1
1.11328217578125011E9	-3.85997120073034328E-1
1.13281342447916655E9	-4.02655436266970490E-1
1.15234467317708367E9	-4.20086724888026986E-1
1.17187592187500011E9	-4.38339520537382121E-1
1.19140717057291678E9	-4.57465764598618652E-1
1.21093841927083345E9	-4.77521040764689531E-1
1.23046966796874990E9	-4.98564828918646974E-1
1.25000091666666657E9	-5.20660778729858720E-1
1.26953216536458369E9	-5.43877004400045116E-1
1.28906341406249991E9	-5.68286402064622109E-1
1.30859466276041680E9	-5.93966991423591217E-1
1.32812591145833325E9	-6.21002283240295494E-1
1.34765716015624970E9	-6.49481674404412779E-1
1.36718840885416681E9	-6.79500872304688119E-1
1.38671965755208326E9	-7.11162350294589718E-1
1.40625090625000015E9	-7.44575836057032170E-1
1.42578215494791705E9	-7.79858834678927160E-1
1.44531340364583372E9	-8.17137188228236155E-1
1.46484465234375039E9	-8.56545673581313594E-1
1.48437590104166661E9	-8.98228640171162773E-1
1.50390714973958350E9	-9.42340689213195404E-1
1.52343839843749995E9	-9.89047395808383101E-1
1.54296964713541684E9	-1.03852607511932193E0
1.56250089583333351E9	-1.09096659355826886E0
1.58203214453124974E9	-1.14657222561345895E0
1.60156339322916663E9	-1.20556055656915628E0
1.62109464192708330E9	-1.26816443094595299E0
1.64062589062499953E9	-1.33463294600443483E0
1.66015713932291642E9	-1.40523248912595045E0
