freq	dB(S11_discrete)
0.00000000000000000E0	-2.41081866638322140E-14
1.15740740799999986E8	-6.24027780315695857E-3
3.47222222300000016E8	-1.95529257449688632E-2
1.04166666699999988E9	-1.66181539392984012E-1
1.25000000000000000E9	-3.38263053208620335E-1
1.87500000000000000E9	-2.51079646974104342E0
2.50000000000000000E9	-1.00526644615672844E1
3.12500000000000000E9	-1.43750767818219627E1
3.75000000000000000E9	-1.29148123702744355E1
4.58333333299999968E9	-1.36837889360845799E1
5.00000000000000000E9	-1.47640188217564350E1
5.62500000000000000E9	-1.59291775177063610E1
6.25000000000000000E9	-1.75457066483052904E1
7.08333333299999879E9	-2.45561351829477381E1
7.50000000000000000E9	-2.31442008245452469E1
7.70833333299999879E9	-2.09578754484690943E1
8.12500000000000000E9	-1.85408253942157475E1
8.75000000000000000E9	-1.86918210318388534E1
9.37500000000000000E9	-1.41585417760236032E1
1.00000000000000000E10	-9.43935105990372136E0
1.08333333400000020E10	-6.97653892614498439E0
1.16666666699999988E10	-7.49652307465101764E0
1.19444444499999980E10	-8.38234371544652035E0
1.25000000000000000E10	-1.27300216796360521E1
1.31250000000000000E10	-1.61696370998218697E1
1.37500000000000000E10	-1.27103481555987341E1
1.45833333299999990E10	-8.96435771005293702E0
1.50000000000000000E10	-7.05314567506198209E0


freq	dB(S11_fitted)
0.00000000000000000E0	-2.41081866638322140E-14
9.15010897507945309E0	-2.12152042641723382E-14
9.15010897507945309E1	-2.79654965300453640E-14
9.15010897507945309E2	-7.91712850040284799E-13
9.15010897507945309E3	-7.71384827048730948E-11
1.15193047094134071E4	-1.22243935625954170E-10
1.45019454248807644E4	-1.93736281015115641E-10
1.82568676158345577E4	-3.07035115063727426E-10
2.29840345813361102E4	-4.86612175893484622E-10
2.89351851999999488E4	-7.71213176790496746E-10
3.64272399432504335E4	-1.22228024230495858E-9
4.58591780460814924E4	-1.93717187350719189E-9
5.77332846062051708E4	-3.07019878738590446E-9
7.26818990970967072E4	-4.86592407303086461E-9
9.15010897507945842E4	-7.71194372713021270E-9
1.15193047094134138E5	-1.22226018506762446E-8
1.45019454248807733E5	-1.93714873159211431E-8
1.82568676158345689E5	-3.07016928384882215E-8
2.29840345813361324E5	-4.86588213705256578E-8
2.89351851999999665E5	-7.71188213741698103E-8
3.64272399432504557E5	-1.22224582432789508E-7
4.58591780460815279E5	-1.93711643641923770E-7
5.77332846062052063E5	-3.07009101000328366E-7
7.26818990970967782E5	-4.86568715697381027E-7
9.15010897507946730E5	-7.71139580728042162E-7
1.15193047094134227E6	-1.22212397406996209E-6
1.45019454248807778E6	-1.93681068051037686E-6
1.82568676158345755E6	-3.06932344304337024E-6
2.29840345813361413E6	-4.86375978441001866E-6
2.89351851999999887E6	-7.70655624051109989E-6
3.64272399432504779E6	-1.22090898660459213E-5
4.58591780460815368E6	-1.93376124918206482E-5
5.77332846062052418E6	-3.06167337496663583E-5
7.26818990970967871E6	-4.84458234788906150E-5
9.15010897507946908E6	-7.65853779123761669E-5
1.15193047094134271E7	-1.20890778195353210E-4
1.45019454248807911E7	-1.90385352482238868E-4
1.82568676158345866E7	-2.98747825915021137E-4
2.29840345813361546E7	-4.66180701121402219E-4
2.89351851999999976E7	-7.21309949940447481E-4
3.27155653965060278E7	-9.05974322678629385E-4
3.65137352316691732E7	-1.10682356558947159E-3
4.59680691626723092E7	-1.66044995803329409E-3
5.78703703999999952E7	-2.43010628275634533E-3
7.09032918152547342E7	-3.31351749517597227E-3
8.68055555999999839E7	-4.38983139525477029E-3
1.00608929077548059E8	-5.29346589936675116E-3
1.15740740799999986E8	-6.24027780315888769E-3
1.44675925987499987E8	-7.93491918264840912E-3
1.73611111174999988E8	-9.53066898059681833E-3
2.02546296362499989E8	-1.10910541564641663E-2
2.31481481549999968E8	-1.26630453299259282E-2
2.60416666737499991E8	-1.42776779526016839E-2
2.89351851925000014E8	-1.59552231113731624E-2
3.18287037112499993E8	-1.77098393571634571E-2
3.47222222300000016E8	-1.95529257449659655E-2
3.68923611196874912E8	-2.09998317710060478E-2
3.90625000093749986E8	-2.25075361587692635E-2
4.12326388990624970E8	-2.40815346902702032E-2
4.34027777887500044E8	-2.57280765893110841E-2
4.55729166784375117E8	-2.74542977125128429E-2
4.77430555681250013E8	-2.92683208736453970E-2
4.99131944578125086E8	-3.11793333681597629E-2
5.20833333474999982E8	-3.31976492891693065E-2
5.42534722371875056E8	-3.53347624057508147E-2
5.64236111268750040E8	-3.76033940187227333E-2
5.85937500165625025E8	-4.00175391874490494E-2
6.07638889062499921E8	-4.25925139425912125E-2
6.29340277959374994E8	-4.53450055037763011E-2
6.51041666856250067E8	-4.82931270621717612E-2
6.72743055753124963E8	-5.14564783363845013E-2
6.94444444650000037E8	-5.48562128407044014E-2
7.16145833546874844E8	-5.85151126004095978E-2
7.37847222443749917E8	-6.24576708951652204E-2
7.59548611340624991E8	-6.67101834968864260E-2
7.81250000237499886E8	-7.13008487833662308E-2
8.02951389134375049E8	-7.62598770467509901E-2
8.24652778031249944E8	-8.16196092681812857E-2
8.46354166928124840E8	-8.74146455933433941E-2
8.68055555825000091E8	-9.36819837118593135E-2
8.89756944721874987E8	-1.00461167313579347E-1
9.11458333618750061E8	-1.07794444762083752E-1
9.33159722515625312E8	-1.15726938088391873E-1
9.54861111412500030E8	-1.24306822361053482E-1
9.76562500309375103E8	-1.33585515431583368E-1
9.98263889206249999E8	-1.43617877981774811E-1
1.01996527810312498E9	-1.54462423711071106E-1
1.04166666699999988E9	-1.66181539392995825E-1
1.06770833362499995E9	-1.81492830408373362E-1
1.09375000025000002E9	-1.98282667807369739E-1
1.11979166687500009E9	-2.16683861476195272E-1
1.14583333350000016E9	-2.36839475445696479E-1
1.15885416681250009E9	-2.47622861673370709E-1
1.17187500012500001E9	-2.58903480047022017E-1
1.18489583343750016E9	-2.70702389649412112E-1
1.19791666675000008E9	-2.83041414209803932E-1
1.21093750006250001E9	-2.95943162813148053E-1
1.22395833337499993E9	-3.09431050430122534E-1
1.23697916668750030E9	-3.23529318177348468E-1
1.25000000000000000E9	-3.38263053208632325E-1
1.26953125000000000E9	-3.61612169567947639E-1
1.28906250000000000E9	-3.86541027595313036E-1
1.30859375000000000E9	-4.13145578440443106E-1
1.32812500000000000E9	-4.41526509760553854E-1
1.34765625000000000E9	-4.71789357466219172E-1
1.36718750000000000E9	-5.04044601301118078E-1
1.38671875000000000E9	-5.38407741088420089E-1
1.40625000000000000E9	-5.74999350219147232E-1
1.42578125000000000E9	-6.13945102713657143E-1
1.44531250000000000E9	-6.55375769966540922E-1
1.46484375000000000E9	-6.99427183097081961E-1
1.48437500000000000E9	-7.46240156683637945E-1
1.50390625000000000E9	-7.95960369573690940E-1
1.52343750000000000E9	-8.48738198444600123E-1
1.54296875000000000E9	-9.04728499858632240E-1
1.56250000000000000E9	-9.64090336721736385E-1
1.58203125000000000E9	-1.02698664533500983E0
1.60156250000000000E9	-1.09358383963036587E0
1.62109375000000000E9	-1.16405134972020807E0
