freq	dB(S11_discrete)
1.00000000000000000E9	-2.56412139003909134E-1
1.29166666700000010E9	-4.84822561886634418E-1
1.58333333400000020E9	-6.89576868532952325E0
1.87500000000000000E9	-2.40891513275379321E0
2.31250000000000000E9	-1.16498508289841274E0
2.75000000000000000E9	-2.60041238028577215E0
3.33333333300000012E9	-1.13443802519511938E1
3.72222222200000052E9	-1.17768423589612126E1
4.11111111100000048E9	-1.18322464031021912E1
4.50000000000000000E9	-1.72986264578844096E1
4.59722222200000097E9	-1.98126037061647553E1
5.08333333299999968E9	-1.90986138326567101E1
5.66666666599999935E9	-1.69908617239072579E1
6.25000000000000000E9	-1.89030490989931721E1
6.68750000000000000E9	-1.20317085645410371E1
7.05208333299999879E9	-9.99665835664699642E0
7.12500000000000000E9	-9.91692332501736473E0
7.41666666700000121E9	-1.07502644326239771E1
7.70833333400000065E9	-1.46706092182468639E1
8.00000000000000000E9	-1.98597485276373265E1
8.21604938200000134E9	-1.35922795226468107E1
8.64814814699999879E9	-8.32308886614635490E0
8.86419752900000013E9	-5.29850682067215839E0
9.29629629399999935E9	-5.05471039995606919E0
9.55555555299999781E9	-5.36825111213455841E0
1.03333333300000008E10	-4.60926290850032494E0
1.07222222199999995E10	-4.82611653632522675E0
1.09814814799999994E10	-5.85768603480857575E0
1.14999999999999991E10	-9.14342097052069036E0
1.20185185200000011E10	-1.79724369285240337E1
1.22777777800000010E10	-1.63253645500252209E1
1.26666666699999997E10	-8.76882302621872967E0
1.31851851800000008E10	-3.42377265111000995E0
1.34444444400000007E10	-7.94962701625326673E-1
1.37685185200000038E10	2.55267510529680397E0
1.38333333299999994E10	3.57860402963257451E0
1.39305555599999975E10	6.02100715260100472E0
1.39791666700000006E10	8.11164983443019416E0
1.40277777800000036E10	1.10080524703806004E1
1.40429687500000000E10	1.17259221752236531E1
1.40581597199999964E10	1.18956833491850378E1
1.40733506999999980E10	1.11962502643999540E1
1.40885416700000010E10	9.72869867471108307E0
1.41189236199999990E10	5.86553684994187741E0
1.41493055599999984E10	2.09056729872783409E0
1.41898148199999996E10	-2.20015562707755441E0
1.42708333400000020E10	-7.71342969993024674E0
1.45138888899999996E10	-7.78607069744204239E0
1.47569444400000016E10	-7.37560475967493101E0
1.50000000000000000E10	-7.72021552491863261E0


freq	dB(S11_fitted)
1.00000000000000000E9	-2.56412139004288564E-1
1.03645833337500015E9	-2.66940444902844920E-1
1.07291666675000008E9	-2.79741779381211675E-1
1.10937500012500001E9	-2.95609071016453040E-1
1.14583333350000016E9	-3.15670649580610974E-1
1.18229166687500009E9	-3.41555342269023487E-1
1.21875000025000002E9	-3.75656836232335856E-1
1.25520833362499995E9	-4.21568727946985788E-1
1.29166666700000010E9	-4.84822561887250281E-1
1.30989583368749996E9	-5.25511555766119542E-1
1.32812500037500003E9	-5.74182647948480618E-1
1.34635416706250011E9	-6.32819438710449678E-1
1.36458333374999996E9	-7.04002783898298201E-1
1.38281250043750004E9	-7.91124427871886660E-1
1.40104166712499989E9	-8.98688925626202639E-1
1.41927083381249974E9	-1.03274474282090134E0
1.43750000049999982E9	-1.20150597378441626E0
1.44661458384375030E9	-1.30227506544365124E0
1.45572916718750012E9	-1.41625757656871021E0
1.46484375053125015E9	-1.54556146770544567E0
1.47395833387499975E9	-1.69268566382754471E0
1.48307291721875023E9	-1.86060129763087301E0
1.49218750056250005E9	-2.05285152572271423E0
1.50130208390625008E9	-2.27367479775207659E0
1.51041666724999990E9	-2.52815820833689120E0
1.51953125059374972E9	-2.82243031051541626E0
1.52864583393750020E9	-3.16390730044779911E0
1.53776041728125024E9	-3.56161426759383826E0
1.54687500062499961E9	-4.02661704630147099E0
1.55598958396875031E9	-4.57262555798062831E0
