freq	dB(S11_discrete)
0.00000000000000000E0	-6.52849694856599783E-13
4.16666666700000032E7	-2.95784404994699557E-2
1.25000000000000000E8	-5.63128424545015971E-2
2.29166666700000032E8	-1.09405250136990473E-1
2.50000000000000000E8	-1.74511471686311381E-1
2.99382716100000046E8	-6.33717885509987067E0
3.24074074100000065E8	-1.91885942239555796E0
3.61111111099999960E8	-5.58485800852212666E-1
4.16666666700000032E8	-1.46356884164959955E0
4.58333333299999968E8	-2.09024247422883880E0
5.00000000000000000E8	-9.23040144423519138E-1
5.69444444499999936E8	-5.95171914495634624E-1
6.56250000100000097E8	-6.56966320739573284E-1
7.14120370400000049E8	-1.47906940288964339E0
7.43055555599999895E8	-3.75658571856978085E0
7.59130658499999811E8	-5.72557204871026038E0
7.91280864199999900E8	-3.18491996404206512E0
8.39506172900000003E8	-2.53361885154648858E0
8.87731481500000186E8	-6.92962173816825633E0
9.07021605000000264E8	-8.13641339933531071E0
9.16666666699999944E8	-8.38101284762231202E0
9.58333333400000065E8	-3.72681549510194010E0
1.00000000000000000E9	-2.13102937996584485E0
1.04166666699999988E9	-1.78417183816535263E0
1.08333333300000012E9	-2.14126099842224349E0
1.16666666599999980E9	-1.17677758579368863E0
1.25000000000000000E9	-1.06480247522667693E0
1.29166666700000010E9	-1.05149860916852700E0
1.36111111199999990E9	-1.28626027577892099E0
1.43055555599999984E9	-1.88543192073829635E0
1.50000000000000000E9	-2.65288422219324449E0
1.51736111100000004E9	-2.70922496138696545E0
1.60416666700000010E9	-3.42899562003621838E0
1.65625000100000008E9	-1.07292137397011822E1
1.70833333400000020E9	-2.34203329639728519E0
1.91666666700000010E9	-1.42566528427387351E0
2.00000000000000000E9	-2.43215566121709159E0
2.03703703699999972E9	-3.05878078718347268E0
2.11111111100000048E9	-4.20005418308698619E0
2.16666666700000032E9	-5.31192220789519975E0
2.22222222200000008E9	-8.52927198514744589E0
2.36111111100000048E9	-1.21231454329434207E1
2.50000000000000000E9	-9.27643694829106558E0
2.54166666700000032E9	-6.92018069562506355E0
2.58333333299999968E9	-5.35941671517554585E0
2.65277777799999992E9	-3.99779251966612925E0
2.76851851900000057E9	-2.37248852965271917E0
2.88425925999999988E9	-2.23968326695715891E0
2.90354938300000054E9	-2.36837704694500628E0
3.00000000000000000E9	-3.00425331497056414E0


freq	dB(S11_fitted)
0.00000000000000000E0	-6.52849694856599783E-13
8.25465204472865643E0	-6.49956712456940000E-13
8.25465204472865643E1	-8.29321621235866679E-13
8.25465204472865643E2	-1.89663926121907567E-11
8.25465204472865643E3	-1.83227233167276404E-9
1.03919912246275881E4	-2.90356782274552749E-9
1.30827418318256616E4	-4.60147076576903480E-9
1.64701961480278980E4	-7.29245549285241434E-9
2.07347484679867256E4	-1.15573885124603848E-8
2.61035017535086711E4	-1.83168496155096228E-8
3.28623616943056751E4	-2.90298614478355299E-8
4.13712622285326415E4	-4.60088427277038914E-8
5.20833333374999352E4	-7.29186901643386598E-8
6.55690318695249896E4	-1.15567908914904982E-7
8.25465204472866354E4	-1.83162265444748562E-7
1.03919912246275947E5	-2.90291882052493078E-7
1.30827418318256727E5	-4.60080349464644200E-7
1.64701961480279091E5	-7.29175568447653255E-7
2.07347484679867478E5	-1.15565932983973219E-6
2.61035017535086933E5	-1.83158194751278147E-6
3.28623616943057062E5	-2.90282553602005544E-6
4.13712622285326681E5	-4.60057798771649740E-6
5.20833333374999707E5	-7.29119814412332534E-6
6.55690318695250340E5	-1.15552017374745675E-5
8.25465204472866709E5	-1.83123331394671363E-5
1.03919912246276036E6	-2.90195077549680436E-5
1.30827418318256772E6	-4.59838198178222335E-5
1.64701961480279202E6	-7.28568451746221957E-5
2.07347484679867566E6	-1.15413594253876028E-4
2.61035017535087022E6	-1.82775891671783919E-4
3.28623616943057106E6	-2.89323369363967764E-4
4.13712622285327036E6	-4.57652592895324428E-4
5.20833333375000063E6	-7.23094397840749803E-4
5.88880176882712369E6	-9.22235429806656271E-4
6.57247233886114213E6	-1.14579918892441501E-3
8.27425244570654073E6	-1.80197615979539294E-3
1.04166666675000008E7	-2.82138370449207754E-3
1.27625925212324121E7	-4.16653953850872050E-3
1.56250000012500001E7	-6.09633751544367364E-3
1.81096072261352958E7	-7.99157593631575924E-3
2.08333333350000016E7	-1.02602288388886875E-2
2.60416666687500031E7	-1.49859407514764098E-2
3.12500000025000002E7	-1.99543864202023213E-2
3.64583333362499928E7	-2.48896861115076984E-2
4.16666666700000032E7	-2.95784404996837935E-2
4.68750000031250114E7	-3.38746281705230601E-2
5.20833333362500106E7	-3.76943531322775405E-2
5.72916666693750098E7	-4.10050754298360687E-2
6.25000000024999913E7	-4.38130392257490442E-2
6.77083333356250172E7	-4.61512915259082490E-2
7.29166666687499987E7	-4.80695129995411818E-2
7.81250000018750068E7	-4.96260604395132887E-2
8.33333333350000061E7	-5.08821404247013653E-2
9.37500000012499868E7	-5.27294110440937303E-2
1.04166666667500030E8	-5.40393218494664929E-2
1.14583333333749993E8	-5.51508180629089217E-2
1.25000000000000000E8	-5.63128424543026274E-2
1.38020833337499993E8	-5.80971515196528721E-2
1.51041666675000008E8	-6.04618530646831509E-2
1.64062500012499979E8	-6.35859443383302292E-2
1.77083333350000016E8	-6.76810775666079323E-2
1.90104166687500009E8	-7.31107387150023413E-2
2.03125000024999958E8	-8.05942388823616263E-2
2.16145833362500017E8	-9.16203852757009685E-2
2.29166666700000032E8	-1.09405250136746313E-1
2.34375000024999958E8	-1.19825904105247805E-1
2.39583333350000016E8	-1.33232638592045460E-1
2.44791666674999986E8	-1.50843976836309634E-1
2.50000000000000000E8	-1.74511471686131348E-1
2.56172839512499984E8	-2.14496859485656710E-1
2.62345679025000056E8	-2.75504706576220304E-1
2.68518518537500039E8	-3.73407489196056597E-1
2.74691358050000067E8	-5.40804342420053263E-1
2.77777777806249926E8	-6.70651726670813542E-1
2.80864197562500006E8	-8.51483471862132824E-1
2.83950617318749998E8	-1.11049042501848905E0
2.87037037074999990E8	-1.49345830823921810E0
2.88580246953125075E8	-1.75431667291921656E0
2.90123456831250071E8	-2.07989396091399392E0
2.91666666709374933E8	-2.48986836186265093E0
2.93209876587500062E8	-3.01017367563897009E0
2.94753086465625014E8	-3.67347079100614948E0
2.96296296343750010E8	-4.51298911418232418E0
2.97839506221875006E8	-5.51211754575669932E0
2.99382716100000046E8	-6.33717885509981471E0
3.00925925975000030E8	-7.44217984052132309E0
3.02469135850000059E8	-9.79997448686079231E0
3.04012345725000044E8	-1.16730144961218429E1
3.05555555600000073E8	-1.18881813943256742E1
3.07098765475000057E8	-1.05228238856133882E1
3.08641975350000042E8	-8.76246819405782773E0
3.10185185225000071E8	-7.20771754087167515E0
3.11728395100000055E8	-5.95916815506614039E0
3.13271604974999995E8	-4.97856876473653109E0
3.14814814850000069E8	-4.20862591644131800E0
3.16358024725000053E8	-3.59976876562631221E0
3.17901234599999949E8	-3.11360027637642967E0
3.19444444475000022E8	-2.72130958248532995E0
3.20987654350000051E8	-2.40143691681745963E0
3.22530864225000036E8	-2.13796407433944591E0
3.24074074100000065E8	-1.91885942239499507E0
3.28703703725000063E8	-1.44682682992825562E0
3.33333333350000061E8	-1.14893214870620120E0
3.37962962975000014E8	-9.50467175187930557E-1
3.42592592600000057E8	-8.12865283096498281E-1
3.47222222225000010E8	-7.14890926345957567E-1
3.51851851850000008E8	-6.44252326337812598E-1
3.56481481474999962E8	-5.93596725486302379E-1
3.61111111099999960E8	-5.58485800852266223E-1
3.64583333324999970E8	-5.40744120697349118E-1
3.68055555549999980E8	-5.29658607577598595E-1
3.71527777774999990E8	-5.24949161036603762E-1
3.75000000000000000E8	-5.26620156176192467E-1
3.78472222225000010E8	-5.34944098864525763E-1
3.81944444450000020E8	-5.50464454845470463E-1
3.85416666675000030E8	-5.74014568290668681E-1
3.88888888900000040E8	-6.06750254383360677E-1
3.92361111124999917E8	-6.50192841494600238E-1
3.95833333349999839E8	-7.06276425320704249E-1
3.99305555574999849E8	-7.77386415634768735E-1
4.02777777799999903E8	-8.66363652144848828E-1
4.04513888912499997E8	-9.18548380432151923E-1
4.06250000024999913E8	-9.76425969001849481E-1
4.07986111137499918E8	-1.04041787952328302E0
4.09722222249999923E8	-1.11092367675977166E0
4.11458333362499928E8	-1.18829455394547279E0
4.13194444475000022E8	-1.27279796583473015E0
4.14930555587500027E8	-1.36457201502209080E0
4.16666666700000032E8	-1.46356884164993040E0
4.19270833362499928E8	-1.62486084387298746E0
4.21875000025000002E8	-1.79916793142488718E0
4.24479166687500076E8	-1.98178265595838576E0
4.27083333349999972E8	-2.16538433093299121E0
4.28385416681249964E8	-2.25455549407740152E0
4.29687500012500045E8	-2.34010803609225526E0
4.30989583343750038E8	-2.42054621767023947E0
4.32291666675000119E8	-2.49436720446955151E0
4.33593750006249934E8	-2.56013232034985183E0
4.34895833337500015E8	-2.61654327255572383E0
4.36197916668750008E8	-2.66251609900901887E0
4.37500000000000000E8	-2.69724481264170635E0
4.38802083331249992E8	-2.72024729520043884E0
4.40104166662499985E8	-2.73138798563435881E0
4.41406249993750066E8	-2.73087499067584227E0
4.42708333324999881E8	-2.71923276901750643E0
4.44010416656249962E8	-2.69725472964302693E0
4.45312499987499955E8	-2.66594228376345432E0
4.46614583318750036E8	-2.62643775571102189E0
4.47916666650000028E8	-2.57995812314497286E0
4.50520833312499924E8	-2.47096560126383302E0
4.53124999974999998E8	-2.34818261299947340E0
4.55729166637500072E8	-2.21932700360656199E0
4.58333333299999968E8	-2.09024247422838005E0
4.60937499968750064E8	-1.96497442618615348E0
4.63541666637500072E8	-1.84606959273383464E0
4.66145833306250079E8	-1.73493671160343843E0
4.68749999974999998E8	-1.63217912360885276E0
4.71354166643750094E8	-1.53786401406562767E0
4.73958333312499924E8	-1.45172358469846596E0
4.76562499981250021E8	-1.37329712489026279E0
4.79166666650000028E8	-1.30202694368976957E0
4.84374999987499955E8	-1.17858910408079876E0
4.89583333324999881E8	-1.07683915016696963E0
4.94791666662499985E8	-9.92762891338452391E-1
5.00000000000000000E8	-9.23040144423758413E-1
5.04340277781250013E8	-8.73955099377846878E-1
5.08680555562500025E8	-8.31713540576909871E-1
5.13020833343750038E8	-7.95275580286853589E-1
5.17361111124999962E8	-7.63779056775995890E-1
5.21701388906249885E8	-7.36506546345963109E-1
5.26041666687499987E8	-7.12858358766614852E-1
5.30381944468749911E8	-6.92330801575500399E-1
5.34722222249999923E8	-6.74498848919899086E-1
5.43402777812499949E8	-6.45535327988761676E-1
5.52083333375000063E8	-6.23685123527068264E-1
5.60763888937499910E8	-6.07293406037742045E-1
5.69444444499999936E8	-5.95171914495909338E-1
5.74869791725000034E8	-5.89384916284888050E-1
5.80295138950000045E8	-5.84796989607292872E-1
5.85720486174999877E8	-5.81307806419277728E-1
5.91145833400000065E8	-5.78854402162088277E-1
5.96571180625000075E8	-5.77409007142785491E-1
6.01996527849999996E8	-5.76977803477743123E-1
6.07421875075000006E8	-5.77600597907325675E-1
6.12847222299999839E8	-5.79351461348769448E-1
6.23697916750000037E8	-5.86716572720430651E-1
6.34548611200000146E8	-6.00450062812920482E-1
6.45399305650000077E8	-6.22746600120149818E-1
6.56250000100000097E8	-6.56966320739412080E-1
6.63483796387500036E8	-6.88848124269746442E-1
6.70717592674999885E8	-7.30453268798302879E-1
6.77951388962500090E8	-7.84784780199476195E-1
6.85185185250000206E8	-8.56036096666452373E-1
6.92418981537499967E8	-9.50174545644750879E-1
6.99652777824999994E8	-1.07585197059732418E0
7.06886574112499932E8	-1.24582034620330995E0
7.14120370400000049E8	-1.47906940288933009E0
7.21354166700000121E8	-1.80376441884443084E0
7.28587963000000105E8	-2.26012854955521014E0
7.35821759299999911E8	-2.89861693575856805E0
7.43055555599999895E8	-3.75658571856935586E0
7.47074331325000163E8	-4.31403002391176393E0
7.51093107049999986E8	-4.88335729724859302E0
7.55111882775000076E8	-5.38777610318479372E0
7.59130658499999811E8	-5.72557204870966707E0
7.63149434212500033E8	-5.81381907582962576E0
7.67168209924999722E8	-5.64184766859698339E0
7.71186985637499856E8	-5.27728051211280480E0
7.75205761350000166E8	-4.81786199358671663E0
7.79224537062499856E8	-4.34386713475108444E0
7.83243312774999900E8	-3.90268119138879443E0
7.87262088487500211E8	-3.51487136451987414E0
7.91280864199999900E8	-3.18491996404175381E0
7.97309027787500035E8	-2.93467044364421792E0
8.03337191375000081E8	-2.68822674873427125E0
8.09365354962499950E8	-2.45478308271764600E0
8.15393518549999818E8	-2.25032118201959364E0
8.21421682137500042E8	-2.10194731124470380E0
8.27449845724999911E8	-2.05365566921273457E0
8.33478009312500134E8	-2.17076895157304506E0
8.39506172900000003E8	-2.53361885154649968E0
8.42520254687500092E8	-2.82870612118747600E0
8.45534336475000003E8	-3.20290886009217912E0
8.48548418262499915E8	-3.64897027388532091E0
