freq	dB(S11_discrete)
0.00000000000000000E0	-5.11093557273243526E-14
1.25000000000000000E8	-1.91751388997325956E-2
2.91666666700000032E8	-4.44196682516399477E-2
3.75000000000000000E8	-5.72213341671731879E-2
7.50000000000000000E8	-1.35577734859104848E-1
1.12500000000000000E9	-3.73820450990161701E-1
1.50000000000000000E9	-1.19520765613614555E0
2.00000000000000000E9	-4.53749124165877227E0
2.33333333299999968E9	-8.85139896094994505E0
2.66666666599999980E9	-1.54814286908335363E1
3.00000000000000000E9	-2.67997340542721973E1
3.66666666700000032E9	-1.67482445652027900E1
4.00000000000000000E9	-1.37687012352768456E1
4.50000000000000000E9	-1.18119239341180782E1
4.87500000000000000E9	-1.21877806025673330E1
5.25000000000000000E9	-1.36775903293914780E1
5.75000000000000000E9	-1.51772371623038538E1
6.00000000000000000E9	-1.50941708933466123E1
6.33333333299999968E9	-1.42910269126840062E1
7.00000000000000000E9	-1.29878198558964830E1
7.83333333299999879E9	-1.78858306508778808E1
8.00000000000000000E9	-2.03048981765608350E1
8.50000000000000000E9	-2.62640495520224215E1
9.00000000000000000E9	-1.70258079053181399E1
1.00000000000000000E10	-1.21933202254402873E1
1.05000000000000004E10	-1.19606052726519585E1
1.10000000000000009E10	-1.22465766688272182E1
1.19999999999999996E10	-1.67392939813388653E1
1.26249999999999996E10	-2.11933633918149233E1
1.32499999999999996E10	-1.53879069900109910E1
1.34583333299999985E10	-1.43735094225617099E1
1.44999999999999996E10	-1.41729768930550892E1
1.48333333299999981E10	-1.47551271797801720E1
1.50000000000000000E10	-1.48201549218272977E1


freq	dB(S11_fitted)
0.00000000000000000E0	-5.11093557273243526E-14
9.85870850750299965E0	-5.01450282607710740E-14
9.85870850750299965E1	-8.19678346570298189E-14
9.85870850750299965E2	-2.54003854690173014E-12
9.85870850750299965E3	-2.48884240173770133E-10
1.24113786675668747E4	-3.94421505758848445E-10
1.56249999999999711E4	-6.25107922321264198E-10
1.96707095592838277E4	-9.90685429253085381E-10
2.47639561322048563E4	-1.57011026656424080E-9
3.11759736713886948E4	-2.48842677692041558E-9
3.92482254923371254E4	-3.94386500752393632E-9
4.94105884401308515E4	-6.25056523869705671E-9
6.22042453989838595E4	-9.90645410171652685E-9
7.83105052542611890E4	-1.57006426942120214E-8
9.85870850750300676E4	-2.48838010667900056E-8
1.24113786675668836E5	-3.94381245973504768E-8
1.56249999999999800E5	-6.25051405314943853E-8
1.96707095592838366E5	-9.90638385308682601E-8
2.47639561322048696E5	-1.57005286455503201E-7
3.11759736713887126E5	-2.48835864389895578E-7
3.92482254923371476E5	-3.94376414071794823E-7
4.94105884401308870E5	-6.25039917271024059E-7
6.22042453989838950E5	-9.90610038632901357E-7
7.83105052542612334E5	-1.56998233983665614E-6
9.85870850750301386E5	-2.48818214073491806E-6
1.24113786675668925E6	-3.94332166039644827E-6
1.56249999999999911E6	-6.24928842471030777E-6
1.96707095592838543E6	-9.90331148643993942E-6
2.47639561322048873E6	-1.56928203868856886E-5
3.11759736713887303E6	-2.48642375680906813E-5
3.92482254923371698E6	-3.93890740280218576E-5
4.94105884401309137E6	-6.23821043953507992E-5
6.22042453989839306E6	-9.87552487360112963E-5
7.83105052542612867E6	-1.56231821964993967E-4
9.85870850750301742E6	-2.46899422291910486E-4
1.24113786675668991E7	-3.89537421565113728E-4
1.56250000000000000E7	-6.12983341812981752E-4
1.76664053050680603E7	-7.79443795574086096E-4
1.97174170150060357E7	-9.65138520079424289E-4
2.48227573351337982E7	-1.50313265872249913E-3
3.12500000000000000E7	-2.31901097798003075E-3
3.82877775606342130E7	-3.36098938277796133E-3
4.68750000000000000E7	-4.79357376542489799E-3
5.43288216740595864E7	-6.13726004028256167E-3
6.25000000000000000E7	-7.67460828395106986E-3
7.81250000000000000E7	-1.06791173760138047E-2
9.37500000000000000E7	-1.36378319351330846E-2
1.09375000000000000E8	-1.64753475680313244E-2
1.25000000000000000E8	-1.91751388997152006E-2
1.45833333337499993E8	-2.25854437611024927E-2
1.66666666675000030E8	-2.58341588666971056E-2
1.87500000012499979E8	-2.89805692364359579E-2
2.08333333350000016E8	-3.20721387304846894E-2
2.29166666687500031E8	-3.51429096674134378E-2
2.50000000024999958E8	-3.82156812484417641E-2
2.70833333362499973E8	-4.13049645240099927E-2
2.91666666700000032E8	-4.44196682516060193E-2
3.12500000024999958E8	-4.75652504544873622E-2
3.33333333350000061E8	-5.07453465146498317E-2
3.54166666675000030E8	-5.39629629878471384E-2
3.75000000000000000E8	-5.72213341671294984E-2
3.98437500000000000E8	-6.09408237892774629E-2
4.21875000000000000E8	-6.47247725646936622E-2
4.45312500000000000E8	-6.85833572702252425E-2
4.68750000000000000E8	-7.25295316634034570E-2
4.92187500000000000E8	-7.65791964194781993E-2
5.15625000000000000E8	-8.07512852748495646E-2
5.39062500000000000E8	-8.50678005374706636E-2
5.62500000000000000E8	-8.95538219495299437E-2
5.85937500000000000E8	-9.42375062005183040E-2
6.09375000000000000E8	-9.91500895262479354E-2
6.32812500000000000E8	-1.04325902303619866E-1
6.56250000000000000E8	-1.09802401998015031E-1
6.67968750000000000E8	-1.12665983169915451E-1
6.79687500000000000E8	-1.15620228962966909E-1
6.91406250000000000E8	-1.18670730158311888E-1
7.03125000000000000E8	-1.21823288211373137E-1
7.14843750000000000E8	-1.25083919362401685E-1
7.26562500000000000E8	-1.28458859209492382E-1
7.38281250000000000E8	-1.31954567745794682E-1
7.50000000000000000E8	-1.35577734859104848E-1
7.61718750000000000E8	-1.39335286289274007E-1
7.73437500000000000E8	-1.43234390035595660E-1
7.85156250000000000E8	-1.47282463203553093E-1
7.96875000000000000E8	-1.51487179276561279E-1
8.08593750000000000E8	-1.55856475795615901E-1
8.20312500000000000E8	-1.60398562426052838E-1
8.32031250000000000E8	-1.65121929387444677E-1
8.43750000000000000E8	-1.70035356218987377E-1
8.67187500000000000E8	-1.80469008939180298E-1
8.90625000000000000E8	-1.91775894420936277E-1
9.14062500000000000E8	-2.04037620814872378E-1
9.37500000000000000E8	-2.17341348737902740E-1
9.60937500000000000E8	-2.31780112708503605E-1
9.84375000000000000E8	-2.47453139165947844E-1
1.00781250000000000E9	-2.64466153911203206E-1
1.03125000000000000E9	-2.82931671506713434E-1
1.04296875000000000E9	-2.92746201534575645E-1
1.05468750000000000E9	-3.02969259039862848E-1
1.06640625000000000E9	-3.13616929714512827E-1
1.07812500000000000E9	-3.24705766691621323E-1
1.08984375000000000E9	-3.36252795420406470E-1
1.10156250000000000E9	-3.48275517743587137E-1
1.11328125000000000E9	-3.60791915126602447E-1
1.12500000000000000E9	-3.73820450990247277E-1
1.13671875000000000E9	-3.87380072100564066E-1
1.14843750000000000E9	-4.01490208972435347E-1
1.16015625000000000E9	-4.16170775245219193E-1
1.17187500000000000E9	-4.31442165992467785E-1
1.18359375000000000E9	-4.47325254929352045E-1
1.19531250000000000E9	-4.63841390484834903E-1
1.20703125000000000E9	-4.81012390708226967E-1
1.21875000000000000E9	-4.98860536982725833E-1
1.23046875000000000E9	-5.17408566521353386E-1
1.24218750000000000E9	-5.36679663623734537E-1
1.25390625000000000E9	-5.56697449675454159E-1
1.26562500000000000E9	-5.77485971874377224E-1
1.27734375000000000E9	-5.99069690672245247E-1
1.28906250000000000E9	-6.21473465922758095E-1
1.30078125000000000E9	-6.44722541730966991E-1
1.31250000000000000E9	-6.68842530002955549E-1
1.32421875000000000E9	-6.93859392697889632E-1
1.33593750000000000E9	-7.19799422789583332E-1
1.34765625000000000E9	-7.46689223948371250E-1
1.35937500000000000E9	-7.74555688958997024E-1
1.37109375000000000E9	-8.03425976895422522E-1
1.38281250000000000E9	-8.33327489078295791E-1
1.39453125000000000E9	-8.64287843846618387E-1
1.40625000000000000E9	-8.96334850181127507E-1
1.41796875000000000E9	-9.29496480222887378E-1
1.42968750000000000E9	-9.63800840737620490E-1
1.44140625000000000E9	-9.99276143582746812E-1
1.45312500000000000E9	-1.03595067524169138E0
1.46484375000000000E9	-1.07385276549715192E0
1.47656250000000000E9	-1.11301075532337834E0
1.48828125000000000E9	-1.15345296408467890E0
1.50000000000000000E9	-1.19520765613622615E0
1.51562500000000000E9	-1.25297090077982420E0
1.53125000000000000E9	-1.31318395426061363E0
1.54687500000000000E9	-1.37591271130059734E0
1.56250000000000000E9	-1.44122238557118587E0
1.57812500000000000E9	-1.50917736418802106E0
1.59375000000000000E9	-1.57984106388559509E0
1.60937500000000000E9	-1.65327579005620562E0
1.62500000000000000E9	-1.72954259989315440E0
1.64062500000000000E9	-1.80870117092316951E0
1.65625000000000000E9	-1.89080967624552509E0
1.67187500000000000E9	-1.97592466781323672E0
1.68750000000000000E9	-2.06410096909490592E0
1.70312500000000000E9	-2.15539157844081863E0
1.71875000000000000E9	-2.24984758444565491E0
1.73437500000000000E9	-2.34751809454963034E0
1.75000000000000000E9	-2.44845017805206000E0
1.76562500000000000E9	-2.55268882462537050E0
1.78125000000000000E9	-2.66027691931456323E0
1.79687500000000000E9	-2.77125523488971037E0
1.81250000000000000E9	-2.88566244228630886E0
1.82812500000000000E9	-3.00353513972608255E0
1.84375000000000000E9	-3.12490790095861559E0
1.85937500000000000E9	-3.24981334290645130E0
1.87500000000000000E9	-3.37828221283688945E0
1.89062500000000000E9	-3.51034349502364629E0
1.90625000000000000E9	-3.64602453670762117E0
1.92187500000000000E9	-3.78535119301788114E0
1.93750000000000000E9	-3.92834799037865823E0
1.95312500000000000E9	-4.07503830780570642E0
1.96875000000000000E9	-4.22544457539111207E0
1.98437500000000000E9	-4.37958848918987975E0
2.00000000000000000E9	-4.53749124165866569E0
2.02083333331250037E9	-4.75391150415771957E0
2.04166666662499985E9	-4.97710110952866902E0
2.06249999993750022E9	-5.20711096448516297E0
2.08333333324999970E9	-5.44399435442419666E0
2.10416666656249962E9	-5.68780822297180144E0
2.12499999987499999E9	-5.93861450739606589E0
2.14583333318750036E9	-6.19648152673508346E0
2.16666666649999984E9	-6.46148542118112257E0
2.18749999981249932E9	-6.73371164325367921E0
2.20833333312499969E9	-7.01325650355758690E0
2.22916666643749961E9	-7.30022877644110935E0
2.24999999974999998E9	-7.59475137363611186E0
2.27083333306250035E9	-7.89696309696339416E0
2.29166666637499983E9	-8.20702048442330323E0
2.31249999968749975E9	-8.52509976746528153E0
2.33333333299999968E9	-8.85139896094976386E0
2.35416666631250049E9	-9.18614011128610031E0
2.37499999962499997E9	-9.52957173245466294E0
2.39583333293750034E9	-9.88197146409193472E0
2.41666666624999982E9	-1.02436489904884453E1
2.43749999956250019E9	-1.06149492641411936E1
2.45833333287500011E9	-1.09962560822243005E1
2.47916666618750003E9	-1.13879960686951343E1
2.49999999949999996E9	-1.17906431181697835E1
2.52083333281249988E9	-1.22047233592854054E1
2.54166666612500070E9	-1.26308206935040945E1
2.56249999943749973E9	-1.30695829577743927E1
2.58333333274999966E9	-1.35217287422315469E1
2.60416666606250047E9	-1.39880548608757449E1
2.62499999937499995E9	-1.44694444137955847E1
2.64583333268749987E9	-1.49668752776884717E1
2.66666666599999980E9	-1.54814286908334697E1
2.70833333274999966E9	-1.65667917094556993E1
2.74999999949999951E9	-1.77365010577902504E1
2.79166666624999982E9	-1.90033066910166104E1
2.83333333299999968E9	-2.03807516001485833E1
2.87499999975000042E9	-2.18795556265076563E1
2.91666666649999984E9	-2.34968536240759462E1
2.95833333325000014E9	-2.51874621608177973E1
3.00000000000000000E9	-2.67997340542714158E1
3.04166666668750008E9	-2.79954776208996226E1
3.08333333337499971E9	-2.83512107392791002E1
3.12500000006249934E9	-2.77884055462883683E1
3.16666666674999986E9	-2.66774992034805924E1
3.20833333343749993E9	-2.54074649129036167E1
3.25000000012500001E9	-2.41768919759616496E1
3.29166666681249964E9	-2.30522607882065067E1
3.33333333350000061E9	-2.20434327828099175E1
3.37500000018750024E9	-2.11409616767087316E1
3.41666666687500031E9	-2.03306069953000446E1
3.45833333356249906E9	-1.95983830121338309E1
3.50000000024999958E9	-1.89320686211943823E1
3.54166666693750054E9	-1.83214613043107954E1
3.58333333362499928E9	-1.77582212406211726E1
3.62500000031249936E9	-1.72356121697909037E1
3.66666666700000032E9	-1.67482445652020862E1
3.70833333362499928E9	-1.62918520834301894E1
3.75000000024999958E9	-1.58631053293854962E1
3.79166666687500031E9	-1.54594581295871736E1
3.83333333350000061E9	-1.50790194108758047E1
3.87500000012500001E9	-1.47204441494244476E1
3.91666666675000030E9	-1.43828379948592344E1
3.95833333337499926E9	-1.40656715045774394E1
4.00000000000000000E9	-1.37687012352763793E1
4.03125000000000000E9	-1.35592026225917350E1
4.06250000000000000E9	-1.33610869733419246E1
4.09375000000000000E9	-1.31744274285525220E1
4.12500000000000000E9	-1.29993132192044469E1
4.15625000000000000E9	-1.28358369238853731E1
4.18750000000000000E9	-1.26840833030331890E1
4.21875000000000000E9	-1.25441199482687993E1
4.25000000000000000E9	-1.24159899531800932E1
4.28125000000000000E9	-1.22997067516661063E1
4.31250000000000000E9	-1.21952511856893375E1
4.34375000000000000E9	-1.21025707625382517E1
4.37500000000000000E9	-1.20215809508546867E1
