freq	dB(S11_discrete)
0.00000000000000000E0	-8.90992025935016763E-8
1.00000000000000000E3	-8.90992025935016763E-8
3.12500979166666681E8	-2.38009199975746499E-1
6.25000958333333401E8	-7.83627784515382686E-1
1.25000091666666657E9	-2.61150617804847451E0
1.87500087500000001E9	-5.78101555607732287E0
2.50000083333333345E9	-1.00441456839817311E1
3.75000075000000033E9	-1.50527323556185921E1
4.37500070833333510E9	-1.11982255816491771E1
5.00000066666666676E9	-1.12423877057919652E1
5.62500062500000020E9	-1.52129295624952077E1
6.25000058333333364E9	-1.45042786920281230E1
6.87500054166666530E9	-1.10513618008467440E1
7.50000050000000051E9	-1.05130791805115553E1
8.75000041666666917E9	-1.52410392218115964E1
9.37500037499999905E9	-1.37817758039346883E1
9.68750035416666933E9	-1.63691464886342786E1
1.00000003333333343E10	-2.41755556843073949E1
1.03125003125000014E10	-1.59561034827255166E1
1.06250002916666686E10	-1.03308921536686493E1
1.12500002499999985E10	-7.44197056619547492E0
1.18750002083333372E10	-9.98722002089965777E0
1.21875001875000000E10	-1.32535878155202869E1
1.25000001666666694E10	-1.45290783903531318E1
1.37500000833333336E10	-3.10028646238356043E1
1.37890625807291700E10	-4.48118992310230535E1
1.38281250781250020E10	-3.51898758536572975E1
1.39062500729166683E10	-2.37911842693385056E1
1.40625000625000007E10	-1.59479880730297463E1
1.43750000416666657E10	-9.86525950499898663E0
1.46875000208333351E10	-7.55419277542391132E0
1.50000000000000000E10	-6.83923067977926014E0


freq	dB(S11_fitted)
0.00000000000000000E0	-8.90992025935016763E-8
1.00000000000000000E3	-8.90992006648466983E-8
1.24566349440529311E3	-8.90856836866093893E-8
1.55150166284117619E3	-8.90647307792012732E-8
1.95322486979166321E3	-8.90302194274744352E-8
2.45896442352907840E3	-8.89755507385078737E-8
3.09565279947855165E3	-8.88888972358036256E-8
3.89719597535530315E3	-8.87515712171973981E-8
4.90627904811674576E3	-8.85338945402783217E-8
6.17663937102746985E3	-8.81889169932115458E-8
7.77592826367482370E3	-8.76421722439658701E-8
9.78931369142873109E3	-8.67756285381482151E-8
1.23240157701641939E4	-8.54022564905302417E-8
1.55150166284117685E4	-8.32256247282708905E-8
1.95322486979166388E4	-7.97758454030183017E-8
2.45896442352907885E4	-7.43083853811487849E-8
3.09565279947855299E4	-6.56430197003977778E-8
3.89719597535530360E4	-5.19093725562916219E-8
4.90627904811674753E4	-3.01430608281396895E-8
6.17663937102747163E4	4.35406387296744057E-9
7.77592826367482637E4	5.90279517335584103E-8
9.78931369142873464E4	1.45679269292095959E-7
1.23240157701641984E5	2.83009992880473282E-7
1.55150166284117774E5	5.00658543756648555E-7
1.95322486979166499E5	8.45593232871284606E-7
2.45896442352908018E5	1.39224022557750771E-6
3.09565279947855476E5	2.25852270876810968E-6
3.89719597535530671E5	3.63125028597816613E-6
4.90627904811675020E5	5.80628020268193179E-6
6.17663937102747518E5	9.25197207855988424E-6
7.77592826367482992E5	1.47092648313385088E-5
9.78931369142873997E5	2.33490541534730678E-5
1.23240157701642050E6	3.70185329926737738E-5
1.55150166284117819E6	5.86239121328604984E-5
1.95322486979166632E6	9.27178384786645182E-5
2.45896442352908196E6	1.46383046340767708E-4
3.09565279947855654E6	2.30516924217891939E-4
3.89719597535530937E6	3.61587802169400563E-4
4.90627904811675375E6	5.63760103217173025E-4
6.17663937102747873E6	8.70771306522011557E-4
7.77592826367483347E6	1.32573702001278937E-3
9.78931369142874530E6	1.97478835024182287E-3
1.23240157701642117E7	2.84747525710526261E-3
1.55150166284117907E7	3.91619974159773943E-3
1.95322486979166676E7	5.03555695143916360E-3
2.20838852154573484E7	5.55027923198034578E-3
2.46474005829839449E7	5.89027956873523095E-3
3.10292389285888648E7	5.94852040892115941E-3
3.90634973958333376E7	4.57478587718452445E-3
4.78607453869679045E7	1.61954987949295148E-3
5.85947460937499986E7	-3.43539012227183083E-3
6.79120491919959601E7	-8.70180861777723536E-3
7.81259947916666686E7	-1.51030295007953486E-2
9.76572434895833474E7	-2.84954732819409973E-2
1.17188492187499982E8	-4.28527130024390068E-2
1.36719740885416696E8	-5.79602488675986116E-2
1.56250989583333344E8	-7.38323007722095959E-2
1.75782238281249970E8	-9.05599660155200148E-2
1.95313486979166706E8	-1.08245069744023614E-1
2.14844735677083332E8	-1.26975334836659792E-1
2.34375984375000002E8	-1.46817768745227561E-1
2.53907233072916672E8	-1.67819260850162300E-1
2.73438481770833386E8	-1.90009535875624613E-1
2.92969730468750011E8	-2.13404489554343524E-1
3.12500979166666681E8	-2.38009199975759378E-1
3.32032227864583396E8	-2.63820432033688812E-1
3.51563476562499977E8	-2.90828650208622586E-1
3.71094725260416691E8	-3.19019616199565625E-1
3.90625973958333361E8	-3.48375655748329782E-1
4.10157222656250031E8	-3.78876668499593672E-1
4.29688471354166701E8	-4.10500940040404672E-1
4.49219720052083282E8	-4.43225801530345720E-1
4.68750968749999952E8	-4.77028171067421169E-1
4.88282217447916711E8	-5.11885002219592788E-1
5.07813466145833381E8	-5.47773658614933012E-1
5.27344714843750140E8	-5.84672228659050663E-1
5.46875963541666721E8	-6.22559790921261680E-1
5.66407212239583391E8	-6.61416638161160186E-1
5.85938460937499972E8	-7.01224466098763877E-1
6.05469709635416731E8	-7.41966531670061968E-1
6.25000958333333401E8	-7.83627784515373271E-1
6.44532207031249982E8	-8.26194974717764907E-1
6.64063455729166652E8	-8.69656739268098633E-1
6.83594704427083322E8	-9.14003669328766932E-1
7.03125953125000080E8	-9.59228360061380769E-1
7.22657201822916750E8	-1.00532544454598027E0
7.42188450520833420E8	-1.05229161313248154E0
7.61719699218750002E8	-1.10012561941218912E0
7.81250947916666671E8	-1.14882827387135444E0
8.00782196614583341E8	-1.19840242618002568E0
8.20313445312499923E8	-1.24885293697439437E0
8.39844694010416859E8	-1.30018663990622496E0
8.59375942708333262E8	-1.35241229465514645E0
8.78907191406250021E8	-1.40554053152869329E0
8.98438440104166958E8	-1.45958378820938406E0
9.17969688802083184E8	-1.51455623914710258E0
9.37500937499999942E8	-1.57047371803903912E0
9.57032186197916701E8	-1.62735363378834674E0
9.76563434895833460E8	-1.68521488028553268E0
9.96094683593749863E8	-1.74407774031585650E0
1.01562593229166653E9	-1.80396378385896483E0
1.03515718098958365E9	-1.86489576101673959E0
1.05468842968750010E9	-1.92689748977983211E0
1.07421967838541677E9	-1.98999373882403052E0
1.09375092708333366E9	-2.05421010551461158E0
1.11328217578125011E9	-2.11957288928935617E0
1.13281342447916655E9	-2.18610896059036497E0
1.15234467317708367E9	-2.25384562551980094E0
1.17187592187500011E9	-2.32281048640676069E0
1.19140717057291678E9	-2.39303129849004437E0
1.21093841927083345E9	-2.46453582294570550E0
1.23046966796874990E9	-2.53735167651807814E0
1.25000091666666657E9	-2.61150617804849006E0
1.26953216536458369E9	-2.68702619223692718E0
1.28906341406249991E9	-2.76393797101791439E0
1.30859466276041680E9	-2.84226699298233365E0
1.32812591145833325E9	-2.92203780133208824E0
1.34765716015624970E9	-3.00327384091264982E0
1.36718840885416681E9	-3.08599729493027652E0
1.38671965755208326E9	-3.17022892202465867E0
1.40625090625000015E9	-3.25598789443315617E0
1.42578215494791705E9	-3.34329163805012319E0
1.44531340364583372E9	-3.43215567525068366E0
1.46484465234375039E9	-3.52259347141565593E0
1.48437590104166661E9	-3.61461628615812014E0
1.50390714973958350E9	-3.70823303031479856E0
1.52343839843749995E9	-3.80345012982445230E0
1.54296964713541684E9	-3.90027139766935926E0
1.56250089583333351E9	-3.99869791510602202E0
1.58203214453124974E9	-4.09872792345312220E0
1.60156339322916663E9	-4.20035672774076474E0
1.62109464192708330E9	-4.30357661355130272E0
1.64062589062499953E9	-4.40837677839968389E0
1.66015713932291642E9	-4.51474327900681693E0
1.67968838802083331E9	-4.62265899581480610E0
1.69921963671875043E9	-4.73210361607306318E0
1.71875088541666687E9	-4.84305363679166412E0
1.73828213411458354E9	-4.95548238880882508E0
1.75781338281249977E9	-5.06936008315369779E0
1.77734463151041666E9	-5.18465388080103029E0
1.79687588020833355E9	-5.30132798681037620E0
1.81640712890624978E9	-5.41934376971823539E0
1.83593837760416667E9	-5.53865990690394217E0
1.85546962630208379E9	-5.65923255648172407E0
1.87500087500000001E9	-5.78101555607730599E0
1.89453212369791646E9	-5.90396064863089265E0
1.91406337239583335E9	-6.02801773512585992E0
1.93359462109375002E9	-6.15313515387827081E0
1.95312586979166669E9	-6.27925998573227151E0
1.97265711848958358E9	-6.40633838419749768E0
1.99218836718750003E9	-6.53431592923405447E0
2.01171961588541670E9	-6.66313800304486570E0
2.03125086458333382E9	-6.79275018587647939E0
2.05078211328125048E9	-6.92309866946169361E0
2.07031336197916671E9	-7.05413068536827748E0
2.08984461067708338E9	-7.18579494515214812E0
2.10937585937500049E9	-7.31804208885632335E0
2.12890710807291672E9	-7.45082513806044489E0
2.14843835677083295E9	-7.58409994937217569E0
2.16796960546874962E9	-7.71782566397321190E0
2.18750085416666717E9	-7.85196514859370165E0
2.20703210286458340E9	-7.98648542309959630E0
2.22656335156250007E9	-8.12135806973939189E0
2.24609460026041674E9	-8.25655961902125490E0
2.26562584895833341E9	-8.39207190717331919E0
2.28515709765625008E9	-8.52788240019130050E0
2.30468834635416675E9	-8.66398447958311380E0
2.32421959505208342E9	-8.80037768509365037E0
2.34375084375000009E9	-8.93706790991112499E0
2.38281334114583387E9	-9.21139556249916325E0
2.42187583854166721E9	-9.48714568247590329E0
2.46093833593749967E9	-9.76460125550141633E0
2.50000083333333345E9	-1.00441456839817111E1
2.53906333072916679E9	-1.03262539413545618E1
2.57812582812500013E9	-1.06114788993988474E1
2.61718832552083347E9	-1.09004325049224016E1
2.65625082291666681E9	-1.11937613937344316E1
2.69531332031249971E9	-1.14921163577234053E1
