freq	dB(S11_discrete)
0.00000000000000000E0	-9.93257290549890648E-14
6.25000000000000000E7	-9.43295806146690907E-3
3.75000000000000000E8	-5.62081228356605855E-2
7.50000000000000000E8	-1.29993954156509295E-1
8.75000000000000000E8	-1.73750469938503072E-1
1.50000000000000000E9	-1.07798918943888244E0
2.00000000000000000E9	-4.21167193321764000E0
2.50000000000000000E9	-1.13587674836987707E1
3.00000000000000000E9	-2.74812048591586411E1
4.00000000000000000E9	-1.26435889069389562E1
4.66666666700000032E9	-1.07266729279161588E1
5.33333333400000065E9	-1.27052567925401227E1
6.00000000000000000E9	-1.48788356138902089E1
6.50000000000000000E9	-1.47019935254580458E1
7.00000000000000000E9	-1.36200739916057589E1
7.66666666700000121E9	-1.61636418993643782E1
8.33333333400000065E9	-2.19507807449030379E1
9.00000000000000000E9	-1.75419015994422134E1
1.00000000000000000E10	-1.27432026938323384E1
1.05000000000000004E10	-1.21545108956378822E1
1.07499999999999996E10	-1.21215293064854435E1
1.13749999999999996E10	-1.33083608044372403E1
1.19999999999999996E10	-1.54865808704691998E1
1.30000000000000004E10	-1.88198573149486625E1
1.35000000000000009E10	-1.41802643079026325E1
1.39999999999999991E10	-1.26698152319452850E1
1.44999999999999996E10	-1.35072073206355103E1
1.50000000000000000E10	-1.48541053501528442E1


freq	dB(S11_fitted)
0.00000000000000000E0	-9.93257290549890648E-14
9.85870850750299965E0	-8.67894719897962830E-14
9.85870850750299965E1	-1.37898827717121164E-13
9.85870850750299965E2	-3.52172390785331846E-12
9.85870850750299965E3	-3.41428818487100827E-10
1.24113786675668747E4	-5.41087034482302531E-10
1.56249999999999711E4	-8.57497341195908547E-10
1.96707095592838277E4	-1.35898233965639825E-9
2.47639561322048563E4	-2.15378682371513541E-9
3.11759736713886948E4	-3.41346272116326066E-9
3.92482254923371254E4	-5.40990987618255481E-9
4.94105884401308515E4	-8.57406019765681826E-9
6.22042453989838595E4	-1.35889072950374290E-8
7.83105052542611890E4	-2.15368952547679537E-8
9.85870850750300676E4	-3.41336079778619084E-8
1.24113786675668836E5	-5.40980342959234406E-8
1.56249999999999800E5	-8.57394470931170005E-8
1.96707095592838366E5	-1.35887580163786481E-7
2.47639561322048696E5	-2.15366646350726176E-7
3.11759736713887126E5	-3.41331567940446723E-7
3.92482254923371476E5	-5.40970278970090401E-7
4.94105884401308870E5	-8.57370669875010272E-7
6.22042453989838950E5	-1.35881731247248783E-6
7.83105052542612334E5	-2.15352106525195941E-6
9.85870850750301386E5	-3.41295215377711258E-6
1.24113786675668925E6	-5.40879121350887715E-6
1.56249999999999911E6	-8.57141866874199465E-6
1.96707095592838543E6	-1.35824284662317174E-5
2.47639561322048873E6	-2.15207868782857048E-5
3.11759736713887303E6	-3.40933111149114731E-5
3.92482254923371698E6	-5.39970325172300214E-5
4.94105884401309137E6	-8.54862083546610130E-5
6.22042453989839306E6	-1.35252820143249264E-4
7.83105052542612867E6	-2.13777128477246903E-4
9.85870850750301742E6	-3.37357870164444495E-4
1.24113786675668991E7	-5.31062928877476192E-4
1.56250000000000000E7	-8.32773565638432700E-4
1.76664053050680603E7	-1.05617894686760994E-3
1.97174170150060357E7	-1.30404472057133769E-3
2.48227573351337982E7	-2.01424918565811106E-3
3.12500000000000000E7	-3.06955686681537632E-3
3.82877775606342130E7	-4.38112197297230743E-3
4.68750000000000000E7	-6.12262494133404722E-3
5.43288216740595864E7	-7.69640572122336231E-3
6.25000000000000000E7	-9.43295806154413796E-3
7.19212881209308375E7	-1.13995927644622475E-2
8.20312500000000000E7	-1.34288482988734170E-2
1.01562500000000000E8	-1.70566072073527897E-2
1.21093750000000000E8	-2.03244893610748933E-2
1.40625000000000000E8	-2.33219634121046360E-2
1.60156250000000000E8	-2.61422445012571281E-2
1.79687500000000000E8	-2.88590539455701034E-2
1.99218750000000000E8	-3.15245383972803950E-2
2.18750000000000000E8	-3.41733440916972864E-2
2.38281250000000000E8	-3.68274549155165687E-2
2.57812500000000000E8	-3.95002531266340107E-2
2.77343750000000000E8	-4.21995760727787772E-2
2.96875000000000000E8	-4.49299137820296757E-2
3.16406250000000000E8	-4.76939519004735679E-2
3.35937500000000000E8	-5.04936367825220689E-2
3.55468750000000000E8	-5.33308974524092960E-2
3.75000000000000000E8	-5.62081228357178642E-2
3.98437500000000000E8	-5.97180506263733779E-2
4.21875000000000000E8	-6.32973813076722536E-2
4.45312500000000000E8	-6.69555582867076104E-2
4.68750000000000000E8	-7.07042805803594909E-2
4.92187500000000000E8	-7.45574915828322915E-2
5.15625000000000000E8	-7.85313286551931888E-2
5.39062500000000000E8	-8.26440667747817415E-2
5.62500000000000000E8	-8.69160786086974824E-2
5.85937500000000000E8	-9.13698253668683336E-2
6.09375000000000000E8	-9.60298868961956487E-2
6.32812500000000000E8	-1.00923035179364851E-1
6.56250000000000000E8	-1.06078352311587487E-1
6.79687500000000000E8	-1.11527391857424685E-1
7.03125000000000000E8	-1.17304381000516678E-1
7.26562500000000000E8	-1.23446459914726203E-1
7.50000000000000000E8	-1.29993954156597424E-1
7.65625000000000000E8	-1.34605663376837992E-1
7.81250000000000000E8	-1.39430858948398617E-1
7.96875000000000000E8	-1.44484246384049486E-1
8.12500000000000000E8	-1.49781374733822825E-1
8.28125000000000000E8	-1.55338683890196894E-1
8.43750000000000000E8	-1.61173552649493468E-1
8.59375000000000000E8	-1.67304347229277051E-1
8.75000000000000000E8	-1.73750469938553231E-1
8.94531250000000000E8	-1.82282871211923969E-1
9.14062500000000000E8	-1.91382581735009416E-1
9.33593750000000000E8	-2.01095025685301731E-1
9.53125000000000000E8	-2.11468675443806697E-1
9.72656250000000000E8	-2.22555184859571886E-1
9.92187500000000000E8	-2.34409514905036120E-1
1.01171875000000000E9	-2.47090050131264460E-1
1.03125000000000000E9	-2.60658704319362133E-1
1.05078125000000000E9	-2.75181013720636480E-1
1.07031250000000000E9	-2.90726216287934136E-1
1.08984375000000000E9	-3.07367315325546731E-1
1.10937500000000000E9	-3.25181126029713763E-1
1.12890625000000000E9	-3.44248303456773730E-1
1.14843750000000000E9	-3.64653350546628774E-1
1.16796875000000000E9	-3.86484604945469457E-1
1.18750000000000000E9	-4.09834203516367523E-1
1.20703125000000000E9	-4.34798023600313588E-1
1.22656250000000000E9	-4.61475600294101529E-1
1.24609375000000000E9	-4.89970019244102239E-1
1.26562500000000000E9	-5.20387784716149415E-1
1.28515625000000000E9	-5.52838662987195217E-1
1.30468750000000000E9	-5.87435501412528360E-1
1.32421875000000000E9	-6.24294023846898494E-1
1.34375000000000000E9	-6.63532603434545809E-1
1.36328125000000000E9	-7.05272014122957369E-1
