freq	dB(S11_discrete)
0.00000000000000000E0	1.17262219932871803E-12
1.19047619100000013E8	-1.87848181621025456E-2
3.57142857199999986E8	-5.47051502705294190E-2
5.80357142899999978E8	-8.41560370782226386E-2
8.03571428599999926E8	-1.07750841989783863E-1
1.25000000000000000E9	-1.42266945238089781E-1
1.47321428599999993E9	-1.81444977922762751E-1
1.69642857199999986E9	-3.29695291204923269E-1
1.91964285700000015E9	-6.88839200712636490E-1
2.14285714300000008E9	-1.22342452770510524E0
2.44047619000000049E9	-2.18238791193762349E0
2.73809523800000054E9	-3.28315599687436022E0
3.03571428600000015E9	-4.05848004224555847E0
3.33333333400000020E9	-4.45973302081393008E0
3.57142857199999986E9	-4.84227274447667977E0
3.92857142900000023E9	-6.00537672002278455E0
4.28571428600000015E9	-8.15295057410829571E0
4.64285714299999874E9	-1.09546931416654703E1
5.53571428599999926E9	-1.05485968685076581E1
5.98214285700000126E9	-9.90080840886614233E0
6.42857142899999978E9	-9.73385451594210593E0
6.78571428599999926E9	-1.02005364341240878E1
7.14285714299999874E9	-1.18968708442942606E1
7.30158730200000150E9	-1.32932833759324853E1
7.61904761899999983E9	-1.76413587483242473E1
7.85714285700000126E9	-1.88173588043099427E1
8.57142857100000022E9	-9.28200436063672463E0
8.74999999899999992E9	-8.34315870938170789E0
9.19642857000000014E9	-7.99603539899117521E0
9.64285714000000027E9	-1.08569972212015498E1
1.01785714300000008E10	-1.13483193854495923E1
1.07142857099999977E10	-8.43231263064312131E0
1.12500000000000000E10	-6.99546638759729511E0
1.17857142900000023E10	-7.00768103919496177E0
1.21428571500000015E10	-7.63709297691677147E0
1.28571428599999993E10	-8.72308573230974460E0
1.33333333299999990E10	-8.44499494075524737E0
1.35714285699999992E10	-8.68709297954472248E0
1.40476190499999976E10	-1.07802662880041478E1
1.43650793599999993E10	-1.18176933808035711E1
1.46825396800000019E10	-1.10094470226427310E1
1.50000000000000000E10	-1.07930425688794962E1


freq	dB(S11_fitted)
0.00000000000000000E0	1.17262219932871803E-12
9.41154065940409268E0	1.18419412892735587E-12
9.41154065940409268E1	1.16490757959629287E-12
9.41154065940409268E2	-1.23819646705450848E-12
9.41154065940409268E3	-2.39864885378843518E-10
1.18484277002578464E4	-3.80842810701705448E-10
1.49162867216605322E4	-6.04276520387306171E-10
1.87784924035063527E4	-9.58390102394592702E-10
2.36407212819578749E4	-1.51964411724813164E-9
2.97619047749999543E4	-2.40916002347485447E-9
3.74680182246456095E4	-3.81895084908813631E-9
4.71694402725733397E4	-6.05331205527387262E-9
5.93828070192497659E4	-9.59452598874277562E-9
7.47585247802025776E4	-1.52069870696381559E-8
9.41154065940409978E4	-2.41021432570393390E-8
1.18484277002578553E5	-3.82000264861643357E-8
1.49162867216605366E5	-6.05436087681765933E-8
1.87784924035063616E5	-9.59557194601652519E-8
2.36407212819578882E5	-1.52080006011981483E-7
2.97619047749999677E5	-2.41030550403465549E-7
3.74680182246456273E5	-3.82006695807245888E-7
4.71694402725733575E5	-6.05436226248811593E-7
5.93828070192497925E5	-9.59541759060510380E-7
7.47585247802026220E5	-1.52074502426001823E-6
9.41154065940410334E5	-2.41015165144373444E-6
1.18484277002578597E6	-3.81966415059702191E-6
1.49162867216605433E6	-6.05333469013547720E-6
1.87784924035063661E6	-9.59282054831081510E-6
2.36407212819578927E6	-1.52009121417603765E-5
2.97619047749999854E6	-2.40850831192819870E-5
3.74680182246456450E6	-3.81553693050212495E-5
4.71694402725733841E6	-6.04297505564787674E-5
5.93828070192498281E6	-9.56683270061531310E-5
7.47585247802026309E6	-1.51357747529292164E-4
9.41154065940410867E6	-2.39220291110687633E-4
1.18484277002578642E7	-3.77480267775533784E-4
1.49162867216605521E7	-5.94153231239294577E-4
1.87784924035063838E7	-9.31544190554916618E-4
2.36407212819579104E7	-1.45175062555966794E-3
2.97619047750000032E7	-2.24190148376496445E-3
3.36502958339833835E7	-2.81196080292709638E-3
3.75569848070127676E7	-3.43025743297037433E-3
4.72814425639158209E7	-5.12561433170654634E-3
5.95238095500000064E7	-7.46230096772941298E-3
7.29291001475825329E7	-1.01188604123465797E-2
8.92857143249999829E7	-1.33254022878472922E-2
1.03483469900884328E8	-1.59980465436859065E-2
1.19047619100000013E8	-1.87848181621914589E-2
1.48809523862500015E8	-2.37477292236847859E-2
1.78571428625000017E8	-2.83867558915552731E-2
2.08333333387499930E8	-3.28631576480676202E-2
2.38095238149999977E8	-3.72741650493321064E-2
2.67857142912499935E8	-4.16633700903713855E-2
2.97619047674999937E8	-4.60398074564212223E-2
3.27380952437500028E8	-5.03933335433859408E-2
3.57142857199999986E8	-5.47051502705546611E-2
3.85044642912500112E8	-5.86911140604968651E-2
4.12946428625000017E8	-6.26065643282743611E-2
4.40848214337499922E8	-6.64389555914882202E-2
4.68750000049999915E8	-7.01793523182544376E-2
