freq	dB(S11_discrete)
0.00000000000000000E0	-4.53233909280046099E-14
1.42857142799999992E8	-9.54475861957429217E-3
4.28571428500000007E8	-3.17177260638840686E-2
1.14285714300000008E9	-3.67783253903636531E-1
1.61904761900000027E9	-1.87913084816372855E0
2.09523809500000002E9	-6.18338571353651556E0
2.41269841199999968E9	-1.08430416929599183E1
2.57142857100000022E9	-1.37255074986465631E1
2.89285714199999955E9	-1.94449968645329996E1
3.21428571399999985E9	-1.79754307215031228E1
3.53571428500000007E9	-1.44915190261334437E1
3.85714285700000037E9	-1.21638738919263534E1
4.50000000000000000E9	-1.04628636194457569E1
4.82142857200000030E9	-1.12400629055101708E1
5.14285714299999874E9	-1.31337614638151545E1
5.78571428599999926E9	-1.61167586244916405E1
6.42857142799999970E9	-1.46210868171736208E1
6.60714285700000126E9	-1.45504500726068953E1
7.50000000000000000E9	-2.03758270194230384E1
7.71428571400000074E9	-2.37795157205482699E1
8.09523809500000091E9	-2.23600225979954770E1
8.28571428599999749E9	-1.90079745568340952E1
8.85714285799999956E9	-1.25523852066676644E1
9.42857143099999995E9	-9.52794044231158566E0
1.02857142900000009E10	-8.95866332169781820E0
1.07142857200000030E10	-9.57742877093979494E0
1.14285714400000016E10	-1.22114328867124833E1
1.21428571500000015E10	-1.88517259965836148E1
1.28571428599999993E10	-1.41266626728960532E1
1.34285714300000025E10	-1.07266002051985132E1
1.45714285699999979E10	-8.95964322947670233E0
1.54285714300000021E10	-9.55435286017332253E0
1.58571428599999997E10	-1.17022637027551424E1
1.64523809599999993E10	-2.06424735695355466E1
1.70476190500000024E10	-1.98156708397938641E1
1.72857142900000005E10	-1.64209700785659263E1
1.77619047600000002E10	-1.23335915989280509E1
1.80000000000000004E10	-1.11573622675219619E1


freq	dB(S11_fitted)
0.00000000000000000E0	-4.53233909280046099E-14
8.94977202547850581E0	-5.01450282607710740E-14
8.94977202547850581E1	-5.97883029263040200E-14
8.94977202547850581E2	-8.75609339630428707E-13
8.94977202547850581E3	-8.26467211938761182E-11
1.12670954326394468E4	-1.30953741303990467E-10
1.41844327572597950E4	-2.07515556185013894E-10
1.78571428499999629E4	-3.28871346217159388E-10
2.24808109159034775E4	-5.21198744810891323E-10
2.83016641397705948E4	-8.26018799702158546E-10
3.56296841816209175E4	-1.30911889500820244E-9
4.48551148304432346E4	-2.07478333167105999E-9
5.64692439089904141E4	-3.28828144402675271E-9
7.10905661418310331E4	-5.21155157350112841E-9
8.94977202547851292E4	-8.25972608769957262E-9
1.12670954326394535E5	-1.30907559759277348E-8
1.41844327572598039E5	-2.07474080705988273E-8
1.78571428499999785E5	-3.28823815132525077E-8
2.24808109159034908E5	-5.21149633160820080E-8
2.83016641397706126E5	-8.25964724105718595E-8
3.56296841816209309E5	-1.30906140192723286E-7
4.48551148304432701E5	-2.07471167774095333E-7
5.64692439089904497E5	-3.28816969187379060E-7
7.10905661418310775E5	-5.21133082013545312E-7
8.94977202547851824E5	-8.25923548911967131E-7
1.12670954326394623E6	-1.30895856802185939E-6
1.41844327572598172E6	-2.07445399323165525E-6
1.78571428499999851E6	-3.28752302604484070E-6
2.24808109159035041E6	-5.20970742310280421E-6
2.83016641397706348E6	-8.25515895464619298E-6
3.56296841816209575E6	-1.30793506691876282E-5
4.48551148304432878E6	-2.07188473653063410E-5
5.64692439089904852E6	-3.28107575031933729E-5
7.10905661418311219E6	-5.19353792083194410E-5
8.94977202547852357E6	-8.21464328805942223E-5
1.12670954326394668E7	-1.29779766229840865E-4
1.41844327572598283E7	-2.04657718609916106E-4
1.78571428499999985E7	-3.21811992762306343E-4
2.01901774834302827E7	-4.08974539414600802E-4
2.25341908652789336E7	-5.06094234574018920E-4
2.83688655145196567E7	-7.86791425451691140E-4
3.57142856999999969E7	-1.21056774737772899E-3
4.37574600517932577E7	-1.74848904635005864E-3
5.35714285499999932E7	-2.48215735741075649E-3
6.20900818883749483E7	-3.16426288268924161E-3
7.14285713999999938E7	-3.93778741958352940E-3
8.92857142499999945E7	-5.42973920472156291E-3
1.07142857099999977E8	-6.87657162188407511E-3
1.24999999950000040E8	-8.24818049990066804E-3
1.42857142799999992E8	-9.54475861949223336E-3
1.60714285656250055E8	-1.07807450920968950E-2
1.78571428512499963E8	-1.19753288431659954E-2
1.96428571368749938E8	-1.31477262502419823E-2
2.14285714225000001E8	-1.43152400760501597E-2
2.32142857081249954E8	-1.54927319336005587E-2
2.49999999937499995E8	-1.66927301387476534E-2
2.67857142793749947E8	-1.79257761951770744E-2
2.85714285649999988E8	-1.92008249756237293E-2
3.03571428506249941E8	-2.05256214473320053E-2
3.21428571362499937E8	-2.19070280572570919E-2
3.39285714218749979E8	-2.33512995230522558E-2
3.57142857074999975E8	-2.48643106301047201E-2
3.74999999931250017E8	-2.64517452028481026E-2
3.92857142787500013E8	-2.81192543317323951E-2
4.10714285643750010E8	-2.98725908848023458E-2
