freq	dB(S11_discrete)
0.00000000000000000E0	-1.12826313586735338E-13
8.33333333299999879E7	-1.44055572903965623E-2
2.22222222200000008E8	-3.78426915976058043E-2
5.00000000000000000E8	-1.04629494167704640E-1
1.00000000000000000E9	-2.74652076452925220E0
1.16666666699999988E9	-1.51518465016968196E1
1.25000000000000000E9	-1.11877290401254137E1
1.33333333400000020E9	-6.23039770871135090E0
1.50000000000000000E9	-3.04948500169388215E0
1.83333333299999990E9	-1.60027521376384452E0
2.00000000000000000E9	-1.33941073680241796E0
2.66666666599999980E9	-4.21925863221646757E-1
3.33333333300000012E9	-3.91435141621262472E-1
4.00000000000000000E9	-7.64273106606214547E0
4.27777777799999903E9	-2.73157454037138514E1
4.64814814899999895E9	-1.16347980858104871E1
4.83333333400000065E9	-8.17326466264542439E0
5.11111111200000057E9	-4.89967916864178044E0
5.66666666700000032E9	-2.14717262402608355E0
6.00000000000000000E9	-1.72763015098667427E0
6.66666666700000121E9	-2.28030139984822844E0
7.33333333400000065E9	-3.86153035842052184E0
8.00000000000000000E9	-6.11774309420009121E0
8.33333333299999879E9	-9.46584923214557072E0
8.79629629599999951E9	-1.68286283729641117E1
9.25925925899999847E9	-1.32342164776031135E1
9.44444444400000194E9	-1.06490661341745585E1
9.81481481500000186E9	-8.59634857516301132E0
1.00000000000000000E10	-8.89935259949671575E0


freq	dB(S11_fitted)
0.00000000000000000E0	-1.12826313586735338E-13
8.27425244471361410E0	-1.19576605852608409E-13
8.27425244471361410E1	-1.42720465049887646E-13
8.27425244471361410E2	-2.37417422265451750E-12
8.27425244471361410E3	-2.24476147667174875E-10
1.04166666662499829E4	-3.55680614115863847E-10
1.31138063723313336E4	-5.63643618253884959E-10
1.65093040874762020E4	-8.93248817694507657E-10
2.07839824467611090E4	-1.41561343446625187E-9
2.61654836605114749E4	-2.24355413894437028E-9
3.29403922921029624E4	-3.55568752195239535E-9
4.14694969309971206E4	-5.63533877952711482E-9
5.22070035007525135E4	-8.93130687993107308E-9
6.57247233807243880E4	-1.41550938457065678E-8
8.27425244471361765E4	-2.24342289658361560E-8
1.04166666662499896E5	-3.55557672727609742E-8
1.31138063723313425E5	-5.63520012568926454E-8
1.65093040874762131E5	-8.93117654418271911E-8
2.07839824467611223E5	-1.41549315567648559E-7
2.61654836605114838E5	-2.24340002952374018E-7
3.29403922921029713E5	-3.55553625244427973E-7
4.14694969309971562E5	-5.63511342358476597E-7
5.22070035007525490E5	-8.93097406291548701E-7
6.57247233807244147E5	-1.41544429767397784E-6
8.27425244471362120E5	-2.24327865382544100E-6
1.04166666662499918E6	-3.55523315279752250E-6
1.31138063723313492E6	-5.63435374037818626E-6
1.65093040874762176E6	-8.92906766000083252E-6
2.07839824467611223E6	-1.41496567963284292E-5
2.61654836605114927E6	-2.24207690302078433E-5
3.29403922921029935E6	-3.55221589994249687E-5
4.14694969309971739E6	-5.62677979465848033E-5
5.22070035007525668E6	-8.91006247469867141E-5
6.57247233807244591E6	-1.41019956709122019E-4
8.27425244471362831E6	-2.23013575353333104E-4
1.04166666662499985E7	-3.52234285685136150E-4
1.17776035362409348E7	-4.49118188810420893E-4
1.31449446761448918E7	-5.57823052380629214E-4
1.65485048894272557E7	-8.76518475172267131E-4
2.08333333324999970E7	-1.37061378008834600E-3
2.55251850394017987E7	-2.02087031850666765E-3
3.12499999987500043E7	-2.95080878236872390E-3
3.62192144479242994E7	-3.86144157485705630E-3
4.16666666649999939E7	-4.94922768884090303E-3
5.20833333312499924E7	-7.21408959019757567E-3
6.24999999975000087E7	-9.61004465614136372E-3
7.29166666637499805E7	-1.20314959101338870E-2
8.33333333299999879E7	-1.44055572903666196E-2
1.00694444438749997E8	-1.81483700528234859E-2
1.18055555547499980E8	-2.15696494950673667E-2
1.35416666656249984E8	-2.46869109852233315E-2
1.52777777764999967E8	-2.75574080448114112E-2
1.70138888873749972E8	-3.02483002443545246E-2
1.87499999982499999E8	-3.28234321592265932E-2
2.04861111091249981E8	-3.53389069095493369E-2
2.22222222200000008E8	-3.78426915975360645E-2
2.39583333312499969E8	-4.03758021768693176E-2
2.56944444424999974E8	-4.29739380245183344E-2
2.74305555537499979E8	-4.56691023013631181E-2
2.91666666649999984E8	-4.84910524712726776E-2
3.09027777762499989E8	-5.14685573191497525E-2
3.26388888875000038E8	-5.46304872778539252E-2
3.43749999987499999E8	-5.80067799573207310E-2
3.61111111099999960E8	-6.16293238077955774E-2
3.78472222212500009E8	-6.55327993087174843E-2
3.95833333324999970E8	-6.97555129342153357E-2
4.13194444437499975E8	-7.43402559388747886E-2
4.30555555549999980E8	-7.93352182337237544E-2
4.47916666662499985E8	-8.47949873882135563E-2
4.65277777774999901E8	-9.07816640909541128E-2
4.82638888887499995E8	-9.73661282294746400E-2
5.00000000000000000E8	-1.04629494167713410E-1
5.15625000000000000E8	-1.11823603245644732E-1
5.31250000000000000E8	-1.19720179009959460E-1
5.46875000000000000E8	-1.28407067386928109E-1
5.62500000000000000E8	-1.37984169286024327E-1
5.78125000000000000E8	-1.48565287852491901E-1
5.93750000000000000E8	-1.60280292413545999E-1
6.09375000000000000E8	-1.73277661300365371E-1
6.25000000000000000E8	-1.87727478553369909E-1
6.40625000000000000E8	-2.03824975206455328E-1
6.56250000000000000E8	-2.21794725042977880E-1
6.71875000000000000E8	-2.41895628219321646E-1
6.87500000000000000E8	-2.64426844975648789E-1
7.03125000000000000E8	-2.89734877112467037E-1
7.18750000000000000E8	-3.18222038826342857E-1
7.34375000000000000E8	-3.50356613574463349E-1
7.50000000000000000E8	-3.86685064304723358E-1
7.65625000000000000E8	-4.27846758504976865E-1
7.81250000000000000E8	-4.74591801806025426E-1
7.96875000000000000E8	-5.27802772164647926E-1
8.12500000000000000E8	-5.88521461640416810E-1
8.28125000000000000E8	-6.57982246591511455E-1
8.43750000000000000E8	-7.37654517205152871E-1
8.59375000000000000E8	-8.29297702104523182E-1
8.75000000000000000E8	-9.35033366423552792E-1
8.82812500000000000E8	-9.93970315183989683E-1
8.90625000000000000E8	-1.05743809427509849E0
8.98437500000000000E8	-1.12584833489165748E0
9.06250000000000000E8	-1.19965572327618752E0
9.14062500000000000E8	-1.27936165434626936E0
9.21875000000000000E8	-1.36551759705092479E0
9.29687500000000000E8	-1.45872820449987728E0
9.37500000000000000E8	-1.55965439895630809E0
9.45312500000000000E8	-1.66901684572609055E0
