freq	dB(S11_discrete)
0.00000000000000000E0	3.51015197825389480E-13
2.60416666700000032E7	-7.58872696673504343E-3
1.56250000000000000E8	-4.56781050360188878E-2
5.46875000000000000E8	-1.46699528287186798E-1
9.37500000000000000E8	-2.12389985786222812E-1
1.40625000000000000E9	-2.51231977459908595E-1
1.64062500000000000E9	-2.98092815843537595E-1
1.87500000000000000E9	-4.75914040523114679E-1
2.18750000000000000E9	-1.50951287290266278E0
2.50000000000000000E9	-5.36703419582067554E0
2.70833333400000020E9	-1.01412965968251756E1
2.91666666700000032E9	-1.27829152315510819E1
3.12500000000000000E9	-1.13540069035078184E1
3.33333333400000020E9	-1.00067906379361315E1
3.75000000000000000E9	-9.04678234079044330E0
4.16666666700000032E9	-1.02108747823667056E1
4.44444444500000024E9	-1.43578125733544404E1
4.62962963000000105E9	-6.41608740136681366E0
5.00000000000000000E9	-6.19365411271730437E0
5.27777777800000081E9	-5.81466560542661348E0
5.50925926000000032E9	-5.18649587901949172E0
6.28086419800000062E9	-4.42956130595576347E0
6.66666666700000121E9	-5.13458204290742071E0
6.94444444400000105E9	-5.99500782596100024E0
7.08333333299999879E9	-6.41585139574159058E0
7.22222222199999919E9	-6.67318166315132277E0
7.50000000000000000E9	-6.11731323679384609E0
7.76041666700000121E9	-4.97874182616189298E0
7.97743055599999895E9	-6.37520326526227166E0
8.19444444499999847E9	-1.19270603160930522E1
9.06250000000000000E9	-1.15435407356800090E1
9.45312500000000000E9	-1.20303922224662174E1
9.84375000000000000E9	-1.29394728128262404E1
1.00390625000000000E10	-1.04472020057682191E1
1.02343750000000000E10	-9.64175818291481335E0
1.06250000000000000E10	-7.62606202100445252E0
1.12500000000000000E10	-6.27695941595581974E0
1.18055555500000020E10	-9.82773674230052663E0
1.20833333300000012E10	-1.37896055176982957E1
1.25000000000000000E10	-3.11759400118961638E1
1.31250000000000000E10	-1.03529881465157891E1
1.34375000000000000E10	-7.26244393830842494E0
1.37500000000000000E10	-9.39363401081584470E0
1.39583333299999990E10	-9.83178511832999469E0
1.43923611100000004E10	-8.07904231483846225E0
1.48263888899999996E10	-5.68968651891438881E0
1.50000000000000000E10	-4.56895659830445933E0


freq	dB(S11_fitted)
0.00000000000000000E0	3.51015197825389480E-13
8.19612898408403012E0	3.52943852758495957E-13
8.19612898408403012E1	2.60368415969383626E-13
8.19612898408403012E2	-8.95281619948533347E-12
8.19612898408403012E3	-9.29810329265245983E-10
1.03183150564060977E4	-1.47385881345575842E-9
1.29899890314080046E4	-2.33612378979309065E-9
1.63534272905670375E4	-3.70270310159973803E-9
2.05877451860230831E4	-5.86858066401681810E-9
2.59184355862274973E4	-9.30128364911962002E-9
3.26293771934520516E4	-1.47417337820129002E-8
4.10779521198538333E4	-2.33642717004230160E-8
5.17140777881480762E4	-3.70300532893194845E-8
6.51041666749999148E4	-5.86888704869786615E-8
8.19612898408403723E4	-9.30157087066348431E-8
1.03183150564061066E5	-1.47419949380513615E-7
1.29899890314080158E5	-2.33644576162805029E-7
1.63534272905670508E5	-3.70300599785564843E-7
2.05877451860231009E5	-5.86883856717780983E-7
2.59184355862275151E5	-9.30140269658485863E-7
3.26293771934520738E5	-1.47415269668040305E-6
4.10779521198538511E5	-2.33632332699434997E-6
5.17140777881481206E5	-3.70269389090661871E-6
6.51041666749999592E5	-5.86804991211347371E-6
8.19612898408404433E5	-9.29941728889859043E-6
1.03183150564061132E6	-1.47365359301698828E-5
1.29899890314080246E6	-2.33506947217430838E-5
1.63534272905670619E6	-3.69954514677473867E-5
2.05877451860231186E6	-5.86014518444722476E-5
2.59184355862275329E6	-9.27958095686236817E-5
3.26293771934521004E6	-1.46867880368693382E-4
4.10779521198538866E6	-2.32260472247649252E-4
5.17140777881481561E6	-3.66835934297400801E-4
6.51041666750000125E6	-5.78230007634843535E-4
7.36100221138723487E6	-7.36169118598321592E-4
8.21559042397077732E6	-9.12816008717308591E-4
1.03428155576296321E7	-1.42730235685474383E-3
1.30208333350000016E7	-2.21508550702124118E-3
1.59532406523062731E7	-3.23403718128519202E-3
1.95312500025000024E7	-4.65730551214505706E-3
2.26370090337557084E7	-6.01393262200404166E-3
2.60416666700000032E7	-7.58872696673504343E-3
3.10754777039685681E7	-1.00041563320009397E-2
3.69701569047137024E7	-1.28434942621393877E-2
4.65426700053616837E7	-1.72216233770573734E-2
5.85937500024999913E7	-2.20683491371250895E-2
7.30824348729629758E7	-2.69109026772200632E-2
9.11458333350000238E7	-3.18336426424643193E-2
1.06501276775076992E8	-3.54187015828412610E-2
1.23697916667500007E8	-3.90869096789150161E-2
1.39920118677191030E8	-4.23921575336874668E-2
1.56250000000000000E8	-4.56781050360140384E-2
1.79803220302327094E8	-5.04703206163684115E-2
2.05078125000000000E8	-5.57828632733696761E-2
2.53906250000000000E8	-6.67169271929515162E-2
3.02734375000000000E8	-7.85879979866605893E-2
3.51562500000000000E8	-9.13452347028110445E-2
3.75976562500000000E8	-9.80201513947643832E-2
4.00390625000000000E8	-1.04861120847619516E-1
4.24804687500000000E8	-1.11833295021917500E-1
4.49218750000000000E8	-1.18890812721689154E-1
4.73632812500000000E8	-1.25976398708846049E-1
4.98046875000000000E8	-1.33022699516680443E-1
5.22460937500000000E8	-1.39955626378062847E-1
5.46875000000000000E8	-1.46699528287217218E-1
