freq	dB(S11_discrete)
0.00000000000000000E0	-1.39827482650227752E-13
8.33333333500000073E7	-1.75985412153390097E-2
1.66666666700000010E8	-3.42411820894818808E-2
4.44444444500000024E8	-7.88184812403516233E-2
6.29629629599999951E8	-1.21011022458599760E-1
8.14814814799999887E8	-3.35222667024439058E-1
1.00000000000000000E9	-5.36059164090544016E0
1.04166666699999988E9	-8.85155091822031714E0
1.08333333300000012E9	-9.31859820476741163E0
1.16666666599999980E9	-2.31730254797030977E0
1.25000000000000000E9	-1.10112870619365255E0
1.41666666700000010E9	-4.72376115040792843E-1
1.50000000000000000E9	-3.46434790090430500E-1
1.61111111100000026E9	-6.35511516118937259E-1
1.66666666700000010E9	-1.83178906276967335E0
1.69444444499999980E9	-2.26221750738721905E0
1.75000000000000000E9	-2.46564072748186414E0
1.87500000000000000E9	-4.35439282369438363E0
1.91666666700000010E9	-5.55491949408662222E0
2.00000000000000000E9	-5.83729059694631758E0
2.12500000000000000E9	-8.35129379663362670E0
2.25000000000000000E9	-1.75488393582179536E1
2.41666666700000032E9	-1.43566525408367029E1
2.50000000000000000E9	-1.27456131460347599E1
2.59259259199999992E9	-1.10386548943620100E1
2.68518518499999947E9	-7.44704308634647294E0
2.77777777799999992E9	-6.94245834721852528E0
2.80092592600000012E9	-8.55579953210725463E0
2.82986111100000048E9	-1.34508656544713068E1
2.85879629599999907E9	-1.63498908705296175E1
2.91666666700000032E9	-9.61347267414944540E0
3.00000000000000000E9	-5.72147158689099466E0


freq	dB(S11_fitted)
0.00000000000000000E0	-1.39827482650227752E-13
8.27425244669943538E0	-1.23433915718821607E-13
8.27425244669943538E1	-1.97687130643426068E-13
8.27425244669943538E2	-8.28550159262979413E-12
8.27425244669943538E3	-8.15891432647458714E-10
1.04166666687499809E4	-1.29303294853621775E-9
1.31138063754786494E4	-2.04927301286480379E-9
1.65093040914384304E4	-3.24781922784241894E-9
2.07839824517492611E4	-5.14735822266933152E-9
2.61654836667911805E4	-8.15794903812842165E-9
3.29403923000086518E4	-1.29294162759119757E-8
4.14694969409498082E4	-2.04916867480836995E-8
5.22070035132822063E4	-3.24770206751969104E-8
6.57247233964983213E4	-5.14724704943850586E-8
8.27425244669944071E4	-8.15781262027006093E-8
1.04166666687499898E5	-1.29292140466140903E-7
1.31138063754786560E5	-2.04913134815943643E-7
1.65093040914384437E5	-3.24762768572478322E-7
2.07839824517492744E5	-5.14707692503226610E-7
2.61654836667912027E5	-8.15740356943183187E-7
3.29403923000086696E5	-1.29282020215146232E-6
4.14694969409498349E5	-2.04887878551603997E-6
5.22070035132822330E5	-3.24699510271519154E-6
6.57247233964983746E5	-5.14549019199756508E-6
8.27425244669944604E5	-8.15341983925550906E-6
1.04166666687499943E6	-1.29182011723141899E-5
1.31138063754786649E6	-2.04636837686674999E-5
1.65093040914384548E6	-3.24069543119867287E-5
2.07839824517492833E6	-5.12969037955547691E-5
2.61654836667912161E6	-8.11382800281565153E-5
3.29403923000086962E6	-1.28191287201809878E-4
4.14694969409498615E6	-2.02163147276214161E-4
5.22070035132822596E6	-3.17914381555085068E-4
6.57247233964984012E6	-4.97735602966718460E-4
8.27425244669944604E6	-7.73993373723769018E-4
1.04166666687500009E7	-1.19129640192145225E-3
1.17776035390675604E7	-1.49064116686000103E-3
1.31449446792996794E7	-1.81369367654208125E-3
1.65485048933988921E7	-2.69090536187891027E-3
2.08333333375000018E7	-3.87959324478447876E-3
2.55251850455278406E7	-5.20296521474344775E-3
3.12500000062500005E7	-6.76198979206572570E-3
3.62192144566169016E7	-8.03118802506327967E-3
4.16666666750000037E7	-9.32794361211275458E-3
5.20833333437500023E7	-1.15823199894307560E-2
6.25000000125000010E7	-1.36488604271627101E-2
7.29166666812499908E7	-1.56322859076861231E-2
8.33333333500000073E7	-1.75985412147089937E-2
9.37500000187499971E7	-1.95831772520440994E-2
1.04166666687500009E8	-2.16017403130134023E-2
1.14583333356249972E8	-2.36574025551357936E-2
1.25000000025000002E8	-2.57459870721399042E-2
1.35416666693749965E8	-2.78592042022122754E-2
1.45833333362499973E8	-2.99867447011881127E-2
1.56250000031250003E8	-3.21176454708435033E-2
1.66666666700000010E8	-3.42411820896425834E-2
1.75347222256250035E8	-3.59979869615079906E-2
1.84027777812500015E8	-3.77376488409521427E-2
1.92708333368749973E8	-3.94556928317529998E-2
2.01388888925000042E8	-4.11483385724583606E-2
2.10069444481250001E8	-4.28125141427798184E-2
2.18750000037500003E8	-4.44458472343475464E-2
2.27430555593749961E8	-4.60466393688561215E-2
2.36111111150000008E8	-4.76138278307408314E-2
2.44791666706249966E8	-4.91469391154437130E-2
2.53472222262500013E8	-5.06460369954177647E-2
2.62152777818749971E8	-5.21116677311994092E-2
2.70833333375000018E8	-5.35448044698833137E-2
2.79513888931249932E8	-5.49467924634099703E-2
2.88194444487499979E8	-5.63192963887113329E-2
2.96875000043750026E8	-5.76642507553731054E-2
3.05555555600000073E8	-5.89838141346415323E-2
3.14236111156249986E8	-6.02803277340278676E-2
3.22916666712500078E8	-6.15562786667629602E-2
3.31597222268750036E8	-6.28142681235674427E-2
3.40277777825000038E8	-6.40569845393124648E-2
3.48958333381249997E8	-6.52871817582171055E-2
3.57638888937499910E8	-6.65076621323027517E-2
3.66319444493750002E8	-6.77212644381254236E-2
3.75000000050000049E8	-6.89308564628694587E-2
3.83680555606249962E8	-7.01393320904559747E-2
3.92361111162500009E8	-7.13496127091414412E-2
4.01041666718750012E8	-7.25646527626937488E-2
4.09722222275000014E8	-7.37874492778086033E-2
4.18402777831250017E8	-7.50210552150282162E-2
4.27083333387499930E8	-7.62685965148660827E-2
4.35763888943750022E8	-7.75332927391531168E-2
4.44444444500000024E8	-7.88184812406961122E-2
4.56018518568749975E8	-8.05699872589853783E-2
4.67592592637499926E8	-8.23728959938120830E-2
4.79166666706249966E8	-8.42366763937732621E-2
4.90740740775000006E8	-8.61716766942014978E-2
4.96527777809374893E8	-8.71694055861330774E-2
5.02314814843750046E8	-8.81893175471806146E-2
5.08101851878124933E8	-8.92330435218594786E-2
5.13888888912499997E8	-9.03023102810582401E-2
5.19675925946875061E8	-9.13989488517405491E-2
5.25462962981249948E8	-9.25249034911904289E-2
5.31250000015624924E8	-9.36822412498674417E-2
5.37037037050000077E8	-9.48731621738745901E-2
5.42824074084374875E8	-9.61000102021744240E-2
5.48611111118749939E8	-9.73652848229795964E-2
5.54398148153125181E8	-9.86716535592452182E-2
5.60185185187499979E8	-1.00021965362747123E-1
5.65972222221874954E8	-1.01419265005051340E-1
5.71759259256249930E8	-1.02866808564496615E-1
5.77546296290625172E8	-1.04368080119488571E-1
5.83333333325000059E8	-1.05926809771907671E-1
5.89120370359375034E8	-1.07546993138124369E-1
5.94907407393750098E8	-1.09232912463104248E-1
6.00694444428125074E8	-1.10989159529185732E-1
6.06481481462500049E8	-1.12820660554210228E-1
6.12268518496875025E8	-1.14732703295286065E-1
6.18055555531250089E8	-1.16730966602053976E-1
6.23842592565624976E8	-1.18821552692487042E-1
6.29629629599999951E8	-1.21011022459012407E-1
6.35416666637500072E8	-1.23306434151860134E-1
6.41203703674999836E8	-1.25715385823981696E-1
6.46990740712499957E8	-1.28246061988575866E-1
6.52777777750000077E8	-1.30907284976550797E-1
6.58564814787500108E8	-1.33708571560518896E-1
6.64351851825000050E8	-1.36660195483541025E-1
6.70138888862499993E8	-1.39773256615733610E-1
6.75925925900000113E8	-1.43059757562213186E-1
6.81712962937500144E8	-1.46532688659583243E-1
6.87499999974999998E8	-1.50206122429592304E-1
6.93287037012499940E8	-1.54095318712082729E-1
6.99074074049999972E8	-1.58216841874675440E-1
7.04861111087500092E8	-1.62588691702638988E-1
7.10648148125000034E8	-1.67230449810973969E-1
7.16435185162499977E8	-1.72163443698760577E-1
7.22222222199999919E8	-1.77410930890858354E-1
7.33796296275000071E8	-1.88953333936997581E-1
7.45370370349999956E8	-2.02090873458581211E-1
7.56944444425000018E8	-2.17103980236297023E-1
7.68518518499999992E8	-2.34331925518041428E-1
7.74305555537499934E8	-2.43902190176632772E-1
7.80092592575000054E8	-2.54187872849272711E-1
7.85879629612499819E8	-2.65255384541244066E-1
7.91666666649999939E8	-2.77178536836805600E-1
7.97453703687499882E8	-2.90039529833766974E-1
8.03240740725000002E8	-3.03930094139547258E-1
8.09027777762499944E8	-3.18952814362709569E-1
8.14814814799999887E8	-3.35222667024613452E-1
8.20601851837500007E8	-3.52868812521760233E-1
8.26388888874999950E8	-3.72036688988133202E-1
8.32175925912499892E8	-3.92890466004697858E-1
8.37962962949999834E8	-4.15615928551038749E-1
8.43749999987500132E8	-4.40423876976594997E-1
8.49537037024999719E8	-4.67554147834364908E-1
8.55324074062499839E8	-4.97280384105269846E-1
8.61111111099999604E8	-5.29915712830104102E-1
8.66898148137500080E8	-5.65819524947444474E-1
8.72685185175000022E8	-6.05405598060552563E-1
8.78472222212499965E8	-6.49151860212543497E-1
8.84259259249999907E8	-6.97612164304567983E-1
8.90046296287500027E8	-7.51430531791474365E-1
8.95833333324999970E8	-8.11358434336298551E-1
9.01620370362499912E8	-8.78275816746300997E-1
9.07407407400000032E8	-9.53216726301965345E-1
9.13194444437499975E8	-1.03740060195099382E0
9.18981481474999917E8	-1.13227048369565786E0
9.24768518512499860E8	-1.23953960326976342E0
9.30555555549999802E8	-1.36124795262097242E0
9.36342592587499922E8	-1.49983036614717946E0
9.42129629625000042E8	-1.65819711986527918E0
9.47916666662499985E8	-1.83982647332935456E0
9.53703703700000105E8	-2.04886478344069589E0
9.56597222218750076E8	-2.16516458458019434E0
9.59490740737500047E8	-2.29022140593137014E0
9.62384259256250019E8	-2.42477806214185287E0
9.65277777774999990E8	-2.56962771427724590E0
9.68171296293750139E8	-2.72560842289968441E0
9.71064814812499932E8	-2.89359254035566016E0
9.73958333331250081E8	-3.07446851639651086E0
9.76851851849999875E8	-3.26911173283128287E0
9.79745370368750024E8	-3.47833973629838766E0
9.82638888887500173E8	-3.70284571079457292E0
9.85532407406249966E8	-3.94310235927328012E0
9.88425925924999937E8	-4.19922696980339083E0
9.91319444443750086E8	-4.47079832382625320E0
9.94212962962500058E8	-4.75661928923419541E0
9.97106481481250029E8	-5.05442906198905106E0
1.00000000000000000E9	-5.36059164090553431E0
1.00260416668750008E9	-5.63895337348232584E0
1.00520833337500015E9	-5.91477333320348553E0
1.00781250006249978E9	-6.18199985893595105E0
1.01041666675000008E9	-6.43404875014381261E0
1.01302083343749993E9	-6.66467085028175710E0
1.01562500012500001E9	-6.86920397003285466E0
1.01822916681250009E9	-7.04600385952282515E0
1.02083333350000016E9	-7.19765234786007468E0
1.02343750018750002E9	-7.33146999302365288E0
1.02604166687500009E9	-7.45902474054308051E0
1.02864583356249994E9	-7.59468511058751083E0
1.03125000025000002E9	-7.75361551986778341E0
1.03385416693749965E9	-7.94974864422901284E0
1.03645833362499995E9	-8.19414938327267706E0
1.03906250031250003E9	-8.49392117115441003E0
1.04166666699999988E9	-8.85155091822070794E0
1.04427083362499995E9	-9.26443628544338260E0
1.04687500025000002E9	-9.72431149972059927E0
1.04947916687500009E9	-1.02163864158714945E1
1.05208333350000016E9	-1.07182673774431092E1
1.05468750012500001E9	-1.11991981807878238E1
1.05729166675000008E9	-1.16208263710679183E1
1.05989583337499993E9	-1.19411635171332997E1
1.06250000000000000E9	-1.21226471210977405E1
1.06510416662500007E9	-1.21423907381221885E1
1.06770833324999992E9	-1.19994229393750129E1
