        Frequency / GHz                S1,1/abs,dB
                       0                               0
             0.016000001                  -0.00023770019
             0.032000002                  -0.00094266228
                   0.048                   -0.0021156694
             0.064000003                   -0.0037438045
             0.079999998                   -0.0058172068
             0.096000001                   -0.0083210247
                   0.112                    -0.011236716
              0.12800001                    -0.014544214
              0.14399999                    -0.018218747
                    0.16                    -0.022236873
                   0.176                    -0.026570615
                   0.192                    -0.031188334
                   0.208                    -0.036062032
              0.22400001                    -0.041158121
              0.23999999                    -0.046444905
              0.25600001                      -0.0518892
              0.27200001                    -0.057457036
              0.28799999                    -0.063116281
              0.30399999                    -0.068834243
              0.31999999                    -0.074580843
                   0.336                     -0.08032544
                   0.352                    -0.086039411
                   0.368                    -0.091696546
                   0.384                    -0.097273402
              0.40000001                     -0.10274713
              0.41600001                     -0.10809788
              0.43200001                     -0.11331036
              0.44800001                     -0.11836976
              0.46399999                     -0.12326547
              0.47999999                     -0.12798903
              0.49599999                     -0.13253645
              0.51200002                      -0.1369053
                   0.528                     -0.14109699
              0.54400003                      -0.1451152
                    0.56                     -0.14896576
              0.57599998                     -0.15265961
              0.59200001                       -0.156207
              0.60799998                     -0.15962215
              0.62400001                     -0.16291965
              0.63999999                     -0.16611792
              0.65600002                     -0.16923728
              0.67199999                      -0.1722946
              0.68800002                     -0.17531292
                   0.704                      -0.1783132
              0.72000003                      -0.1813166
                   0.736                     -0.18434547
              0.75199997                     -0.18742124
              0.76800001                     -0.19056536
              0.78399998                     -0.19379784
              0.80000001                     -0.19713855
              0.81599998                     -0.20060511
              0.83200002                     -0.20421591
              0.84799999                     -0.20798447
              0.86400002                     -0.21192684
                    0.88                     -0.21605402
              0.89600003                     -0.22037697
                   0.912                     -0.22490302
              0.92799997                     -0.22964135
              0.94400001                     -0.23459494
              0.95999998                     -0.23976782
              0.97600001                      -0.2451613
              0.99199998                     -0.25077522
                   1.008                     -0.25660857
                   1.024                      -0.2626582
                    1.04                     -0.26891953
                   1.056                     -0.27538817
                   1.072                     -0.28205823
               1.0880001                     -0.28892475
                   1.104                     -0.29597911
                    1.12                     -0.30321643
                   1.136                     -0.31063057
                   1.152                     -0.31821551
                   1.168                     -0.32596716
                   1.184                     -0.33388125
                     1.2                     -0.34195689
                   1.216                     -0.35019434
                   1.232                     -0.35859381
                   1.248                     -0.36716086
               1.2640001                     -0.37590353
                    1.28                     -0.38483045
                   1.296                     -0.39395429
                   1.312                     -0.40329174
               1.3279999                     -0.41286402
                   1.344                     -0.42269358
                    1.36                     -0.43280958
                   1.376                     -0.44324175
                   1.392                      -0.4540276
                   1.408                     -0.46520774
                   1.424                     -0.47682571
               1.4400001                     -0.48893143
                   1.456                     -0.50157778
                   1.472                     -0.51482378
                   1.488                     -0.52873131
               1.5039999                     -0.54336715
                    1.52                     -0.55880132
                   1.536                     -0.57511198
                   1.552                     -0.59237572
                   1.568                      -0.6106776
                   1.584                     -0.63010537
                     1.6                     -0.65074921
               1.6160001                     -0.67270573
                   1.632                     -0.69607223
                   1.648                     -0.72095005
                   1.664                     -0.74744655
               1.6799999                     -0.77566711
                   1.696                     -0.80572497
                   1.712                     -0.83773354
                   1.728                     -0.87180851
                   1.744                     -0.90807047
                    1.76                     -0.94663855
                   1.776                     -0.98763623
               1.7920001                      -1.0311872
                   1.808                      -1.0774203
                   1.824                      -1.1264605
                    1.84                      -1.1784392
               1.8559999                      -1.2334821
                   1.872                      -1.2917224
                   1.888                      -1.3532901
                   1.904                      -1.4183133
                    1.92                      -1.4869251
                   1.936                       -1.559252
                   1.952                      -1.6354226
               1.9680001                      -1.7155639
                   1.984                      -1.7998015
                       2                      -1.8882545
                   2.016                      -1.9810461
               2.0320001                      -2.0782908
               2.0480001                      -2.1801032
               2.0639999                      -2.2865909
               2.0799999                      -2.3978584
                   2.096                      -2.5140054
                   2.112                      -2.6351247
                   2.128                      -2.7613076
               2.1440001                      -2.8926324
               2.1600001                      -3.0291774
               2.1760001                      -3.1710098
               2.1919999                      -3.3181917
               2.2079999                      -3.4707749
                   2.224                      -3.6288083
                    2.24                       -3.792327
                   2.256                      -3.9613642
               2.2720001                       -4.135937
               2.2880001                      -4.3160619
               2.3039999                      -4.5017413
               2.3199999                      -4.6929731
                   2.336                      -4.8897468
                   2.352                      -5.0920404
                   2.368                      -5.2998249
               2.3840001                      -5.5130674
               2.4000001                      -5.7317207
               2.4159999                      -5.9557343
               2.4319999                       -6.185051
                   2.448                      -6.4196024
                   2.464                      -6.6593177
                    2.48                      -6.9041159
               2.4960001                      -7.1539103
               2.5120001                      -7.4086083
               2.5280001                      -7.6681106
               2.5439999                      -7.9323099
               2.5599999                      -8.2010935
                   2.576                       -8.474341
                   2.592                      -8.7519242
                   2.608                      -9.0337082
               2.6240001                      -9.3195496
               2.6400001                      -9.6092946
               2.6559999                      -9.9027811
               2.6719999                      -10.199835
                   2.688                      -10.500263
                   2.704                      -10.803869
                    2.72                      -11.110429
               2.7360001                      -11.419705
               2.7520001                      -11.731435
               2.7679999                      -12.045331
               2.7839999                       -12.36108
                     2.8                      -12.678324
                   2.816                      -12.996681
                   2.832                       -13.31571
                   2.848                       -13.63493
               2.8640001                      -13.953804
               2.8800001                      -14.271723
               2.8959999                      -14.588017
               2.9119999                      -14.901936
                   2.928                      -15.212645
                   2.944                      -15.519226
                    2.96                      -15.820663
               2.9760001                      -16.115845
               2.9920001                      -16.403571
               3.0079999                      -16.682551
               3.0239999                      -16.951411
                    3.04                      -17.208716
                   3.056                      -17.452987
                   3.072                      -17.682728
               3.0880001                      -17.896467
               3.1040001                      -18.092787
               3.1199999                      -18.270377
               3.1359999                      -18.428079
                   3.152                      -18.564928
                   3.168                      -18.680199
                   3.184                      -18.773434
                     3.2                      -18.844465
               3.2160001                      -18.893431
               3.2320001                      -18.920763
               3.2479999                       -18.92717
               3.2639999                      -18.913596
                    3.28                      -18.881216
                   3.296                      -18.831344
                   3.312                      -18.765421
               3.3280001                       -18.68495
               3.3440001                      -18.591455
               3.3599999                      -18.486452
               3.3759999                      -18.371407
                   3.392                      -18.247719
                   3.408                       -18.11669
                   3.424                       -17.97953
               3.4400001                      -17.837337
               3.4560001                      -17.691092
               3.4719999                      -17.541678
               3.4879999                      -17.389855
               3.5039999                      -17.236291
                    3.52                      -17.081549
                   3.536                      -16.926108
                   3.552                      -16.770358
               3.5680001                      -16.614616
               3.5840001                      -16.459123
               3.5999999                      -16.304062
               3.6159999                      -16.149557
                   3.632                      -15.995682
                   3.648                      -15.842459
                   3.664                      -15.689875
               3.6800001                      -15.537882
               3.6960001                      -15.386399
               3.7119999                      -15.235317
               3.7279999                       -15.08451
                   3.744                      -14.933828
                    3.76                      -14.783118
                   3.776                      -14.632207
               3.7920001                      -14.480924
               3.8080001                      -14.329094
               3.8239999                      -14.176546
               3.8399999                      -14.023117
               3.8559999                      -13.868654
                   3.872                      -13.713014
                   3.888                      -13.556076
                   3.904                      -13.397733
               3.9200001                      -13.237907
               3.9360001                      -13.076541
               3.9519999                        -12.9136
