Frequency / GHz;S1,1/abs,dB
0;0
0.016000001;-0.00023770019
0.032000002;-0.00094266228
0.048;-0.0021156694
0.064000003;-0.0037438045
0.079999998;-0.0058172068
0.096000001;-0.0083210247
0.112;-0.011236716
0.12800001;-0.014544214
0.14399999;-0.018218747
0.16;-0.022236873
0.176;-0.026570615
0.192;-0.031188334
0.208;-0.036062032
0.22400001;-0.041158121
0.23999999;-0.046444905
0.25600001;-0.0518892
0.27200001;-0.057457036
0.28799999;-0.063116281
0.30399999;-0.068834243
0.31999999;-0.074580843
0.336;-0.08032544
0.352;-0.086039411
0.368;-0.091696546
0.384;-0.097273402
0.40000001;-0.10274713
0.41600001;-0.10809788
0.43200001;-0.11331036
0.44800001;-0.11836976
0.46399999;-0.12326547
0.47999999;-0.12798903
0.49599999;-0.13253645
0.51200002;-0.1369053
0.528;-0.14109699
0.54400003;-0.1451152
0.56;-0.14896576
0.57599998;-0.15265961
0.59200001;-0.156207
0.60799998;-0.15962215
0.62400001;-0.16291965
0.63999999;-0.16611792
0.65600002;-0.16923728
0.67199999;-0.1722946
0.68800002;-0.17531292
0.704;-0.1783132
0.72000003;-0.1813166
0.736;-0.18434547
0.75199997;-0.18742124
0.76800001;-0.19056536
0.78399998;-0.19379784
0.80000001;-0.19713855
0.81599998;-0.20060511
0.83200002;-0.20421591
0.84799999;-0.20798447
0.86400002;-0.21192684
0.88;-0.21605402
0.89600003;-0.22037697
0.912;-0.22490302
0.92799997;-0.22964135
0.94400001;-0.23459494
0.95999998;-0.23976782
0.97600001;-0.2451613
0.99199998;-0.25077522
1.008;-0.25660857
1.024;-0.2626582
1.04;-0.26891953
1.056;-0.27538817
1.072;-0.28205823
10.880.001;-0.28892475
1.104;-0.29597911
1.12;-0.30321643
1.136;-0.31063057
1.152;-0.31821551
1.168;-0.32596716
1.184;-0.33388125
1.2;-0.34195689
1.216;-0.35019434
1.232;-0.35859381
1.248;-0.36716086
12.640.001;-0.37590353
1.28;-0.38483045
1.296;-0.39395429
1.312;-0.40329174
13.279.999;-0.41286402
1.344;-0.42269358
1.36;-0.43280958
1.376;-0.44324175
1.392;-0.4540276
1.408;-0.46520774
1.424;-0.47682571
14.400.001;-0.48893143
1.456;-0.50157778
1.472;-0.51482378
1.488;-0.52873131
15.039.999;-0.54336715
1.52;-0.55880132
1.536;-0.57511198
1.552;-0.59237572
1.568;-0.6106776
1.584;-0.63010537
1.6;-0.65074921
16.160.001;-0.67270573
1.632;-0.69607223
1.648;-0.72095005
1.664;-0.74744655
16.799.999;-0.77566711
1.696;-0.80572497
1.712;-0.83773354
1.728;-0.87180851
1.744;-0.90807047
1.76;-0.94663855
1.776;-0.98763623
17.920.001;-10.311.872
1.808;-10.774.203
1.824;-11.264.605
1.84;-11.784.392
18.559.999;-12.334.821
1.872;-12.917.224
1.888;-13.532.901
1.904;-14.183.133
1.92;-14.869.251
1.936;-1.559.252
1.952;-16.354.226
19.680.001;-17.155.639
1.984;-17.998.015
2;-18.882.545
2.016;-19.810.461
20.320.001;-20.782.908
20.480.001;-21.801.032
20.639.999;-22.865.909
20.799.999;-23.978.584
2.096;-25.140.054
2.112;-26.351.247
2.128;-27.613.076
21.440.001;-28.926.324
21.600.001;-30.291.774
21.760.001;-31.710.098
21.919.999;-33.181.917
22.079.999;-34.707.749
2.224;-36.288.083
2.24;-3.792.327
2.256;-39.613.642
22.720.001;-4.135.937
22.880.001;-43.160.619
23.039.999;-45.017.413
23.199.999;-46.929.731
2.336;-48.897.468
2.352;-50.920.404
2.368;-52.998.249
23.840.001;-55.130.674
24.000.001;-57.317.207
24.159.999;-59.557.343
24.319.999;-6.185.051
2.448;-64.196.024
2.464;-66.593.177
2.48;-69.041.159
24.960.001;-71.539.103
25.120.001;-74.086.083
25.280.001;-76.681.106
25.439.999;-79.323.099
25.599.999;-82.010.935
2.576;-8.474.341
2.592;-87.519.242
2.608;-90.337.082
26.240.001;-93.195.496
26.400.001;-96.092.946
26.559.999;-99.027.811
26.719.999;-10.199.835
2.688;-10.500.263
2.704;-10.803.869
2.72;-11.110.429
27.360.001;-11.419.705
27.520.001;-11.731.435
27.679.999;-12.045.331
27.839.999;-1.236.108
2.8;-12.678.324
2.816;-12.996.681
2.832;-1.331.571
2.848;-1.363.493
28.640.001;-13.953.804
28.800.001;-14.271.723
28.959.999;-14.588.017
29.119.999;-14.901.936
2.928;-15.212.645
2.944;-15.519.226
2.96;-15.820.663
29.760.001;-16.115.845
29.920.001;-16.403.571
30.079.999;-16.682.551
30.239.999;-16.951.411
3.04;-17.208.716
3.056;-17.452.987
3.072;-17.682.728
30.880.001;-17.896.467
31.040.001;-18.092.787
31.199.999;-18.270.377
31.359.999;-18.428.079
3.152;-18.564.928
3.168;-18.680.199
3.184;-18.773.434
3.2;-18.844.465
32.160.001;-18.893.431
32.320.001;-18.920.763
32.479.999;-1.892.717
32.639.999;-18.913.596
3.28;-18.881.216
3.296;-18.831.344
3.312;-18.765.421
33.280.001;-1.868.495
33.440.001;-18.591.455
33.599.999;-18.486.452
33.759.999;-18.371.407
3.392;-18.247.719
3.408;-1.811.669
3.424;-1.797.953
34.400.001;-17.837.337
34.560.001;-17.691.092
34.719.999;-17.541.678
34.879.999;-17.389.855
35.039.999;-17.236.291
3.52;-17.081.549
3.536;-16.926.108
3.552;-16.770.358
35.680.001;-16.614.616
35.840.001;-16.459.123
35.999.999;-16.304.062
36.159.999;-16.149.557
3.632;-15.995.682
3.648;-15.842.459
3.664;-15.689.875
36.800.001;-15.537.882
36.960.001;-15.386.399
37.119.999;-15.235.317
37.279.999;-1.508.451
3.744;-14.933.828
3.76;-14.783.118
3.776;-14.632.207
37.920.001;-14.480.924
38.080.001;-14.329.094
38.239.999;-14.176.546
38.399.999;-14.023.117
38.559.999;-13.868.654
3.872;-13.713.014
3.888;-13.556.076
3.904;-13.397.733
39.200.001;-13.237.907
39.360.001;-13.076.541
39.519.999;-129.136
39.679.999;-12.749.077
3.984;-12.582.999
4;-12.415.416
40.159.998;-12.246.402
40.320.001;-12.076.063
40.479.999;-11.904.526
40.640.001;-11.731.945
40.799.999;-1.155.849
40.960.002;-1.138.436
4.112;-11.209.762
41.279.998;-1.103.492
41.440.001;-10.860.068
41.599.998;-10.685.452
41.760.001;-10.511.325
41.919.999;-10.337.938
42.080.002;-10.165.542
4.224;-99.943.988
42.399.998;-98.247.532
4.256;-96.568.517
42.719.998;-94.909.321
42.880.001;-93.272.249
43.039.999;-91.659.438
43.200.002;-90.073.014
4.336;-88.514.952
43.520.002;-86.987.044
4.368;-85.491.019
43.839.998;-84.028.441
44.000.001;-82.600.767
44.159.999;-81.209.282
44.320.002;-79.855.134
4.448;-78.539.346
44.640.002;-77.262.829
4.48;-76.026.334
44.959.998;-74.830.493
45.120.001;-73.675.799
45.279.999;-72.562.659
45.440.001;-7.149.135
45.599.999;-70.462.015
45.760.002;-69.474.732
4.592;-68.529.462
46.079.998;-67.626.059
46.240.001;-66.764.309
46.399.999;-65.943.892
