        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                    -0.025480017
                  0.1149                    -0.026254061
              0.12980001                    -0.027136064
              0.14470001                    -0.028125133
                  0.1596                    -0.029222023
                  0.1745                    -0.030427086
                  0.1894                    -0.031738875
                  0.2043                    -0.033158081
                  0.2192                    -0.034684003
                  0.2341                    -0.036316391
                   0.249                    -0.038054231
              0.26390001                    -0.039897484
              0.27880001                    -0.041844925
              0.29370001                    -0.043895618
              0.30860001                    -0.046049119
              0.32350001                    -0.048303832
              0.33840001                    -0.050658178
              0.35330001                    -0.053110234
                  0.3682                    -0.055660495
                  0.3831                    -0.058304622
                   0.398                    -0.061042604
                  0.4129                    -0.063871336
                  0.4278                    -0.066788687
                  0.4427                    -0.069794359
                  0.4576                    -0.072884135
                  0.4725                     -0.07605616
                  0.4874                    -0.079308752
              0.50230002                    -0.082638771
              0.51719999                    -0.086044587
              0.53210002                    -0.089524295
              0.54699999                    -0.093074358
              0.56190002                    -0.096693988
              0.57679999                     -0.10038116
              0.59170002                     -0.10413412
              0.60659999                     -0.10795137
              0.62150002                     -0.11183127
              0.63639998                     -0.11577418
              0.65130001                     -0.11977804
              0.66619998                     -0.12384504
              0.68110001                     -0.12797354
              0.69599998                     -0.13216538
              0.71090001                     -0.13642229
              0.72579998                     -0.14074683
              0.74070001                     -0.14514156
              0.75559998                     -0.14961058
                  0.7705                     -0.15415731
              0.78539997                     -0.15878877
                  0.8003                     -0.16351086
              0.81519997                     -0.16833006
                  0.8301                     -0.17325679
              0.84500003                     -0.17829807
                  0.8599                     -0.18346643
              0.87480003                     -0.18877288
                  0.8897                     -0.19423058
              0.90460002                     -0.19985431
              0.91949999                     -0.20565944
              0.93440002                     -0.21166402
              0.94929999                     -0.21788561
              0.96420002                      -0.2243444
              0.97909999                     -0.23106206
              0.99400002                     -0.23806111
                  1.0089                     -0.24536638
                  1.0238                     -0.25300294
                  1.0387                     -0.26099857
                  1.0536                     -0.26938269
                  1.0685                     -0.27818495
                  1.0834                     -0.28743851
                  1.0983                     -0.29717533
               1.1131999                     -0.30743102
                  1.1281                     -0.31824242
                   1.143                     -0.32964687
                  1.1579                     -0.34168275
               1.1727999                     -0.35439212
                  1.1877                     -0.36781704
                  1.2026                     -0.38199885
                  1.2175                     -0.39698408
               1.2323999                     -0.41281786
                  1.2473                     -0.42954755
                  1.2622                     -0.44722057
                  1.2771                      -0.4658878
               1.2920001                     -0.48559795
                  1.3069                     -0.50640367
                  1.3218                     -0.52835599
                  1.3367                     -0.55150987
               1.3516001                     -0.57591823
                  1.3665                     -0.60163768
                  1.3814                     -0.62872254
                  1.3963                     -0.65722951
                  1.4112                     -0.68721703
                  1.4261                     -0.71874339
                   1.441                     -0.75186566
                  1.4559                     -0.78664488
                  1.4708                     -0.82314026
                  1.4857                     -0.86141329
                  1.5006                      -0.9015243
               1.5154999                     -0.94353525
                  1.5304                     -0.98750759
                  1.5453                      -1.0335064
                  1.5602                      -1.0815919
               1.5750999                      -1.1318301
                    1.59                       -1.184284
                  1.6049                      -1.2390198
                  1.6198                      -1.2961022
               1.6346999                      -1.3555959
                  1.6496                      -1.4175701
                  1.6645                      -1.4820891
                  1.6794                       -1.549222
               1.6943001                      -1.6190364
                  1.7092                      -1.6916026
                  1.7241                      -1.7669882
                   1.739                      -1.8452666
               1.7539001                      -1.9265065
                  1.7688                      -2.0107809
                  1.7837                      -2.0981632
                  1.7986                      -2.1887284
                  1.8135                      -2.2825502
                  1.8284                      -2.3797073
                  1.8433                      -2.4802754
                  1.8582                      -2.5843343
                  1.8731                      -2.6919644
                   1.888                      -2.8032486
                  1.9029                      -2.9182698
               1.9177999                      -3.0371143
                  1.9327                      -3.1598692
                  1.9476                      -3.2866248
                  1.9625                      -3.4174717
               1.9773999                      -3.5525055
                  1.9923                      -3.6918226
                  2.0072                      -3.8355226
                  2.0221                      -3.9837079
               2.0369999                      -4.1364835
               2.0518999                      -4.2939592
               2.0668001                       -4.456247
               2.0817001                      -4.6234647
               2.0966001                      -4.7957315
                  2.1115                      -4.9731719
                  2.1264                      -5.1559166
                  2.1413                      -5.3440989
               2.1561999                      -5.5378595
               2.1710999                      -5.7373447
               2.1860001                      -5.9427044
               2.2009001                      -6.1540979
                  2.2158                        -6.37169
                  2.2307                      -6.5956537
                  2.2456                      -6.8261684
                  2.2605                      -7.0634238
               2.2753999                       -7.307617
               2.2902999                      -7.5589553
               2.3052001                       -7.817657
               2.3201001                      -8.0839477
                   2.335                       -8.358068
                  2.3499                      -8.6402693
                  2.3648                      -8.9308134
               2.3796999                      -9.2299774
               2.3945999                       -9.538051
               2.4094999                      -9.8553372
               2.4244001                      -10.182153
               2.4393001                       -10.51883
                  2.4542                      -10.865712
                  2.4691                      -11.223156
                   2.484                       -11.59153
               2.4988999                      -11.971211
               2.5137999                      -12.362577
               2.5287001                      -12.766011
               2.5436001                      -13.181884
               2.5585001                      -13.610548
                  2.5734                      -14.052325
                  2.5883                       -14.50748
                  2.6032                      -14.976199
               2.6180999                      -15.458547
               2.6329999                      -15.954425
               2.6479001                      -16.463502
               2.6628001                      -16.985124
                  2.6777                       -17.51821
                  2.6926                      -18.061096
                  2.7075                      -18.611371
                  2.7224                      -19.165648
               2.7372999                      -19.719333
               2.7521999                      -20.266372
               2.7671001                      -20.799048
               2.7820001                       -21.30789
                  2.7969                      -21.781821
                  2.8118                      -22.208648
                  2.8267                      -22.576013
               2.8415999                      -22.872749
               2.8564999                       -23.09045
               2.8714001                      -23.224871
               2.8863001                      -23.276675
               2.9012001                        -23.2513
                  2.9161                       -23.15796
                   2.931                      -23.008156
                  2.9459                      -22.814126
               2.9607999                      -22.587596
               2.9756999                      -22.338981
               2.9906001                      -22.076998
               3.0055001                      -21.808613
                  3.0204                      -21.539166
                  3.0353                      -21.272601
                  3.0502                      -21.011711
                  3.0651                      -20.758373
               3.0799999                      -20.513753
               3.0948999                      -20.278473
               3.1098001                      -20.052747
               3.1247001                       -19.83648
                  3.1396                      -19.629359
                  3.1545                      -19.430902
                  3.1694                      -19.240521
               3.1842999                      -19.057541
               3.1991999                      -18.881241
               3.2140999                      -18.710871
               3.2290001                       -18.54567
               3.2439001                       -18.38488
                  3.2588                      -18.227757
                  3.2737                      -18.073584
                  3.2886                      -17.921675
               3.3034999                      -17.771388
               3.3183999                      -17.622127
               3.3333001                      -17.473349
               3.3482001                      -17.324572
               3.3631001                      -17.175373
                   3.378                      -17.025393
                  3.3929                       -16.87434
                  3.4078                      -16.721991
               3.4226999                      -16.568182
               3.4375999                      -16.412821
               3.4525001                      -16.255871
               3.4674001                      -16.097355
                  3.4823                      -15.937349
                  3.4972                      -15.775976
                  3.5121                      -15.613402
                   3.527                      -15.449827
               3.5418999                      -15.285487
               3.5567999                      -15.120633
               3.5717001                      -14.955546
               3.5866001                      -14.790511
                  3.6015                      -14.625827
                  3.6164                      -14.461794
                  3.6313                      -14.298711
               3.6461999                      -14.136875
               3.6610999                      -13.976576
               3.6760001                      -13.818095
               3.6909001                      -13.661701
               3.7058001                       -13.50765
                  3.7207                      -13.356186
                  3.7356                      -13.207538
                  3.7505                      -13.061918
               3.7653999                      -12.919527
               3.7802999                      -12.780546
               3.7952001                      -12.645147
               3.8101001                      -12.513484
                   3.825                      -12.385698
                  3.8399                      -12.261919
                  3.8548                      -12.142261
                  3.8697                      -12.026828
               3.8845999                      -11.915716
               3.8994999                      -11.809005
               3.9144001                      -11.706771
               3.9293001                      -11.609076
                  3.9442                       -11.51598
                  3.9591                      -11.427532
                   3.974                      -11.343772
               3.9888999                      -11.264737
               4.0037999                      -11.190458
               4.0187001                      -11.120962
               4.0335999                      -11.056269
               4.0485001                      -10.996393
               4.0633998                      -10.941352
                  4.0783                      -10.891152
               4.0932002                        -10.8458
               4.1080999                      -10.805299
               4.1230001                      -10.769652
               4.1378999                      -10.738857
               4.1528001                      -10.712912
               4.1676998                      -10.691811
                  4.1826                      -10.675549
               4.1975002                      -10.664118
                  4.2124                      -10.657509
               4.2273002                      -10.655715
               4.2421999                      -10.658721
               4.2571001                      -10.666517
               4.2719998                      -10.679091
                  4.2869                       -10.69643
               4.3017998                      -10.718517
                  4.3167                      -10.745339
               4.3316002                      -10.776881
               4.3464999                      -10.813126
               4.3614001                      -10.854057
               4.3762999                      -10.899657
               4.3912001                      -10.949908
               4.4060998                      -11.004788
                   4.421                      -11.064279
               4.4359002                       -11.12836
               4.4507999                      -11.197007
               4.4657001                      -11.270199
               4.4805999                      -11.347907
               4.4955001                       -11.43011
               4.5103998                      -11.516778
                  4.5253                       -11.60788
               4.5402002                      -11.703386
                  4.5551                      -11.803264
               4.5700002                      -11.907475
               4.5848999                      -12.015983
               4.5998001                      -12.128744
               4.6146998                      -12.245715
                  4.6296                      -12.366848
               4.6444998                      -12.492092
                  4.6594                       -12.62139
               4.6743002                      -12.754681
               4.6891999                        -12.8919
               4.7041001                      -13.032977
               4.7189999                      -13.177834
               4.7339001                      -13.326388
               4.7487998                       -13.47855
                  4.7637                      -13.634221
               4.7786002                      -13.793298
               4.7934999                      -13.955664
               4.8084002                      -14.121196
               4.8232999                      -14.289761
               4.8382001                      -14.461216
               4.8530998                        -14.6354
                   4.868                      -14.812148
               4.8829002                      -14.991277
                  4.8978                      -15.172592
               4.9127002                       -15.35588
               4.9275999                      -15.540917
               4.9425001                      -15.727459
               4.9573998                      -15.915246
               4.9723001                      -16.103997
               4.9871998                      -16.293419
                  5.0021                      -16.483193
               5.0170002                      -16.672981
               5.0318999                      -16.862429
               5.0468001                      -17.051158
               5.0616999                      -17.238767
               5.0766001                      -17.424842
               5.0914998                      -17.608941
                  5.1064                      -17.790604
               5.1213002                      -17.969354
                  5.1362                        -18.1447
               5.1511002                      -18.316128
               5.1659999                      -18.483115
               5.1809001                      -18.645127
               5.1957998                      -18.801622
                  5.2107                      -18.952053
               5.2255998                      -19.095873
                  5.2405                      -19.232537
               5.2554002                       -19.36151
               5.2702999                       -19.48227
               5.2852001                      -19.594312
               5.3000998                      -19.697157
               5.3150001                      -19.790353
               5.3298998                      -19.873485
                  5.3448                      -19.946174
               5.3597002                      -20.008088
               5.3745999                      -20.058945
               5.3895001                       -20.09851
               5.4043999                      -20.126609
               5.4193001                      -20.143123
               5.4341998                      -20.147994
                  5.4491                      -20.141222
               5.4640002                      -20.122868
                  5.4789                       -20.09305
               5.4938002                      -20.051943
               5.5086999                      -19.999777
               5.5236001                      -19.936827
               5.5384998                      -19.863419
                  5.5534                      -19.779914
               5.5682998                      -19.686717
                  5.5832                      -19.584254
               5.5981002                      -19.472986
               5.6129999                      -19.353386
               5.6279001                      -19.225948
               5.6427999                      -19.091172
               5.6577001                      -18.949566
               5.6725998                      -18.801637
                  5.6875                      -18.647891
               5.7024002                      -18.488827
