        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.21485789
                  0.1149                     -0.21018462
              0.12980001                     -0.20495044
              0.14470001                     -0.19918971
                  0.1596                     -0.19293635
                  0.1745                     -0.18623148
                  0.1894                     -0.17911358
                  0.2043                     -0.17162759
                  0.2192                     -0.16381863
                  0.2341                     -0.15573345
                   0.249                     -0.14742067
              0.26390001                      -0.1389291
              0.27880001                     -0.13030951
              0.29370001                     -0.12161232
              0.30860001                     -0.11288699
              0.32350001                     -0.10418407
              0.33840001                    -0.095554951
              0.35330001                    -0.087046476
                  0.3682                    -0.078706498
                  0.3831                    -0.070583298
                   0.398                    -0.062721395
                  0.4129                    -0.055163284
                  0.4278                    -0.047951386
                  0.4427                    -0.041123964
                  0.4576                    -0.034718555
                  0.4725                     -0.02876981
                  0.4874                    -0.023309987
              0.50230002                    -0.018367554
              0.51719999                    -0.013969988
              0.53210002                    -0.010138918
              0.54699999                   -0.0068958868
              0.56190002                   -0.0042583808
              0.57679999                   -0.0022411924
              0.59170002                   -0.0008530102
              0.60659999                  -0.00010530312
              0.62150002                  -1.2928214e-07
              0.63639998                  -0.00054002512
              0.65130001                   -0.0017231918
              0.66619998                    -0.003546707
              0.68110001                   -0.0059997446
              0.69599998                   -0.0090728857
              0.71090001                     -0.01275442
              0.72579998                    -0.017025184
              0.74070001                    -0.021867235
              0.75559998                    -0.027258147
                  0.7705                    -0.033174267
              0.78539997                    -0.039588453
                  0.8003                    -0.046470126
              0.81519997                    -0.053791171
                  0.8301                    -0.061516239
              0.84500003                     -0.06961115
                  0.8599                    -0.078039399
              0.87480003                    -0.086764859
                  0.8897                     -0.09574665
              0.90460002                     -0.10494684
              0.91949999                     -0.11432417
              0.93440002                     -0.12383737
              0.94929999                      -0.1334466
              0.96420002                     -0.14311004
              0.97909999                      -0.1527873
              0.99400002                     -0.16243794
                  1.0089                     -0.17202262
                  1.0238                     -0.18150274
                  1.0387                     -0.19084196
                  1.0536                     -0.20000321
                  1.0685                     -0.20895322
                  1.0834                     -0.21765892
                  1.0983                     -0.22609199
               1.1131999                     -0.23422408
                  1.1281                     -0.24202873
                   1.143                     -0.24948612
                  1.1579                     -0.25657316
               1.1727999                     -0.26327601
                  1.1877                     -0.26957893
                  1.2026                     -0.27547215
                  1.2175                     -0.28094751
               1.2323999                     -0.28600096
                  1.2473                     -0.29063195
                  1.2622                     -0.29484076
                  1.2771                     -0.29863462
               1.2920001                     -0.30202206
                  1.3069                     -0.30501168
                  1.3218                      -0.3076201
                  1.3367                     -0.30986389
               1.3516001                     -0.31176325
                  1.3665                      -0.3133392
                  1.3814                     -0.31461731
                  1.3963                     -0.31562384
                  1.4112                     -0.31638777
                  1.4261                     -0.31694043
                   1.441                     -0.31731287
                  1.4559                     -0.31753916
                  1.4708                     -0.31765369
                  1.4857                      -0.3176916
                  1.5006                      -0.3176898
               1.5154999                     -0.31768453
                  1.5304                      -0.3177132
                  1.5453                      -0.3178122
                  1.5602                     -0.31801915
               1.5750999                     -0.31837056
                    1.59                     -0.31890139
                  1.6049                     -0.31964831
                  1.6198                     -0.32064436
               1.6346999                     -0.32192392
                  1.6496                     -0.32351972
                  1.6645                       -0.325461
                  1.6794                     -0.32777926
               1.6943001                     -0.33050037
                  1.7092                     -0.33365301
                  1.7241                      -0.3372605
                   1.739                      -0.3413458
               1.7539001                     -0.34593027
                  1.7688                     -0.35103387
                  1.7837                     -0.35667226
                  1.7986                     -0.36286165
                  1.8135                     -0.36961661
                  1.8284                     -0.37694713
                  1.8433                     -0.38486371
                  1.8582                      -0.3933741
                  1.8731                     -0.40248358
                   1.888                      -0.4121979
                  1.9029                     -0.42251831
               1.9177999                       -0.433446
                  1.9327                     -0.44497905
                  1.9476                     -0.45711734
                  1.9625                     -0.46985591
               1.9773999                     -0.48318843
                  1.9923                     -0.49711072
                  2.0072                       -0.511614
                  2.0221                     -0.52668981
               2.0369999                     -0.54233041
               2.0518999                     -0.55852324
               2.0668001                     -0.57525976
               2.0817001                     -0.59252785
               2.0966001                     -0.61031736
                  2.1115                     -0.62861428
                  2.1264                     -0.64740871
                  2.1413                     -0.66668778
               2.1561999                     -0.68644086
               2.1710999                     -0.70665611
               2.1860001                     -0.72732226
               2.2009001                     -0.74843106
                  2.2158                     -0.76997092
                  2.2307                     -0.79193497
                  2.2456                     -0.81431522
                  2.2605                     -0.83710426
               2.2753999                     -0.86029931
               2.2902999                     -0.88389453
               2.3052001                     -0.90788667
               2.3201001                     -0.93227619
                   2.335                     -0.95706368
                  2.3499                     -0.98224981
                  2.3648                        -1.00784
               2.3796999                      -1.0338392
               2.3945999                      -1.0602543
               2.4094999                      -1.0870947
               2.4244001                      -1.1143718
               2.4393001                      -1.1420973
                  2.4542                      -1.1702865
                  2.4691                      -1.1989543
                   2.484                      -1.2281204
               2.4988999                      -1.2578042
               2.5137999                      -1.2880265
               2.5287001                        -1.31881
               2.5436001                      -1.3501805
               2.5585001                       -1.382162
                  2.5734                      -1.4147832
                  2.5883                      -1.4480739
                  2.6032                       -1.482062
               2.6180999                      -1.5167801
               2.6329999                      -1.5522581
               2.6479001                      -1.5885314
               2.6628001                      -1.6256329
