        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                     0.098778339
                  0.1149                      0.18838946
              0.12980001                      0.26148998
              0.14470001                      0.31338085
                  0.1596                      0.34089951
                  0.1745                      0.34245281
                  0.1894                      0.31801739
                  0.2043                       0.2691296
                  0.2192                       0.1988577
                  0.2341                      0.11174286
                   0.249                     0.013681776
              0.26390001                    -0.088323945
              0.27880001                      -0.1865638
              0.29370001                     -0.27321922
              0.30860001                     -0.34111666
              0.32350001                     -0.38456193
              0.33840001                     -0.40009236
              0.35330001                     -0.38696315
                  0.3682                     -0.34724899
                  0.3831                     -0.28552133
                   0.398                     -0.20819309
                  0.4129                     -0.12269701
                  0.4278                    -0.036673576
                  0.4427                     0.042711201
                  0.4576                      0.10926124
                  0.4725                       0.1580685
                  0.4874                      0.18567932
              0.50230002                      0.19017258
              0.51719999                       0.1711791
              0.53210002                      0.12987273
              0.54699999                     0.068931642
              0.56190002                   -0.0075384581
              0.57679999                     -0.09414491
              0.59170002                     -0.18447228
              0.60659999                     -0.27147541
              0.62150002                     -0.34804735
              0.63639998                     -0.40771397
              0.65130001                     -0.44538491
              0.66619998                     -0.45801096
              0.68110001                     -0.44501506
              0.69599998                     -0.40836263
              0.71090001                     -0.35227636
              0.72579998                     -0.28265616
              0.74070001                     -0.20634365
              0.75559998                      -0.1303893
                  0.7705                    -0.061421311
              0.78539997                   -0.0051762474
                  0.8003                     0.033816456
              0.81519997                     0.052422052
                  0.8301                     0.048993909
              0.84500003                     0.023421061
                  0.8599                     -0.02286919
              0.87480003                    -0.086940895
                  0.8897                      -0.1644276
              0.90460002                     -0.24970007
              0.91949999                     -0.33616394
              0.93440002                     -0.41671054
              0.94929999                     -0.48433933
              0.96420002                     -0.53290472
              0.97909999                     -0.55788099
              0.99400002                     -0.55699615
                  1.0089                     -0.53057746
                  1.0238                      -0.4815311
                  1.0387                     -0.41493959
                  1.0536                     -0.33740727
                  1.0685                     -0.25629358
                  1.0834                     -0.17897536
                  1.0983                     -0.11225417
               1.1131999                    -0.061914135
                  1.1281                    -0.032440621
                   1.143                    -0.026847908
                  1.1579                    -0.046568812
               1.1727999                    -0.091387748
                  1.1877                     -0.15937856
                  1.2026                     -0.24687483
                  1.2175                     -0.34848905
               1.2323999                     -0.45723279
                  1.2473                     -0.56482872
                  1.2622                     -0.66225693
                  1.2771                     -0.74059533
               1.2920001                     -0.79207774
                  1.3069                      -0.8112239
                  1.3218                     -0.79577908
                  1.3367                     -0.74720969
               1.3516001                     -0.67060963
                  1.3665                     -0.57405429
                  1.3814                     -0.46761598
                  1.3963                     -0.36231452
                  1.4112                     -0.26921941
                  1.4261                     -0.19883485
                   1.441                     -0.16078013
                  1.4559                     -0.16370344
                  1.4708                     -0.21538118
                  1.4857                     -0.32291079
                  1.5006                     -0.49296158
               1.5154999                     -0.73205136
                  1.5304                      -1.0468198
                  1.5453                      -1.4442935
                  1.5602                      -1.9321103
               1.5750999                      -2.5186478
                    1.59                      -3.2129282
                  1.6049                       -4.023952
                  1.6198                      -4.9586974
               1.6346999                      -6.0170094
                  1.6496                      -7.1795712
                  1.6645                      -8.3825397
                  1.6794                      -9.4764503
               1.6943001                      -10.205294
                  1.7092                      -10.314771
                  1.7241                      -9.7817083
                   1.739                      -8.8394501
               1.7539001                      -7.7549621
                  1.7688                       -6.693604
                  1.7837                      -5.7287453
                  1.7986                      -4.8838373
                  1.8135                      -4.1603316
                  1.8284                       -3.551234
                  1.8433                      -3.0469377
                  1.8582                      -2.6375324
                  1.8731                       -2.313594
                   1.888                      -2.0663385
                  1.9029                      -1.8875274
               1.9177999                      -1.7692762
                  1.9327                      -1.7038498
                  1.9476                      -1.6834812
