        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.16534086
                  0.1029                     -0.14275679
                  0.1058                     -0.10851508
                  0.1087                     -0.07042957
                  0.1116                     -0.03729551
                  0.1145                    -0.016957203
                  0.1174                     -0.01467127
                  0.1203                    -0.032000446
                  0.1232                    -0.066362396
                  0.1261                     -0.11131219
              0.12899999                     -0.15760582
                  0.1319                     -0.19503669
                  0.1348                     -0.21480045
              0.13770001                     -0.21182234
                  0.1406                     -0.18629169
                  0.1435                     -0.14380652
                  0.1464                    -0.094040188
              0.14929999                    -0.048422926
                  0.1522                    -0.017584032
                  0.1551                   -0.0091501893
              0.15800001                    -0.026232159
                  0.1609                    -0.066691246
                  0.1638                      -0.1232453
              0.16670001                     -0.18451363
                  0.1696                     -0.23712063
                  0.1725                     -0.26868715
                  0.1754                     -0.27110775
              0.17829999                     -0.24303134
                  0.1812                     -0.19051323
                  0.1841                     -0.12553961
              0.18700001                    -0.063045737
                  0.1899                    -0.017502549
                  0.1928                  -2.2044441e-07
                  0.1957                    -0.016210596
              0.19859999                     -0.06525921
                  0.2015                     -0.13948428
                  0.2044                     -0.22520137
              0.20730001                     -0.30479081
                  0.2102                      -0.3602931
                  0.2131                     -0.37801272
              0.21600001                     -0.35274341
                  0.2189                       -0.289799
                  0.2218                     -0.20381215
                  0.2247                     -0.11493282
              0.22759999                    -0.044108535
                  0.2305                   -0.0089926304
                  0.2334                    -0.021108229
              0.23630001                    -0.084131988
                  0.2392                     -0.19291479
                  0.2421                     -0.33320318
                   0.245                     -0.48252312
              0.24789999                     -0.61320234
              0.25080001                     -0.69826273
              0.25369999                     -0.71941197
              0.25659999                     -0.67410077
                  0.2595                      -0.5778817
                  0.2624                     -0.46080982
              0.26530001                     -0.36040903
              0.26820001                     -0.31511583
              0.27110001                     -0.36060245
              0.27399999                     -0.52916043
              0.27689999                     -0.85131946
                  0.2798                      -1.3589957
                  0.2827                      -2.0901737
              0.28560001                      -3.0962311
              0.28850001                      -4.4551353
              0.29139999                      -6.2994921
              0.29429999                      -8.8888732
              0.29719999                       -12.85621
                  0.3001                      -20.667788
                   0.303                      -27.106016
              0.30590001                      -15.146204
              0.30880001                      -10.474421
              0.31169999                      -7.6523132
              0.31459999                      -5.7241495
                  0.3175                      -4.3404924
                  0.3204                       -3.332297
                  0.3233                      -2.6029919
              0.32620001                      -2.0901556
              0.32910001                      -1.7488508
              0.33199999                      -1.5432654
              0.33489999                      -1.4421391
                  0.3378                      -1.4162754
                  0.3407                      -1.4375731
                  0.3436                      -1.4793987
              0.34650001                      -1.5181543
              0.34940001                      -1.5355797
              0.35229999                      -1.5208912
              0.35519999                      -1.4717404
                  0.3581                      -1.3934119
                   0.361                      -1.2964864
              0.36390001                      -1.1938477
              0.36680001                      -1.0979607
              0.36970001                      -1.0189619
              0.37259999                     -0.96365263
              0.37549999                     -0.93519888
                  0.3784                      -0.9333316
                  0.3813                     -0.95482199
              0.38420001                      -0.9941927
              0.38710001                      -1.0445853
              0.38999999                      -1.0987604
              0.39289999                      -1.1501356
              0.39579999                      -1.1937236
                  0.3987                      -1.2267938
                  0.4016                      -1.2491344
              0.40450001                      -1.2628798
              0.40740001                      -1.2720165
              0.41029999                      -1.2817312
              0.41319999                      -1.2977976
                  0.4161                      -1.3261288
                   0.419                      -1.3725351
                  0.4219                      -1.4426523
              0.42480001                      -1.5419472
              0.42770001                      -1.6756955
              0.43059999                      -1.8488185
              0.43349999                      -2.0654679
                  0.4364                       -2.328262
                  0.4393                       -2.637079
              0.44220001                      -2.9872873
              0.44510001                      -3.3674582
              0.44800001                      -3.7568293
              0.45089999                      -4.1236157
              0.45379999                      -4.4262428
                  0.4567                      -4.6202227
                  0.4596                      -4.6710777
              0.46250001                      -4.5681271
              0.46540001                      -4.3298936
              0.46830001                      -3.9967625
              0.47119999                        -3.61656
              0.47409999                       -3.232075
                   0.477                      -2.8748436
                  0.4799                      -2.5641161
              0.48280001                      -2.3083964
              0.48570001                      -2.1076377
              0.48859999                      -1.9553638
              0.49149999                      -1.8406472
              0.49439999                      -1.7501451
                  0.4973                      -1.6703506
              0.50019997                       -1.589935
              0.50309998                      -1.5017667
              0.50599998                      -1.4040454
              0.50889999                      -1.3001382
              0.51179999                      -1.1971848
                  0.5147                      -1.1039651
                  0.5176                       -1.028651
                  0.5205                     -0.97695974
              0.52340001                     -0.95094923
              0.52630001                     -0.94850264
              0.52920002                     -0.96352363
              0.53210002                      -0.9868253
              0.53500003                       -1.007729
              0.53789997                      -1.0161733
              0.54079998                      -1.0049431
              0.54369998                     -0.97136267
              0.54659998                     -0.91786948
              0.54949999                     -0.85125975
              0.55239999                     -0.78087832
                  0.5553                     -0.71641744
                  0.5582                     -0.66592442
              0.56110001                      -0.6343999
              0.56400001                     -0.62311371
              0.56690001                     -0.62961622
              0.56980002                     -0.64836206
              0.57270002                     -0.67189083
              0.57560003                     -0.69239049
              0.57849997                     -0.70340675
              0.58139998                     -0.70127037
              0.58429998                     -0.68583959
              0.58719999                     -0.66033664
              0.59009999                     -0.63033339
              0.59299999                     -0.60224324
                  0.5959                     -0.58177778
                  0.5988                     -0.57270945
              0.60170001                      -0.5761722
              0.60460001                     -0.59054878
              0.60750002                     -0.61193346
              0.61040002                     -0.63506417
              0.61330003                     -0.65456698
              0.61619997                     -0.66624333
              0.61909997                     -0.66807492
              0.62199998                      -0.6606701
              0.62489998                     -0.64701735
              0.62779999                     -0.63164247
              0.63069999                     -0.61944761
                  0.6336                     -0.61454847
                  0.6365                     -0.61939266
              0.63940001                     -0.63430196
              0.64230001                     -0.65751184
              0.64520001                     -0.68566635
              0.64810002                     -0.71466835
              0.65100002                     -0.74072154
              0.65390003                     -0.76130153
              0.65679997                     -0.77581277
              0.65969998                     -0.78575595
              0.66259998                      -0.7943462
              0.66549999                     -0.80573989
              0.66839999                     -0.82407954
              0.67129999                     -0.85264104
                  0.6742                     -0.89325989
                  0.6771                     -0.94615377
              0.68000001                      -1.0101651
              0.68290001                       -1.083371
