        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                      -0.0910319
                  0.1149                    -0.089789951
              0.12980001                    -0.088404122
              0.14470001                     -0.08688633
                  0.1596                    -0.085248555
                  0.1745                    -0.083505243
                  0.1894                    -0.081670608
                  0.2043                    -0.079759023
                  0.2192                    -0.077788597
                  0.2341                    -0.075775881
                   0.249                    -0.073740362
              0.26390001                    -0.071700499
              0.27880001                    -0.069676437
              0.29370001                    -0.067689583
              0.30860001                     -0.06576012
              0.32350001                    -0.063910271
              0.33840001                    -0.062162603
              0.35330001                    -0.060538564
                  0.3682                    -0.059062338
                  0.3831                    -0.057756323
                   0.398                    -0.056643166
                  0.4129                    -0.055746217
                  0.4278                    -0.055088608
                  0.4427                    -0.054694115
                  0.4576                    -0.054584502
                  0.4725                    -0.054781835
                  0.4874                    -0.055309926
              0.50230002                    -0.056188573
              0.51719999                    -0.057441102
              0.53210002                    -0.059086752
              0.54699999                    -0.061144969
              0.56190002                    -0.063637369
              0.57679999                    -0.066580809
              0.59170002                    -0.069993857
              0.60659999                    -0.073893588
              0.62150002                    -0.078296884
              0.63639998                    -0.083217835
              0.65130001                    -0.088671632
              0.66619998                    -0.094671096
              0.68110001                     -0.10122871
              0.69599998                     -0.10835621
              0.71090001                     -0.11606309
              0.72579998                     -0.12435965
              0.74070001                     -0.13325259
              0.75559998                     -0.14275009
                  0.7705                     -0.15285685
              0.78539997                     -0.16357869
                  0.8003                     -0.17491932
              0.81519997                     -0.18688022
                  0.8301                     -0.19946454
              0.84500003                     -0.21267131
                  0.8599                     -0.22650199
              0.87480003                     -0.24095361
                  0.8897                     -0.25602424
              0.90460002                     -0.27171172
              0.91949999                     -0.28801135
              0.93440002                     -0.30491852
              0.94929999                     -0.32242853
              0.96420002                     -0.34053476
              0.97909999                     -0.35923048
              0.99400002                     -0.37851095
                  1.0089                     -0.39836665
                  1.0238                     -0.41879206
                  1.0387                      -0.4397781
                  1.0536                     -0.46131814
                  1.0685                     -0.48340459
                  1.0834                     -0.50602956
                  1.0983                     -0.52918732
               1.1131999                     -0.55286895
                  1.1281                     -0.57707107
                   1.143                     -0.60178689
                  1.1579                     -0.62701091
               1.1727999                     -0.65274129
                  1.1877                      -0.6789742
                  1.2026                     -0.70570706
                  1.2175                     -0.73294212
               1.2323999                      -0.7606782
                  1.2473                     -0.78891839
                  1.2622                     -0.81766812
                  1.2771                     -0.84693059
               1.2920001                     -0.87671523
                  1.3069                     -0.90703132
                  1.3218                     -0.93788973
                  1.3367                     -0.96930481
               1.3516001                      -1.0012909
                  1.3665                      -1.0338674
                  1.3814                      -1.0670529
                  1.3963                      -1.1008696
                  1.4112                      -1.1353432
                  1.4261                      -1.1704991
                   1.441                      -1.2063674
                  1.4559                      -1.2429794
                  1.4708                      -1.2803684
                  1.4857                      -1.3185713
                  1.5006                      -1.3576252
               1.5154999                      -1.3975721
                  1.5304                      -1.4384528
                  1.5453                      -1.4803142
                  1.5602                      -1.5232012
               1.5750999                      -1.5671634
                    1.59                      -1.6122532
                  1.6049                      -1.6585203
                  1.6198                      -1.7060204
               1.6346999                      -1.7548095
                  1.6496                      -1.8049453
                  1.6645                      -1.8564854
                  1.6794                      -1.9094904
               1.6943001                      -1.9640227
                  1.7092                      -2.0201442
                  1.7241                      -2.0779167
                   1.739                      -2.1374047
               1.7539001                      -2.1986739
                  1.7688                      -2.2617893
                  1.7837                      -2.3268167
                  1.7986                      -2.3938214
                  1.8135                        -2.46287
                  1.8284                      -2.5340277
                  1.8433                      -2.6073619
                  1.8582                      -2.6829369
                  1.8731                      -2.7608178
                   1.888                      -2.8410699
                  1.9029                      -2.9237561
               1.9177999                      -3.0089395
                  1.9327                      -3.0966799
                  1.9476                       -3.187039
                  1.9625                      -3.2800754
               1.9773999                      -3.3758438
                  1.9923                      -3.4743994
                  2.0072                      -3.5757941
                  2.0221                      -3.6800777
               2.0369999                      -3.7872954
               2.0518999                      -3.8974902
               2.0668001                      -4.0107018
               2.0817001                      -4.1269637
               2.0966001                      -4.2463072
                  2.1115                      -4.3687577
                  2.1264                      -4.4943325
                  2.1413                      -4.6230472
               2.1561999                       -4.754904
               2.1710999                      -4.8899034
               2.1860001                      -5.0280338
               2.2009001                      -5.1692761
                  2.2158                      -5.3135978
                  2.2307                      -5.4609589
                  2.2456                      -5.6113028
                  2.2605                       -5.764561
               2.2753999                      -5.9206503
               2.2902999                      -6.0794705
               2.3052001                      -6.2409025
               2.3201001                      -6.4048084
                   2.335                      -6.5710286
                  2.3499                      -6.7393814
                  2.3648                      -6.9096612
               2.3796999                      -7.0816345
               2.3945999                      -7.2550437
               2.4094999                      -7.4295992
               2.4244001                      -7.6049821
               2.4393001                      -7.7808456
                  2.4542                      -7.9568068
                  2.4691                      -8.1324573
                   2.484                      -8.3073529
               2.4988999                      -8.4810214
               2.5137999                      -8.6529671
               2.5287001                      -8.8226622
               2.5436001                      -8.9895665
               2.5585001                      -9.1531196
                  2.5734                      -9.3127535
                  2.5883                      -9.4678995
                  2.6032                      -9.6179955
               2.6180999                      -9.7624936
               2.6329999                      -9.9008764
               2.6479001                       -10.03266
               2.6628001                      -10.157408
                  2.6777                      -10.274745
                  2.6926                       -10.38436
                  2.7075                      -10.486021
                  2.7224                      -10.579574
               2.7372999                      -10.664957
               2.7521999                      -10.742199
               2.7671001                      -10.811417
               2.7820001                      -10.872817
                  2.7969                      -10.926692
                  2.8118                      -10.973412
                  2.8267                      -11.013419
               2.8415999                      -11.047215
               2.8564999                      -11.075356
               2.8714001                      -11.098436
               2.8863001                       -11.11708
               2.9012001                      -11.131937
                  2.9161                      -11.143661
                   2.931                      -11.152913
                  2.9459                      -11.160344
               2.9607999                      -11.166597
               2.9756999                      -11.172296
               2.9906001                      -11.178041
               3.0055001                      -11.184409
                  3.0204                      -11.191948
                  3.0353                      -11.201178
                  3.0502                       -11.21259
                  3.0651                      -11.226644
               3.0799999                      -11.243769
               3.0948999                      -11.264368
               3.1098001                      -11.288812
               3.1247001                       -11.31745
                  3.1396                      -11.350603
                  3.1545                      -11.388566
                  3.1694                      -11.431615
               3.1842999                      -11.480002
               3.1991999                      -11.533958
               3.2140999                      -11.593697
               3.2290001                      -11.659409
               3.2439001                      -11.731275
                  3.2588                      -11.809449
                  3.2737                      -11.894072
                  3.2886                      -11.985267
               3.3034999                      -12.083138
               3.3183999                      -12.187769
               3.3333001                      -12.299223
               3.3482001                      -12.417542
               3.3631001                      -12.542743
                   3.378                       -12.67481
                  3.3929                      -12.813699
                  3.4078                      -12.959331
               3.4226999                      -13.111579
               3.4375999                      -13.270271
               3.4525001                      -13.435178
               3.4674001                      -13.606007
                  3.4823                      -13.782387
