        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                  -4.1812301e-07
                  0.1149                  -0.00099800781
              0.12980001                   -0.0021318044
              0.14470001                   -0.0033988394
                  0.1596                   -0.0047997625
                  0.1745                   -0.0063316288
                  0.1894                   -0.0079953179
                  0.2043                   -0.0097890667
                  0.2192                    -0.011713527
                  0.2341                    -0.013766696
                   0.249                    -0.015949824
              0.26390001                    -0.018260662
              0.27880001                     -0.02070276
              0.29370001                    -0.023275322
              0.30860001                    -0.025979604
              0.32350001                    -0.028815797
              0.33840001                    -0.031789349
              0.35330001                    -0.034900064
                  0.3682                    -0.038151029
                  0.3831                     -0.04154696
                   0.398                    -0.045090271
                  0.4129                    -0.048785973
                  0.4278                    -0.052639867
                  0.4427                    -0.056656314
                  0.4576                    -0.060841183
                  0.4725                    -0.065201827
                  0.4874                    -0.069744612
              0.50230002                    -0.074476146
              0.51719999                    -0.079406078
              0.53210002                    -0.084541651
              0.54699999                     -0.08989171
              0.56190002                    -0.095464828
              0.57679999                     -0.10127111
              0.59170002                     -0.10731925
              0.60659999                     -0.11362023
              0.62150002                     -0.12018364
              0.63639998                     -0.12701982
              0.65130001                     -0.13413916
              0.66619998                     -0.14155264
              0.68110001                     -0.14927008
              0.69599998                     -0.15730218
              0.71090001                     -0.16565964
              0.72579998                     -0.17435256
              0.74070001                     -0.18339174
              0.75559998                     -0.19278529
                  0.7705                     -0.20254429
              0.78539997                     -0.21267907
                  0.8003                      -0.2231963
              0.81519997                     -0.23410732
                  0.8301                     -0.24541858
              0.84500003                      -0.2571387
                  0.8599                      -0.2692756
              0.87480003                      -0.2818354
                  0.8897                     -0.29482622
              0.90460002                      -0.3082517
              0.91949999                     -0.32211948
              0.93440002                     -0.33643538
              0.94929999                     -0.35120262
              0.96420002                     -0.36642483
              0.97909999                     -0.38210835
              0.99400002                     -0.39825559
                  1.0089                      -0.4148699
                  1.0238                     -0.43195397
                  1.0387                     -0.44951117
                  1.0536                     -0.46754443
                  1.0685                     -0.48605446
                  1.0834                     -0.50504622
                  1.0983                     -0.52452072
               1.1131999                     -0.54448081
                  1.1281                     -0.56492968
                   1.143                     -0.58587089
                  1.1579                     -0.60730662
               1.1727999                     -0.62924224
                  1.1877                     -0.65168282
                  1.2026                     -0.67463182
                  1.2175                     -0.69809701
               1.2323999                     -0.72208495
                  1.2473                     -0.74660345
                  1.2622                     -0.77166135
                  1.2771                     -0.79726943
               1.2920001                     -0.82344002
                  1.3069                     -0.85018533
                  1.3218                     -0.87751891
