        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                    -0.077655491
                  0.1149                    -0.071901855
              0.12980001                    -0.052136019
              0.14470001                    -0.022734169
                  0.1596                    0.0098790859
                  0.1745                     0.038657848
                  0.1894                     0.057432802
                  0.2043                     0.062131365
                  0.2192                     0.051569659
                  0.2341                     0.027717607
                   0.249                    -0.004599367
              0.26390001                    -0.038568065
              0.27880001                    -0.066748567
              0.29370001                    -0.082737928
              0.30860001                    -0.082746145
              0.32350001                    -0.066612498
              0.33840001                    -0.037932008
              0.35330001                   -0.0032018227
                  0.3682                     0.029716124
                  0.3831                     0.053376867
                   0.398                     0.062354216
                  0.4129                     0.054367662
                  0.4278                      0.03080235
                  0.4427                   -0.0034493076
                  0.4576                    -0.040858813
                  0.4725                    -0.072802821
                  0.4874                     -0.09156401
              0.50230002                     -0.09232429
              0.51719999                     -0.07455239
              0.53210002                    -0.042268245
              0.54699999                   -0.0030625532
              0.56190002                     0.033789149
              0.57679999                     0.059522773
              0.59170002                     0.067854945
              0.60659999                     0.056338758
              0.62150002                     0.026987267
              0.63639998                    -0.013955468
              0.65130001                    -0.057131794
              0.66619998                    -0.092058697
              0.68110001                     -0.10969764
              0.69599998                      -0.1049761
              0.71090001                    -0.078398888
              0.72579998                    -0.036104289
              0.74070001                     0.011700785
              0.75559998                     0.053330882
                  0.7705                     0.078418647
              0.78539997                     0.080244196
                  0.8003                     0.057245654
              0.81519997                     0.013596214
                  0.8301                     -0.04127415
              0.84500003                    -0.094347965
                  0.8599                     -0.13189935
              0.87480003                     -0.14313941
                  0.8897                     -0.12359105
              0.90460002                    -0.076838245
              0.91949999                    -0.013837921
              0.93440002                     0.049932161
              0.94929999                     0.098353737
              0.96420002                      0.11834944
              0.97909999                      0.10270628
              0.99400002                      0.05183938
                  1.0089                     -0.02550101
                  1.0238                     -0.11286527
                  1.0387                     -0.18863756
                  1.0536                     -0.23089043
                  1.0685                     -0.22389717
                  1.0834                     -0.16409046
                  1.0983                    -0.062525341
               1.1131999                     0.057454721
                  1.1281                      0.16591251
                   1.143                      0.23249328
                  1.1579                      0.23103107
               1.1727999                      0.14228937
                  1.1877                      -0.0443325
                  1.2026                     -0.32888974
                  1.2175                     -0.69785682
               1.2323999                       -1.119744
                  1.2473                      -1.5411446
                  1.2622                      -1.8886191
                  1.2771                      -2.0845756
               1.2920001                      -2.0781807
                  1.3069                      -1.8725281
                  1.3218                      -1.5227207
                  1.3367                       -1.106822
               1.3516001                     -0.69606788
                  1.3665                     -0.34084076
                  1.3814                    -0.069831617
                  1.3963                      0.10573804
                  1.4112                      0.18775814
                  1.4261                      0.18818453
                   1.441                      0.12694153
                  1.4559                     0.029840194
                  1.4708                    -0.074554467
                  1.4857                     -0.15959846
                  1.5006                     -0.20611341
               1.5154999                     -0.20675385
                  1.5304                     -0.16695813
                  1.5453                     -0.10187043
                  1.5602                    -0.030789217
               1.5750999                     0.028377299
                    1.59                     0.063014337
                  1.6049                     0.067670637
                  1.6198                     0.044237166
               1.6346999                   0.00086331254
                  1.6496                    -0.050174603
                  1.6645                     -0.09544081
                  1.6794                     -0.12369757
               1.6943001                     -0.12881285
                  1.7092                     -0.11120904
                  1.7241                    -0.077315757
                   1.739                    -0.037302553
               1.7539001                    -0.002036005
                  1.7688                     0.019711789
                  1.7837                     0.023171314
                  1.7986                    0.0083550976
                  1.8135                     -0.02022134
                  1.8284                    -0.054777571
                  1.8433                    -0.086258373
                  1.8582                      -0.1066882
                  1.8731                     -0.11131355
                   1.888                    -0.099845468
                  1.9029                    -0.076374768
               1.9177999                    -0.048016417
                  1.9327                    -0.022811921
                  1.9476                   -0.0075865781
                  1.9625                   -0.0063118683
               1.9773999                    -0.019268055
                  1.9923                    -0.043093991
                  2.0072                    -0.071675109
                  2.0221                    -0.097714746
               2.0369999                     -0.11466912
               2.0518999                     -0.11855683
               2.0668001                     -0.10907102
               2.0817001                    -0.089618171
