        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                      0.85708487
                  0.1149                      0.76772161
              0.12980001                      0.66766225
              0.14470001                      0.55766687
                  0.1596                      0.43865321
                  0.1745                      0.31171055
                  0.1894                      0.17812242
                  0.2043                     0.039381519
                  0.2192                     -0.10279189
                  0.2341                     -0.24644327
                   0.249                     -0.38938941
              0.26390001                     -0.52922887
              0.27880001                     -0.66337606
              0.29370001                     -0.78912032
              0.30860001                     -0.90369879
              0.32350001                      -1.0043996
              0.33840001                      -1.0886828
              0.35330001                      -1.1543166
                  0.3682                      -1.1995028
                  0.3831                       -1.223001
                   0.398                      -1.2242142
                  0.4129                      -1.2032372
                  0.4278                       -1.160856
                  0.4427                      -1.0984977
                  0.4576                      -1.0181418
                  0.4725                     -0.92220203
                  0.4874                     -0.81339305
              0.50230002                     -0.69459977
              0.51719999                     -0.56875739
              0.53210002                     -0.43875299
              0.54699999                     -0.30734751
              0.56190002                      -0.1771256
              0.57679999                     -0.05046267
              0.59170002                     0.070485827
              0.60659999                      0.18378561
              0.62150002                      0.28771443
              0.63639998                        0.380743
              0.65130001                      0.46151089
              0.66619998                      0.52881226
              0.68110001                      0.58156278
              0.69599998                      0.61878609
              0.71090001                      0.63958266
              0.72579998                      0.64311628
              0.74070001                      0.62859162
              0.75559998                      0.59523657
                  0.7705                      0.54228267
              0.78539997                      0.46895207
                  0.8003                      0.37443781
              0.81519997                       0.2578849
                  0.8301                      0.11837921
              0.84500003                    -0.045080873
                  0.8599                     -0.23360127
              0.87480003                     -0.44841391
                  0.8897                     -0.69091338
              0.90460002                     -0.96268281
              0.91949999                      -1.2655427
              0.93440002                      -1.6015986
              0.94929999                      -1.9733037
              0.96420002                      -2.3835496
              0.97909999                      -2.8357665
              0.99400002                      -3.3340678
                  1.0089                      -3.8834406
                  1.0238                      -4.4900072
                  1.0387                      -5.1613846
                  1.0536                      -5.9072081
                  1.0685                      -6.7398855
                  1.0834                      -7.6757418
