        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.06239159
                  0.1149                    -0.050567208
              0.12980001                    -0.038943258
              0.14470001                    -0.028048124
                  0.1596                    -0.018382656
                  0.1745                    -0.010401014
                  0.1894                    -0.004487975
                  0.2043                  -0.00094892536
                  0.2192                  -1.4518537e-07
                  0.2341                   -0.0017587881
                   0.249                   -0.0062433118
              0.26390001                    -0.013366426
              0.27880001                    -0.022947443
              0.29370001                    -0.034713167
              0.30860001                     -0.04831163
              0.32350001                    -0.063320767
              0.33840001                    -0.079271449
              0.35330001                    -0.095663196
                  0.3682                     -0.11198229
                  0.3831                     -0.12772752
                   0.398                     -0.14242683
                  0.4129                     -0.15566248
                  0.4278                     -0.16708455
                  0.4427                     -0.17643124
                  0.4576                     -0.18353762
                  0.4725                     -0.18833894
                  0.4874                     -0.19087882
              0.50230002                     -0.19130009
              0.51719999                     -0.18983986
              0.53210002                     -0.18681312
              0.54699999                     -0.18259866
              0.56190002                     -0.17761894
              0.57679999                     -0.17232256
              0.59170002                     -0.16715659
              0.60659999                     -0.16255718
              0.62150002                     -0.15892153
              0.63639998                     -0.15659677
              0.65130001                      -0.1558655
              0.66619998                     -0.15693665
              0.68110001                     -0.15993514
              0.69599998                     -0.16490198
              0.71090001                     -0.17179147
              0.72579998                     -0.18047696
              0.74070001                     -0.19075686
              0.75559998                     -0.20235969
                  0.7705                     -0.21496118
              0.78539997                     -0.22819965
                  0.8003                     -0.24168739
              0.81519997                     -0.25502867
                  0.8301                     -0.26784302
              0.84500003                      -0.2797766
                  0.8599                     -0.29051979
              0.87480003                     -0.29982292
                  0.8897                     -0.30750774
              0.90460002                     -0.31347241
              0.91949999                     -0.31769876
              0.93440002                     -0.32024834
              0.94929999                     -0.32126329
              0.96420002                     -0.32095412
              0.97909999                     -0.31958977
              0.99400002                     -0.31748303
                  1.0089                     -0.31497998
                  1.0238                     -0.31243554
                  1.0387                     -0.31020561
                  1.0536                     -0.30862528
                  1.0685                     -0.30799643
                  1.0834                     -0.30857771
                  1.0983                      -0.3105739
               1.1131999                     -0.31412548
                  1.1281                     -0.31930945
                   1.143                     -0.32613201
                  1.1579                     -0.33453673
               1.1727999                     -0.34440287
                  1.1877                      -0.3555554
                  1.2026                     -0.36777062
                  1.2175                     -0.38079115
               1.2323999                     -0.39433602
                  1.2473                     -0.40811422
                  1.2622                     -0.42183941
                  1.2771                      -0.4352444
               1.2920001                     -0.44808919
                  1.3069                     -0.46018272
                  1.3218                     -0.47138296
                  1.3367                     -0.48160681
               1.3516001                     -0.49083745
                  1.3665                     -0.49912001
                  1.3814                     -0.50656451
                  1.3963                     -0.51333943
                  1.4112                     -0.51965917
                  1.4261                     -0.52578258
                   1.441                     -0.53199783
                  1.4559                     -0.53860714
                  1.4708                     -0.54591752
                  1.4857                     -0.55422908
                  1.5006                     -0.56382018
               1.5154999                     -0.57494009
                  1.5304                     -0.58780046
                  1.5453                      -0.6025648
                  1.5602                     -0.61934953
               1.5750999                      -0.6382175
                    1.59                     -0.65917793
                  1.6049                     -0.68219276
                  1.6198                     -0.70717528
               1.6346999                     -0.73399995
                  1.6496                     -0.76250845
                  1.6645                     -0.79252133
                  1.6794                     -0.82384381
               1.6943001                     -0.85628237
                  1.7092                     -0.88964909
