        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.19279641
                  0.1149                     -0.25962154
              0.12980001                     -0.31351056
              0.14470001                     -0.34974392
                  0.1596                     -0.36535025
                  0.1745                     -0.35951774
                  0.1894                     -0.33371011
                  0.2043                     -0.29145762
                  0.2192                     -0.23786217
                  0.2341                     -0.17894475
                   0.249                     -0.12095096
              0.26390001                     -0.06973175
              0.27880001                    -0.030254142
              0.29370001                   -0.0062496429
              0.30860001                   9.7758091e-08
              0.32350001                    -0.012228729
              0.33840001                    -0.042066083
              0.35330001                    -0.087110075
                  0.3682                     -0.14356796
                  0.3831                     -0.20650163
                   0.398                      -0.2702159
                  0.4129                     -0.32877094
                  0.4278                     -0.37661631
                  0.4427                     -0.40925136
                  0.4576                     -0.42382327
                  0.4725                     -0.41952505
                  0.4874                      -0.3977004
              0.50230002                     -0.36163213
              0.51719999                     -0.31607098
              0.53210002                     -0.26660868
              0.54699999                     -0.21902317
              0.56190002                     -0.17870535
              0.57679999                     -0.15021017
              0.59170002                     -0.13695906
              0.60659999                     -0.14107381
              0.62150002                     -0.16332653
              0.63639998                      -0.2031715
              0.65130001                     -0.25885853
              0.66619998                     -0.32761889
              0.68110001                     -0.40592917
              0.69599998                     -0.48984881
              0.71090001                     -0.57542184
              0.72579998                     -0.65912755
              0.74070001                     -0.73831586
              0.75559998                     -0.81157424
                  0.7705                     -0.87897534
              0.78539997                     -0.94214471
                  0.8003                      -1.0041648
              0.81519997                       -1.069318
                  0.8301                      -1.1427474
              0.84500003                      -1.2300826
                  0.8599                      -1.3370769
              0.87480003                      -1.4692967
                  0.8897                      -1.6318607
              0.90460002                      -1.8292071
              0.91949999                      -2.0648497
              0.93440002                      -2.3410749
              0.94929999                      -2.6585035
              0.96420002                      -3.0154491
              0.97909999                       -3.406971
              0.99400002                      -3.8236148
                  1.0089                      -4.2498774
                  1.0238                      -4.6628282
                  1.0387                      -5.0317713
                  1.0536                       -5.320447
                  1.0685                      -5.4930959
                  1.0834                      -5.5238539
                  1.0983                      -5.4056053
               1.1131999                      -5.1528912
                  1.1281                      -4.7968572
                   1.143                      -4.3756679
                  1.1579                      -3.9257806
               1.1727999                      -3.4770087
                  1.1877                      -3.0511754
                  1.2026                      -2.6628449
                  1.2175                      -2.3207726
               1.2323999                      -2.0293349
                  1.2473                      -1.7896584
                  1.2622                      -1.6003985
                  1.2771                      -1.4582648
               1.2920001                      -1.3583421
                  1.3069                      -1.2943339
                  1.3218                      -1.2587962
                  1.3367                       -1.243446
               1.3516001                      -1.2395975
                  1.3665                      -1.2387699
                  1.3814                       -1.233412
                  1.3963                      -1.2176553
                  1.4112                      -1.1879613
                  1.4261                      -1.1434655
                   1.441                       -1.085956
                  1.4559                      -1.0194597
                  1.4708                     -0.94955145
                  1.4857                     -0.88254182
                  1.5006                     -0.82470168
               1.5154999                     -0.78162655
                  1.5304                     -0.75778961
                  1.5453                     -0.75628101
                  1.5602                      -0.7786882
               1.5750999                     -0.82511436
                    1.59                     -0.89428489
                  1.6049                     -0.98374669
                  1.6198                      -1.0901567
               1.6346999                      -1.2096616
                  1.6496                      -1.3383511
                  1.6645                      -1.4727528
                  1.6794                      -1.6103292
               1.6943001                      -1.7498793
                  1.7092                      -1.8917903
                  1.7241                      -2.0380903
                   1.739                      -2.1922821
               1.7539001                      -2.3590171
                  1.7688                      -2.5436554
                  1.7837                      -2.7518065
                  1.7986                      -2.9888982
                  1.8135                      -3.2598181
                  1.8284                      -3.5686463
                  1.8433                       -3.918461
                  1.8582                      -4.3112381
                  1.8731                       -4.747799
                   1.888                      -5.2278547
                  1.9029                      -5.7501384
               1.9177999                      -6.3126845
                  1.9327                      -6.9132783
                  1.9476                      -7.5501227
                  1.9625                      -8.2227258
               1.9773999                      -8.9329811
                  1.9923                      -9.6863584
                  2.0072                       -10.49312
                  2.0221                      -11.369553
               2.0369999                      -12.339365
               2.0518999                      -13.435647
               2.0668001                      -14.704268
               2.0817001                      -16.210308
               2.0966001                      -18.050624
                  2.1115                      -20.378019
                  2.1264                      -23.436794
                  2.1413                      -27.439424
               2.1561999                      -30.322626
               2.1710999                      -27.580932
               2.1860001                      -24.004497
               2.2009001                      -21.399744
                  2.2158                      -19.546467
                  2.2307                      -18.219074
                  2.2456                      -17.282615
