"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+3,00000000000E+005; +1,07120708359E-001; +0,00000000000E+000
+9,02985000000E+007; +7,03616924162E-002; +0,00000000000E+000
+1,80297000000E+008; +8,50508181078E-003; +0,00000000000E+000
+2,70295500000E+008; -1,27933529867E-001; +0,00000000000E+000
+3,60294000000E+008; -3,22536802131E-001; +0,00000000000E+000
+4,50292500000E+008; -5,99531488750E-001; +0,00000000000E+000
+5,40291000000E+008; -5,86907423237E-001; +0,00000000000E+000
+6,30289500000E+008; -5,73214741603E-001; +0,00000000000E+000
+7,20288000000E+008; -7,02679301497E-001; +0,00000000000E+000
+8,10286500000E+008; -5,82068299382E-001; +0,00000000000E+000
+9,00285000000E+008; -6,72847596811E-001; +0,00000000000E+000
+9,90283500000E+008; -7,99306568037E-001; +0,00000000000E+000
+1,08028200000E+009; -1,05025631413E+000; +0,00000000000E+000
+1,17028050000E+009; -1,53487422883E+000; +0,00000000000E+000
+1,26027900000E+009; -2,14106665210E+000; +0,00000000000E+000
+1,35027750000E+009; -2,42003419656E+000; +0,00000000000E+000
+1,44027600000E+009; -2,47545204042E+000; +0,00000000000E+000
+1,53027450000E+009; -2,46084782900E+000; +0,00000000000E+000
+1,62027300000E+009; -2,56004987755E+000; +0,00000000000E+000
+1,71027150000E+009; -2,44343357442E+000; +0,00000000000E+000
+1,80027000000E+009; -2,30528232518E+000; +0,00000000000E+000
+1,89026850000E+009; -2,16453474886E+000; +0,00000000000E+000
+1,98026700000E+009; -2,04303796705E+000; +0,00000000000E+000
+2,07026550000E+009; -2,30145645390E+000; +0,00000000000E+000
+2,16026400000E+009; -2,93214201511E+000; +0,00000000000E+000
+2,25026250000E+009; -3,84872040004E+000; +0,00000000000E+000
+2,34026100000E+009; -5,15063931729E+000; +0,00000000000E+000
+2,43025950000E+009; -6,69567010761E+000; +0,00000000000E+000
+2,52025800000E+009; -8,12638439382E+000; +0,00000000000E+000
+2,61025650000E+009; -8,38777228288E+000; +0,00000000000E+000
+2,70025500000E+009; -8,24650101821E+000; +0,00000000000E+000
+2,79025350000E+009; -7,69186328529E+000; +0,00000000000E+000
+2,88025200000E+009; -8,25767105295E+000; +0,00000000000E+000
+2,97025050000E+009; -9,73291424353E+000; +0,00000000000E+000
+3,06024900000E+009; -1,12643138642E+001; +0,00000000000E+000
+3,15024750000E+009; -1,21248211571E+001; +0,00000000000E+000
+3,24024600000E+009; -1,35651242073E+001; +0,00000000000E+000
+3,33024450000E+009; -1,32522304055E+001; +0,00000000000E+000
+3,42024300000E+009; -1,31395908084E+001; +0,00000000000E+000
+3,51024150000E+009; -1,36223437484E+001; +0,00000000000E+000
+3,60024000000E+009; -1,31114054184E+001; +0,00000000000E+000
+3,69023850000E+009; -1,25008951390E+001; +0,00000000000E+000
+3,78023700000E+009; -1,16532869830E+001; +0,00000000000E+000
+3,87023550000E+009; -1,21371547607E+001; +0,00000000000E+000
+3,96023400000E+009; -1,22868302762E+001; +0,00000000000E+000
+4,05023250000E+009; -1,18982208348E+001; +0,00000000000E+000
+4,14023100000E+009; -1,11491242462E+001; +0,00000000000E+000
+4,23022950000E+009; -1,08640870301E+001; +0,00000000000E+000
+4,32022800000E+009; -1,06747810594E+001; +0,00000000000E+000
+4,41022650000E+009; -9,83081818323E+000; +0,00000000000E+000
+4,50022500000E+009; -9,57799077057E+000; +0,00000000000E+000
+4,59022350000E+009; -1,05421138052E+001; +0,00000000000E+000
+4,68022200000E+009; -1,04502637049E+001; +0,00000000000E+000
+4,77022050000E+009; -1,06737760091E+001; +0,00000000000E+000
+4,86021900000E+009; -1,13776320128E+001; +0,00000000000E+000
+4,95021750000E+009; -1,13128224829E+001; +0,00000000000E+000
+5,04021600000E+009; -1,16092455243E+001; +0,00000000000E+000
+5,13021450000E+009; -1,20722302526E+001; +0,00000000000E+000
+5,22021300000E+009; -1,14677616578E+001; +0,00000000000E+000
+5,31021150000E+009; -1,22119342979E+001; +0,00000000000E+000
+5,40021000000E+009; -1,25548492598E+001; +0,00000000000E+000
+5,49020850000E+009; -1,25129153586E+001; +0,00000000000E+000
+5,58020700000E+009; -1,23573749019E+001; +0,00000000000E+000
+5,67020550000E+009; -1,28716936480E+001; +0,00000000000E+000
+5,76020400000E+009; -1,34976353337E+001; +0,00000000000E+000
+5,85020250000E+009; -1,41024427555E+001; +0,00000000000E+000
+5,94020100000E+009; -1,35002472555E+001; +0,00000000000E+000
+6,03019950000E+009; -1,40465948747E+001; +0,00000000000E+000
+6,12019800000E+009; -1,39291987257E+001; +0,00000000000E+000
+6,21019650000E+009; -1,40896891586E+001; +0,00000000000E+000
+6,30019500000E+009; -1,50725314769E+001; +0,00000000000E+000
+6,39019350000E+009; -1,52430123822E+001; +0,00000000000E+000
+6,48019200000E+009; -1,46856830536E+001; +0,00000000000E+000
+6,57019050000E+009; -1,46533934826E+001; +0,00000000000E+000
+6,66018900000E+009; -1,39566210472E+001; +0,00000000000E+000
+6,75018750000E+009; -1,39946117367E+001; +0,00000000000E+000
+6,84018600000E+009; -1,26876888978E+001; +0,00000000000E+000
+6,93018450000E+009; -1,18574622807E+001; +0,00000000000E+000
+7,02018300000E+009; -1,26863183936E+001; +0,00000000000E+000
+7,11018150000E+009; -1,23762022654E+001; +0,00000000000E+000
+7,20018000000E+009; -1,22439828052E+001; +0,00000000000E+000
+7,29017850000E+009; -1,44579808573E+001; +0,00000000000E+000
+7,38017700000E+009; -1,38299060699E+001; +0,00000000000E+000
+7,47017550000E+009; -1,44041645214E+001; +0,00000000000E+000
+7,56017400000E+009; -1,69771965951E+001; +0,00000000000E+000
+7,65017250000E+009; -1,26403631747E+001; +0,00000000000E+000
+7,74017100000E+009; -1,11036256700E+001; +0,00000000000E+000
+7,83016950000E+009; -1,20712431302E+001; +0,00000000000E+000
+7,92016800000E+009; -1,41908818165E+001; +0,00000000000E+000
+8,01016650000E+009; -1,57540537546E+001; +0,00000000000E+000
+8,10016500000E+009; -1,78166362702E+001; +0,00000000000E+000
+8,19016350000E+009; -1,62357242320E+001; +0,00000000000E+000
+8,28016200000E+009; -1,71009422148E+001; +0,00000000000E+000
+8,37016050000E+009; -1,58872331827E+001; +0,00000000000E+000
+8,46015900000E+009; -1,60019408301E+001; +0,00000000000E+000
+8,55015750000E+009; -1,57197264886E+001; +0,00000000000E+000
+8,64015600000E+009; -1,33273352295E+001; +0,00000000000E+000
+8,73015450000E+009; -1,46308607842E+001; +0,00000000000E+000
+8,82015300000E+009; -1,32941276772E+001; +0,00000000000E+000
+8,91015150000E+009; -1,37394550330E+001; +0,00000000000E+000
+9,00015000000E+009; -1,36090673189E+001; +0,00000000000E+000
+9,09014850000E+009; -1,30318728774E+001; +0,00000000000E+000
+9,18014700000E+009; -1,14269986967E+001; +0,00000000000E+000
+9,27014550000E+009; -1,13371896933E+001; +0,00000000000E+000
+9,36014400000E+009; -1,09294377609E+001; +0,00000000000E+000
+9,45014250000E+009; -1,11844439069E+001; +0,00000000000E+000
+9,54014100000E+009; -1,09351852262E+001; +0,00000000000E+000
+9,63013950000E+009; -1,01276984534E+001; +0,00000000000E+000
+9,72013800000E+009; -1,10568878762E+001; +0,00000000000E+000
+9,81013650000E+009; -1,00880408880E+001; +0,00000000000E+000
+9,90013500000E+009; -1,00946879272E+001; +0,00000000000E+000
+9,99013350000E+009; -1,01762974116E+001; +0,00000000000E+000
+1,00801320000E+010; -9,47221836545E+000; +0,00000000000E+000
+1,01701305000E+010; -1,03803462534E+001; +0,00000000000E+000
+1,02601290000E+010; -1,06386306688E+001; +0,00000000000E+000
+1,03501275000E+010; -1,09988805192E+001; +0,00000000000E+000
+1,04401260000E+010; -9,66714592520E+000; +0,00000000000E+000
+1,05301245000E+010; -1,08755739777E+001; +0,00000000000E+000
+1,06201230000E+010; -1,18811832898E+001; +0,00000000000E+000
+1,07101215000E+010; -1,22165407067E+001; +0,00000000000E+000
+1,08001200000E+010; -1,32960388110E+001; +0,00000000000E+000
+1,08901185000E+010; -1,13623691023E+001; +0,00000000000E+000
+1,09801170000E+010; -1,10205771381E+001; +0,00000000000E+000
+1,10701155000E+010; -1,01434455468E+001; +0,00000000000E+000
+1,11601140000E+010; -9,63250059156E+000; +0,00000000000E+000
+1,12501125000E+010; -9,19737168920E+000; +0,00000000000E+000
+1,13401110000E+010; -1,04562796513E+001; +0,00000000000E+000
+1,14301095000E+010; -9,58153136847E+000; +0,00000000000E+000
