        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.75886465
                  0.1179                     -0.74055267
                  0.1358                     -0.71956486
              0.15369999                     -0.69604452
                  0.1716                     -0.67014936
                  0.1895                      -0.6420492
              0.20739999                      -0.6119269
                  0.2253                     -0.57997278
                  0.2432                     -0.54638459
              0.26109999                     -0.51136557
              0.27900001                     -0.47512086
                  0.2969                     -0.43785988
              0.31479999                      -0.3997902
              0.33270001                     -0.36111875
                  0.3506                     -0.32205034
              0.36849999                     -0.28278431
              0.38640001                     -0.24351691
                  0.4043                     -0.20443883
              0.42219999                     -0.16573214
              0.44010001                     -0.12757398
                   0.458                    -0.090133077
              0.47589999                    -0.053571172
              0.49380001                    -0.018039988
              0.51169997                     0.016315331
              0.52960002                     0.049358738
              0.54750001                     0.080963232
                  0.5654                      0.11101043
              0.58329999                      0.13938744
              0.60119998                      0.16599473
              0.61909997                      0.19073716
              0.63700002                      0.21352697
              0.65490001                      0.23428739
                  0.6728                      0.25294782
              0.69069999                      0.26944231
              0.70859998                       0.2837147
              0.72649997                      0.29571606
              0.74440002                      0.30540269
              0.76230001                       0.3127343
                  0.7802                      0.31768366
              0.79809999                      0.32022115
              0.81599998                      0.32033044
              0.83389997                      0.31799289
              0.85180002                      0.31319874
              0.86970001                      0.30594476
                  0.8876                      0.29622928
              0.90549999                      0.28405512
              0.92339998                      0.26942956
              0.94129997                      0.25236532
              0.95920002                      0.23287569
              0.97710001                      0.21098033
                   0.995                      0.18670107
                  1.0129                      0.16006243
                  1.0308                      0.13109233
                  1.0487                     0.099820232
                  1.0666                     0.066280273
                  1.0845                     0.030506261
               1.1023999                   -0.0074646214
               1.1203001                     -0.04759391
                  1.1382                    -0.089839752
                  1.1561                     -0.13416325
                   1.174                     -0.18051907
                  1.1919                      -0.2288649
                  1.2098                     -0.27915626
                  1.2277                     -0.33134837
                  1.2456                     -0.38539728
                  1.2635                     -0.44125798
                  1.2814                     -0.49888695
                  1.2993                     -0.55824051
               1.3171999                     -0.61927707
               1.3351001                      -0.6819559
                   1.353                      -0.7462367
                  1.3709                     -0.81208409
                  1.3888                     -0.87946273
                  1.4067                      -0.9483393
                  1.4246                      -1.0186851
                  1.4425                      -1.0904745
                  1.4604                      -1.1636827
                  1.4783                      -1.2382923
                  1.4962                      -1.3142868
                  1.5141                      -1.3916559
               1.5319999                      -1.4703927
               1.5499001                      -1.5504961
                  1.5678                      -1.6319681
                  1.5857                      -1.7148176
                  1.6036                      -1.7990568
                  1.6215                      -1.8847056
                  1.6394                      -1.9717871
                  1.6573                        -2.06033
                  1.6752                        -2.15037
                  1.6931                      -2.2419495
                   1.711                      -2.3351116
                  1.7289                      -2.4299101
               1.7467999                      -2.5264003
               1.7647001                      -2.6246477
                  1.7826                      -2.7247176
                  1.8005                      -2.8266843
                  1.8184                      -2.9306252
                  1.8363                      -3.0366249
                  1.8542                      -3.1447702
                  1.8721                      -3.2551521
                    1.89                      -3.3678692
                  1.9079                      -3.4830214
                  1.9258                      -3.6007138
                  1.9437                       -3.721054
               1.9615999                       -3.844153
               1.9795001                      -3.9701276
                  1.9974                      -4.0990938
                  2.0153                      -4.2311713
                  2.0332                      -4.3664852
                  2.0511                      -4.5051576
                   2.069                      -4.6473157
                  2.0869                      -4.7930877
                  2.1048                       -4.942603
                  2.1227                      -5.0959913
                  2.1406                      -5.2533829
                  2.1585                      -5.4149076
               2.1763999                      -5.5806975
               2.1942999                      -5.7508799
               2.2121999                       -5.925585
               2.2300999                      -6.1049375
               2.2479999                      -6.2890622
               2.2658999                      -6.4780785
               2.2837999                      -6.6721051
               2.3017001                      -6.8712524
               2.3196001                      -7.0756258
               2.3375001                      -7.2853228
               2.3554001                      -7.5004332
               2.3733001                      -7.7210353
               2.3912001                      -7.9471957
               2.4091001                      -8.1789641
                   2.427                      -8.4163761
                  2.4449                       -8.659443
                  2.4628                      -8.9081538
                  2.4807                      -9.1624697
                  2.4986                      -9.4223197
                  2.5165                       -9.687592
                  2.5344                      -9.9581346
                  2.5523                      -10.233744
                  2.5702                      -10.514157
                  2.5881                      -10.799052
               2.6059999                      -11.088024
               2.6238999                      -11.380592
               2.6417999                      -11.676182
               2.6596999                      -11.974115
               2.6775999                      -12.273609
               2.6954999                      -12.573758
               2.7133999                      -12.873539
               2.7313001                      -13.171801
               2.7492001                      -13.467275
               2.7671001                      -13.758572
               2.7850001                      -14.044202
               2.8029001                      -14.322604
               2.8208001                       -14.59216
               2.8387001                      -14.851252
                  2.8566                        -15.0983
                  2.8745                      -15.331824
                  2.8924                      -15.550499
                  2.9103                      -15.753219
                  2.9282                       -15.93915
                  2.9461                      -16.107775
                   2.964                       -16.25893
                  2.9819                      -16.392811
                  2.9998                      -16.509982
                  3.0177                      -16.611338
               3.0355999                      -16.698077
               3.0534999                      -16.771649
               3.0713999                      -16.833689
               3.0892999                      -16.885969
               3.1071999                      -16.930328
               3.1250999                      -16.968628
               3.1429999                      -17.002699
               3.1609001                      -17.034308
               3.1788001                       -17.06513
               3.1967001                      -17.096723
               3.2146001                      -17.130521
               3.2325001                      -17.167818
               3.2504001                      -17.209775
               3.2683001                       -17.25741
                  3.2862                      -17.311602
                  3.3041                      -17.373094
                   3.322                      -17.442491
                  3.3399                      -17.520257
                  3.3578                      -17.606715
                  3.3757                       -17.70204
                  3.3936                       -17.80624
                  3.4115                      -17.919154
                  3.4294                      -18.040419
                  3.4473                      -18.169452
               3.4651999                       -18.30542
               3.4830999                        -18.4472
               3.5009999                       -18.59334
               3.5188999                      -18.742023
               3.5367999                       -18.89102
               3.5546999                      -19.037663
               3.5725999                      -19.178833
               3.5905001                      -19.310955
               3.6084001                      -19.430059
               3.6263001                      -19.531863
               3.6442001                       -19.61193
               3.6621001                      -19.665872
               3.6800001                      -19.689618
               3.6979001                      -19.679694
                  3.7158                      -19.633508
                  3.7337                      -19.549577
                  3.7516                      -19.427663
                  3.7695                      -19.268795
                  3.7874                      -19.075167
                  3.8053                      -18.849933
                  3.8232                      -18.596943
                  3.8411                      -18.320453
                   3.859                      -18.024853
                  3.8769                      -17.714443
