freq	dB(S11_fitted)
0.00000000000000000E0	-2.70011690634920809E-14
8.47038658832497937E0	-2.31438591972789265E-14
8.47038658832497937E1	-2.50725141303854926E-14
8.47038658832497937E2	-1.65864324247167017E-13
8.47038658832497937E3	-1.44504470863130230E-11
1.06635849237628166E4	-2.28931340560052110E-11
1.34246580413501793E4	-3.62625700523455130E-11
1.69006431529026524E4	-5.74652380595670120E-11
2.12766491408542446E4	-9.10604783396376583E-11
2.67857142812499482E4	-1.44304855078632288E-10
3.37212163817234956E4	-2.28689294368656038E-10
4.24524962195614641E4	-3.62433799364415554E-10
5.34445262849017588E4	-5.74400691143991615E-10
6.72826722613641515E4	-9.10355986952939134E-10
8.47038658832498470E4	-1.44280168306272860E-9
1.06635849237628233E5	-2.28665957671054354E-9
1.34246580413501904E5	-3.62410076976782758E-9
1.69006431529026679E5	-5.74379668976140678E-9
2.12766491408542624E5	-9.10328407616726309E-9
2.67857142812499660E5	-1.44277140425870698E-8
3.37212163817235222E5	-2.28663691772397160E-8
4.24524962195615085E5	-3.62407155745000953E-8
5.34445262849017944E5	-5.74376093030429580E-8
6.72826722613641870E5	-9.10323657775597361E-8
8.47038658832499003E5	-1.44276306396704035E-7
1.06635849237628322E6	-2.28661895046195074E-7
1.34246580413501926E6	-3.62403090194369693E-7
1.69006431529026746E6	-5.74366205514288986E-7
2.12766491408542668E6	-9.10299123856076520E-7
2.67857142812499838E6	-1.44270187818084494E-6
3.37212163817235444E6	-2.28646558754809170E-6
4.24524962195615263E6	-3.62364603830364018E-6
5.34445262849018299E6	-5.74269587876646970E-6
6.72826722613642225E6	-9.10056502462448691E-6
8.47038658832499536E6	-1.44209262955831674E-5
1.06635849237628366E7	-2.28493589244618844E-5
1.34246580413502037E7	-3.61980617627395773E-5
1.69006431529026857E7	-5.73306063682275102E-5
2.12766491408542890E7	-9.07640219431121942E-5
2.67857142812500015E7	-1.43603897591540841E-4
3.02852662322119892E7	-1.83341254000135345E-4
3.38012863058053714E7	-2.28050449041735792E-4
4.25532982817085781E7	-3.59884666410180820E-4
5.35714285625000031E7	-5.66542079763082551E-4
6.56361900930049824E7	-8.42806101870474578E-4
8.03571428437500046E7	-1.24664154277331218E-3
9.31351228542939147E7	-1.65246562963526911E-3
1.07142857125000002E8	-2.15133690922659238E-3
1.33928571406250008E8	-3.24293327129441789E-3
1.60714285687500014E8	-4.48392940790008243E-3
1.87499999968749975E8	-5.84138320032759850E-3
2.14285714250000003E8	-7.28981898593549094E-3
2.41071428531249987E8	-8.81267156902301707E-3
2.67857142812500015E8	-1.04025765682984295E-2
2.94642857093749999E8	-1.20609286669598958E-2
3.21428571375000027E8	-1.37970971192094582E-2
3.48214285656249967E8	-1.56275886943423092E-2
3.74999999937499950E8	-1.75753399207893279E-2
4.01785714218750023E8	-1.96692327407795520E-2
4.28571428500000007E8	-2.19438687649664876E-2
4.55357142781249991E8	-2.44396040310199636E-2
4.82142857062499974E8	-2.72028314273319172E-2
5.08928571343749958E8	-3.02864948114500221E-2
5.35714285625000031E8	-3.37508220731204345E-2
5.62499999906250014E8	-3.76642705161360558E-2
5.89285714187499998E8	-4.21046849377746479E-2
6.16071428468749893E8	-4.71606755891718876E-2
6.42857142750000055E8	-5.29332292667090343E-2
6.69642857031250038E8	-5.95375718260538367E-2
6.96428571312499933E8	-6.71053042004153699E-2
7.23214285593750095E8	-7.57868362388974681E-2
7.49999999874999901E8	-8.57541428841750175E-2
7.76785714156250151E8	-9.72038646437010101E-2
8.03571428437500046E8	-1.10360767885044986E-1
8.30357142718750119E8	-1.25481568661996001E-1
8.57142857000000014E8	-1.42859104441329854E-1
8.74999999843749876E8	-1.55860717108708635E-1
8.92857142687499916E8	-1.70122363936208476E-1
9.10714285531249956E8	-1.85763397760052262E-1
9.28571428374999996E8	-2.02913367707675940E-1
9.46428571218750214E8	-2.21712619796601995E-1
9.64285714062500077E8	-2.42312853269459438E-1
9.82142856906250117E8	-2.64877605291396145E-1
9.99999999749999979E8	-2.89582629775682054E-1
1.01785714259374993E9	-3.16616128162601473E-1
1.03571428543750033E9	-3.46178780958227295E-1
1.05357142828125006E9	-3.78483518831592436E-1
1.07142857112500001E9	-4.13754961281135891E-1
1.08035714254687498E9	-4.32576356069115331E-1
1.08928571396874974E9	-4.52228439691628470E-1
1.09821428539062493E9	-4.72742058704214152E-1
1.10714285681250013E9	-4.94148510612367176E-1
1.11607142823437511E9	-5.16479462125523181E-1
1.12499999965624986E9	-5.39766855179505978E-1
1.13392857107812484E9	-5.64042799814951756E-1
1.14285714250000003E9	-5.89339453005126668E-1
1.15178571392187523E9	-6.15688882548640404E-1
1.16071428534374976E9	-6.43122915181081467E-1
1.16964285676562518E9	-6.71672968119469260E-1
1.17857142818749994E9	-7.01369863335538213E-1
1.18749999960937513E9	-7.32243623962929924E-1
1.19642857103125011E9	-7.64323252380996365E-1
1.20535714245312509E9	-7.97636489687673489E-1
1.21428571387499984E9	-8.32209556478470347E-1
1.22321428529687504E9	-8.68066875089727930E-1
1.23214285671875001E9	-9.05230773744760597E-1
1.24107142814062477E9	-9.43721173361576326E-1
1.24999999956249974E9	-9.83555258142231636E-1
1.25892857098437538E9	-1.02474713146418939E0
1.26785714240624969E9	-1.06730745903393531E0
1.27678571382812489E9	-1.11124310173709318E0
1.28571428525000053E9	-1.15655674112415818E0
1.29464285667187484E9	-1.20324650099968666E0
1.30357142809375004E9	-1.25130556912661817E0
1.31249999951562502E9	-1.30072182360681099E0
1.32142857093749955E9	-1.35147746903922839E0
1.33035714235937519E9	-1.40354868807680577E0
1.33928571378125016E9	-1.45690531448197635E0
1.34821428520312492E9	-1.51151053420281434E0
1.35714285662500012E9	-1.56732062133588235E0
1.36607142804687487E9	-1.62428471608726888E0
1.37499999946874985E9	-1.68234465196828920E0
