freq	dB(S11_discrete)
0.00000000000000000E0	-4.53233909280046099E-14
1.78571428499999985E8	-1.21481081717259598E-2
2.14285714199999955E8	-1.46102258773974159E-2
4.28571428500000007E8	-3.07606084866596241E-2
9.64285714200000044E8	-1.31582671529971273E-1
1.23214285699999992E9	-3.05344453520083770E-1
1.50000000000000000E9	-7.17309922907014119E-1
1.85714285700000015E9	-2.05248651866432130E0
2.57142857100000022E9	-1.04884477271667009E1
3.42857142800000014E9	-1.24440551861964499E1
4.28571428600000015E9	-9.04424665610926404E0
5.14285714299999874E9	-9.98011743639428417E0
5.57142857200000030E9	-1.10078047178488658E1
6.64285714299999874E9	-1.64400056730605049E1
7.08928571400000074E9	-1.88838854917673649E1
7.53571428599999926E9	-1.72926210174220141E1
7.71428571400000074E9	-1.66772983099232230E1
8.57142857300000038E9	-1.77456366447653968E1
8.85714285900000142E9	-1.93960089769848443E1
9.57142857399999869E9	-2.64504179840007270E1
1.02857142900000009E10	-2.95596365498564584E1
1.05714285700000010E10	-2.79019867961659029E1
1.11428571399999998E10	-2.92315006117483200E1
1.19999999999999996E10	-2.58100611250924494E1
1.28571428599999993E10	-2.91921800256468789E1
1.30952380999999995E10	-3.27778492477542027E1
1.42857142900000023E10	-3.77458691685025238E1
1.50000000000000000E10	-2.22332671926439440E1
1.54285714300000021E10	-1.91819070092907351E1
1.62857142900000018E10	-2.00333776008362952E1
1.68571428600000006E10	-1.97770883716641377E1
1.74285714299999972E10	-2.27405579933030166E1
1.77142857200000003E10	-2.74375416738548639E1
1.80000000000000004E10	-2.75300037551672849E1


freq	dB(S11_fitted)
0.00000000000000000E0	-4.53233909280046099E-14
8.88632076772887558E0	-9.64327466553287493E-15
8.88632076772887558E1	-4.24304085283447385E-14
8.88632076772887558E2	-8.99717526294263337E-13
8.88632076772887558E3	-8.63535959753430227E-11
1.11872150318481345E4	-1.36802387388726276E-10
1.40838692907993090E4	-2.16802029688148856E-10
1.77305409465747443E4	-3.43581197392532545E-10
2.23214285624999587E4	-5.44567292309310780E-10
2.81010136448793446E4	-8.63076939917938191E-10
3.53770801747132424E4	-1.36783872311061372E-9
4.45371052270261458E4	-2.16784961116337982E-9
5.60688935380540432E4	-3.43579461664250729E-9
7.05865548862380177E4	-5.44535373223786845E-9
8.88632076772887913E4	-8.63029013228723052E-9
1.11872150318481389E5	-1.36780400829108495E-8
1.40838692907993179E5	-2.16781991231209803E-8
1.77305409465747554E5	-3.43576443930847386E-8
2.23214285624999675E5	-5.44530948496896983E-8
2.81010136448793624E5	-8.63021225321486618E-8
3.53770801747132646E5	-1.36779139493707569E-7
4.45371052270261636E5	-2.16779137327877836E-7
5.60688935380540876E5	-3.43568677566842728E-7
7.05865548862380621E5	-5.44511974321079606E-7
8.88632076772888446E5	-8.62974037894790413E-7
1.11872150318481478E6	-1.36767332701351263E-6
1.40838692907993268E6	-2.16749471084848722E-6
1.77305409465747710E6	-3.43494260788242745E-6
2.23214285624999853E6	-5.44325127550869681E-6
2.81010136448793846E6	-8.62504892213132912E-6
3.53770801747132912E6	-1.36649541066887781E-5
4.45371052270261991E6	-2.16453798558756683E-5
5.60688935380541231E6	-3.42752383965238749E-5
7.05865548862381065E6	-5.42464851694559869E-5
8.88632076772889157E6	-8.57844903470047626E-5
1.11872150318481545E7	-1.35484073662794824E-4
1.40838692907993335E7	-2.13546247859239902E-4
1.77305409465747843E7	-3.35527180516774548E-4
2.23214285624999986E7	-5.24619630394289516E-4
2.52377218542878534E7	-6.63939774024498863E-4
2.81677385815986669E7	-8.17834564639827910E-4
3.54610818931495686E7	-1.25494834595871096E-3
4.46428571249999973E7	-1.89451871402163086E-3
5.46968250647415566E7	-2.67427701094813131E-3
6.69642856874999914E7	-3.68718819967975797E-3
7.76126023604686743E7	-4.58450910147215307E-3
8.92857142499999945E7	-5.55993920578467105E-3
1.11607142812499993E8	-7.35057308688297883E-3
1.33928571374999983E8	-9.02585358155094042E-3
1.56249999937500039E8	-1.06110128063264941E-2
1.78571428499999985E8	-1.21481081717124395E-2
1.87499999924999972E8	-1.27590131377192995E-2
1.96428571350000003E8	-1.33714568026682357E-2
2.05357142774999968E8	-1.39877839351296984E-2
2.14285714199999955E8	-1.46102258773819571E-2
2.41071428487499961E8	-1.65353811697211284E-2
2.67857142774999968E8	-1.85906410618469975E-2
2.94642857062500019E8	-2.08337349988376364E-2
3.21428571349999981E8	-2.33205495308861011E-2
3.48214285637500032E8	-2.60453212077089180E-2
3.74999999924999994E8	-2.86783738074107930E-2
4.01785714212500000E8	-3.02739510441266901E-2
4.28571428500000007E8	-3.07606084865667206E-2
4.45312499928125050E8	-3.12286464117590423E-2
4.62053571356250004E8	-3.20832713722209206E-2
4.78794642784375046E8	-3.32782020031312298E-2
4.95535714212500000E8	-3.47196677557244415E-2
5.12276785640625043E8	-3.63354124877757290E-2
5.29017857068749997E8	-3.80813812925399686E-2
5.45758928496874951E8	-3.99334855938645550E-2
5.62499999924999905E8	-4.18798688541331376E-2
5.79241071353124948E8	-4.39159272969189640E-2
5.95982142781249991E8	-4.60414197771156797E-2
6.12723214209375033E8	-4.82588406176662055E-2
6.29464285637499987E8	-5.05725073108954426E-2
6.46205357065624941E8	-5.29880467299498470E-2
6.62946428493749984E8	-5.55121046164238408E-2
6.79687499921874938E8	-5.81521819059468559E-2
6.96428571350000158E8	-6.09165443853989252E-2
7.13169642778125024E8	-6.38141755740253469E-2
7.29910714206249889E8	-6.68547556044439162E-2
7.46651785634374932E8	-7.00486560857165319E-2
7.63392857062499974E8	-7.34069450293953807E-2
7.80133928490625017E8	-7.69413982928701667E-2
7.96874999918749971E8	-8.06645153874993781E-2
8.13616071346875103E8	-8.45895383353976271E-2
8.30357142775000057E8	-8.87304727593411968E-2
8.47098214203125011E8	-9.31021107011680193E-2
8.63839285631250320E8	-9.77200548517943446E-2
8.80580357059374919E8	-1.02600743992072285E-1
8.97321428487500228E8	-1.07761479516113567E-1
9.14062499915625359E8	-1.13220452949886763E-1
9.30803571343750136E8	-1.18996774401510530E-1
9.47544642771874912E8	-1.25110501893756054E-1
9.64285714200000044E8	-1.31582671529968365E-1
9.81026785624999853E8	-1.38435328446138506E-1
9.97767857050000018E8	-1.45691558501186536E-1
1.01450892847499996E9	-1.53375520634706519E-1
1.03124999989999999E9	-1.61512479834636924E-1
1.04799107132500025E9	-1.70128840630942513E-1
1.06473214275000005E9	-1.79252181026407076E-1
1.08147321417499986E9	-1.88911286763214203E-1
1.09821428559999990E9	-1.99136185811892918E-1
1.11495535702499970E9	-2.09958182955736383E-1
1.13169642844999996E9	-2.21409894332513479E-1
1.14843749987499999E9	-2.33525281780724070E-1
1.16517857129999980E9	-2.46339686825701554E-1
1.18191964272499983E9	-2.59889864127124337E-1
1.19866071414999986E9	-2.74214014197306399E-1
1.21540178557500012E9	-2.89351815186456651E-1
1.23214285699999992E9	-3.05344453520126713E-1
1.24888392843749996E9	-3.22234653173477703E-1
1.26562499987499999E9	-3.40066703283039207E-1
1.28236607131250002E9	-3.58886483970717940E-1
1.29910714275000005E9	-3.78741490004184600E-1
1.31584821418750009E9	-3.99680852089074667E-1
1.33258928562499990E9	-4.21755355512934749E-1
1.34933035706250015E9	-4.45017455868795775E-1
1.36607142850000018E9	-4.69521291584793854E-1
1.38281249993750022E9	-4.95322692987501156E-1
1.39955357137500025E9	-5.22479187629687658E-1
1.41629464281250028E9	-5.51050001621932939E-1
1.43303571425000031E9	-5.81096056716750820E-1
1.44977678568749968E9	-6.12679962907004239E-1
1.46651785712500038E9	-6.45866006321061370E-1
1.48325892856249997E9	-6.80720132217234664E-1
1.50000000000000000E9	-7.17309922906984809E-1
1.52232142856249997E9	-7.68916052571495978E-1
1.54464285712500038E9	-8.23899353510295285E-1
1.56696428568749968E9	-8.82432999446407429E-1
1.58928571425000031E9	-9.44694788821413844E-1
1.61160714281250028E9	-1.01086692118316090E0
1.63392857137500025E9	-1.08113574499327636E0
1.65624999993749999E9	-1.15569147859447363E0
1.67857142850000018E9	-1.23472790678263067E0
1.68973214278124995E9	-1.27598783478006794E0
1.70089285706249993E9	-1.31844205617013666E0
1.71205357134374969E9	-1.36211564970757126E0
1.72321428562500012E9	-1.40703385329813302E0
1.73437499990624988E9	-1.45322205271287208E0
