        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                    -0.096743753
                   1.017                    -0.097984985
                   1.034                    -0.099859368
                   1.051                     -0.10243798
                   1.068                        -0.10579
                   1.085                     -0.10998348
                   1.102                     -0.11508693
                   1.119                     -0.12116809
                   1.136                     -0.12829477
                   1.153                     -0.13653174
                    1.17                     -0.14594405
                   1.187                     -0.15659482
                   1.204                     -0.16854528
                   1.221                     -0.18185577
                   1.238                     -0.19658581
                   1.255                     -0.21279114
                   1.272                     -0.23052757
                   1.289                     -0.24984717
                   1.306                     -0.27080144
                   1.323                     -0.29343939
                    1.34                     -0.31780842
                   1.357                     -0.34395356
                   1.374                     -0.37191644
                   1.391                     -0.40173922
                   1.408                     -0.43345947
                   1.425                     -0.46711428
                   1.442                     -0.50273821
                   1.459                     -0.54036297
                   1.476                     -0.58001826
                   1.493                     -0.62173289
                    1.51                     -0.66553168
                   1.527                     -0.71143994
                   1.544                     -0.75947679
                   1.561                     -0.80966378
               1.5779999                     -0.86201772
                   1.595                     -0.91655357
                   1.612                     -0.97328455
               1.6289999                      -1.0322233
                   1.646                      -1.0933776
                   1.663                       -1.156755
               1.6799999                      -1.2223614
                   1.697                      -1.2901994
                   1.714                      -1.3602709
               1.7309999                      -1.4325744
                   1.748                      -1.5071082
                   1.765                      -1.5838667
               1.7819999                      -1.6628449
                   1.799                       -1.744034
                   1.816                      -1.8274226
               1.8329999                      -1.9129995
                    1.85                      -2.0007519
                   1.867                      -2.0906627
               1.8839999                      -2.1827135
                   1.901                       -2.276887
                   1.918                      -2.3731598
               1.9349999                      -2.4715111
                   1.952                      -2.5719146
                   1.969                       -2.674345
               1.9859999                       -2.778773
                   2.003                      -2.8851691
                    2.02                      -2.9935039
               2.0369999                      -3.1037427
               2.0539999                      -3.2158523
               2.0710001                      -3.3297974
               2.0880001                      -3.4455399
                   2.105                      -3.5630439
                   2.122                      -3.6822675
               2.1389999                      -3.8031711
               2.1559999                      -3.9257131
               2.1730001                      -4.0498526
               2.1900001                      -4.1755446
                   2.207                      -4.3027476
                   2.224                      -4.4314153
               2.2409999                      -4.5615038
               2.2579999                      -4.6929693
               2.2750001                      -4.8257641
               2.2920001                      -4.9598449
                   2.309                      -5.0951668
                   2.326                      -5.2316857
               2.3429999                      -5.3693557
               2.3599999                      -5.5081339
               2.3770001                      -5.6479786
               2.3940001                      -5.7888456
                   2.411                      -5.9306962
                   2.428                      -6.0734876
               2.4449999                      -6.2171838
               2.4619999                      -6.3617453
               2.4790001                      -6.5071376
               2.4960001                      -6.6533241
                   2.513                       -6.800273
                    2.53                      -6.9479523
               2.5469999                      -7.0963306
               2.5639999                      -7.2453793
               2.5810001                       -7.395071
                   2.598                      -7.5453787
                   2.615                      -7.6962761
                   2.632                      -7.8477399
               2.6489999                      -7.9997444
               2.6659999                      -8.1522658
               2.6830001                      -8.3052812
                     2.7                      -8.4587653
                   2.717                      -8.6126928
                   2.734                      -8.7670378
               2.7509999                      -8.9217717
               2.7679999                      -9.0768634
               2.7850001                      -9.2322807
                   2.802                      -9.3879857
                   2.819                       -9.543936
                   2.836                      -9.7000876
               2.8529999                      -9.8563879
               2.8699999                      -10.012777
               2.8870001                      -10.169191
                   2.904                      -10.325555
                   2.921                      -10.481786
                   2.938                      -10.637794
               2.9549999                      -10.793472
               2.9719999                      -10.948709
               2.9890001                      -11.103377
                   3.006                      -11.257338
                   3.023                      -11.410439
                    3.04                      -11.562515
               3.0569999                      -11.713383
               3.0739999                      -11.862851
