"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+3,00000000000E+005; +9,38091275441E-002; +0,00000000000E+000
+9,02985000000E+007; -2,38354824275E-001; +0,00000000000E+000
+1,80297000000E+008; -3,76109973158E-001; +0,00000000000E+000
+2,70295500000E+008; -5,71298113006E-001; +0,00000000000E+000
+3,60294000000E+008; -7,37215817742E-001; +0,00000000000E+000
+4,50292500000E+008; -8,58838290985E-001; +0,00000000000E+000
+5,40291000000E+008; -9,42624082057E-001; +0,00000000000E+000
+6,30289500000E+008; -1,08166575006E+000; +0,00000000000E+000
+7,20288000000E+008; -1,20749302826E+000; +0,00000000000E+000
+8,10286500000E+008; -1,24123348712E+000; +0,00000000000E+000
+9,00285000000E+008; -1,29565803942E+000; +0,00000000000E+000
+9,90283500000E+008; -1,34397062748E+000; +0,00000000000E+000
+1,08028200000E+009; -1,39698775886E+000; +0,00000000000E+000
+1,17028050000E+009; -1,45110530008E+000; +0,00000000000E+000
+1,26027900000E+009; -1,51632120610E+000; +0,00000000000E+000
+1,35027750000E+009; -1,59649471871E+000; +0,00000000000E+000
+1,44027600000E+009; -1,67930181369E+000; +0,00000000000E+000
+1,53027450000E+009; -1,78364497321E+000; +0,00000000000E+000
+1,62027300000E+009; -1,87937321651E+000; +0,00000000000E+000
+1,71027150000E+009; -2,02867647282E+000; +0,00000000000E+000
+1,80027000000E+009; -2,14755115914E+000; +0,00000000000E+000
+1,89026850000E+009; -2,36876690569E+000; +0,00000000000E+000
+1,98026700000E+009; -2,67160644324E+000; +0,00000000000E+000
+2,07026550000E+009; -2,86323959017E+000; +0,00000000000E+000
+2,16026400000E+009; -3,23040786536E+000; +0,00000000000E+000
+2,25026250000E+009; -3,56687482673E+000; +0,00000000000E+000
+2,34026100000E+009; -3,92606929163E+000; +0,00000000000E+000
+2,43025950000E+009; -4,34782239387E+000; +0,00000000000E+000
+2,52025800000E+009; -4,72560603192E+000; +0,00000000000E+000
+2,61025650000E+009; -5,62391388953E+000; +0,00000000000E+000
+2,70025500000E+009; -6,40232700334E+000; +0,00000000000E+000
+2,79025350000E+009; -7,40406360533E+000; +0,00000000000E+000
+2,88025200000E+009; -8,17262218102E+000; +0,00000000000E+000
+2,97025050000E+009; -9,56049629985E+000; +0,00000000000E+000
+3,06024900000E+009; -1,06208666307E+001; +0,00000000000E+000
+3,15024750000E+009; -1,26647895697E+001; +0,00000000000E+000
+3,24024600000E+009; -1,45452926380E+001; +0,00000000000E+000
+3,33024450000E+009; -1,74794046361E+001; +0,00000000000E+000
+3,42024300000E+009; -2,03707507919E+001; +0,00000000000E+000
