"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+3,00000000000E+005; +1,01825346233E-001; +0,00000000000E+000
+9,02985000000E+007; -2,36238141892E-001; +0,00000000000E+000
+1,80297000000E+008; -3,80081924012E-001; +0,00000000000E+000
+2,70295500000E+008; -5,80557931301E-001; +0,00000000000E+000
+3,60294000000E+008; -7,52666167271E-001; +0,00000000000E+000
+4,50292500000E+008; -8,94049809718E-001; +0,00000000000E+000
+5,40291000000E+008; -9,34917087138E-001; +0,00000000000E+000
+6,30289500000E+008; -1,02664240813E+000; +0,00000000000E+000
+7,20288000000E+008; -1,07412762244E+000; +0,00000000000E+000
+8,10286500000E+008; -1,13969968370E+000; +0,00000000000E+000
+9,00285000000E+008; -1,23712177628E+000; +0,00000000000E+000
+9,90283500000E+008; -1,31127369764E+000; +0,00000000000E+000
+1,08028200000E+009; -1,40598709328E+000; +0,00000000000E+000
+1,17028050000E+009; -1,51082536872E+000; +0,00000000000E+000
+1,26027900000E+009; -1,55320417155E+000; +0,00000000000E+000
+1,35027750000E+009; -1,61487477656E+000; +0,00000000000E+000
+1,44027600000E+009; -1,69680990356E+000; +0,00000000000E+000
+1,53027450000E+009; -1,79294363818E+000; +0,00000000000E+000
+1,62027300000E+009; -1,90624552777E+000; +0,00000000000E+000
+1,71027150000E+009; -2,00781215201E+000; +0,00000000000E+000
+1,80027000000E+009; -2,12990696599E+000; +0,00000000000E+000
+1,89026850000E+009; -2,34030827872E+000; +0,00000000000E+000
+1,98026700000E+009; -2,58872591184E+000; +0,00000000000E+000
+2,07026550000E+009; -2,86108828179E+000; +0,00000000000E+000
+2,16026400000E+009; -3,18483736056E+000; +0,00000000000E+000
+2,25026250000E+009; -3,71247574469E+000; +0,00000000000E+000
+2,34026100000E+009; -4,33481846966E+000; +0,00000000000E+000
+2,43025950000E+009; -4,92894114262E+000; +0,00000000000E+000
+2,52025800000E+009; -5,47748292242E+000; +0,00000000000E+000
+2,61025650000E+009; -5,89650938989E+000; +0,00000000000E+000
+2,70025500000E+009; -6,60991124152E+000; +0,00000000000E+000
+2,79025350000E+009; -7,08873413725E+000; +0,00000000000E+000
+2,88025200000E+009; -7,71522826695E+000; +0,00000000000E+000
+2,97025050000E+009; -8,72984624632E+000; +0,00000000000E+000
+3,06024900000E+009; -9,83998071615E+000; +0,00000000000E+000
+3,15024750000E+009; -1,15889140979E+001; +0,00000000000E+000
+3,24024600000E+009; -1,24538910841E+001; +0,00000000000E+000
+3,33024450000E+009; -1,64391559260E+001; +0,00000000000E+000
+3,42024300000E+009; -2,03002147898E+001; +0,00000000000E+000
+3,51024150000E+009; -2,55885010591E+001; +0,00000000000E+000
+3,60024000000E+009; -2,46477867791E+001; +0,00000000000E+000
+3,69023850000E+009; -2,54891533319E+001; +0,00000000000E+000
+3,78023700000E+009; -3,69953194494E+001; +0,00000000000E+000
+3,87023550000E+009; -3,62327521669E+001; +0,00000000000E+000
+3,96023400000E+009; -3,09905429067E+001; +0,00000000000E+000
+4,05023250000E+009; -2,18497437878E+001; +0,00000000000E+000
+4,14023100000E+009; -1,68939442575E+001; +0,00000000000E+000
+4,23022950000E+009; -1,58193725722E+001; +0,00000000000E+000
