freq	dB(S11_discrete)
0,00000000000000000E0	-4,53233909280046099E-14
4,68750000000000000E8	-2,84675152788758457E-2
9,37500000000000000E8	-6,18898776474987145E-2
1,40625000000000000E9	-2,03468194990420104E0
1,48437500000000000E9	-1,10965551786961369E1
1,87500000000000000E9	-5,69578472383987044E-1
2,50000000000000000E9	-7,58966698180625432E-1
2,81250000000000000E9	-2,70546205892286773E0
3,28125000000000000E9	-1,12376935044162640E1
3,51562500000000000E9	-1,25357514214345689E1
3,75000000000000000E9	-1,14596626652624023E1
4,30555555599999984E9	-1,38716815815251904E1
4,67592592600000057E9	-1,94627187051642325E1
5,04629629700000049E9	-1,73942764331290856E1
5,29320987699999979E9	-1,50360827944329856E1
5,41666666700000032E9	-1,45988181070384004E1
6,25000000000000000E9	-1,89708315033670916E1
6,66666666600000024E9	-1,14792489042063051E1
7,08333333299999879E9	-9,65241941420159932E0
7,50000000000000000E9	-1,21617580592661922E1
8,19444444499999847E9	-1,04009223062440714E1
8,54166666699999944E9	-6,02860409691672494E0
8,88888888900000040E9	-2,83297823925705616E0
9,06250000000000000E9	-2,99806738736705869E0
9,58333333300000056E9	-3,31632401899118356E0
1,01041666700000010E10	-2,70374472766526486E0
1,01909722200000008E10	-2,60842805902097830E0
1,06250000000000000E10	-3,01942100521447543E0
1,08333333300000012E10	-6,33377750668567963E0
1,08680555599999984E10	-9,76191829968816194E0
1,09027777800000014E10	-1,34641172419108002E1
1,09606481500000008E10	-6,03729264980844782E0
1,12500000000000000E10	-5,26655800706878807E0
1,18750000000000000E10	-9,68098375938363631E0
1,21875000000000000E10	-9,92641754404793275E0
1,25000000000000000E10	-5,23996882915021445E0
1,29166666700000010E10	-7,66861109027041188E-1
1,31250000000000000E10	2,70856068360223023E-1
1,33333333299999990E10	8,75147981264333730E-1
1,36111111100000004E10	1,39916184466805626E0
1,39197530899999999E10	3,16313657266828185E0
1,39540466400000018E10	3,33467776118489212E0
1,40226337499999998E10	5,09933303781222058E-1
1,41512345799999983E10	-9,97025557443989818E0
1,42798354000000005E10	-7,01949829540195758E0
