        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0,1                     -0,23582556
                  0,1149                     -0,24406439
              0,12980001                     -0,25253152
              0,14470001                     -0,26094308
                  0,1596                     -0,26902372
                  0,1745                     -0,27651446
                  0,1894                     -0,28318465
                  0,2043                     -0,28883714
                  0,2192                     -0,29332187
                  0,2341                     -0,29653551
                   0,249                     -0,29842739
              0,26390001                     -0,29900121
              0,27880001                     -0,29831291
              0,29370001                     -0,29646564
              0,30860001                     -0,29360606
              0,32350001                     -0,28991661
              0,33840001                     -0,28560664
              0,35330001                     -0,28090179
                  0,3682                     -0,27603457
                  0,3831                     -0,27123456
                   0,398                     -0,26671919
                  0,4129                     -0,26268525
                  0,4278                     -0,25929901
                  0,4427                     -0,25669553
                  0,4576                     -0,25496808
                  0,4725                      -0,2541707
                  0,4874                     -0,25431342
              0,50230002                     -0,25536621
              0,51719999                     -0,25725952
              0,53210002                     -0,25989078
              0,54699999                     -0,26312597
              0,56190002                     -0,26681037
              0,57679999                     -0,27077156
              0,59170002                     -0,27483209
              0,60659999                     -0,27881437
              0,62150002                     -0,28254933
              0,63639998                     -0,28588439
              0,65130001                     -0,28868936
              0,66619998                     -0,29086232
              0,68110001                     -0,29233445
              0,69599998                     -0,29307137
              0,71090001                     -0,29307373
              0,72579998                     -0,29237779
              0,74070001                     -0,29105233
              0,75559998                     -0,28919352
                  0,7705                     -0,28692108
              0,78539997                     -0,28437232
                  0,8003                     -0,28169708
              0,81519997                     -0,27904535
                  0,8301                     -0,27656736
              0,84500003                     -0,27440119
                  0,8599                     -0,27267159
              0,87480003                     -0,27147993
                  0,8897                     -0,27090734
              0,90460002                     -0,27100421
              0,91949999                     -0,27179459
              0,93440002                     -0,27327327
              0,94929999                     -0,27540664
              0,96420002                      -0,2781364
              0,97909999                      -0,2813833
              0,99400002                     -0,28504832
                  1,0089                     -0,28902038
                  1,0238                     -0,29318229
                  1,0387                     -0,29741422
                  1,0536                     -0,30159964
                  1,0685                     -0,30563226
                  1,0834                     -0,30942129
                  1,0983                     -0,31289275
               1,1131999                     -0,31599618
                  1,1281                     -0,31870385
                   1,143                      -0,3210142
                  1,1579                     -0,32295051
               1,1727999                     -0,32455992
                  1,1877                     -0,32591247
                  1,2026                     -0,32709509
                  1,2175                     -0,32820948
               1,2323999                     -0,32936773
                  1,2473                     -0,33068751
                  1,2622                     -0,33228642
                  1,2771                     -0,33427825
               1,2920001                     -0,33676726
                  1,3069                      -0,3398461
                  1,3218                     -0,34359123
                  1,3367                     -0,34806202
               1,3516001                     -0,35329862
                  1,3665                     -0,35931876
                  1,3814                     -0,36612383
                  1,3963                     -0,37369414
                  1,4112                     -0,38199562
                  1,4261                     -0,39097933
                   1,441                     -0,40058596
                  1,4559                     -0,41074994
                  1,4708                     -0,42140305
                  1,4857                     -0,43247787
                  1,5006                     -0,44391198
               1,5154999                     -0,45565385
                  1,5304                      -0,4676624
                  1,5453                     -0,47991252
                  1,5602                     -0,49239722
               1,5750999                     -0,50512672
                    1,59                     -0,51813254
                  1,6049                     -0,53146328
                  1,6198                     -0,54518758
               1,6346999                     -0,55938901
                  1,6496                     -0,57416686
                  1,6645                     -0,58963242
