freq	dB(S11_fitted)
0,00000000000000000E0	-4,24304085283447385E-14
9,33063680984757227E0	-1,35005845317460293E-14
9,33063680984757227E1	-1,83222218645124713E-14
9,33063680984757227E2	-6,68278934321453555E-13
9,33063680984757227E3	-6,47295168651640296E-11
1,17465757881391686E4	-1,02590941857343854E-10
1,47880627612544968E4	-1,62586575189872407E-10
1,86170680013503076E4	-2,57673120704193126E-10
2,34374999999999556E4	-4,08373395545585982E-10
2,95060643389257304E4	-6,47233451715483454E-10
3,71459341983072733E4	-1,02577634143756624E-9
4,67639605070830200E4	-1,62574038946500021E-9
5,88723382385056748E4	-2,57660777347015824E-9
7,41158826601962506E4	-4,08364813117529390E-9
9,33063680984757582E4	-6,47212815324713908E-9
1,17465757881391730E5	-1,02576341999463327E-8
1,47880627612545035E5	-1,62572361153635825E-8
1,86170680013503143E5	-2,57659591568178081E-8
2,34374999999999645E5	-4,08362509238835969E-8
2,95060643389257482E5	-6,47210262027071970E-8
3,71459341983072955E5	-1,02575667515349434E-7
4,67639605070830466E5	-1,62570945925838872E-7
5,88723382385057104E5	-2,57656292185971747E-7
7,41158826601963217E5	-4,08354417527262736E-7
9,33063680984758292E5	-6,47189878557822418E-7
1,17465757881391819E6	-1,02570616418383742E-6
1,47880627612545168E6	-1,62558275720408019E-6
1,86170680013503320E6	-2,57624454583191786E-6
2,34374999999999822E6	-4,08274470969910297E-6
2,95060643389257748E6	-6,46989132843846093E-6
3,71459341983073221E6	-1,02520202584349063E-5
4,67639605070830822E6	-1,62431694570395169E-5
5,88723382385057725E6	-2,57306699420966334E-5
7,41158826601963749E6	-4,07477099659855657E-5
9,33063680984759003E6	-6,44989363386968773E-5
1,17465757881391930E7	-1,02019127432646339E-4
1,47880627612545323E7	-1,61177974249903655E-4
1,86170680013503498E7	-2,54176916104166262E-4
2,34375000000000000E7	-3,99691627157004437E-4
2,64996079576020893E7	-5,07961055261119121E-4
2,95761255225090647E7	-6,28605853143534610E-4
3,72341360027006996E7	-9,77339670893155876E-4
4,68750000000000000E7	-1,50396715231415223E-3
5,74316663409513239E7	-2,17270468692094632E-3
7,03125000000000000E7	-3,08533625807384038E-3
8,14932325110893885E7	-3,93447186980902641E-3
9,37500000000000000E7	-4,89825884687272861E-3
1,17187500000000000E8	-6,75995955422248862E-3
1,40625000000000000E8	-8,56866344116993695E-3
1,64062500000000000E8	-1,02848886627476399E-2
1,87500000000000000E8	-1,19055205348915361E-2
2,18750000000000000E8	-1,39421104944316565E-2
2,50000000000000000E8	-1,58776434784025211E-2
2,81250000000000000E8	-1,77527089263840732E-2
3,12500000000000000E8	-1,95982175250394319E-2
3,43750000000000000E8	-2,14355233256922517E-2
3,75000000000000000E8	-2,32783914443896478E-2
4,06250000000000000E8	-2,51351519293178871E-2
4,37500000000000000E8	-2,70105355507087364E-2
4,68750000000000000E8	-2,89071079802382558E-2
5,00000000000000000E8	-3,08263491795297906E-2
5,31250000000000000E8	-3,27694510260507732E-2
5,62500000000000000E8	-3,47378998086456381E-2
5,97656250000000000E8	-3,69854807356149395E-2
6,32812500000000000E8	-3,92726437114438021E-2
6,67968750000000000E8	-4,16060611752618570E-2
7,03125000000000000E8	-4,39946235786791817E-2
7,38281250000000000E8	-4,64495778133679771E-2
7,73437500000000000E8	-4,89846002404312841E-2
8,08593750000000000E8	-5,16158273744322926E-2
8,43750000000000000E8	-5,43618624399049377E-2
8,78906250000000000E8	-5,72437723710153890E-2
9,14062500000000000E8	-6,02850870183963217E-2
9,49218750000000000E8	-6,35118101444233574E-2
9,84375000000000000E8	-6,69524500948491674E-2
1,01953125000000000E9	-7,06380767379656138E-2
1,05468750000000000E9	-7,46024102964761227E-2
1,08984375000000000E9	-7,88819470039635373E-2
1,12500000000000000E9	-8,35161260504994019E-2
1,16015625000000000E9	-8,85475419879260706E-2
1,19531250000000000E9	-9,40222065999076051E-2
