        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0,1                      0,16457003
                  0,1179                      0,15855064
                  0,1358                      0,15163702
              0,15369999                      0,14387335
                  0,1716                      0,13530801
                  0,1895                      0,12599332
              0,20739999                       0,1159873
                  0,2253                      0,10535436
                  0,2432                     0,094157091
              0,26109999                     0,082468163
              0,27900001                     0,070360317
                  0,2969                     0,057907012
              0,31479999                     0,045187843
              0,33270001                      0,03228166
                  0,3506                      0,01926872
              0,36849999                    0,0062308657
              0,38640001                   -0,0067526997
                  0,4043                    -0,019600702
              0,42219999                    -0,032234634
              0,44010001                    -0,044578145
                   0,458                    -0,056556267
              0,47589999                    -0,068098361
              0,49380001                     -0,07913697
              0,51169997                    -0,089609977
              0,52960002                    -0,099457768
              0,54750001                     -0,10862813
                  0,5654                     -0,11707485
              0,58329999                     -0,12475529
              0,60119998                     -0,13163603
              0,61909997                     -0,13768983
              0,63700002                      -0,1428952
              0,65490001                     -0,14723868
                  0,6728                     -0,15071518
              0,69069999                      -0,1533243
              0,70859998                     -0,15507417
              0,72649997                     -0,15598091
              0,74440002                     -0,15606495
              0,76230001                     -0,15535427
                  0,7802                      -0,1538838
              0,79809999                     -0,15169363
              0,81599998                     -0,14882795
              0,83389997                     -0,14533697
              0,85180002                     -0,14127606
              0,86970001                      -0,1367012
                  0,8876                     -0,13167488
              0,90549999                     -0,12625956
              0,92339998                     -0,12052176
              0,94129997                     -0,11452749
              0,95920002                      -0,1083452
              0,97710001                     -0,10204225
                   0,995                    -0,095686191
                  1,0129                    -0,089343865
                  1,0308                    -0,083080666
                  1,0487                    -0,076961365
                  1,0666                    -0,071046133
                  1,0845                    -0,065394023
               1,1023999                    -0,060061064
               1,1203001                    -0,055100019
                  1,1382                    -0,050559508
                  1,1561                     -0,04648519
                   1,174                    -0,042918685
                  1,1919                    -0,039896032
                  1,2098                    -0,037450958
                  1,2277                    -0,035610723
                  1,2456                    -0,034399102
                  1,2635                    -0,033836372
                  1,2814                    -0,033937092
                  1,2993                    -0,034710083
               1,3171999                    -0,036163557
               1,3351001                     -0,03829672
                   1,353                    -0,041107805
                  1,3709                    -0,044589123
                  1,3888                    -0,048731386
                  1,4067                    -0,053519724
                  1,4246                    -0,058934642
                  1,4425                    -0,064955758
                  1,4604                    -0,071557974
                  1,4783                    -0,078714391
                  1,4962                    -0,086395426
                  1,5141                    -0,094567078
               1,5319999                     -0,10319754
               1,5499001                      -0,1122503
                  1,5678                     -0,12168752
                  1,5857                     -0,13147208
                  1,6036                     -0,14156418
                  1,6215                      -0,1519256
                  1,6394                     -0,16251757
                  1,6573                     -0,17330029
                  1,6752                      -0,1842372
                  1,6931                        -0,19529
                   1,711                     -0,20642444
                  1,7289                     -0,21760503
               1,7467999                     -0,22880133
               1,7647001                     -0,23998226
                  1,7826                     -0,25112164
                  1,8005                     -0,26219367
                  1,8184                     -0,27317744
                  1,8363                     -0,28405449
                  1,8542                     -0,29480834
                  1,8721                     -0,30542833
                    1,89                     -0,31590543
                  1,9079                     -0,32623417
                  1,9258                     -0,33641341
                  1,9437                     -0,34644704
               1,9615999                     -0,35633933
               1,9795001                     -0,36610022
                  1,9974                     -0,37574277
                  2,0153                     -0,38528345
                  2,0332                     -0,39474199
                  2,0511                     -0,40414029
                   2,069                     -0,41350528
                  2,0869                      -0,4228639
                  2,1048                     -0,43224822
                  2,1227                     -0,44169116
                  2,1406                      -0,4512278
                  2,1585                     -0,46089701
               2,1763999                     -0,47073426
               2,1942999                     -0,48078325
               2,2121999                     -0,49108215
               2,2300999                     -0,50167585
               2,2479999                     -0,51260422
               2,2658999                     -0,52391097
               2,2837999                     -0,53564038
               2,3017001                     -0,54783458
               2,3196001                     -0,56053459
               2,3375001                      -0,5737834
               2,3554001                     -0,58762126
               2,3733001                     -0,60208807
               2,3912001                     -0,61722274
               2,4091001                     -0,63306303
                   2,427                     -0,64964287
                  2,4449                      -0,6669965
                  2,4628                     -0,68515629
                  2,4807                      -0,7041522
                  2,4986                     -0,72401103
                  2,5165                     -0,74475802
                  2,5344                     -0,76641815
                  2,5523                     -0,78901042
                  2,5702                     -0,81255323
                  2,5881                     -0,83706259
               2,6059999                     -0,86255042
               2,6238999                     -0,88902755
               2,6417999                     -0,91650169
               2,6596999                     -0,94497707
               2,6775999                     -0,97445626
               2,6954999                      -1,0049374
               2,7133999                      -1,0364185
