        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                   1.0773451e-07
                  0.1399                   -0.0036504527
                  0.1798                   -0.0084232856
              0.21969999                    -0.014245364
              0.25960001                    -0.021020558
              0.29949999                     -0.02863814
              0.33939999                    -0.036971047
                  0.3793                    -0.045878212
                  0.4192                    -0.055205158
              0.45910001                    -0.064787899
              0.49900001                    -0.074454067
              0.53890002                    -0.084026592
              0.57880002                    -0.093327019
              0.61870003                     -0.10217776
              0.65859997                     -0.11040875
              0.69849998                       -0.117861
              0.73839998                     -0.12438523
              0.77829999                     -0.12985654
              0.81819999                     -0.13417009
                  0.8581                     -0.13724321
                   0.898                      -0.1390308
              0.93790001                     -0.13951179
              0.97780001                     -0.13870419
                  1.0177                     -0.13665691
                  1.0576                     -0.13345617
                  1.0975                     -0.12921962
                  1.1374                     -0.12410188
                  1.1773                     -0.11828292
                  1.2172                     -0.11197136
                  1.2571                     -0.10539761
               1.2970001                    -0.098812077
                  1.3369                     -0.09247762
               1.3767999                    -0.086666151
                  1.4167                    -0.081652736
                  1.4566                    -0.077711493
                  1.4965                    -0.075110187
                  1.5364                    -0.074107588
                  1.5763                    -0.074946336
                  1.6162                    -0.077852849
                  1.6561                    -0.083032412
                   1.696                    -0.090668037
                  1.7359                     -0.10091725
                  1.7758                      -0.1139128
               1.8157001                     -0.12976069
                  1.8556                     -0.14854051
               1.8954999                     -0.17030833
                  1.9354                     -0.19509348
                  1.9753                     -0.22290093
               2.0151999                     -0.25371855
                  2.0551                     -0.28751164
                   2.095                     -0.32423201
               2.1349001                     -0.36381534
               2.1747999                     -0.40618912
                  2.2147                     -0.45127147
                  2.2546                      -0.4989778
               2.2945001                     -0.54922089
               2.3343999                     -0.60191722
                  2.3743                     -0.65698877
               2.4142001                      -0.7143634
               2.4540999                     -0.77397955
                   2.494                     -0.83578986
                  2.5339                     -0.89975576
               2.5738001                     -0.96585822
               2.6136999                      -1.0340905
                  2.6536                        -1.10446
                  2.6935                      -1.1769909
               2.7334001                       -1.251714
               2.7732999                      -1.3286741
                  2.8132                      -1.4079199
               2.8531001                       -1.489505
               2.8929999                      -1.5734771
                  2.9329                      -1.6598803
                  2.9728                      -1.7487443
               3.0127001                      -1.8400787
               3.0525999                      -1.9338693
                  3.0925                      -2.0300669
                  3.1324                      -2.1285831
               3.1723001                      -2.2292822
               3.2121999                       -2.331975
                  3.2521                      -2.4364109
               3.2920001                      -2.5422728
               3.3318999                      -2.6491736
               3.3717999                      -2.7566514
                  3.4117                      -2.8641716
               3.4516001                      -2.9711236
               3.4914999                      -3.0768317
                  3.5314                      -3.1805562
                  3.5713                      -3.2815113
               3.6112001                      -3.3788768
               3.6510999                      -3.4718196
                   3.691                      -3.5595167
                  3.7309                      -3.6411777
               3.7708001                      -3.7160843
               3.8106999                      -3.7836023
                  3.8506                      -3.8432234
               3.8905001                      -3.8945809
               3.9303999                      -3.9374709
                  3.9703                      -3.9718674
                  4.0102                      -3.9979283
               4.0500998                      -4.0159872
               4.0900002                      -4.0265504
                  4.1299                      -4.0302768
               4.1697998                       -4.027952
               4.2097001                      -4.0204657
               4.2495999                      -4.0087812
               4.2895002                      -3.9939026
               4.3294001                      -3.9768495
               4.3692999                      -3.9586263
               4.4092002                       -3.940205
                  4.4491                      -3.9224953
               4.4889998                      -3.9063429
               4.5289001                       -3.892504
                  4.5688                      -3.8816458
               4.6086998                      -3.8743415
               4.6486001                      -3.8710641
               4.6884999                       -3.872192
               4.7284002                      -3.8780083
               4.7683001                      -3.8887094
               4.8081999                      -3.9044082
               4.8481002                      -3.9251399
                   4.888                       -3.950875
               4.9278998                      -3.9815218
               4.9678001                       -4.016941
                  5.0077                      -4.0569478
               5.0475998                      -4.1013302
               5.0875001                      -4.1498479
               5.1273999                      -4.2022483
               5.1673002                      -4.2582736
               5.2072001                      -4.3176665
               5.2470999                      -4.3801798
               5.2870002                      -4.4455814
                  5.3269                      -4.5136595
               5.3667998                      -4.5842263
               5.4067001                      -4.6571281
                  5.4466                      -4.7322397
               5.4864998                      -4.8094684
               5.5264001                      -4.8887617
               5.5662999                      -4.9700957
               5.6062002                      -5.0534875
                  5.6461                      -5.1389818
               5.6859999                      -5.2266627
               5.7259002                       -5.316641
                  5.7658                      -5.4090647
               5.8056998                       -5.504103
               5.8456001                      -5.6019591
                  5.8855                      -5.7028667
               5.9253998                      -5.8070793
               5.9653001                      -5.9148794
               6.0051999                      -6.0265728
               6.0451002                      -6.1424926
                   6.085                      -6.2629858
               6.1248999                      -6.3884249
               6.1648002                      -6.5191957
                  6.2047                      -6.6556953
               6.2445998                      -6.7983303
               6.2845001                      -6.9475076
               6.3243999                      -7.1036301
               6.3642998                      -7.2670868
               6.4042001                      -7.4382423
               6.4440999                      -7.6174292
               6.4840002                      -7.8049301
                  6.5239                      -8.0009663
               6.5637999                      -8.2056822
               6.6037002                      -8.4191203
                  6.6436                       -8.641204
               6.6834998                      -8.8717104
               6.7234001                      -9.1102428
               6.7632999                      -9.3562013
