        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.15630562
                  0.1179                      -0.1525208
                  0.1358                     -0.14819546
              0.15369999                      -0.1433645
                  0.1716                     -0.13806799
                  0.1895                      -0.1323463
              0.20739999                     -0.12624842
                  0.2253                     -0.11982212
                  0.2432                     -0.11311813
              0.26109999                     -0.10618921
              0.27900001                    -0.099090837
                  0.2969                    -0.091877538
              0.31479999                    -0.084605884
              0.33270001                    -0.077331085
                  0.3506                    -0.070109803
              0.36849999                    -0.062996022
              0.38640001                    -0.056043558
                  0.4043                    -0.049304982
              0.42219999                    -0.042828905
              0.44010001                    -0.036664418
                   0.458                    -0.030857925
              0.47589999                    -0.025449362
              0.49380001                    -0.020480039
              0.51169997                    -0.015983402
              0.52960002                    -0.011993622
              0.54750001                   -0.0085390429
                  0.5654                   -0.0056434371
              0.58329999                   -0.0033266307
              0.60119998                   -0.0016066838
              0.61909997                  -0.00049552001
              0.63700002                  -5.6318128e-08
              0.65490001                  -0.00012476777
                  0.6728                  -0.00086914675
              0.69069999                   -0.0022274833
              0.70859998                   -0.0041914832
              0.72649997                   -0.0067497236
              0.74440002                   -0.0098853561
              0.76230001                    -0.013575898
                  0.7802                    -0.017799874
              0.79809999                    -0.022528535
              0.81599998                    -0.027731923
              0.83389997                    -0.033377182
              0.85180002                    -0.039429012
              0.86970001                     -0.04584693
                  0.8876                    -0.052592532
              0.90549999                    -0.059623286
              0.92339998                    -0.066895604
              0.94129997                    -0.074365264
              0.95920002                    -0.081988018
              0.97710001                    -0.089716183
                   0.995                    -0.097505942
                  1.0129                     -0.10531221
                  1.0308                     -0.11309038
                  1.0487                      -0.1207973
                  1.0666                     -0.12839099
                  1.0845                     -0.13583358
               1.1023999                      -0.1430843
               1.1203001                     -0.15011059
                  1.1382                     -0.15687964
                  1.1561                     -0.16336187
                   1.174                     -0.16953203
                  1.1919                     -0.17536734
                  1.2098                      -0.1808493
                  1.2277                     -0.18596306
                  1.2456                     -0.19069776
                  1.2635                     -0.19504774
                  1.2814                     -0.19900926
                  1.2993                     -0.20258446
               1.3171999                     -0.20577922
               1.3351001                     -0.20860248
                   1.353                     -0.21106897
                  1.3709                     -0.21319548
                  1.3888                     -0.21500255
                  1.4067                     -0.21651505
                  1.4246                     -0.21775972
                  1.4425                     -0.21876807
                  1.4604                     -0.21957202
                  1.4783                      -0.2202066
                  1.4962                     -0.22071008
                  1.5141                      -0.2211205
               1.5319999                     -0.22147848
               1.5499001                     -0.22182628
                  1.5678                     -0.22220397
                  1.5857                     -0.22265609
                  1.6036                      -0.2232237
                  1.6215                     -0.22394959
                  1.6394                     -0.22487514
                  1.6573                     -0.22604033
                  1.6752                     -0.22748735
                  1.6931                     -0.22925149
                   1.711                     -0.23137146
                  1.7289                     -0.23388085
               1.7467999                     -0.23681343
               1.7647001                     -0.24019856
                  1.7826                     -0.24406556
                  1.8005                      -0.2484405
                  1.8184                      -0.2533456
                  1.8363                     -0.25880105
                  1.8542                     -0.26482463
                  1.8721                     -0.27143167
                    1.89                     -0.27863377
                  1.9079                     -0.28644078
                  1.9258                     -0.29485882
                  1.9437                     -0.30389242
               1.9615999                     -0.31354022
               1.9795001                     -0.32380343
                  1.9974                     -0.33467643
                  2.0153                     -0.34615308
                  2.0332                      -0.3582254
                  2.0511                     -0.37088309
                   2.069                     -0.38411235
                  2.0869                     -0.39790017
                  2.1048                     -0.41223059
                  2.1227                     -0.42708699
                  2.1406                      -0.4424518
                  2.1585                     -0.45830495
               2.1763999                     -0.47462896
               2.1942999                     -0.49140353
               2.2121999                     -0.50860953
               2.2300999                     -0.52622741
               2.2479999                     -0.54423854
               2.2658999                     -0.56262436
               2.2837999                     -0.58136735
               2.3017001                     -0.60045277
               2.3196001                      -0.6198654
               2.3375001                     -0.63959195
               2.3554001                     -0.65962153
               2.3733001                     -0.67994698
               2.3912001                     -0.70055905
               2.4091001                     -0.72145525
                   2.427                     -0.74263286
                  2.4449                     -0.76409265
                  2.4628                      -0.7858377
                  2.4807                     -0.80787515
                  2.4986                     -0.83021313
                  2.5165                     -0.85286463
                  2.5344                     -0.87584305
                  2.5523                     -0.89916559
                  2.5702                     -0.92285237
                  2.5881                      -0.9469272
               2.6059999                     -0.97141214
               2.6238999                     -0.99633632
               2.6417999                      -1.0217273
               2.6596999                      -1.0476184
               2.6775999                      -1.0740397
               2.6954999                       -1.101026
               2.7133999                      -1.1286123
               2.7313001                      -1.1568339
               2.7492001                      -1.1857267
               2.7671001                       -1.215328
               2.7850001                      -1.2456739
               2.8029001                      -1.2768003
               2.8208001                      -1.3087414
               2.8387001                      -1.3415313
                  2.8566                      -1.3752027
                  2.8745                      -1.4097849
                  2.8924                       -1.445307
                  2.9103                      -1.4817945
                  2.9282                      -1.5192695
                  2.9461                      -1.5577512
                   2.964                      -1.5972553
                  2.9819                      -1.6377937
                  2.9998                      -1.6793728
                  3.0177                      -1.7219964
               3.0355999                      -1.7656606
               3.0534999                      -1.8103602
               3.0713999                      -1.8560802
               3.0892999                       -1.902803
               3.1071999                      -1.9505032
               3.1250999                      -1.9991483
               3.1429999                      -2.0487036
               3.1609001                      -2.0991241
               3.1788001                      -2.1503601
               3.1967001                      -2.2023519
               3.2146001                      -2.2550387
               3.2325001                      -2.3083477
               3.2504001                      -2.3622017
               3.2683001                      -2.4165185
                  3.2862                      -2.4712062
                  3.3041                      -2.5261685
                   3.322                      -2.5813039
                  3.3399                       -2.636506
                  3.3578                      -2.6916613
                  3.3757                      -2.7466544
                  3.3936                       -2.801364
                  3.4115                      -2.8556685
                  3.4294                      -2.9094398
                  3.4473                      -2.9625555
               3.4651999                      -3.0148854
               3.4830999                      -3.0663044
               3.5009999                      -3.1166891
               3.5188999                      -3.1659165
               3.5367999                       -3.213869
               3.5546999                      -3.2604339
               3.5725999                      -3.3055055
               3.5905001                      -3.3489847
               3.6084001                      -3.3907792
               3.6263001                      -3.4308095
               3.6442001                      -3.4690028
               3.6621001                      -3.5053003
               3.6800001                       -3.539653
               3.6979001                      -3.5720251
                  3.7158                       -3.602395
                  3.7337                      -3.6307517
                  3.7516                       -3.657097
                  3.7695                      -3.6814503
                  3.7874                      -3.7038383
                  3.8053                      -3.7243049
                  3.8232                       -3.742903
                  3.8411                      -3.7596994
                   3.859                      -3.7747681
                  3.8769                      -3.7881959
               3.8947999                      -3.8000762
               3.9126999                       -3.810512
               3.9305999                      -3.8196093
               3.9484999                      -3.8274849
               3.9663999                      -3.8342533
               3.9842999                      -3.8400364
               4.0022001                      -3.8449564
               4.0201001                      -3.8491362
               4.0380001                      -3.8526984
               4.0559001                      -3.8557651
               4.0738001                      -3.8584539
               4.0917001                      -3.8608811
               4.1096001                      -3.8631597
               4.1275001                      -3.8653947
                  4.1454                       -3.867689
                  4.1633                      -3.8701401
                  4.1812                      -3.8728372
                  4.1991                      -3.8758643
                   4.217                      -3.8792994
                  4.2349                      -3.8832122
                  4.2528                      -3.8876671
                  4.2707                      -3.8927216
                  4.2886                      -3.8984269
                  4.3065                      -3.9048261
               4.3243999                      -3.9119584
               4.3422999                       -3.919855
               4.3601999                      -3.9285443
               4.3780999                      -3.9380475
               4.3959999                      -3.9483811
               4.4138999                      -3.9595609
               4.4317999                      -3.9715958
               4.4496999                      -3.9844935
               4.4675999                       -3.998258
               4.4854999                      -4.0128952
               4.5033998                      -4.0284052
               4.5212998                      -4.0447949
               4.5391998                      -4.0620638
               4.5570998                      -4.0802187
               4.5749998                      -4.0992662
               4.5928998                      -4.1192159
               4.6107998                      -4.1400811
               4.6286998                      -4.1618782
               4.6465998                      -4.1846298
               4.6645002                       -4.208362
               4.6824002                      -4.2331088
               4.7003002                      -4.2589097
               4.7182002                      -4.2858091
               4.7361002                      -4.3138605
               4.7540002                      -4.3431254
               4.7719002                      -4.3736717
               4.7898002                      -4.4055769
               4.8077002                      -4.4389241
               4.8256001                      -4.4738096
               4.8435001                      -4.5103347
               4.8614001                      -4.5486097
               4.8793001                       -4.588752
