"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+3,00000000000E+005; +1,38442432204E-001; +0,00000000000E+000
+9,02985000000E+007; +7,19082922971E-002; +0,00000000000E+000
+1,80297000000E+008; +6,95421184553E-002; +0,00000000000E+000
+2,70295500000E+008; -3,69424335665E-002; +0,00000000000E+000
+3,60294000000E+008; -7,76333128309E-002; +0,00000000000E+000
+4,50292500000E+008; -1,14727519531E-001; +0,00000000000E+000
+5,40291000000E+008; -1,55823358523E-001; +0,00000000000E+000
+6,30289500000E+008; -2,59822520794E-001; +0,00000000000E+000
+7,20288000000E+008; -3,74877981582E-001; +0,00000000000E+000
+8,10286500000E+008; -3,61795908176E-001; +0,00000000000E+000
+9,00285000000E+008; -4,27136560070E-001; +0,00000000000E+000
+9,90283500000E+008; -4,30934950793E-001; +0,00000000000E+000
+1,08028200000E+009; -4,91127640381E-001; +0,00000000000E+000
+1,17028050000E+009; -5,69144241597E-001; +0,00000000000E+000
+1,26027900000E+009; -6,49177856253E-001; +0,00000000000E+000
+1,35027750000E+009; -6,65026166071E-001; +0,00000000000E+000
+1,44027600000E+009; -6,86762637532E-001; +0,00000000000E+000
+1,53027450000E+009; -7,31935206297E-001; +0,00000000000E+000
+1,62027300000E+009; -8,02450009638E-001; +0,00000000000E+000
+1,71027150000E+009; -9,23209054768E-001; +0,00000000000E+000
+1,80027000000E+009; -1,07287822785E+000; +0,00000000000E+000
+1,89026850000E+009; -1,26235999492E+000; +0,00000000000E+000
+1,98026700000E+009; -1,45710164714E+000; +0,00000000000E+000
+2,07026550000E+009; -1,45888695879E+000; +0,00000000000E+000
+2,16026400000E+009; -1,47111444743E+000; +0,00000000000E+000
+2,25026250000E+009; -1,54862939971E+000; +0,00000000000E+000
+2,34026100000E+009; -1,63382897742E+000; +0,00000000000E+000
+2,43025950000E+009; -1,73638885141E+000; +0,00000000000E+000
+2,52025800000E+009; -1,69715771753E+000; +0,00000000000E+000
+2,61025650000E+009; -1,56273256478E+000; +0,00000000000E+000
+2,70025500000E+009; -1,35565579453E+000; +0,00000000000E+000
+2,79025350000E+009; -1,18824124506E+000; +0,00000000000E+000
+2,88025200000E+009; -1,01045911531E+000; +0,00000000000E+000
+2,97025050000E+009; -9,05716130850E-001; +0,00000000000E+000
+3,06024900000E+009; -9,57604070975E-001; +0,00000000000E+000
+3,15024750000E+009; -1,10239754895E+000; +0,00000000000E+000
+3,24024600000E+009; -1,27896753440E+000; +0,00000000000E+000
+3,33024450000E+009; -1,53219550133E+000; +0,00000000000E+000
+3,42024300000E+009; -1,89834281136E+000; +0,00000000000E+000
+3,51024150000E+009; -2,25138399592E+000; +0,00000000000E+000
+3,60024000000E+009; -2,64950332870E+000; +0,00000000000E+000
+3,69023850000E+009; -3,17631667718E+000; +0,00000000000E+000
+3,78023700000E+009; -3,95530469443E+000; +0,00000000000E+000
+3,87023550000E+009; -4,32449084158E+000; +0,00000000000E+000
+3,96023400000E+009; -4,99999046045E+000; +0,00000000000E+000
+4,05023250000E+009; -5,16174861336E+000; +0,00000000000E+000
+4,14023100000E+009; -5,46995593626E+000; +0,00000000000E+000
+4,23022950000E+009; -5,56437358302E+000; +0,00000000000E+000
+4,32022800000E+009; -5,25282038806E+000; +0,00000000000E+000
+4,41022650000E+009; -5,22659518625E+000; +0,00000000000E+000
+4,50022500000E+009; -5,02913778090E+000; +0,00000000000E+000
+4,59022350000E+009; -5,39343702451E+000; +0,00000000000E+000
+4,68022200000E+009; -5,60626670882E+000; +0,00000000000E+000
+4,77022050000E+009; -6,03278347267E+000; +0,00000000000E+000
+4,86021900000E+009; -6,78540294557E+000; +0,00000000000E+000
+4,95021750000E+009; -7,60428063599E+000; +0,00000000000E+000
